"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"GSM1923445" -0.00136043132139998 -0.0219715168043903 -0.0406555834291609 -0.0255426018074973 0.0122226624157597
"GSM1923446" 0.00671249294252456 -0.0371218809330359 -0.0476634028220599 -0.0224824510099876 0.00965870940857765
"GSM1923447" -0.0154602998182476 -0.0506034232776058 -0.0419134093362837 -0.00482684057772669 0.018880097256154
"GSM1923448" 0.000327102943526179 -0.0415394345711184 -0.0528854354108769 -0.011400342202267 0.0158158813472111
"GSM1923449" 0.0248002272926631 -0.0249215328981534 -0.0513521054948321 -0.0274775104935465 0.011115206750781
"GSM1923450" -0.00993465951695946 -0.0355468811921277 -0.0409639345595519 -0.0114672067567116 0.0101115124467068
"GSM1923451" 0.0298501566311231 -0.0174954001527927 -0.0225639489496353 -0.0218716182484763 0.00262565689997283
"GSM1923452" 0.00810742188250996 -0.0259125459408088 -0.0456656778141351 -0.0232263215583555 0.00327840038551221
"GSM1923453" -0.009074692872566 -0.0413405190835908 -0.0512099620137027 -0.0275094627634649 0.0179983755687277
"GSM1923454" -0.00810057937744434 -0.0296301317321219 -0.0437459489601161 -0.00798393389698175 0.0126565792927013
"GSM1923455" -0.00779662046688971 -0.0296934007077997 -0.0378645696082972 -0.00420929128840855 0.0111958364243258
"GSM1923456" -0.027039058705205 -0.0406724123940912 -0.0356768604998674 -0.00757963200098994 0.0215276475774946
"GSM1923457" -0.00163463413281657 -0.0246890371903231 -0.0438137046094328 -0.0228181097639212 0.00886849751722873
"GSM1923458" -0.000968086330466915 -0.0274978339077379 -0.0296808373620718 -0.00588318066405016 0.00831888677342973
"GSM1923459" 0.0055207658433422 -0.0304314876780996 -0.0419644986636969 -0.0224288333857149 0.0105006667496763
"GSM1923460" 0.0117199844705742 -0.0244429288979081 -0.041998925864804 -0.0232776577794694 0.000211554938093298
"GSM1923461" 0.00390039680189715 -0.0244166732173853 -0.0506640816456789 -0.0154889586048797 0.00862291595413219
"GSM1923462" 0.0532856200834668 -0.0150756148244064 -0.0211988613363318 -0.024364565456235 0.00605621614792999
"GSM1923463" 0.0989005748409783 -0.00752950638139139 -0.0205829580112096 -0.00474586659351918 0.0258511190202172
"GSM1923464" -0.0165980723328616 -0.0364965496333373 -0.0312855913982387 -0.00705230270448441 0.011425379247442
"GSM1923465" 0.0331912124610725 -0.0215258710037692 -0.042020967881881 -0.0250857085700371 -0.00424871244636996
"GSM1923466" 0.0596599440767092 -0.0162404448384862 -0.0333424074291606 -0.0219016595810031 0.00045589019985827
"GSM1923467" -0.00538059886535851 -0.0256583202877508 -0.030897278186842 -0.00459500511150982 0.00422719711678211
"GSM1923468" 0.00348089714996261 -0.0276894411962909 -0.0426008378649406 -0.0108708937703135 -0.00234954980905955
"GSM1923469" -0.00953578523878481 -0.0568481054977687 -0.0188499182823114 0.052932571236774 -0.00229071921132915
"GSM1923470" 0.000183218541530009 -0.0470953626919231 -0.0402576011691526 0.0198804662089717 -0.00373715371438153
"GSM1923471" 0.0939012343051207 -0.02424256386066 -0.0172325710327999 0.0311565941067867 0.0209791793594279
"GSM1923472" -0.0258430253586219 -0.0580002572713047 -0.026006003308207 0.0407509252498135 -0.000933756004562962
"GSM1923473" -0.00223892651359019 -0.0411633804304172 -0.0291569641651487 0.0229938936445058 -0.0141854470694214
"GSM1923474" -0.0176291428601162 -0.046620141080803 -0.0315723930039369 0.0427103479727445 -0.011277927137055
"GSM1923475" -0.0265458256482679 -0.0642879884214174 -0.0455572479175333 0.0411519155874086 -0.00681211572832045
"GSM1923476" -0.0220974829105408 -0.049491555626207 -0.0234270450226774 0.0428273152558535 -0.00142856761680848
"GSM1923477" -0.0439764364110762 -0.0521171046878715 -0.00564141584667921 0.0289627595613823 -0.000172117505906204
"GSM1923478" 0.0338472369658322 -0.0288113518173861 -0.0293827336470254 -0.00406713733876777 0.00105924209542384
"GSM1923479" 0.00727226069487481 -0.0412038514492279 -0.0340077241051927 0.0079415620023298 -0.0121341376281159
"GSM1923480" 0.0171929771913063 -0.0406745828295173 -0.0280905900951393 0.00721878973398587 -0.00916970287512975
"GSM1923481" -0.0143228814869024 -0.0477116523507018 -0.00258422216732224 0.0320900592323279 -0.0116603478016505
"GSM1923482" -0.011012733356279 -0.0524108689869492 -0.0276155602119353 0.0279688599456451 -0.0125204937572558
"GSM1923483" 0.0583529251980908 -0.0302358219904658 -0.00227606247565146 0.0252455988710197 0.0170163767648894
"GSM1923484" -0.0356355606992457 -0.0504944117012838 -0.017917933924189 0.0468055274625627 -0.00482640309410624
"GSM1923485" -0.000704000645886999 -0.0391419653254073 -0.0338908498894284 0.01350791437344 -0.00917302455875044
"GSM1923486" -0.0096032291451539 -0.0476043381098428 -0.0225510447108901 0.0244138540981588 -0.000458066135644857
"GSM1923487" -0.0201712429322957 -0.0491186370305428 -0.0260412352960468 0.0403150351635947 -0.00810162480269134
"GSM1923488" -0.0251081225615878 -0.0457312075605426 -0.0294543376953669 0.0199846806482839 -0.0115604716608578
"GSM1923489" 0.00411384568808831 -0.0369720026210419 -0.0245460937210062 0.0199664252162724 0.00138118971279326
"GSM1923490" -0.0583791565913645 -0.00901829866526226 0.0260425783435217 -0.022833664083053 0.0205676154122293
"GSM1923491" -0.0573534860823772 -0.0136910036676256 0.0232289116135746 -0.0208546812762501 0.0130670108639947
"GSM1923492" -0.0236215503058576 -0.0115885612126927 0.0131188383029046 -0.015113562440007 0.00665265069485207
"GSM1923493" -0.0500233692595093 -0.00900415532073495 0.0233842715108505 -0.0223326254826937 0.02200372766641
"GSM1923494" -0.0500674675275299 -0.00454332722312046 0.0153554862848748 -0.018462027848551 0.0138748001002483
"GSM1923495" -0.0477906165827054 0.00206170605486172 0.0189679322587265 -0.0236410710211225 0.0089036256299204
"GSM1923496" -0.0697200792068592 -0.00959945015017527 0.0371619068153104 -0.0079308963070625 0.0184254448457173
"GSM1923497" -0.0445148347227568 -0.00664262543704765 0.00552442737433194 -0.0258563568460065 0.00874183535648844
"GSM1923498" -0.0647975787805878 -0.00327766928263014 0.0253423961768346 -0.0210569150110982 0.0195612536375901
"GSM1923499" -0.0438081461318092 -0.00398416921756075 0.0166314626823059 -0.0186391576985941 0.00928780804526404
"GSM1923500" -0.0468751079160163 -0.0128658117018237 0.0290994940133513 -0.0203510341186546 0.0209650659909779
"GSM1923501" -0.0453385289887599 -0.0152494171941952 0.0220465190958773 -0.025569522373952 0.00814202678253948
"GSM1923502" -0.0619657934735939 -0.00942453723286113 0.0331509944621567 -0.0173450564678723 0.0118544771296813
"GSM1923503" -0.041609987838446 -0.00172649046520127 0.024068565231861 -0.0169990096907916 0.0108296421752359
"GSM1923504" -0.0523971808577759 -0.0133552099997518 0.0197744238716866 -0.0117060030158879 0.0135886293135859
"GSM1923505" -0.0513632318220785 -0.00152624256858005 0.0271445250977536 -0.0178829373494262 0.0130962481746978
"GSM1923506" -0.0570840894820774 -0.00914079628677633 0.0212972033987902 -0.0176149106865033 0.0139489100457128
"GSM1923507" -0.0278288342259835 -0.011969599792027 0.0164755367561424 -0.0239672404063722 0.00842955959134229
"GSM1923508" -0.0614082662333212 -0.00830453455764412 0.0321437783229803 -0.0157738307312074 0.024541436205001
"GSM1923509" -0.0482810521965058 -0.0078994906433961 0.0257811295424228 -0.0146562627504294 0.00868397188451928
"GSM1923510" -0.0371045222574621 -0.00755418193121954 0.026317235136436 -0.0157083193544514 0.00572787029745359
"GSM1923511" -0.0483462187837329 -0.0131699065356559 0.0284151591275714 -0.0264575467291725 0.00775936776300652
"GSM1923512" -0.037744542700432 -0.014178447043468 0.0154143933604312 -0.0138637022859744 0.00621248294948918
"GSM1923513" -0.0503076060297429 -0.00307854336808551 0.0266800727243755 -0.0255147875448507 0.00431275086819283
"GSM1923514" -0.00995647572439413 -0.0159716321716782 0.0204565293117792 0.0047965071451757 -0.00554431512729976
"GSM1923515" 0.00154831768666084 -0.0123958432967507 0.0178025668490469 0.00296963744807365 -0.00579605390001149
"GSM1923516" -0.039508197053963 -0.0132470394207161 0.0324841685043396 0.0100424034206206 -0.00384996819475912
"GSM1923517" -0.0576450560114199 -0.0309054081026096 0.0406579147272927 0.00952884993144143 0.00719172500987312
"GSM1923518" -0.0460770626791027 -0.019738769349687 0.0382288870513527 0.00995327940858651 0.00166820958629083
"GSM1923519" -0.0496550518092426 -0.0245174203042982 0.0311940049541994 0.0115100946392205 -0.00708668426462308
"GSM1923520" -0.056333305569624 -0.0144187602355318 0.0295054955642817 0.0129910584742673 -0.00639502358177464
"GSM1923521" -0.0600169725260663 -0.0205222541770555 0.0347043216069894 0.0220682030214123 -0.00275099044514638
"GSM1923522" -0.0505646745841879 -0.012899211131015 0.0295016953431087 0.00733896567453079 -0.00379554233792402
"GSM1923523" -0.00385828524963427 -0.0140736466584747 0.0186135578464824 -0.000294366785343434 0.0100974705366439
"GSM1923524" -0.059314146845196 -0.0260255159311968 0.045194396901035 0.0105723307309779 0.00137445069180653
"GSM1923525" -0.0552588852459978 -0.0242681504943579 0.0392554138322749 0.0131692629914539 -0.00867929971030821
"GSM1923526" -0.0559159044969938 -0.023540388055633 0.0420199091197767 0.00959255168414829 -0.00265392023914704
"GSM1923527" -0.0620117283533091 -0.0231609869592956 0.0425379091109429 0.00714818087693107 -0.00094487291295337
"GSM1923528" -0.0494020743586647 -0.021748143074766 0.0485934718671567 0.00546451965239811 -0.0092799666204274
"GSM1923529" -0.05134860206109 -0.0258242671791927 0.0430556342961147 0.015486753205029 -0.00499672011253906
"GSM1923530" -0.0559533858720021 -0.0232026421766271 0.0380881381290112 0.018653177735131 -0.00182156589218362
"GSM1923531" -0.0557007259401756 -0.0215374019078738 0.0356321151411955 0.0171305880717109 -0.00169167202366764
"GSM1923532" -0.0772581925849377 -0.0208067783627754 0.0443013660661611 0.0148799639355811 0.00854256839362667
"GSM1923533" -0.0713819374795209 -0.0281575360519497 0.0317768913250293 0.0227408055902153 0.00764002294465107
"GSM1923534" -0.0656343579336101 -0.0244691340070714 0.0409790529637479 0.0108307737258737 0.00522894981379254
"GSM1923535" -0.0560063828311344 -0.0285708301949421 0.0261516050071793 0.0113614239563621 0.00183098718751432
"GSM1923536" -0.037999386079424 0.0577936365889819 -0.0267735049350424 -0.00227185269574072 0.0110290589170601
"GSM1923537" -0.0314462287918259 0.0550907249684801 -0.0194844122077087 -0.000907210749200049 0.00428663830129459
"GSM1923538" -0.0489192028012554 0.0504350347800515 -0.0169721530683119 -0.00211026147739396 0.0122417553601269
"GSM1923539" -0.0599193927457227 0.0572981628908768 -0.0160442288874804 0.00349765703843322 0.00639723793767531
"GSM1923540" -0.0083999576158774 0.051423906656265 -0.0237776878718526 -0.00188676827885238 0.00107273669054172
"GSM1923541" -0.0348875536111488 0.0494583249034428 -0.0181136398650979 0.00735646451463271 0.0069036585006903
"GSM1923542" -0.0419235501770344 0.0587976526410666 -0.0231616814563263 0.00158845869473488 0.00544100262867781
"GSM1923543" -0.0426895071827391 0.05209494329438 -0.0174497472529087 -0.00231566466331581 0.00605262989025511
"GSM1923545" -0.030237959641247 0.0518546774051925 -0.0202287313203128 0.00203037494434701 0.00460360547320964
"GSM1923546" -0.027097028311607 0.0464942991690317 -0.0204799086064332 -0.00585141045036451 0.00140378316199681
"GSM1923547" -0.0180288248377186 0.044472113494361 -0.0285614507840002 -0.0107552224996455 -0.00963239670457652
"GSM1923548" -0.023342598588312 0.0579375929260808 -0.019263508572461 -0.00176594380003495 -0.00302243838175701
"GSM1923549" -0.0207339093283788 0.0404835613043482 -0.016465781394742 0.0015215955826653 -0.00204495743155688
"GSM1923550" -0.0367010635320935 0.04116749515419 -0.0100449137335488 -0.00412062485061554 -0.00198514991248452
"GSM1923551" -0.0411401020813783 0.0466786452615069 -0.0187620480799932 -0.00892634535351199 -0.00194207809613563
"GSM1923552" -0.0339525638323873 0.0464583098708485 -0.0209713745523076 -0.00907056267793276 -0.000982162818401008
"GSM1923553" -0.0204349216030724 0.0458532485731031 -0.0213806098688167 -0.00298949386540533 0.000508893733582946
"GSM1923554" -0.047608504715136 0.050204195819859 -0.0113606450803598 -0.00115790920079882 0.00603224675899463
"GSM1923555" -0.0356534905343324 0.0375057506862404 -0.019469345093673 -0.00334942519207988 -0.00234932105712454
"GSM1923556" -0.0271510056976061 0.0471386383538525 -0.0133977267316253 -0.00518912489636352 -0.00327803031300043
"GSM1923557" -0.0216750598174786 0.0452793520897962 -0.0189011718208113 -0.00136960616593398 -0.000589180944918428
"GSM1923558" -0.0408076926781158 0.0416067174079389 -0.0216046185460505 -0.00734290430752606 0.00148200165533877
"GSM1923559" -0.0317534750325592 0.038991899822255 -0.0190621982772978 -0.00577547547824096 -0.00454542996545747
"GSM1923560" -0.021608142453067 0.0456120117944233 -0.013679369348394 0.0185452903191838 -0.00170339958459647
"GSM1923561" 0.0778624336503149 0.0516493491532165 -0.00786993687389136 0.0319413396678776 0.0262670643298782
"GSM1923562" -0.0397802908272029 0.0429379943701791 -0.0117782070075453 0.015209240584762 0.00228988273716242
"GSM1923563" -0.0258696020289598 0.0460774265063605 -0.0157805967706718 0.0187197920521371 -0.000563163028178028
"GSM1923564" -0.0572166129785844 0.0461855994836156 -0.000145284579559392 0.0211327685427191 -0.000156473503489037
"GSM1923565" -0.0384036658317905 0.0549429648407857 -0.00840758647519594 0.0240914458676839 -0.00271855731561547
"GSM1923566" -0.0251053225926496 0.0455760382074334 -0.0165773452491118 0.0120696778766918 -0.00152144421535298
