"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"F_5W_embryo1_sc1" -0.232827160694801 -0.0196720766062562 -0.0295056904935467 -0.009909766434685 0.0257818427792618
"F_5W_embryo1_sc10" -0.193010959737403 -0.0157907013431506 0.00588991481113459 0.0116965929199333 0.0334051754686697
"F_5W_embryo1_sc11" -0.221313923429722 -0.0295150794661639 -0.0124389769360891 0.0225641475008231 0.0394511862830208
"F_5W_embryo1_sc12" -0.233112721827227 -0.0249195124421874 -0.00795873876328715 0.00687164081231683 0.0308098236326673
"F_5W_embryo1_sc13" -0.236277705691217 -0.00866182515315257 -0.018547647143548 -0.0296962390358149 0.0249235899712801
"F_5W_embryo1_sc14" -0.227118913023542 -0.0191964626930857 -0.0108104093002851 -0.0148109363475017 0.0272849311167615
"F_5W_embryo1_sc16" -0.212208638966893 -0.0132909874376484 -0.00637839492993543 -0.00193734981577949 0.00786471425479304
"F_5W_embryo1_sc18" -0.204228235503623 -0.0159616648041226 -0.000413556255498409 0.00540695463264076 0.0265551961642311
"F_5W_embryo1_sc19" -0.232722767576459 -0.0237492927282272 -0.00736055453560496 0.0148282518350133 0.0374381003537986
"F_5W_embryo1_sc2" -0.240371520561006 -0.00458004034685869 -0.025404039703056 -0.0398496593146175 0.0143494978800652
"F_5W_embryo1_sc20" -0.208681340781388 -0.0083586099672504 -0.0208526437757365 -0.0367257307106092 0.0235957564348206
"F_5W_embryo1_sc21" -0.214985292001009 -0.0138022635628015 -0.003651906650157 0.0105424717553616 0.0289627577541455
"F_5W_embryo1_sc22" -0.212313411434532 -0.0181229263681521 -0.00935211614634593 0.0124536249005429 0.0268860557726148
"F_5W_embryo1_sc24" -0.234077986219286 -0.0191766745171178 0.000808052140333402 -0.000188085084143243 0.0427624612415465
"F_5W_embryo1_sc25" -0.219699326126268 -0.0143165998151602 -0.00648410805085096 -0.0115886635265669 0.0329383637907862
"F_5W_embryo1_sc26" -0.216803488238661 -0.012615795952416 0.00289759081306692 0.0111120323031649 0.0324439933548944
"F_5W_embryo1_sc27" -0.209450080336203 -0.0162497933761541 0.0051619461230212 -0.00287307435252004 0.0397421207696236
"F_5W_embryo1_sc28" -0.213391928599469 -0.017354754458205 -0.00549986479352399 0.00063537905957625 0.033247989643617
"F_5W_embryo1_sc29" -0.241629794656665 -0.0101921334037955 -0.0186766541395345 -0.0401657240972718 0.0312598111840536
"F_5W_embryo1_sc3" -0.220232510902344 -0.0163347139954135 -0.0198659763274983 -0.0223170602863738 0.0202972635078893
"F_5W_embryo1_sc31" -0.219899686544376 -0.0262928182993424 -0.0106011094523453 0.0178225253295069 0.042511370058513
"F_5W_embryo1_sc33" -0.236212805399002 -0.0146265444596922 -0.0121274532842853 -0.0123989613320392 0.0210017133026303
"F_5W_embryo1_sc35" -0.212576545905602 -0.0165540993263101 -0.00199606097288516 0.00726983908826499 0.0303534136275113
"F_5W_embryo1_sc38" -0.240315661559082 -0.0264858187439025 -0.0118273036378303 0.0142725781713503 0.033867049364881
"F_5W_embryo1_sc39" -0.208650180114547 -0.0238191012889656 -0.00294992490823252 0.0163997311409631 0.0365753452670036
"F_5W_embryo1_sc4" -0.240052934425673 -0.0111040186092186 -0.0163887707429962 -0.0320861496954498 0.0339112471145406
"F_5W_embryo1_sc41" -0.225700572376069 -0.00241312764828123 -0.0303908041713395 -0.0438187531568585 0.0304176029966189
"F_5W_embryo1_sc43" -0.221698694251743 -0.0297635757583899 -0.0152746157389621 0.0254709557195009 0.0280164364174957
"F_5W_embryo1_sc44" -0.20148077975865 -0.00445415241306096 -0.00765622075459242 -0.0390922329273495 0.0250080648419269
"F_5W_embryo1_sc6" -0.238639869777613 -0.0232681933096821 -0.014714801481254 0.00978888602484171 0.0158865868919561
"F_5W_embryo1_sc7" -0.217624476787573 -0.0140662599390124 -0.0207284201783828 -0.0309314905743853 0.0311398832240055
"F_5W_embryo1_sc8" -0.230468657601605 -0.0102523958302621 -0.018739043146043 -0.0322442916159962 0.0248217436346243
"F_5W_embryo1_sc9" -0.204222322559053 -0.0303994024177032 -0.00985709408980096 0.0271411145942049 0.0367313263113378
"F_5W_embryo2_sc51" -0.236824072574019 -0.00533491164273504 -0.0202291184667806 -0.0358301386140225 0.0250679960934571
"F_5W_embryo2_sc52" -0.204885840323504 -0.0112337461838259 -0.00563705010605031 -0.0181284324877821 0.0319901817972075
"F_5W_embryo2_sc53" -0.192785067061949 -0.0205374225008418 -0.00149778304887279 0.0179474593216075 0.0378143354217857
"F_5W_embryo2_sc54" -0.237364277552088 -0.0179873011316745 -0.0397583747901456 -0.0292710305417855 0.0237100648674452
"F_5W_embryo2_sc56" -0.186183344037996 -0.0213082715018341 -0.00341530954969895 0.00963628209958244 0.0373724870380397
"F_5W_embryo2_sc57" -0.191534339497005 -0.0162297836832767 -0.00634434530670516 -0.00110166910695124 0.0377752073587562
"F_5W_embryo2_sc59" -0.193200139653503 -0.0213523590640456 -0.000137357191055828 0.00713570964349792 0.0301511661229349
"F_5W_embryo2_sc60" -0.194963060055067 -0.021104665062512 -0.00550555518222376 0.0230682371663813 0.014505354489468
"F_5W_embryo2_sc61" -0.17995969905116 -0.00840318530349722 -0.000191747235629551 0.00573004382589061 0.0307358428650248
"F_5W_embryo2_sc62" -0.188934335781295 -0.0149955410515916 0.00234646883196994 0.0171730779363943 0.0294144067665138
"F_5W_embryo2_sc63" -0.220572643749442 -0.0136155359668439 -0.0163733662269132 -0.0272961711108135 0.0352162029934843
