"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"RamDA_mESC_00h_A04" 0.430456471619142 -0.077992016995645 -0.00334547898716624 -0.000490994817483312 0.0206103100027119
"RamDA_mESC_00h_A05" 0.410528323861972 -0.076694485202019 -0.00756557324354127 0.0134180315690157 0.020395841789667
"RamDA_mESC_00h_A06" 0.430009150167783 -0.0573774054689618 -0.00950865071227284 -0.00194443147489895 -0.00301713923367548
"RamDA_mESC_00h_A07" 0.390122234541643 -0.0678387568157851 -0.0158228432967406 -0.00904694574182385 -0.00583313327403997
"RamDA_mESC_00h_A08" 0.453258422201738 -0.0748443677606372 -0.0224214937297821 -0.0072289180312328 -0.00739066942112805
"RamDA_mESC_00h_A09" 0.429644146137734 -0.0676873305656193 -0.01541297092442 -0.00169470550755775 -0.012793828095839
"RamDA_mESC_00h_B01" 0.416855612791095 -0.0799881409098851 -0.00284873391223453 3.50902906977689e-05 0.0163334830318977
"RamDA_mESC_00h_B02" 0.419744997458752 -0.0602166117919868 -0.0046446391725241 -0.00613688730360562 -0.00482770674954688
"RamDA_mESC_00h_B03" 0.450557147576974 -0.084453901111052 -0.00128522435287291 0.00763698282221054 0.0141950255601294
"RamDA_mESC_00h_B04" 0.431389560989481 -0.0759626075311547 -0.010959653820404 0.00913769305837174 -0.00969425558303559
"RamDA_mESC_00h_B05" 0.436035475156954 -0.0721151671714392 -0.0228283513936964 0.000870342176251457 -0.0148060892534772
"RamDA_mESC_00h_B06" 0.408749010342499 -0.0679867658920026 -0.0194307457328085 0.0039787961729345 -0.00534494422549222
"RamDA_mESC_00h_B07" 0.446427484165027 -0.069700651797252 -0.0221485679723416 -0.013172469399217 -0.0130502020409397
"RamDA_mESC_00h_B08" 0.39531180318442 -0.0655603046510781 -0.0223446484210264 0.00781688844669373 -0.00606182675547922
"RamDA_mESC_00h_B09" 0.395805267182436 -0.0615575408765769 -0.0151965927420386 0.0174433955169552 0.00435761555861848
"RamDA_mESC_00h_B10" 0.434900076796044 -0.0639773967234382 -0.0200647621169372 -0.0105878875038536 -0.0136736872281941
"RamDA_mESC_00h_B11" 0.387626761624946 -0.0706437335121646 -0.0130566646388405 0.0145229873113948 0.00366468430610431
"RamDA_mESC_00h_B12" 0.414828537976929 -0.0516535311653707 -0.00099709456190297 -0.00232558098050412 0.00207721508301247
"RamDA_mESC_00h_C01" 0.423993240289962 -0.0764609380050035 -0.01046159487151 -0.000395532150710658 0.00655828716460208
"RamDA_mESC_00h_C02" 0.410413831542409 -0.0645138000700693 0.0071451848246024 0.00910528830149707 0.00455084281040344
"RamDA_mESC_00h_C03" 0.360605218517282 -0.0511889778794935 -0.00584225215448698 0.015150366283546 0.00878508397576296
"RamDA_mESC_00h_C04" 0.414099475224481 -0.0711378136443151 -0.00773197289422402 -0.00139882565925893 0.00622551713009017
"RamDA_mESC_00h_C05" 0.398274516243983 -0.0664417636041036 -0.002525662821815 -0.0025235467258215 -6.3408150974764e-05
"RamDA_mESC_00h_C06" 0.413295435190246 -0.069074452010083 -0.0208930931798386 0.0205578649903744 -0.00820165149596117
"RamDA_mESC_00h_C07" 0.399480156046559 -0.0698234122836742 -0.0172237952525268 0.00235512583458496 -0.000586278161575144
"RamDA_mESC_00h_C08" 0.455549403738762 -0.0782515810188084 -0.00339537132888431 -0.000348686254995141 0.00603231793852375
"RamDA_mESC_00h_C09" 0.435568405655399 -0.0644536406940008 -0.0222365373500235 0.00215702901130981 -0.0164370707673586
"RamDA_mESC_00h_C10" 0.401388078473958 -0.0495872016123663 -0.00169985581901312 0.00495047475985612 0.00659029660798937
"RamDA_mESC_00h_C11" 0.41801495907858 -0.0758037919344686 -0.00680032906730554 0.0156139229477361 0.0121680690703715
"RamDA_mESC_00h_D01" 0.431821314149767 -0.0693703948290515 0.00190874899997204 0.0101755253215041 0.0151665470321497
"RamDA_mESC_00h_D02" 0.362725483397343 -0.0600617181541499 0.014812163022941 0.00273116931741688 0.014849090997826
"RamDA_mESC_00h_D03" 0.443548597025604 -0.0764717374272099 -0.0249247864899133 0.00130274565030741 -0.0130082898873407
"RamDA_mESC_00h_D04" 0.389545302779356 -0.0629533731629335 -0.0161989502682823 -0.00619853606601087 0.0185355442573685
"RamDA_mESC_00h_D05" 0.41482060889645 -0.060755128455043 -0.0156540028182666 0.0156641271695495 -0.015383127301131
"RamDA_mESC_00h_D06" 0.401551667695864 -0.0730199602772229 -0.0199018727198619 0.0369144876352322 0.000531111955543158
"RamDA_mESC_00h_D07" 0.401390820218386 -0.070527695950258 -0.00541377269159224 0.0186181195853204 0.0176410760135059
"RamDA_mESC_00h_D08" 0.433835833294645 -0.068741927771888 -0.0156927844015817 0.000807941210763587 -0.0113713990868806
"RamDA_mESC_00h_D09" 0.385776249242141 -0.0531348204829148 -0.0180237856025539 0.0246676807147894 0.00232215234420128
"RamDA_mESC_00h_D10" 0.426600955744782 -0.0736502640364302 -0.0200697578310778 -0.00222729438346964 -0.0127497973210717
"RamDA_mESC_00h_D11" 0.358064382752645 -0.0637246578699841 -0.0239489563029252 0.0438549316564249 -0.0318458716852087
"RamDA_mESC_00h_D12" 0.379616563856192 -0.0761181041994519 -0.0291575570703776 -0.00729494691123333 0.00938380127133353
"RamDA_mESC_00h_E01" 0.396163840411965 -0.0561144227895151 -0.0135004956969711 -0.0119565582795735 -0.0139424284382687
"RamDA_mESC_00h_E02" 0.405415695431141 -0.0626104324891859 0.00719916387788218 0.00104719263506824 0.00999223884834936
"RamDA_mESC_00h_E03" 0.400240753212494 -0.0672353766600468 -0.00645840697406902 0.00831955716967495 0.00530610766262727
"RamDA_mESC_00h_E04" 0.433659268797617 -0.0629440353267008 -0.00213456252859803 0.00127161767386533 -0.0025216233710791
"RamDA_mESC_00h_E05" 0.426340280091367 -0.0847463899933938 -0.0293500664830256 0.0264534370928144 0.000324549969162699
"RamDA_mESC_00h_E06" 0.412402534591462 -0.0788753068184065 -0.0304973247028884 0.0310213871207502 -0.0181996058863115
"RamDA_mESC_00h_E07" 0.416650688042357 -0.0497143482556365 -0.00345654819870606 0.00700873972340453 -0.0123682658335676
"RamDA_mESC_00h_E08" 0.39629904069411 -0.0622733209245047 0.0125523195666827 0.0153536825127181 0.0237363058427741
"RamDA_mESC_00h_E09" 0.440544112337263 -0.0763648284991799 -0.0241502444709151 -0.00382978385316846 -0.00512350415368059
"RamDA_mESC_00h_E10" 0.409035499173027 -0.0510340359549751 0.00469662273461373 0.010978762992172 0.0094833809456502
"RamDA_mESC_00h_E11" 0.413874149562001 -0.0717241975180479 -0.00818383023929 0.0181438967751459 0.00621797468171133
"RamDA_mESC_00h_E12" 0.409772279948544 -0.0495623371225098 -0.00479914014544236 -0.00932572264944861 -0.0114756643955864
"RamDA_mESC_00h_F01" 0.390731767125705 -0.0775821621967977 -0.032737404366378 0.00446058096629178 -0.00248391022439907
"RamDA_mESC_00h_F02" 0.428336682089188 -0.0762409133701246 -0.019187340384814 -0.0104262332666001 -0.00425167164413102
"RamDA_mESC_00h_F03" 0.444652622362125 -0.0688667165447261 -0.0138591819128496 0.00746404245125352 -0.0148830239933374
"RamDA_mESC_00h_F04" 0.424390452203626 -0.0558043069564295 -0.00898074016803699 0.00825578375624265 -0.01564793099294
"RamDA_mESC_00h_F05" 0.406686280572868 -0.0725274968600798 -0.00324429981310171 0.00717327413328357 0.0130118455488803
"RamDA_mESC_00h_F06" 0.442518988595506 -0.0896966427950016 -0.0170084951277383 0.00206800334990721 0.0103855630467257
"RamDA_mESC_00h_F07" 0.438880014235496 -0.0785542624598405 -0.0319316430283758 -0.0045383628705415 -0.0114553805324043
"RamDA_mESC_00h_F08" 0.432923079774069 -0.0708134306877671 0.000532027027470045 0.000370175248584116 0.0128458998461753
"RamDA_mESC_00h_F09" 0.440114584315817 -0.0821824907058006 -0.000647522365846996 0.00503505740780739 0.0153077784997207
"RamDA_mESC_00h_F10" 0.428947749700586 -0.0737658913360058 0.000758838800896568 0.00696707680693427 0.0136558335568307
"RamDA_mESC_00h_F11" 0.432654116191605 -0.0874822567428438 -0.0124229074523981 0.00489176917539834 0.0136138560251541
"RamDA_mESC_00h_F12" 0.399056992377486 -0.0781144453757995 -0.00584301685216061 0.0154415236657253 0.0118981009459654
"RamDA_mESC_00h_G01" 0.388946519745147 -0.0655518029590144 0.00732701094222758 -0.0023925435373642 0.0222174568438625
"RamDA_mESC_00h_G02" 0.424691415940841 -0.0723357800362419 0.00521627953972669 0.0138346549393902 0.0108645435474812
"RamDA_mESC_00h_G03" 0.412263306425567 -0.0703621210669278 -0.0169702381156495 0.0030696290217926 -0.00713310451978552
"RamDA_mESC_00h_G04" 0.453037428476675 -0.0740699144910017 -0.0104432613892504 -0.0103341800484463 0.00204145941919641
"RamDA_mESC_00h_G05" 0.408656811449481 -0.0575333173926691 -0.00771670458594062 0.00258749322367741 0.00562225814479317
"RamDA_mESC_00h_G06" 0.36453471753556 -0.0473124753119096 0.00172228959664592 -0.00114282087717291 0.0148996484852001
"RamDA_mESC_00h_G07" 0.431864374178461 -0.0686453058744617 -0.0134353091018726 -0.00661264627565854 -0.0063382977031295
"RamDA_mESC_00h_G08" 0.454381058593431 -0.0782715362804735 -0.0193090749769829 0.0146138061972933 -0.0119919560519297
"RamDA_mESC_00h_G09" 0.427377374714172 -0.0669932078703772 -0.0127568974879302 0.00851506651290074 -0.00744869514987336
"RamDA_mESC_00h_G10" 0.471686499411283 -0.0764576342638796 -0.0158579395794352 -0.00481349907602378 -0.0123099618036529
"RamDA_mESC_00h_G11" 0.433192666142797 -0.0687617907238957 -0.0200213598517795 0.00685388603331219 -0.011186601111738
"RamDA_mESC_00h_G12" 0.428023518270708 -0.0726045854395988 -0.0011486709945852 -0.0149814012647457 0.012993369868464
"RamDA_mESC_00h_H01" 0.457083874657187 -0.0796851404098571 -0.0156193718202903 -0.011231827699628 -0.00772449484459385
"RamDA_mESC_00h_H02" 0.46505329169431 -0.0890209623260047 -0.0027060579688294 0.00475541414953219 0.0164687272082246
"RamDA_mESC_00h_H03" 0.455708626273287 -0.0747818910898025 -0.00644291360468288 -0.0106893362374155 -0.0032884389876505
"RamDA_mESC_00h_H04" 0.376096088303144 -0.0496547234275838 -0.00481883116179105 -0.00481766982255637 0.000459718821832234
"RamDA_mESC_00h_H05" 0.417410597843848 -0.0738849823553889 -0.00473012941922794 0.00741278493736948 0.0205285644535844
"RamDA_mESC_00h_H06" 0.431596031098361 -0.0715803018926371 -0.00315635537337361 0.00658128498968179 0.0041012986165658
"RamDA_mESC_00h_H07" 0.403397957654862 -0.0545486050621434 0.0124883162498656 0.00107829166218055 0.0145336566238614
"RamDA_mESC_00h_H08" 0.406533472570867 -0.069172440853909 -0.0179013570434784 -0.00254818073336212 -0.00897586712400682
"RamDA_mESC_00h_H09" 0.40968547278328 -0.0634467168718806 -0.00747953020720777 -0.00040645368797136 0.000699933642853931
"RamDA_mESC_00h_H10" 0.435123345282466 -0.0815724540628978 0.00272171399788674 0.00468457436617836 0.0166789427590978
"RamDA_mESC_00h_H11" 0.433974849697844 -0.0735724788656546 -0.0145432941378275 0.0135746424325101 -0.005967076293547
"RamDA_mESC_00h_H12" 0.424217843494757 -0.0671023296740861 -0.00755155143572484 -0.0110364183890001 -0.00120291752485476
"RamDA_mESC_12h_A04" 0.334178122368459 0.00349218560160751 0.0202570209037846 -0.00514085707381096 -0.0186961842698134
"RamDA_mESC_12h_A05" 0.251320410109334 0.0455145443257127 0.0348148688093141 -0.00806654205980405 -0.00529554501222618
"RamDA_mESC_12h_A06" 0.265060949081709 0.0354088626479372 0.034551358602691 -0.0152553477105044 0.00888590128835199
"RamDA_mESC_12h_A08" 0.221565946966188 0.0434789727972781 0.0220582249894097 -0.0153986185209577 0.00473854300253037
"RamDA_mESC_12h_A09" 0.304798592289647 0.0154436868911667 0.0114320660685654 -0.0292683135002583 -0.0147619919469206
"RamDA_mESC_12h_B02" 0.193813137957997 0.060018895477595 0.0353162764386146 -0.0175854368489623 -0.00505414413498871
"RamDA_mESC_12h_B05" 0.214327692650628 0.0334266083120188 0.0402882815834213 -0.0140003974002023 0.0108918781463845
"RamDA_mESC_12h_B06" 0.289676877206997 0.017312701653942 0.0271593199545641 -0.0038717160447894 -0.00942693336109999
"RamDA_mESC_12h_B07" 0.129092354224077 0.0352547484349331 0.0187218916985876 -0.0361138001119975 0.0059529934662908
"RamDA_mESC_12h_B08" 0.183532342305182 0.0429445523623849 0.0280712654873677 -0.00248906880882912 0.00224961093702718
"RamDA_mESC_12h_B09" 0.242141483181126 0.0387225534353517 0.0298809891235844 -0.00736658071531352 -0.00239676990996207
"RamDA_mESC_12h_B10" 0.212193662375195 0.054890006034597 0.0190493483456397 0.0076511838646237 -0.008453125565471
"RamDA_mESC_12h_B11" 0.214296262299361 0.0392495685570225 0.0414487145677789 -0.0109002923464939 0.0151211178529995
"RamDA_mESC_12h_B12" 0.225848701439407 0.0419940693351506 0.028485621769413 0.00447197653452578 0.00478221332787371
"RamDA_mESC_12h_C02" 0.232878584174291 0.0516420112704627 0.0311304866049938 -0.0168667297562177 -0.00534567819504653
"RamDA_mESC_12h_C03" 0.362489713748228 -0.00923646612418524 0.0224099467244762 -0.0168541086072368 0.00962569773492532
"RamDA_mESC_12h_C04" 0.205940966048779 0.0449666234162014 0.0280491034330562 -0.0117273418465997 -0.0118243407189364
"RamDA_mESC_12h_C05" 0.253687503666207 0.0326290335413251 0.0340214124212688 -0.0101192838798996 0.0116261789295531
"RamDA_mESC_12h_C07" 0.156986935958049 0.0461964887609916 0.0408981495624424 -0.0196530488458739 0.00478960538658053
"RamDA_mESC_12h_C09" 0.236072119773975 0.0379440544396634 0.0326124010403767 0.00589571047031117 -0.000695812932923719
"RamDA_mESC_12h_C10" 0.247331948932948 0.048113678297818 0.0297095882746756 0.00399417840667466 -0.0172262501783042
"RamDA_mESC_12h_C11" 0.241613626853995 0.0394620887484497 0.0231649324506939 -0.00371386860639375 0.000144071103897402
"RamDA_mESC_12h_C12" 0.310036080702073 0.0219851689795191 0.0178647602981839 -0.0133061049354875 -0.00494743007841498
"RamDA_mESC_12h_D02" 0.204833959237204 0.0548148499264973 0.0433851148674228 -0.00239216158213206 0.0122766868473096
"RamDA_mESC_12h_D04" 0.226393124712144 0.048817372819454 0.0324151738371678 -0.011889903573648 0.0115952590537005
"RamDA_mESC_12h_D05" 0.262224046529195 0.0251367991124654 0.0184257936271489 -0.0135512029102472 -0.0107094067432229
