"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Unstimulated_Replicate_S10" 0.124859831455936 -0.0358707547693192 0.0105785744960699 -0.057741079782542 0.0209699284286796
"Unstimulated_Replicate_S12" -0.0992291402124116 -0.115467885660285 -0.00583291118341881 -0.0424748623679201 -0.017486915950747
"Unstimulated_Replicate_S13" -0.102669041285083 -0.132571149264163 -0.00554165988553754 -0.0415237196770021 -0.0145894921411711
"Unstimulated_Replicate_S14" -0.0813232244224076 -0.14269313031958 0.00274979613426627 -0.0338956785983418 -0.0282783620313646
"Unstimulated_Replicate_S16" -0.101770296692957 -0.149995876014278 -0.00833910406130691 -0.0187802579371206 -0.0295264684326348
"Unstimulated_Replicate_S17" -0.10322866691365 -0.156576426075354 0.00576080616265053 -0.0129612505107775 -0.0147875341049352
"Unstimulated_Replicate_S18" -0.0960522114729829 -0.110137423022998 0.00299638188424535 -0.0194090748924345 -0.0189555642418899
"Unstimulated_Replicate_S19" -0.114934281489411 -0.152191422367923 0.00919769515178793 -0.0343059891405058 -0.0136191805548448
"Unstimulated_Replicate_S20" -0.115788075858351 -0.134948451285761 0.00455448448432721 -0.0393824152438952 -0.0103188195081204
"Unstimulated_Replicate_S21" 0.0263352004983644 -0.062779029959079 0.00666891249485694 -0.0399769517973712 -0.0451200173786562
"Unstimulated_Replicate_S22" 0.0671491333976486 -0.0475065900294625 -0.0168700935114948 -0.0570026675075262 -0.0149023556091479
"Unstimulated_Replicate_S23" -0.120950692517119 -0.157175532130189 0.0120787296670208 -0.0209166367215102 -0.0128495435687203
"Unstimulated_Replicate_S24" 0.0652083617460776 -0.0875194697209503 -0.0406742511777835 -0.00299833960952574 -0.00994001466522031
"Unstimulated_Replicate_S25" 0.120559028829066 -0.0555381230424694 0.0267993503469465 -0.0407816078676284 -0.0124957238427809
"Unstimulated_Replicate_S26" 0.129215169139175 -0.0692876037075328 0.0371001662051427 -0.0146233817379751 -0.0216776530949356
"Unstimulated_Replicate_S30" 0.0868793679034379 -0.0551738467627349 0.0109574898993632 -0.0435300814768924 -0.0264538865792
"Unstimulated_Replicate_S31" -0.110883897931902 -0.137105129670505 0.00696631958244086 -0.0183990080315485 -0.00458955010301945
"Unstimulated_Replicate_S32" -0.0950821315812167 -0.143213941387476 0.0175346387054822 -0.0383314036625252 -0.0114060423506179
"Unstimulated_Replicate_S33" -0.118476609156713 -0.144136534377846 0.0121644707628545 -0.0349522988790273 -0.023127926796234
"Unstimulated_Replicate_S34" -0.121407438890419 -0.162245772680838 0.000781437812671043 -0.0105340850539983 -0.0299585905439846
"Unstimulated_Replicate_S36" -0.0343173908446404 -0.12142907929321 -0.0171431067637577 -0.0169767275060187 -0.0413269133263095
"Unstimulated_Replicate_S37" 0.00904531291408017 -0.0863677678324384 0.0186681489726738 -0.0475309674267305 -0.0117848129817859
"Unstimulated_Replicate_S38" -0.028244068169109 -0.123369277386421 -0.0100471909926675 -0.0315234218472283 -0.039628207474115
"Unstimulated_Replicate_S39" 0.0700028169361347 -0.0686186231246145 -0.0162222453360915 -0.0486851985190177 -0.0212915030195499
