"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Unstimulated_Replicate_S10" 0.0879501984674326 -0.0288511300844426 0.0490781923319852 -0.00243232704562828 -0.0345024136084146
"Unstimulated_Replicate_S12" -0.126174188384709 0.00446615790017525 0.0264333393864815 -0.0416330850789148 -0.02604850035178
"Unstimulated_Replicate_S13" -0.135115923131203 -0.000553317086386679 0.0267675165014187 -0.0347516606065641 -0.0243672216272858
"Unstimulated_Replicate_S14" -0.125560779463869 -0.00973358145422706 0.0277588301380397 -0.0457105647512813 -0.0132617739286009
"Unstimulated_Replicate_S16" -0.150145650228902 -0.0166941371412697 0.0108615664313482 -0.0434283598498883 -0.00567523373280525
"Unstimulated_Replicate_S17" -0.158328049329199 -0.0255676401473322 0.0151010429665433 -0.025852705874761 -0.00485737506782366
"Unstimulated_Replicate_S18" -0.124914070997426 0.00411422853379876 0.00989981622635159 -0.0314008507139749 -0.00619805408935323
"Unstimulated_Replicate_S19" -0.158600807467222 -0.0157071874838591 0.0286990783962967 -0.0311175525614648 -0.0219786191470899
"Unstimulated_Replicate_S20" -0.153181696354036 0.00252761986863381 0.0291437085915361 -0.0299862730095798 -0.0248010808558544
"Unstimulated_Replicate_S21" 0.00486867983368327 -0.0189718049488409 0.0269997037065592 -0.0523041408033617 -0.0102383779506983
"Unstimulated_Replicate_S22" 0.034556698385151 -0.0221835964927544 0.0356414206175062 -0.0465704615026228 -0.0303614663660909
"Unstimulated_Replicate_S23" -0.173389932620982 -0.0114904425693263 0.0221645906945482 -0.0211521921480345 -0.0062893148079941
"Unstimulated_Replicate_S24" 0.0156041133074625 -0.038736418774125 -0.0134791623138012 -0.038637068547324 -0.0218985073168022
"Unstimulated_Replicate_S25" 0.0809993421178973 -0.0394225402208548 0.0515528085688543 -0.0217419544408197 -0.00366142691655545
"Unstimulated_Replicate_S26" 0.0694533437632458 -0.0615247348950073 0.0361889522395479 -0.0211196501412421 0.0165714840714218
"Unstimulated_Replicate_S30" 0.0574517540520597 -0.0242675097418798 0.0392086017209084 -0.0415920300497876 -0.0104234464349251
"Unstimulated_Replicate_S31" -0.152176423568937 -0.00228663764078478 0.0189906199856766 -0.0137760155786328 -0.0132465119080298
"Unstimulated_Replicate_S32" -0.144195941608497 -0.0102290283337927 0.042246945716007 -0.0314786331481836 -0.0195949348228815
"Unstimulated_Replicate_S33" -0.163705915599486 -0.00911960952165099 0.0265638121797789 -0.0297895677603218 -0.0159085926940495
"Unstimulated_Replicate_S34" -0.17686995858618 -0.0166156301854203 0.00754000630585048 -0.0341640799233287 -0.00112568705285644
"Unstimulated_Replicate_S36" -0.0787368201324478 -0.0239286372038298 0.00678763838360403 -0.0551365406562152 -0.00243979981393347
"Unstimulated_Replicate_S37" -0.0350370779663394 -0.0183924947504074 0.0431347872146976 -0.0165985519257078 -0.0231609250959093
"Unstimulated_Replicate_S38" -0.079355485878139 -0.0167918744941774 0.020623477323092 -0.0531713127827591 -0.00798166134566321
"Unstimulated_Replicate_S39" 0.0320835085780402 -0.0288659803299238 0.0284865662130012 -0.0458107408988297 -0.0230236641416576
"Unstimulated_Replicate_S3" -0.1961373706411 -0.0180811049764685 0.0112366762405775 -0.0247573722391484 0.00168040124550034
"Unstimulated_Replicate_S40" 0.0206650265421783 -0.0316901142287556 0.0352747152503968 -0.0096159951109748 0.00115550219228677
"Unstimulated_Replicate_S41" -0.168716188865014 -0.01100267582099 0.0136703936644626 -0.0260145674223303 -0.00449029169526704
"Unstimulated_Replicate_S42" -0.0870401682515121 0.00741089328506934 0.0438356015833273 -0.0233675652219381 -0.0396433209096615
"Unstimulated_Replicate_S43" -0.14314669242982 0.00643710582780891 0.0314560910033134 -0.0286840104567984 -0.0290648723073434
"Unstimulated_Replicate_S46" 0.00454442480820443 -0.00297285642386795 0.0287786018200155 -0.0498284746935878 -0.00787633203298826
"Unstimulated_Replicate_S47" 0.0267157192319011 -0.0121860239337924 0.00363063874389599 -0.0460645952893223 -0.00770396894321903
"Unstimulated_Replicate_S4" -0.150463487728609 -0.00855575533273239 0.0125701503708874 -0.028972676298316 0.00102832128956947
"Unstimulated_Replicate_S52" -0.173891149310412 0.0105282441477063 0.0188074716392474 -0.0318968693973626 -0.02133885697479
"Unstimulated_Replicate_S53" -0.132346080848319 -0.0056023095998358 0.0180127888893386 -0.0426096424896285 -0.00566881142758721
"Unstimulated_Replicate_S54" -0.158408889714089 -0.0091873990111531 0.0274038705600952 -0.0138646004555199 -0.0187208166825722
"Unstimulated_Replicate_S56" 0.00661619678008337 -0.0079226547233031 0.0607407366326382 0.00435455998244037 -0.0390848438920435
"Unstimulated_Replicate_S59" -0.187027772048943 -0.0155332251203082 0.0179406551324192 -0.018950738883588 -0.0135568181828299
"Unstimulated_Replicate_S5" 0.106862743287922 -0.0387902431801396 0.0740642760716364 0.00831988302733466 0.0122318768862294
"Unstimulated_Replicate_S60" 0.0419631165273904 -0.00556622072081347 0.0518867375096119 -0.0198052403808059 -0.0435431246825602
"Unstimulated_Replicate_S61" 0.0881369782748242 -0.042997220715936 0.0660116945709329 0.00271070894068202 0.0154163638215853
"Unstimulated_Replicate_S62" -0.0758464134595771 -0.000520366912099696 0.0166446562184544 -0.0199017001703289 -0.0158787578771751
"Unstimulated_Replicate_S64" -0.146325986314293 0.00888267285306274 0.0277672089832615 -0.0255150960526262 -0.0222777161576236
"Unstimulated_Replicate_S65" -0.0580671939589163 -0.00893623557943544 0.0271312995828817 -0.055332948272287 -0.02068829217792
"Unstimulated_Replicate_S66" 0.0693298254006068 -0.0351545910535181 0.0199457421217274 -0.0372079208434274 -0.00872647381419293
"Unstimulated_Replicate_S67" 0.0296138980382238 -0.0401107255525726 0.0233044161055709 -0.0575096971618996 -0.00253194388224874
"Unstimulated_Replicate_S68" 0.0605445321469195 -0.0195279563488223 0.0447296168158285 -0.0315554472534189 -0.0223793287028148
"Unstimulated_Replicate_S6" -0.19936800091399 -0.00854320397881632 0.0238149578285118 -0.0165149729516051 -0.0134777035217079
"Unstimulated_Replicate_S71" -0.155477299770877 -0.0057353975593412 0.0181350172531487 -0.026011371361308 -0.0126744568138506
"Unstimulated_Replicate_S72" -0.00077484131440758 -0.0375069098389203 0.0135637424636603 -0.0396952265313444 -0.00367107896191477
"Unstimulated_Replicate_S73" 0.0229103900205696 -0.00250943221714026 0.0374130504614913 -0.0346495364818194 -0.0230389068475479
"Unstimulated_Replicate_S74" 0.0482825984679922 -0.0165104431808846 0.0382409920116718 -0.0264329603753916 -0.0333180384289389
"Unstimulated_Replicate_S75" -0.132514720022053 -0.00208454331326171 0.0209469783327417 -0.0305473351118439 -0.000372715822197761
"Unstimulated_Replicate_S76" -0.0192872212425484 -0.0110381552329015 0.0197734387199971 -0.0408738508476784 -0.0113268402122779
"Unstimulated_Replicate_S78" -0.175573836956724 -0.00939663042655768 -0.000755397585065002 -0.012679073767124 0.0121346272887819
"Unstimulated_Replicate_S80" 0.101305818818057 -0.0330973037951273 0.0518743977609515 0.0100795683514156 0.0113702906955591
"Unstimulated_Replicate_S82" -0.159375193096761 -0.023917801587378 0.0092700295331812 -0.0259640625771428 0.00828462529340077
"Unstimulated_Replicate_S84" -0.175467790080185 -0.00324733203213124 0.0217583429894965 -0.0270870937079725 -0.0106656215761315
"Unstimulated_Replicate_S87" -0.18140912675858 -0.020397552066945 0.0178069463679873 -0.0330784321905742 -0.0055861653362777
"Unstimulated_Replicate_S88" -0.178743243878595 -0.0124603050486916 0.0271466313393715 -0.0208434482973429 -0.0289438118023118
"Unstimulated_Replicate_S89" -0.153613950291043 -0.0157764002477421 0.0213028119264104 -0.0367717221780679 -0.0140366548659349
"Unstimulated_Replicate_S90" 0.0344389236438242 -0.0362963130828401 0.0594663603536098 0.00532971419819195 -0.00731623176574408
"Unstimulated_Replicate_S92" 0.0134697241843465 0.000782542205271266 0.0277401610311584 -0.0540178591648629 -0.0174174423238121
"Unstimulated_Replicate_S93" -0.0546557498717229 -0.0240978864847176 0.0056381742325232 -0.0333504594401582 -0.00589725622400732
"Unstimulated_Replicate_S9" 0.0792066004905751 -0.048807121181286 0.0272604486427531 -0.0194832635900748 0.0184687247572518
"Unstimulated_S10" -0.116831769560485 0.000289018085052242 0.00434657968583588 0.0298342527049242 -0.00376383224931021
"Unstimulated_S11" -0.164235072833888 0.0239699057533412 0.0144174701635323 0.0258366158066478 -0.0127767390410434
"Unstimulated_S12" -0.21420628084132 0.0113846133856238 -0.00625879459216899 0.0189102008267377 0.0052764314564493
"Unstimulated_S13" -0.222961090080144 -0.00166515789723659 -0.00475557227759437 0.0151848340617884 0.0092081468210623
"Unstimulated_S14" -0.033218258902676 -0.046208966373747 0.0106448461618127 0.0066674991127795 0.0265356088476147
"Unstimulated_S15" 0.0906462276105254 -0.0706278647876113 0.0391582053440364 0.0188765442726841 0.0502399406328661
"Unstimulated_S16" 0.0442769424998562 0.0557639132425476 -0.00224165654183168 -0.00743447221447415 0.017705957853471
"Unstimulated_S17" 0.0846623307933407 -0.0603453863504401 0.0480431393203594 0.0204643076695437 0.0382820774371869
"Unstimulated_S19" -0.2435767706208 0.0133462837244575 -0.00256271097800894 0.0230840251150606 0.00411396083619099
"Unstimulated_S1" -0.0187580275067333 -0.0136904072267267 0.012184274735847 0.0109276362707746 0.00758585115752902
"Unstimulated_S20" -0.219947290219399 -0.00973837258634922 -0.00328819745957484 0.00313384168863974 0.0174290921530295
"Unstimulated_S21" -0.234699039646083 0.0088207853684518 -0.00632465963260405 0.0185667203095612 0.0210710501970448
"Unstimulated_S22" -0.215804281452717 0.011630572774455 0.00878995000672534 0.0188479741378741 -0.00301258933695005
"Unstimulated_S23" 0.0371881364476143 -0.0444434313652916 0.0194780779985341 0.0374537345220419 0.00352413198731164
"Unstimulated_S24" 0.0770502741928275 -0.0706689899498306 0.0425603223034431 0.0176196144552587 0.0437345772722803
"Unstimulated_S25" -0.219515724566826 0.00265603236513312 -0.00434210370327846 0.00947353962744387 0.0156265055682666
"Unstimulated_S26" 0.0833709144167341 -0.0647506178178374 0.0415438193273815 0.0119172292088608 0.0385269263205089
"Unstimulated_S27" 0.0599342314606089 -0.0782022954773676 -0.0229156048742581 -0.0247347195271277 0.0360280221039073
"Unstimulated_S28" 0.075219029829082 -0.0901381071010384 0.0137578885110807 0.0241438288369844 0.0518703533324586
"Unstimulated_S29" -0.129853936231754 -0.0291386553426958 0.00427901589548639 0.0100305922950964 0.0251903366260361
"Unstimulated_S2" 0.0549826144989963 -0.0624192511915983 0.000629277772346632 -0.0172150909143542 0.0148457199624085
"Unstimulated_S30" -0.214160860364138 -0.0118834388602734 -0.0110968454753447 0.00651295292614062 0.0150554403520203
"Unstimulated_S31" -0.0220169351054231 -0.0136640141224761 0.0142141624300345 0.0117081761441962 0.00488687104610457
"Unstimulated_S32" 0.0645121399710245 -0.0323319287210225 0.00285742942697757 -0.00859112977160804 0.0160026263594565
