"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C6FF_MS11T85" 0.795112718701836 -0.0826230048035063 0.0764963793928505 -0.0350916864738304 0.0316874327894971
"C6FF_MS11T86" 0.843375089503081 -0.103429675819217 0.0571500184278464 -0.0618777620652934 0.0113143047032761
"C6FF_MS11T87" 0.766849439955489 -0.0884742683368724 0.095366641324046 -0.082100036844818 -0.00303125922397978
"C6FF_MS11T88" 0.810043769708603 -0.0849091916687869 0.0541009632819134 -0.0699173831521779 -0.00981212555441661
"C6FF_MS11T89" 0.822299116313348 -0.100784798196826 0.0803138611339912 -0.0466211041472295 0.0178443503482265
"C6FF_MS11T91" 0.782037756481354 -0.0825454440848557 0.0678338553719497 -0.0595599973492974 0.00996172086353099
"C6FF_MS11T92" 0.816875143768175 -0.0907206262094774 0.0434511652621085 -0.0958028822431389 0.00784949362304933
"C6FF_MS11T94" 0.72771384792998 -0.0941638431789527 0.084382334315099 -0.0815331902947236 0.00414626350099083
"C6FF_MS11T95" 0.85172404194876 -0.110716056067534 0.0954896793655082 -0.0632240766916606 0.00602099286303
"C6oF_MS05T53" 0.747857354098883 -0.0834080201559784 0.109709151207552 -0.0978278544386239 -0.0123109270775501
"C6oF_MS05T54" 0.796391482151225 -0.107978923219409 0.136402367496677 -0.105467655250553 -0.0110121028830242
"C6oF_MS05T55" 0.78987537441003 -0.100246620270381 0.106980010554693 -0.124548137521386 -0.00375237897218664
"C6oF_MS05T56" 0.692499315550491 -0.0738134086254275 0.116224394440176 -0.0924020849081547 -0.0168981153612858
"C6oF_MS05T57" 0.786774654819893 -0.0939195326632495 0.115296378466922 -0.051315780082225 0.0114701622309046
"C6oF_MS05T58" 0.681126168151012 -0.0696895555976958 0.126285571586761 -0.105720946970974 -0.00499492318567163
"C6oF_MS05T59" 0.768594984518055 -0.0846246928956785 0.114703287449498 -0.0269776921965637 0.0197825931094623
"C6oF_MS05T60" 0.783215375362391 -0.0966978386495641 0.116048443695013 -0.0502024476423321 0.0142353270338162
"C6oF_MS05T61" 0.794570067409903 -0.105940226599051 0.105146915894367 -0.159214298938545 -0.0121070147446509
"C6oF_MS05T63" 0.759744256529871 -0.0917636168144798 0.0762558220256901 -0.141143808848459 -0.0112525032915034
"C6oF_MS05T64" 0.76129044893792 -0.0908680015463536 0.115497127590837 -0.142301501793038 -0.0220195781745601
"C6oF_MS05T65" 0.760860758695668 -0.089473423232817 0.120259145590986 -0.0550618903073548 -0.011397973106306
"C6oF_MS05T66" 0.761695632895649 -0.0925431863755104 0.120289429999239 -0.106356649719779 -0.0176968957146407
"C6oF_MS05T67" 0.775567892910919 -0.092116944814192 0.0777557959508612 -0.183137865323171 -0.0254333266730474
"C9oF_MS05T68" 0.788287543856035 -0.0925213098353074 0.0810663724805231 -0.116862106111955 0.00668530385657222
"C9oF_MS05T69" 0.768406299856649 -0.0989757853693571 0.0875216583837242 -0.142867723784356 -0.00313811838420735
"C9oF_MS05T70" 0.78600593659552 -0.0942367617676432 0.0756175175736751 -0.193408495607836 -0.0306916171415793
"C9oF_MS05T71" 0.803829026129545 -0.114294128704502 0.107703113130485 -0.212015350438146 -0.0279102610019588
"C9oF_MS05T72" 0.763770036980705 -0.0971547933041431 0.0778100257395172 -0.179189166665614 -0.0180224223135749
"C9oF_MS05T73" 0.747356782541222 -0.0935928056313971 0.0690708331348658 -0.213899234408365 -0.0367338902799824
"C9oF_MS05T74" 0.824916688666446 -0.1116041348847 0.0895983128606273 -0.190011386309574 -0.0206467377356086
"C9oF_MS05T75" 0.734636010828256 -0.097136665422814 0.102448243204916 -0.194177312128945 -0.0219091581480482
"E13_MS61T45" 0.0889915142340836 0.106958047307492 -0.206348553561708 -0.0804930796951711 -0.0429431581666722
"E13_MS61T54" -0.0283143340627535 0.154857177281261 -0.0838001824691932 -0.0120925316115883 -0.138496790718006
"E14_MS13T75" 0.464868480543713 0.0947431546096024 -0.0163227553456511 0.0384335510449506 -0.116646314107111
"E14_MS13T77" 0.527489490986988 0.0716479337306632 0.0224889641638858 0.0830502675673874 -0.104669283720896
"E14_MS13T79" 0.52847934271133 0.0816601050045818 0.0147026187159718 0.0469931093286789 -0.118564145050561
"E14_MS13T80" 0.320325464424354 0.133783141786453 -0.0297390712014298 0.0665423434688866 -0.206550947462066
"E14_MS13T82" 0.41412991382863 0.107519337951796 -0.0502369161589431 0.0296616976073938 -0.101880507386822
"E14_MS13T83" 0.520749152923897 0.0792265831855788 -0.00366056887203735 0.0508809452542899 -0.0911634870619616
"E14_MS13T85" 0.392093576039737 0.137858758600078 -0.11698484156971 -0.00573451643293662 -0.115511483181917
"E14_MS13T87" 0.331694221732888 0.167809037107997 -0.118914624894536 0.0269879615215616 -0.210744578464209
"E14_MS13T90" 0.339804663803217 0.145666956693902 -0.163691223183468 -0.0482512542484332 -0.129650697173683
"E14_MS61T65" 0.523736914498785 0.0604855433459117 0.00143687045510543 0.0604920203132207 -0.105696922040273
"E16_MS08T57" 0.633240336832587 0.060213188456531 -0.051037423900075 0.072541999073727 -0.0735358264923526
"E16_MS08T58" 0.68762703658868 0.0250294801211292 -0.0151866225145131 0.0782857864174751 -0.0156570339820839
"E16_MS08T59" 0.63273149288455 0.0717831422756932 -0.0986041190174824 0.0279134346633288 -0.0617383216376311
"E16_MS09T27" 0.690590283028551 0.0288613623828234 -0.0426806907681657 0.0705044556288339 -0.0447588202004277
"E17_MS11T77" 0.722875676958142 0.0297726417013532 -0.0476064334286983 0.0693521318166804 -0.0709533655167478
"E17_MS11T82" 0.744040402398805 0.00914161730556396 -0.0303363632230106 0.0419985871132754 -0.0539085110371623
"E16_MS08T72" 0.583800401885082 0.0640729418196788 -0.238557855716082 -0.0192918904294902 0.00520600159729139
"E16_MS08T73" 0.606281669376751 0.0704782839062596 -0.189680540843356 -0.000554519597874425 -0.0144509393054159
"E16_MS09T30" 0.516573950034451 0.035086733747594 -0.113934919928119 0.0188958779781595 0.0248370943675314
"E17_MS10T64" 0.543325062001913 0.0826776760044247 -0.228787917257913 -0.000741401204231085 0.0144998120385713
"E17_MS10T65" 0.689863945099318 0.0287723908018423 -0.14964538419899 0.0187858055428392 0.0417234200020524
"E17_MS10T67" 0.607207713391545 0.0613387735377753 -0.249846617271304 -0.00228704460146921 0.0455253772946901
"E17_MS10T75" 0.697641995418228 0.0377536381563807 -0.196698347312537 -0.0267694881536237 0.0412424208903816
"E17_MS10T89" 0.695166048394314 0.00831845439446151 -0.119718601556279 0.0258380627693885 0.0572675024860578
"E17_MS11T47" 0.73434992643853 0.0341252954485098 -0.159029359601946 0.0195099273777706 -0.00255476960299527
"E17_MS11T48" 0.673662187214515 0.0323765184467253 -0.132827005735407 0.0454920546865548 -0.0324063934199157
"E16_MS08T67" 0.512104219626687 0.100758690856574 -0.354772430393367 -0.108587892519653 0.0621139941731071
"E16_MS08T76" 0.412382077781895 0.121664651880492 -0.370940989337842 -0.119801778132411 0.0284890318025789
"E16_MS09T22" 0.491151162240426 0.133469511703066 -0.394824089800729 -0.147675556692151 0.0242099040983288
"E16_MS09T24" 0.539413164206464 0.0951891914707758 -0.320008483417875 -0.0801689156772229 0.0466532049599226
"E16_MS09T25" 0.534600041731831 0.115326124834698 -0.286377639628674 -0.0577600553036446 0.00106640801936718
"E16_MS09T33" 0.536685179329983 0.124313168853769 -0.367813770127561 -0.098184481772511 0.0152310565116474
"E17_MS10T78" 0.618521732446749 0.0656608816990208 -0.292989328358626 -0.0822322251517757 0.0550129224690685
"E17_MS10T83" 0.576361683699951 0.0928240763571022 -0.360554261578252 -0.12263288713248 0.0836163968565045
"E17_MS11T83" 0.525941210277078 0.100419616354132 -0.405420965936398 -0.140825697823255 0.114219734279293
"E17_MS13T94" 0.26473197392615 0.0879126058516204 -0.34863560581259 -0.14759723727103 0.050799731866117
"E17_MS13T96" 0.51333316671221 0.119239753715317 -0.434738205916005 -0.1631196003976 0.127871500825059
"E06_MS03T03" -1.54677285239319 -0.187210188271495 -0.0697295777282079 0.0225184474957292 -0.018172342847822
"E06_MS03T04" -1.4963468367296 -0.128246483879117 -0.0569954406258997 0.0176913423116993 -0.00606210039092901
"E06_MS03T05" -1.47315667500593 -0.129922811498987 -0.05569969034195 0.0122617694124615 -0.00735181120299617
"E06_MS03T06" -1.63389071308486 -0.198402382073699 -0.0685458538655688 0.0197323313147903 -0.0176255178943772
"E06_MS03T07" -1.50004184192838 -0.0953044400379272 -0.0189664432556766 0.0176603301283048 0.00846663706220773
