"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1-1771017-028-D03" -0.668093721286764 -0.292292194693841 -0.0269342753757236 -0.0696053357593795 0.137730144099165
"C1-1771017-028-E03" -0.511737434665455 -0.217724327175842 -0.0193815462240379 -0.0703280148780571 0.109502549858995
"C1-1771017-028-F08" -0.438598086939536 -0.252131701208741 -0.0405500677106594 -0.100839008271331 0.0980527596010749
"C1-1771017-028-G05" -0.70929914530019 -0.377253448698089 -0.0247354152743221 -0.155355249543991 0.130120692122552
"C1-1771017-028-G10" -0.595433664344468 -0.288861087064736 -0.0435838018542392 -0.100253361032503 0.118741660924934
"C1-1771017-028-H09" 0.0148595575840719 0.0351977312723743 -0.0510760870071057 -0.0205538848757479 0.0214586147667515
"C1-1771017-029-A07" -0.586891311268167 -0.274909886773629 -0.0659380474487987 -0.129726767042456 0.0949973141313163
"C1-1771017-029-A09" -0.595280269661065 -0.255381703163548 -0.0577642565866863 -0.126112773432756 0.105280103931006
"C1-1771017-029-D05" -0.544714325957734 -0.313851912694773 0.0103665537245011 -0.0873198212998732 0.112515287179672
"C1-1771017-029-D09" -0.647078713542537 -0.342001014311366 -0.00711195400830485 -0.0529181506188567 0.162667083222945
"C1-1771017-029-D10" -0.705211431528976 -0.366544996496786 -0.0677206196198666 -0.107281903676711 0.121496063905165
"C1-1771017-029-E02" -0.547119543561589 -0.242476315209633 -0.0265267654860809 -0.0919446172282563 0.113063620599796
"C1-1771017-029-E07" -0.613886784701197 -0.246581866974935 -0.0959160438695729 -0.118050916772919 0.110829750579419
"C1-1771017-029-E10" -0.64632648941975 -0.352273580028455 -0.0414156362983089 -0.112792871244864 0.139807232085885
"C1-1771017-029-H07" -0.750277626769827 -0.31534388194484 -0.0535611880355653 -0.110788380086547 0.125150042629577
"C1-1771017-030-A09" -0.764338363433542 -0.301181982525956 -0.0447908141674917 -0.139920890529414 0.152353089225826
"C1-1771017-030-A10" -1.29670433976533 -0.380607320665936 -0.241794269313673 -0.166299478187003 0.140509155620317
"C1-1771017-030-A12" -0.691342448515799 -0.367871031093516 -0.000741360321623557 -0.113824156579208 0.117204790830944
"C1-1771017-030-B02" -0.69491148935515 -0.328792794989229 -0.052025060185084 -0.104639289159652 0.159160650518535
"C1-1771017-030-B03" -0.695273654006568 -0.308984607714297 0.00210249525768877 -0.0883179545634301 0.202876948898285
"C1-1771017-030-B04" -0.490884243694339 -0.301431929251886 0.0194002044598077 -0.0697120445986368 0.165219951293634
"C1-1771017-030-C09" -0.63931871998738 -0.297175893484126 -0.0150939680132639 -0.120243878947019 0.130481324320264
"C1-1771017-030-D02" -1.06819058946739 -0.517495242003293 -0.0970177518461464 -0.122134426130816 0.0704016019842155
"C1-1771017-030-D11" -0.768165516831465 -0.344609279751536 -0.0898817372230053 -0.145394966108321 0.153180353825921
"C1-1771017-030-E01" -0.968258016953487 -0.343579145990087 -0.13517953071301 -0.126050303241081 0.163801464843549
"C1-1771017-030-E08" -0.518614695013649 -0.283280761745734 0.00440747430524575 -0.0721882836124814 0.148088413686411
"C1-1771017-030-E12" -0.973351820008761 -0.465089544683084 -0.0877931448023788 -0.134936003656185 0.108620628523755
"C1-1771017-030-F01" -0.611088693195115 -0.365564827186271 0.0188341898103783 -0.112503317876644 0.176735846647095
"C1-1771017-030-F02" -0.915606961629436 -0.418533445199238 -0.102060859883398 -0.142162069445066 0.138262322876052
"C1-1771017-030-F09" -0.755425473834461 -0.420123723588106 0.0158870009989747 -0.0824716231821828 0.159183996508011
"C1-1771017-030-F11" -0.815961195602226 -0.384567654900408 -0.0116931298830275 -0.085265845416947 0.19827520292764
"C1-1771017-030-G04" -1.45740431367772 -0.562877265027574 -0.241760642470844 -0.197108501593546 -0.0368080993152626
"C1-1771017-031-C05" -0.952552463279516 -0.418985314565209 -0.0305483827090117 -0.128284227178034 0.140864091266694
"C1-1771017-031-C07" -0.527722763866099 -0.253376418351973 -0.010228665356545 -0.0977469228869208 0.134705891947123
"C1-1771017-031-D10" -0.70750798757652 -0.337467649643276 -0.0153972541273695 -0.089675809129316 0.183942158568264
"C1-1771017-031-F05" -0.642274534224285 -0.310214409070784 -0.0591674043923543 -0.107400042161183 0.13655036617088
"C1-1771017-031-F06" -0.659958625661083 -0.275123373150372 -0.0869666332500885 -0.112846875019332 0.141373403919756
"C1-1771017-031-G02" -0.862103962528281 -0.393472709519306 -0.0890617802428387 -0.145600104059278 0.135095959889828
"C1-1771017-032-A07" -0.877452423259267 -0.337326286615143 -0.135931748012715 -0.12423075830992 0.121557854447267
"C1-1771017-032-A09" -0.781685056416544 -0.367204409979922 -0.0864797054499156 -0.144037175573084 0.0889716967599465
"C1-1771017-032-B02" -0.822453231489474 -0.302409055397523 -0.0920722195359997 -0.114669560388938 0.163719521370895
"C1-1771017-032-B08" -0.542127389294957 -0.291527049421049 -0.0311756511974535 -0.130660562703292 0.117729902792046
"C1-1771017-032-C01" -0.658271697327963 -0.291588284313474 -0.032585257745061 -0.130373816067524 0.18285199962216
"C1-1771017-032-C02" -0.997515338407482 -0.457596234676823 -0.0838292794028997 -0.165560779744234 0.144795749384462
"C1-1771017-032-D04" -0.652358714860479 -0.331034306256813 0.0087206466627894 -0.1057081855195 0.193389501959791
"C1-1771017-032-D11" -0.534885244923671 -0.252784803573097 -0.0136775728978963 -0.0949543010435112 0.149976033238841
"C1-1771017-032-E07" -0.596576354548087 -0.288006915256547 -0.020889510296905 -0.0679824745055888 0.143701887607337
"C1-1771017-032-E11" -1.07281519662141 -0.46634906804348 -0.231028764398628 -0.215133286446843 -2.98216123940198e-05
"C1-1771017-032-F02" -0.770617382595668 -0.376095688626348 -0.120805830139861 -0.186761382434819 0.129539353721883
"C1-1771017-032-G06" -0.771858023910199 -0.39626506218372 -0.0518017409878069 -0.116286991744054 0.136797213858866
"C1-1771017-032-G09" -0.982151883148361 -0.35743322860129 -0.169924553607544 -0.19684828028096 0.109062316436122
"C1-1771017-032-H05" -1.43474523623382 -0.622875155210475 -0.187904028714941 -0.22221892210474 -0.0357345191857937
