"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1" 0.219397599425459 -0.0989473966093067 0.0221506532473627 0.0278833867721898 -0.000345572787711571
"C2" -0.293254553639576 -0.0290838396397453 -0.00395274434415311 -0.0181372442375185 0.0109478371133985
"C3" -0.247466898227308 0.065091957744028 -0.0190407293876875 0.0353558156383476 0.00799273761019793
"C4" 0.213624381736922 0.06757231048196 0.0264014489988915 -0.026137771179486 -0.00902856992011459
"C5" -0.3043017055735 -0.049112728859496 -0.031462846612611 -0.0269764807366354 0.00533242812042092
"C6" 0.22372403768134 0.0543642098859644 0.024197645671614 -0.0308081495322358 -0.00831280700426272
"C7" 0.0215506909172178 -0.157594115208761 0.0124834858734922 0.00557890215216372 -0.00130444526161574
"C8" 0.202917664787847 0.0728283043189243 0.0145361677843327 -0.0271298554819256 -0.00616766665709768
"C9" 0.165749289183933 -0.135708658063297 0.00425690016009982 0.000847628989526886 0.00471099138051323
"C10" -0.21623105146245 -0.0124218778034964 -0.0113938083763554 -0.0254067994703194 0.0135577750097373
"C11" 0.212287865246323 0.12273233181456 -0.0476570253187109 0.00502780810863369 -0.00848179977814465
"C12" -0.233583677327039 0.0225552217883622 -0.028664577470963 -0.00810456838320701 -0.0050970944611787
"C13" 0.198303774077798 0.0733333336783118 -0.0605028811188782 0.00778377217242866 -0.00270792899113939
"C14" 0.189016852087182 -0.096071536172126 0.0110937538608477 0.0307362510052156 -0.00552676715919867
"C15" -0.245119977508094 0.0272001947454966 -0.0272033918634335 0.000750950675103538 -0.0199129622598096
"C16" 0.210828330767054 0.127726939571802 -0.0589080882596691 -0.000932300637571838 -0.00521275551998725
"C17" -0.018096137726561 0.167834493741167 0.105811434300385 -0.011586502337919 -0.0196295083988902
"C18" -0.312642946828576 -0.0407384488391265 -0.0336976642509702 -0.0352537409196924 -0.00538986393406397
"C19" -0.285832087963946 -0.0433801924347367 -0.0188139180744096 -0.0315544497578741 0.0115893971535866
"C20" 0.00735754212209148 0.121131459003613 0.0762088592141265 -0.00512498860094216 0.00666820686893302
"C21" 0.0834081317203555 -0.10339319787116 -0.00483668987005988 -0.00971783100980073 0.00443669717112393
"C22" -0.327755093210901 -0.0281054842628037 -0.024070888597398 -0.00853615792703997 -0.00777240991272191
"C23" 0.232432652286617 0.042066110134426 -0.0508821157226441 -0.00610136485510717 0.00402483251403244
"C24" 0.0217643074499197 0.181449653562377 0.0909958465287276 -0.00837017207652118 -0.00622433082567669
"C25" -0.364276208101567 -0.0463164679408455 -0.00533324757776703 -0.00385455534536389 -0.0214149450430171
"C26" -0.351939481015168 -0.041969568408611 -0.0327517174709155 -0.0276219852748769 -0.000220966744673786
"C27" 0.200401332532403 0.116455821833968 -0.0451162800622894 0.000248401694473788 -0.00369756161690556
"C28" 0.130622473456047 -0.0804111012235728 0.00947632337613442 0.0331979295257935 -0.0122720368907524
"C29" -0.257443333245771 -0.0186216703676745 0.00351933053909485 -0.0114732480271805 0.0139616731143018
