"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" 0.0127781393784794 0.00380310569004634 0.00189330550065534 0.00657788049226989 -0.00963381227568444
"Cell2" -5.08588406018698e-05 -0.0139221123418062 -0.00304287175433697 0.0059364571829618 -0.000417448805507811
"Cell3" 0.00742683160681227 0.0121333216638564 0.00113621693034614 0.000288885059436874 -0.00296968105611759
"Cell4" -0.00294305244185353 -0.00446913892558827 -0.000761690807143736 -0.00164274687469911 -0.00424949890898788
"Cell5" 0.00212993747206358 0.00442975957567485 0.00791679048630207 0.00413673508501102 -0.00583180245531347
"Cell6" 0.00168587443211172 -0.00121649552266128 0.00645355119950624 0.00422261606889731 0.00466562933727006
"Cell7" -0.00997326009956342 -0.000448073374394911 0.0033854618933993 0.00146339249771686 -0.00531656429906749
"Cell8" 8.91270239008903e-05 0.00319995355326581 -0.00721551574794492 -0.00938816650274553 0.00394439964136723
"Cell9" 0.00102634940979461 -0.00393288240149761 0.00159862766343054 0.00417353709139134 -0.00771683141777686
"Cell10" -0.00662894247758448 -0.000854692480827286 0.00461218692753416 -0.00249806711017677 6.19149919180252e-05
"Cell11" -0.0138334629466862 0.00476909814683056 -0.00418214838629966 0.00132231474934089 -0.00497837649632253
"Cell12" -0.00388144658975967 0.0042094482393114 0.00982140194883282 0.00133785434386826 -0.00693741363501363
"Cell13" 0.00829402151177469 -0.000584571853382532 -0.00350305359493881 0.00221108379187661 0.00169047681940066
"Cell14" 0.0104001086257461 -0.0103249477838309 -0.00858161319106296 0.0124364744862727 -0.000732798050162206
"Cell15" 0.00486961169151972 0.0025567948680016 0.000268861068443902 0.0115801546957428 -0.00314549383176982
"Cell16" 0.00210191215946483 0.00742255853264204 0.00113871792622548 -0.00773569865717659 0.00253134862067929
"Cell17" 0.00599169305672104 -0.000252597968935295 -0.00597139594023134 0.00243801100105989 0.00569921466408233
"Cell18" -0.0143418338305865 -0.00538660917706433 0.00450563661842619 0.00102059611611572 0.000676116281574878
"Cell19" 0.0102356434538263 -0.0108520716235634 -0.00874827485396555 0.00100257987208241 -0.00115112047794614
"Cell20" -0.00174699778413558 0.000688300630136954 -0.00412889574145401 -0.00425164156804787 0.00239285758892306
"Cell21" -0.00327082687435697 0.00505145777484968 -0.000522769072822703 -0.0120196132391512 -0.00078519153010548
"Cell22" 0.00332324717844224 -0.00114238690702122 -0.00963085397063581 -0.00627353238476835 0.00303801007574013
"Cell23" 0.00854366906596297 -0.0157608242502424 -0.00985160332810174 0.000223333490458714 0.000677564863066352
"Cell24" 0.00991772645383352 0.0160511094445751 -0.0103311647789098 -0.00989237176593413 0.014317180265108
"Cell25" -0.00796299748132673 -0.013834425832167 -0.00025251549647042 -0.00800122323257666 0.00485027351098717
"Cell26" 0.0132022148834046 0.00993220456483481 0.00407062013282216 0.00710098152423888 -0.00097120328331498
"Cell27" -0.000976281192672245 -0.00234809442251105 -0.00549681887762106 -0.00569234688487135 -0.000792145597505885
"Cell29" 0.00849423016412591 0.00879139296862039 -0.000958278334419617 0.00241317141539833 0.00254532310030317
"Cell30" -0.00386126824186856 0.00554457739116083 -0.00230123896657772 0.00618475867577594 0.00975814403412961
"Cell31" -0.0135603432602461 -0.00031281079864712 0.000797910948902114 0.00217787018845189 -0.00997841428534334
"Cell32" -0.00617331133443597 0.00564541236179871 0.00574876737077569 0.0107455953250805 0.00143334230326583
"Cell33" 0.00053697073953129 -0.00592376376545275 -0.015343258016721 0.00112042146116749 -0.00719047620686677
"Cell34" -0.00520133909623872 0.000700106512865683 0.003648642901928 -0.00077835300464543 -0.00614639066313873
"Cell35" 0.00147891592163889 -0.00338896530191003 0.00751567178638384 0.00604668495146236 0.0139146624557005
"Cell36" 0.00236314424406171 0.00102315165521766 -0.0067681319017918 0.0111893694317646 0.00742224061923983
"Cell37" -0.00410357928312176 0.000323405792287049 -0.00027069108143101 0.00789144141883645 -0.00177821579167373
"Cell38" -1.11939334889668e-05 0.00209594511992584 0.00752253644169501 0.00362020288909972 -0.00408377843283127
"Cell39" -0.00141418785504947 0.00925075988101694 -0.00197751482145395 -0.000260359252711113 -0.00153202191681394
"Cell40" 0.000886847420999327 -0.0144275140756386 0.0191892291532594 -0.00750569704942105 -0.00372003024387982
"Cell41" -0.00631768333486306 0.00272169346624699 0.00313496556528808 0.00522732365281917 -0.0022870896252728
"Cell42" 0.0100839842108511 -0.00702607009370441 -0.00999224332725727 0.0114066003872918 -0.00290643592418556
