"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" 0.00634943290244532 0.000591110998963408 -0.00566161439785409 0.00368898352700521 0.00734473401846182
"Cell2" -0.0129168078137064 0.00924157195917654 -0.00546894491737779 -0.0260009123009798 0.00570930346394963
"Cell3" -0.00745216924924464 -0.00118755452177495 0.000117119214556671 -0.00274427707052395 0.000782856596183243
"Cell4" 0.00615131696826087 0.00263541206452023 -0.0019472035505618 0.00413496081016948 0.00904921990565801
"Cell5" 0.0151978640268447 -0.0217697697109479 -0.00814749323050595 0.0437864794576445 -0.0434276247190741
"Cell6" 0.0135326761867382 -0.0111014366985322 -0.00625903928669417 0.0249328375277555 -0.0290208636181634
"Cell7" -0.594043142310822 0.0872695576059438 -0.0953191129059682 0.0990868201787224 -0.0484083959756879
"Cell8" 0.00144950359497738 -0.0274217924931483 -0.00564768069796418 -0.0053434006451947 0.00338464741385169
"Cell9" 0.00637916613379753 0.000247495370783515 -0.00194793388830487 0.00596318615470907 0.000273362575133066
"Cell10" -0.00447284037803903 0.0115702252697918 -5.31963562754965e-05 0.00492189792070092 0.00122941553843341
"Cell11" 0.00152263554338909 -0.00105956081969207 0.00528445023362416 -0.00132095707754794 0.00234597561299532
"Cell12" 0.00109544302242644 0.00906752313173212 -0.000873676154486447 0.000839541555392061 0.0166139918741583
"Cell13" 0.00725564786373404 0.00736712183023784 0.000594108170218311 0.00622248727471271 0.00989007719253196
"Cell14" -0.00478495741743371 -0.0037041405991149 0.000567090959307445 -0.0106234772623353 0.00058503001460164
"Cell15" -0.000260639323626719 0.00267571945143027 0.00459767895367061 0.0021692447535479 0.00700533528680725
"Cell16" 0.0036514599022928 0.00343170163491155 -0.000578978337156018 0.000113586636968227 0.0102332027963898
"Cell17" -0.000608485509093659 -0.00205472241044113 0.0057640557690689 0.000433743431444886 0.000932610461540093
"Cell18" 0.00247445212047343 0.00774099732359198 0.000892372450464319 -0.00498121147897133 0.0194394778560769
"Cell19" -0.00187391246167754 0.00435828387056655 -8.24517835204801e-05 -0.00444148626352792 -0.000184617363845245
"Cell20" 0.00510904938511576 -0.00200243804972215 0.000668788729590337 0.00815942777429009 0.00153703753148876
"Cell21" 0.00555902893543927 0.0103169189109508 0.00293019105301328 -0.00200590845120839 0.0179366784780501
"Cell22" 0.00307995951445285 -0.00299506506080143 0.000302560971598789 0.00474479912676446 -0.00874105136207456
"Cell23" 0.00574637347674296 -0.00562906533883285 -0.00502836507279537 0.0122335977695031 -0.0177315172477048
"Cell24" -0.0118881452177294 0.00500369279412027 -0.000942745498082257 -0.0259007851245469 -0.00944299637261061
"Cell25" 0.00618680205134066 -0.00851335756196651 -0.00317620944344846 0.0130233956940361 -0.000283613883461692
"Cell26" 0.00468037803340272 0.000316118882828361 0.00694893265084436 0.0037369863724062 -0.00220749447814388
"Cell27" -0.0289852188037725 0.00235571441877198 0.00563402017178656 -0.0303453939467856 0.00645284040465002
"Cell28" 0.00484872644737573 -0.00169762156726579 6.99929639917167e-05 -0.00244723138434233 0.00716238444678114
"Cell29" 0.00763946608450726 0.00596926365046603 0.00676271383518349 -0.000312841667143978 0.000422541577574303
"Cell31" 0.00107661785880751 -0.00461057178434859 -0.00499193118322229 0.00442450384219414 9.08356871184516e-05
"Cell32" -0.00216641287390505 0.00178842171047915 0.00363873308914052 -0.0159146336587498 0.000211298783893429
"Cell33" 0.014444410680973 -0.0135276496420028 -0.00414215734390868 0.0309976673818302 -0.0347830945589358
"Cell34" -0.0212916428022427 0.000167716812499988 6.90283359699463e-05 -0.0226323751652941 -0.00937720220300843
"Cell35" 0.00354324291451459 -0.00502924192625863 -0.00595248797823344 0.0105968100385021 -0.0231357094945118
"Cell36" 0.00353810651395832 -0.0137432238618111 -0.0118486423390774 0.0108054360300712 -0.00582719699695397
"Cell37" -0.00646827439578245 0.00272259964291758 -5.29708450753976e-05 -0.0088632558638729 -0.000567761361693736
