"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" -0.0173192791311117 0.0103991749775081 0.00747864843377054 -0.00297858482565792 -0.00597724794304096
"Cell2" -0.0170605265111586 -0.0115069841080331 -0.00577244392913717 -0.00255852446711662 0.000247259874895065
"Cell3" 0.00215700638666528 -0.00542054123531544 -0.00202430530258885 -0.00987461240110927 -0.0025993741819938
"Cell4" -0.00727631452817818 0.0201682086813881 -0.00136048414599834 -0.00758478436935074 0.00297450572644349
"Cell5" -0.0222271667057639 0.00975098692527981 0.00804837073101789 0.000970214897020991 -0.00255918139035988
"Cell6" 0.00265513655561868 -0.00634876103379848 -0.00247423418925343 -0.00504293771451612 -0.00346588555704711
"Cell7" -0.0174480792290465 -0.0134972068809039 -0.00801536118192631 -0.00025476990904724 -0.000533158277480348
"Cell8" -0.0236339155319857 -0.00469400912089675 0.00181166167479623 0.0072240233211937 0.00134689483699999
"Cell9" 0.0323214582214495 -0.00353170089820989 0.00987539481376649 -0.00195367910074351 0.00117874060626577
"Cell10" 0.0138371844896302 0.0177095106529198 -0.00843340853184089 -0.000178518136459009 0.0025144049330981
"Cell11" 0.0036760179452846 0.0151034659774785 -0.00640169466607648 -0.00475314267431795 0.00343957937396982
"Cell12" 0.0269307226020882 -0.00803920529428293 0.013570853794282 -0.00361337448026241 0.00496663208338571
"Cell13" 0.0246722198612393 -0.0103482241991911 0.0120452851238932 -0.00803857445533852 0.0010644746320844
"Cell14" -0.0270141330061278 0.0018500490247465 0.00230970148888806 0.00651042330431179 -0.000932742141336476
"Cell15" -0.0189814065869949 0.0132356137172855 0.0064799740000436 -0.00424973327989263 -0.00489340498481222
"Cell16" -0.00202230624153359 0.017337156607217 -0.0013724865784344 -0.005883901613691 0.00282428440666393
"Cell17" -0.00200333368506511 0.0172843105166366 5.63309746739624e-05 -0.00394211590518108 0.00413139407925776
"Cell18" -0.0264661378915861 -0.0065771573267543 -0.00102690457240379 0.00344350532284886 0.0051408456636206
"Cell19" 0.0324292529349116 -0.0060362529391495 0.00796021268149971 0.000168126805329476 0.000467997969887505
"Cell20" 0.0358903271361433 -0.00560558944516292 0.00354345382514744 0.00292026087666386 -0.0022363395500172
"Cell21" -0.0267875292051824 -0.00558010493050766 0.00316399143010963 0.00898193259718639 0.00527556979354092
"Cell22" 0.0290828360060339 0.00367604734804702 -0.0126766779488632 0.00829390607512247 -0.00439468976750115
"Cell23" 0.000132784265948262 0.0186735142140483 -0.00163532827672185 -0.00553144474834967 0.00134719920509869
"Cell24" -0.0235333103422906 -0.000280281433653977 0.00456506189884677 0.00624461787742856 -0.00131475715752339
"Cell25" -0.0164118245092814 0.0127851003683373 0.00659953255451361 -0.00180035840326115 -0.00812212795580705
"Cell26" 0.0137241125570942 0.0102815605970674 -0.00813772192819296 0.00132620589235134 0.0018098289741672
"Cell27" 0.0200479344005013 -0.0109929857892542 0.0144787837328836 -0.00813667897923924 0.00825667374185351
"Cell28" -0.0154748987051296 0.0116220237485798 0.00950461365112971 -0.00537928980746698 -0.00305539296020147
"Cell29" 0.00719562588469007 0.0173116687444168 -0.0072593194199281 -0.00188962321279038 0.00983450486321377
"Cell30" 0.0299699807921682 0.00297636586092546 -0.00690239540238516 0.00726254137407122 -0.00620766293632647
"Cell31" -0.0145014739627079 -0.0101994995088205 -0.0032575241671324 -0.00136954665179992 0.00166599783541883
"Cell32" 0.0294004723931664 0.000422025063328832 -0.00499284745755271 0.0068594319645923 -0.000511275758155997
"Cell33" -0.0220877179873462 -0.00659128689613916 -0.000206594792261541 0.00707690193351053 0.00277785722266751
"Cell34" -0.0259033168407152 0.00608145674962977 0.00843262441064848 0.0102661805166815 -0.00457508890568504
"Cell35" 0.000337436638486898 0.0186754268961328 -0.00326833158831496 -0.00506955655025207 0.00372912932768483
"Cell36" 0.000406489493779893 -0.0085466993227355 -0.00263354705071711 -0.00717262681274959 -0.00432657732687332
"Cell37" 0.0360774350824508 -0.00337313083439416 0.00637009808300434 0.00357210616419984 -0.000619271692233357
"Cell38" 0.0272515262900283 -0.0109266557028877 0.0127716917335474 -0.00403707382523206 0.00561934618561071
"Cell39" -0.00305535044270235 -0.00727781098342857 -0.00309883133896553 -0.00404824821136992 -0.00397775245888115
"Cell40" 0.0317115343279785 -0.00570363536935513 0.00964589193014532 0.000397057338651908 0.00292279625378298
"Cell41" 0.00479554379259802 -0.00316410675707363 -0.00160102268288627 -0.00633109194141806 -0.0106182606016641
"Cell42" -0.0239937815515388 -0.00117242874627344 0.00515240880318418 0.00492862579709722 0.00175394969479674
"Cell43" -0.0188337812717717 -0.0117812345987467 -0.00525965891847965 -0.00298234449361301 0.00191904544238661
"Cell45" 0.00662184474287985 0.0177680428091106 -0.00512872765948986 -0.00328178859296567 0.00633768792587111
"Cell46" -0.00502881303687012 0.0182408233345176 -0.000149464778869186 -0.00660354108048577 0.000949156592196604
"Cell47" -0.0174637174321185 0.0112508947114902 0.00511481091532696 -0.00403088514145577 -0.00190195328397795
"Cell48" -0.0202330718422895 -0.00773393495029393 -0.00117951921095939 0.00182188561562517 0.00335234529138259
"Cell49" 0.0196069865964442 0.0104797195356128 -0.0079375452375824 0.00422151805104752 0.000574302397591698
"Cell50" 0.0173371152080207 0.0169097391679794 -0.00832854127138303 0.00437761726059037 0.00294783448989861
"Cell51" -0.0245308685787777 0.00709296129120711 0.00467388896351822 0.00341747292064194 -0.00574565613700988
"Cell52" 0.0179657247898734 0.00991404972033135 -0.00774663019195372 0.00197633862761806 0.0022336001062672
"Cell53" 0.0329901412233728 -0.00631063980523353 0.0115083663463497 -0.00108923698247045 0.00860025203087388
"Cell54" -0.00217451686452748 -0.00916934082741195 -0.00475608252423527 -0.00585882868572113 -0.00655848292524739
"Cell55" -0.0220139223991461 0.00350152064377327 0.00704516820650428 0.00664557464250135 -0.00160386502782082
"Cell56" 0.0314263129352058 0.00177456036895954 -0.00609179535200021 0.00750565881684971 -0.00347932148074679
"Cell57" -0.00593714063157324 0.0203938706034893 -0.00167616272443461 -0.00400487061802951 0.00439126687096263
"Cell58" 0.00342374450150684 0.0157141843139983 -0.00503006430509328 -0.00181601560995996 0.00635779240716162
"Cell59" -0.0141636007996137 -0.0117085149262572 -0.00439576916741646 -0.00218422628025898 0.00229701908258256
