"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" -0.120964700951794 -0.0278510704178895 -0.0559912725360365 0.0313863323825217 -0.0318465624656404
"Cell2" 0.159408386089921 -0.0548170350009837 0.023261328805788 0.021796102947996 0.01471986386509
"Cell3" 0.181042741035074 -0.0489517614861339 0.0101251589679207 0.0052834207313338 0.0193992470167348
"Cell4" 0.0490174351424786 0.0858544582405837 -0.0147946945050784 -0.010950238010301 0.0286883315449262
"Cell5" -0.124893248019528 -0.0406903670955207 0.0599479154245025 -0.0235998643572523 -0.00801782843699908
"Cell6" -0.148866652752902 -0.0572574921244937 -0.0151523543186139 -0.000381060383584663 0.0185816320592265
"Cell7" 0.156909291462952 -0.0399580429180801 -0.0127037779193666 -0.0216336773278918 0.0038534785424482
"Cell8" -0.157777784283201 -0.0357435175031955 -0.00916787483880441 0.00417250995007598 0.0116736088137619
"Cell9" 0.158228596142627 -0.0230713045887006 -0.0321547678742569 -0.0625165830784813 -0.0163397822136934
"Cell10" 0.162267262058175 -0.0311780029422679 -0.0137155959956716 -0.0347400104053514 0.00558667428824701
"Cell11" -0.0183878692116711 0.100162763525319 0.0111637412696147 0.000287011160991982 0.0019229882417246
"Cell12" 0.184259793541407 -0.0488913148853097 -0.022492352826075 -0.0438938500313493 0.00504928127522004
"Cell13" 0.132051497433487 -0.00865671160804245 -0.0266279071735268 -0.050413673028519 -0.0246954244597792
"Cell14" -0.14973957949835 -0.0441186490024987 0.00488147962193481 -0.0138244626323257 0.0193683018419232
"Cell15" -0.024677931794675 0.140159818989245 -0.0156109360144181 0.0119745069966892 0.0198636838659039
"Cell16" -0.0511724955552142 0.0845491648164124 -0.00468174947569642 -0.00499861918085896 0.0221380431949329
"Cell17" -0.034182547666958 0.107081823960308 0.00756708733777799 -0.000445743213401848 0.00602780842942873
"Cell18" 0.199118103225227 -0.0521730109526013 0.0136750862676868 0.00599310356154428 0.0183053728693201
"Cell19" 0.117114721928486 0.00915264788064266 -0.0275072411595436 -0.049690352769715 -0.0337588294093492
"Cell21" 0.148810106193478 -0.0284957652569812 0.0273523669070189 0.0599680307198139 -0.00242036648582391
"Cell22" -0.125580688431709 0.0280093451964123 -0.00107410445303045 -0.00724825873644059 0.0253183649443619
"Cell23" -0.013995070514321 0.125833077097424 -0.00663509768979917 0.00653128805260957 0.0296043034160246
"Cell24" 0.102983898146236 -0.00499023873769832 0.025794933658325 0.0617896898615482 -0.0129148614907063
"Cell25" -0.163176845959846 -0.05417098806852 -0.0291313166118087 0.0109553240455674 0.0186807484043229
"Cell26" -0.0221281030523465 0.0494569991087419 -0.00409758018068823 0.00573716976516899 -0.0159985720534828
"Cell27" 0.143410079126825 -0.0267657652908933 -0.0215244983889881 -0.0470372852010684 -0.00881933228169583
"Cell28" 0.0336780986206996 0.0866700815910662 -0.000819531234556258 -0.0080936219552391 0.0300747696265658
"Cell29" -0.0332960044803331 0.119775777974568 5.48742938488109e-05 0.00776861774417213 0.0120172543966607
"Cell30" -0.159017631704861 -0.0596669543948945 0.0141361159389977 -0.0171809388266159 0.0166498659841572
