"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"RamDA_mESC_00h_A04" -0.14851382703918 -0.0581514508962635 -0.00199675608452807 -0.0099536122450165 -0.0366750792004402
"RamDA_mESC_00h_A05" -0.141013803280346 -0.0596226175628219 -0.00195836362926756 0.0171294541426472 -0.0410189318501709
"RamDA_mESC_00h_A06" -0.150213641039325 -0.0337648936223847 0.0151890715364179 -0.00016416383832267 0.000617827876743102
"RamDA_mESC_00h_A07" -0.133995262120897 -0.0546314380578093 0.022553268937466 -0.0170559718542644 0.0181654099892237
"RamDA_mESC_00h_A08" -0.157669764407367 -0.0464468288997196 0.0347960067417063 -0.00909998679603071 0.0105853252592535
"RamDA_mESC_00h_A09" -0.148892782407574 -0.0447272410884008 0.0261629206212789 0.00596731880747976 0.0201192453739945
"RamDA_mESC_00h_B01" -0.143139972366932 -0.0629213049373519 -0.00665407974239789 -0.0123723729449055 -0.022185338773853
"RamDA_mESC_00h_B02" -0.14599362103071 -0.0401614887980647 0.0055440436271354 -0.0140435047757191 0.0168400879739427
"RamDA_mESC_00h_B03" -0.1556136489574 -0.0598842582969061 -0.0102473410711032 0.00545384566305141 -0.0252170867581113
"RamDA_mESC_00h_B04" -0.148944448914127 -0.0527878192734269 0.00837164063952437 0.0202989668238795 0.0209297177140176
"RamDA_mESC_00h_B05" -0.151168941263647 -0.0473256215605498 0.0332452816106935 0.00878774795619412 0.0236770493894382
"RamDA_mESC_00h_B06" -0.141247947279227 -0.0491100583118744 0.0219711842742429 0.00697849882896374 0.0111036395990161
"RamDA_mESC_00h_B07" -0.155366987622853 -0.0428830666325762 0.0398741549335275 -0.0178122723183317 0.021341784232329
"RamDA_mESC_00h_B08" -0.13622182087281 -0.0495545593578443 0.0280144775015443 0.0200562915340949 0.00370135199975702
"RamDA_mESC_00h_B09" -0.136964893721629 -0.0449999510318825 0.0108429370330591 0.0304992980739754 -0.0165784982382424
"RamDA_mESC_00h_B10" -0.15157271882322 -0.0397628782482893 0.0338028442410834 -0.0154946773105733 0.0251697227737019
"RamDA_mESC_00h_B11" -0.132925020074944 -0.0566207348822819 0.00869576767611441 0.0242407334172929 -0.0057019742547246
"RamDA_mESC_00h_B12" -0.14471561791019 -0.0314562709989533 0.00221715638174817 -0.0044909349395762 -0.00204841845574507
"RamDA_mESC_00h_C01" -0.146167405981067 -0.0568912674588472 0.00868076241067474 -0.00623310612541424 -0.00843272412375365
"RamDA_mESC_00h_C02" -0.142111844539258 -0.0467421112834154 -0.0225539412139819 0.00700126524641199 0.0054841877687809
"RamDA_mESC_00h_C03" -0.12443049921355 -0.0423423322294353 0.000192424506404694 0.0282642054589706 -0.0222595311625968
"RamDA_mESC_00h_C04" -0.142840936868785 -0.0534048904989149 0.00651123790110843 -0.00714478254987728 -0.00626573873726795
"RamDA_mESC_00h_C05" -0.137208233477379 -0.0519289448537147 -0.00251627727453185 -0.012416237933125 0.0131029431100582
"RamDA_mESC_00h_C06" -0.142985759991861 -0.0480959418446028 0.0184285240611065 0.0406376515217644 0.0082290930322586
"RamDA_mESC_00h_C07" -0.137486595427978 -0.0538197604078268 0.0181256103880089 0.000884243012462733 0.00303954322297198
"RamDA_mESC_00h_C08" -0.158264444732097 -0.0513240635024413 -0.00143610650232502 -0.00808567282872343 -0.0025211001070066
"RamDA_mESC_00h_C09" -0.151882314349059 -0.0386958732718812 0.03205452152236 0.0115353262281864 0.0264782606382408
"RamDA_mESC_00h_C10" -0.139897757820098 -0.0325147544313335 -0.00248221659915118 0.00329406045251495 -0.0169969731621872
"RamDA_mESC_00h_C11" -0.143967137709993 -0.0567582256953707 -0.00292615173735585 0.0261701679360553 -0.0269846688168178
"RamDA_mESC_00h_D01" -0.149898404047023 -0.0480316123678185 -0.0132083913380215 0.0100435771492366 -0.0286783612481026
"RamDA_mESC_00h_D02" -0.124540106937015 -0.0536005894418162 -0.0343232607957921 -0.0124807323904098 -0.00599228016019916
"RamDA_mESC_00h_D03" -0.153787330651171 -0.0492924660264245 0.0332228466008861 0.00672200544141701 0.0236652364889606
"RamDA_mESC_00h_D04" -0.134174569427624 -0.0508380570818908 0.0246188871396978 -0.012520383921034 -0.0457102192429098
"RamDA_mESC_00h_D05" -0.14402996465939 -0.0389584341291782 0.0169973449774487 0.0369407771399025 0.0211394017931873
"RamDA_mESC_00h_D06" -0.138118196218097 -0.0547677087062262 0.0107828528445717 0.0721250861530525 -0.017263810848212
"RamDA_mESC_00h_D07" -0.138225829530256 -0.0544897966718301 -0.00809619055379803 0.0257478487002901 -0.0382508350017924
"RamDA_mESC_00h_D08" -0.150690918234728 -0.0446369414534174 0.0218967163937223 0.0060240008268237 0.0223360748903875
"RamDA_mESC_00h_D09" -0.133784843365674 -0.0385641034511003 0.0128455848072424 0.0430590506003728 -0.0241403193910312
"RamDA_mESC_00h_D10" -0.147293079850362 -0.051704557143769 0.02822965292711 0.00147323286026734 0.0235909369464402
"RamDA_mESC_00h_D11" -0.122467449889656 -0.0516912557696023 0.0204082774325107 0.100396214405577 0.044275548739694
"RamDA_mESC_00h_D12" -0.129481033452858 -0.0661440447549473 0.0407844377115553 -0.0122489774824933 -0.0223993445503231
"RamDA_mESC_00h_E01" -0.137249297392706 -0.0408857843444867 0.0259975247843582 -0.0159627860084029 0.0317099345838912
"RamDA_mESC_00h_E02" -0.140396248708863 -0.0472561344575639 -0.0189785388153203 -0.00973917517965448 -0.00573215983621571
"RamDA_mESC_00h_E03" -0.137849999301384 -0.0519210735159781 0.00233391228238238 0.0147277381910903 -0.0129450937529182
"RamDA_mESC_00h_E04" -0.151203170056072 -0.0392382016364173 -0.00120884467242331 -0.000924987063274815 0.01195943200626
"RamDA_mESC_00h_E05" -0.146520062928773 -0.0614481744608545 0.0260561902017867 0.0491111396132751 -0.0134971386893882
"RamDA_mESC_00h_E06" -0.141646745242872 -0.0570823212131255 0.0304718053040881 0.0678415231844105 0.021408450430944
"RamDA_mESC_00h_E07" -0.145802050697184 -0.0280682979589369 0.00352425726837568 0.0182319214166167 0.0246269285953821
"RamDA_mESC_00h_E08" -0.136786194166167 -0.0489492001697165 -0.0320899379712457 0.0150231045989565 -0.0407300890023378
"RamDA_mESC_00h_E09" -0.152575496524958 -0.0509439091062262 0.0358246225543408 -0.00242297861964873 0.00655864734240375
"RamDA_mESC_00h_E10" -0.142915286240509 -0.0324900047512926 -0.0152414262202629 0.0138675599572073 -0.0159934023061818
"RamDA_mESC_00h_E11" -0.142799429753176 -0.0533858469792807 -0.00033750477756433 0.0331448876196616 -0.0177311477984413
"RamDA_mESC_00h_E12" -0.143231635144629 -0.0305721312459366 0.00967441567983419 -0.0175739935342238 0.0316524800172756
"RamDA_mESC_00h_F01" -0.133354972007011 -0.0630658938543471 0.0444115716977695 0.0143829814521347 -0.00559840421788436
"RamDA_mESC_00h_F02" -0.147620397952174 -0.0555494455488366 0.0313374926199533 -0.013651152876187 0.00490849916665986
"RamDA_mESC_00h_F03" -0.154876369780003 -0.0416322703342749 0.0167107995054106 0.0199768438582321 0.0267549492750553
"RamDA_mESC_00h_F04" -0.148271582800348 -0.0327025149890861 0.00964047646713151 0.0205734797067127 0.0285991029718417
"RamDA_mESC_00h_F05" -0.140021819746175 -0.0570251488568258 -0.0071319713273044 0.00350666981078422 -0.0183955756198439
"RamDA_mESC_00h_F06" -0.152074160142834 -0.0661869645749231 0.0171254870733722 -0.000413687072394369 -0.0200767127109092
"RamDA_mESC_00h_F07" -0.151634188707558 -0.0533774919937203 0.0478066258614087 -0.00101238112308602 0.0139018131420823
"RamDA_mESC_00h_F08" -0.150210118908495 -0.0492422812038135 -0.00807278291685105 -0.00850014694084671 -0.0179274273875558
"RamDA_mESC_00h_F09" -0.151868339695747 -0.0596520464766123 -0.0111935789327209 -0.00324722674125031 -0.0212478503783988
