"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1" -0.065409548449518 0.0428543999981391 0.0375049791474708 0.0206644313975699 -0.0405774879595032
"C2" -0.0410335136240615 0.019550169290951 0.0639702497745086 -0.0245150802571988 -0.0302169942129332
"C3" -0.0436152747580736 -0.0215186438337169 0.083373942694587 -0.000845660504362866 -0.0138536374421792
"C4" 0.128019506873135 -0.121274780912131 0.049762018321505 0.020807629094265 0.0394461760905641
"C5" -0.0694516141908074 -0.0424458022034739 -0.0654609235165901 -0.00674394953258854 -0.0207974673542757
"C6" -0.0682319906778578 -0.0333034020397596 -0.0575400405762106 0.0341104940483005 0.00544193287126742
"C7" 0.0112903083657896 -0.121370826599096 -0.0946324474463992 -0.00393123374840648 -0.049185395916194
"C8" -0.0510011987725274 -0.0739466684766617 -0.0572486299360669 0.0395073369611463 -0.035314880637329
"C9" -0.0551936855809444 -0.0215146109845209 -0.0606598864005894 -0.0048813069144737 0.00273089607380147
"C10" 0.206520623090208 0.0969305906867105 -0.0260157563459182 -0.0194716673352277 -0.0288803423150024
"C11" -0.0638727697794586 -0.00153693266014611 0.00482896483309097 -0.00795929412501929 0.0759597258573391
"C12" -0.0590361621896314 -0.0348531794057145 -0.0581709197437501 0.0259995471034005 -0.00880727319926717
"C13" -0.0645901499056422 0.0360561251067422 0.0739849666818467 -0.00992771767060442 0.0021693431476088
"C14" -0.0737066027796176 -0.0200811159807344 0.0235187763765006 0.0203359135206596 -0.0153873246096589
"C15" 0.283341349466663 0.109082106146022 -0.0450255021530788 0.020809054224174 0.00894935532561136
"C16" -0.083751879445122 0.0108692225533777 -0.0020814245220045 0.00588104429422946 0.0209395350292075
"C17" 0.128661371611161 -0.113618288692782 0.0465336746864647 -0.0412050673155286 -0.030903078165803
"C18" -0.078132587310659 -0.0343913659257201 -0.0128339311883901 0.0081556060633788 0.0144995703317683
"C19" -0.0668040571049306 0.0140632682915763 -0.0591270688088245 0.00313241877194764 0.00991344811695061
"C20" -0.0639164918965167 -0.00551848515557075 -0.0118163130868926 -0.0298959685847221 0.00330768253496055
"C21" -0.0802055873035318 -0.00899438044101426 -0.0431107168879067 -4.11103492977698e-05 0.0214736690275033
"C22" -0.0262321384753396 -0.0226297117577067 -0.0244711425819176 -0.0192668595956801 -0.0115162281489942
"C23" -0.0597724456718855 -0.0123895606280442 -0.0497283655055802 0.00350068059154461 -0.01476753093749
"C24" -0.0538225953264306 0.064201140223671 0.023408556429528 0.0192256835584648 -0.0128063635026705
"C25" -0.00264279041971957 0.110780832107477 0.0344264074060746 0.00681938775072063 -0.00640520134987992
"C26" -0.00946580855344537 -0.0993538542034586 -0.0957485009211797 0.00114536375203328 0.030352130469752
"C27" 0.167090496602219 0.0633347887091144 -0.0608924813234757 -0.173497489246624 -0.0707592410020018
"C28" -0.00369590983177401 -0.10835531714867 -0.0896655839840687 -0.0178399799416743 -0.00840228268899449
"C29" -0.0784864830542874 -0.0254894676930306 -0.0512955067709945 -0.0185926313682887 0.00055760895293518
"C30" -0.0642162304196439 -0.0340242706438334 -0.0612511143418042 -0.0112062767797375 -0.0151314369573085
"C31" -0.0496274334708714 -0.0386591186180246 -0.0393940623443743 0.0183603394496412 -0.0280638549947658
"C32" -0.0656229128435901 -0.0144228900011673 -0.0562322669776395 0.0117028671952581 0.0233060938148877
"C33" 0.0301741274799795 -0.11613541093554 -0.0989558735844057 0.0333696450874431 -0.0391264588253532
"C34" -0.0561707593394957 0.0342574388870836 0.0859092200103098 0.0141537097814247 -0.016847853616927
