"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1" -0.0776808667339903 0.0235670120065603 0.0408291770858889 0.0196602644953267 -0.0137342193838272
"C2" -0.110056698260282 -0.00940687524253687 0.026931654517115 -0.0118562777642714 0.0309590898425948
"C3" -0.10897700219599 0.0323274314437196 0.0315709766853846 0.00480371363062914 -0.0214920596270595
"C4" -0.137668385840598 -0.149866204909733 0.0256729771473666 0.0227220438383321 0.0553433218272475
"C5" -0.0603838680131668 0.00700356802528899 -0.0121325300695935 0.0353500871171127 0.0231169758239166
"C6" -0.141674028027057 0.0354561694225492 -0.0347919948477093 0.0432078529141287 0.0188252881815431
"C7" 0.0616623315517099 0.00839763327113965 0.0268463262500727 0.00226276101936928 0.00488570227088106
"C8" -0.100870717807226 0.0696410496372654 -0.00754549285986998 0.000153327343941994 0.0548537914302317
"C9" -0.0646856497904144 0.0161728043811068 0.0208465558655498 0.015134885202324 0.00704593490576026
"C10" 0.180126092316662 -0.0250187823481382 -0.0208382558909017 -0.0586924519959409 -0.0417728689891499
"C11" 0.173712244389589 -0.0119459520413034 -0.0480691490055649 -0.0273919175115421 0.0557258506491909
"C12" -0.107269378783512 0.118279067444204 -0.10136520403413 -0.038944442686957 0.00751437485626977
"C13" 0.173346482127437 0.000882006611240927 -0.00268459895077105 0.0404179296222276 -0.0333935762227716
"C14" 0.0652033182694328 0.00934609565992451 0.0437342453199279 -0.0256861096701025 -0.0133058283889087
"C15" -0.118639147739643 0.106999518344431 -0.114041302328344 -0.0378096012936549 -0.0272820988751545
"C16" 0.209588811651435 -0.0149632832814174 -0.0472145190650082 0.0428866497666344 -0.0081220593360432
"C17" -0.117561552116328 0.0452173383280863 0.000609924497860276 -0.0324582235285975 0.00488426208843803
"C18" -0.0930928883299826 0.0628815475018025 -0.0353261269584618 0.0390215648626772 -0.0476763878387931
"C19" 0.181396466117419 -0.00840421081770275 -0.0309375558503234 0.0221794849341931 0.00238025521545019
"C20" -0.0291339366832469 0.00884146603864275 0.0121485430905991 0.00903490357392051 0.00525906007894174
"C21" -0.0480729613040849 -0.00429472668352825 0.0348992717817645 -0.0229703719077023 -0.000416424699122966
"C22" -0.0897704134161283 0.0491045849615139 -0.00501027901786004 0.0227087232710797 0.00716262933570804
"C23" -0.0762545616904634 -0.0108544265159103 0.0035783714139826 -0.0548196659717916 -0.020347695272295
"C24" -0.115824407048654 -0.135431231293981 -0.0151238466494652 -0.0125917199922853 -0.0385003916930533
"C25" -0.133940980994687 0.0159119338154555 -0.00644658323976152 -0.0307482794120585 -0.00958877558015172
"C26" -0.119692137541863 0.0587692825578468 -0.0941185611793894 0.0212222177363655 -0.00101412274031419
"C27" -0.118930452989338 0.00859240397743313 -0.0195350284875358 0.00837786712977568 -0.00743437731679467
"C28" -0.125058835821395 -0.106009049596468 0.02154909202717 0.0162459426189883 -0.0483725675289044
"C29" -0.104292286114526 -0.0402177274003907 0.0174395227283827 -0.0144679118593322 0.0373200388991087
"C30" 0.201805658209307 -0.0245140047826138 -0.044099494083737 0.052772284466408 0.0296897719222114
"C31" 0.130544867642559 -0.00368092216011993 0.00912157893544293 -0.0230486194989986 -0.029449481772641
"C32" -0.103142483379796 0.0629831180662751 -0.0102885123504034 0.0124494774053806 -0.00219389819081838
"C33" 0.105759059948463 -0.0245184324479852 0.0405581389224864 0.0420157421170826 -0.0216681882616465
"C34" 0.00357149439568689 0.00630435638115606 0.031198632668193 -0.0180010601219562 -0.0118759481803531
"C35" 0.120611167882366 -0.00326712301357345 0.0358291215815034 0.0415031496758968 0.0262653354007854
"C36" -0.0742890466915266 0.0472376806657696 0.00551704702301575 -0.00661788161383811 -0.0609457929418297
"C37" -0.0401597931789086 0.0297590021457415 0.0152707849569298 -0.00570460028593054 -0.0363485184475552
"C38" -0.121542242144742 -0.113338384212508 -0.0401536156856278 -0.0186135786725167 0.00528854208857413
"C39" 0.1768608989567 -0.0193929012684796 -0.0502354221904042 0.0172789323840902 0.00909656745969225
"C40" -0.0566076480769403 0.0187564750502767 0.017949996824547 0.0267804132673365 0.0153134976810784
"C41" -0.0693040790982017 0.00670043588099729 0.0130224156042861 -0.0186702826710616 0.00111175622312831
"C42" 0.000564091930712075 0.0385295669288005 0.0348221367524793 -0.0132270453428636 0.00351089071253352
"C43" -0.123958645977123 0.130797797620699 -0.09087496518859 -0.0109594983176036 -0.00354912171967288
"C44" 0.0122828588046658 0.0160160017330545 0.0647209804186544 -0.00520576828859245 0.0219524117821069
"C45" -0.138387408177155 -0.147138307037556 -0.0433434168935151 -0.0216264795511243 -0.0260806687494943
"C46" -0.100766332382824 0.023571072559765 0.00804782626012605 0.040907042542181 -0.00549901957427095
"C47" 0.133732334963483 0.0168165599731008 0.03124041145725 -0.0291630717675124 0.00731247335140282
"C48" 0.0562341871184447 0.00198079782389517 0.0330124402442092 0.00634768033304519 0.0144997662477975
"C49" 0.102800283953262 0.0189572759568866 0.0241121882852496 0.0422737839721044 0.00150052392266689
"C50" -0.13175525015459 -0.131640431227224 0.0036036283097726 0.0448840357794134 0.0193829199323167
"C51" -0.108596852640465 0.0566886194699741 -0.0128519331005765 -0.0422829751669103 0.00555527953076018
"C52" -0.143652572347675 -0.0366603805061242 -0.0142140002854077 -0.0089294080817518 0.00339778614334534
"C53" 0.0958499568750836 -0.00381503488255468 0.0479314578742383 -0.0148557180073898 0.0211668318568134
"C54" -0.0691782248350945 0.0138084679583398 0.00656724137624993 0.0408370979638774 0.0273092872915325
"C55" -0.145009117560054 0.0774576622377955 -0.0633790941093679 0.0120126812076034 0.0365891249446032
"C56" -0.144716721968966 -0.167846564299592 -0.0397823932086887 0.0147972094618528 -0.013112370066439
"C57" 0.174183444989503 -0.00676280451928016 -0.0318325908194964 -0.0636982242376998 0.0279616901891432
"C58" 0.158165315160786 0.0304213145694292 0.0209490720459191 -0.0273733051044001 0.0388996037993051
"C59" -0.0931783348009689 0.0957023344238201 -0.0229895026867865 -0.0538369312674276 0.0175628192899347
"C60" 0.134351694185151 -0.00539011067364141 -0.00971289825772964 0.0427592121961402 0.0208667647110689
"C61" -0.122766939060121 -0.115111038197934 0.0259159432853849 -0.0160756206627199 0.00127990167888027
"C62" 0.153504830901595 -0.0219053471708656 0.00972703984107475 -0.0139959599142542 0.0148328804449906
"C63" -0.0850973846669401 0.0102184002713641 0.0138498893953961 -0.00699642464384213 0.0108271749065108
"C64" 0.198941442377383 -0.0191858593427243 -0.0234299561677591 0.0459042077866949 -0.00206358494606623
"C65" -0.0353168778553615 0.0135569734033947 0.0328348714263103 -0.0100140162623711 0.0171762349562865
"C66" -0.0738599422201977 0.0180559831642762 -0.0092433280931731 -0.0196359596485688 -0.045540260005173
"C67" 0.162993711602157 0.00915715172898717 -0.0443108565531985 -0.0177553841830882 0.00666249784577412
"C68" -0.000143989656341402 0.0331200889310141 0.0572086265681498 -0.0116359931919743 0.0606999164391143
"C69" -0.11819534224183 0.0647238338418858 -0.0391371837265311 -0.0127658278642288 0.0203287783469364
"C70" -0.0545575889628648 0.0412608045324107 0.0348266475916432 -0.037918272092146 0.0121842668550032
"C71" -0.145156721458505 -0.0720568367012173 0.0253282745708838 -0.015084319865464 -0.0104904822563839
"C72" 0.112782285415 0.0218195204562839 0.0355587018557721 -0.00724622228200587 0.0360472423302876
"C73" -0.130680734033935 -0.170731815771829 -0.0356114121964015 -0.0117278820899557 0.0229942431148176
"C74" 0.17794196685186 -0.0253893659157662 -0.0250044537434134 -0.0377541729343912 -0.0125744799360253
"C75" 0.121341462973556 0.029286583983879 0.0307407010663679 0.0188448889894444 0.0271841028549343
"C76" -0.0342681140194573 0.0427800147365834 0.0354918625014943 0.00366980024334145 0.0340535481574603
"C77" 0.200308683503923 -0.00912464940724706 -0.032775078177135 0.0245683573850022 -0.00490071620457441
"C78" 0.198731099985422 -0.00905625236603827 -0.0562246734716526 0.00686631016140066 -0.0445790035846528
"C79" -0.12748158988324 -0.173389927026922 -0.0287017662053763 -0.0191884604064104 0.00255857931770121
"C80" 0.12475785069479 0.027179734757184 0.040359929303204 0.0347791958238488 0.0123647730607185
"C81" -0.152907512821428 -0.0340801103530534 0.0033875349825769 -0.0374902889139809 0.0499001096940278
"C82" -0.0882897709610092 0.0308814568552336 0.019192489161896 -0.000859722485637586 0.0187857664114367
"C83" -0.112148936097203 0.111242611034284 -0.0547413608949301 -0.0131525452602282 -0.0133237951242788
"C84" -0.0526668952233923 0.00489041895675399 0.0277421668104914 -0.0162432613906109 0.0054185147861919
"C85" 0.194147504192601 -0.0227636128617808 -0.0499183211427746 0.0702573598329853 0.0341460556734649
"C86" -0.0964463402245825 0.096037364250408 -0.0531879685424551 -0.0274904066833983 0.00563504783496997
"C87" -0.0827110210106274 0.0440795743547065 -0.022228781427587 -0.0253585698470409 -0.0154447021513605
"C88" -0.0267141715296482 0.0415557459787176 0.0199900252953488 -0.0408921344169632 0.00093727908084465
"C89" 0.114402217443288 0.0126149200538528 0.00409448062202335 0.0351177765179675 0.00397957642455079
"C90" -0.0811338601055965 -0.00967966592969379 0.0335337073689771 -0.00700678377280315 -0.00538146636647647
"C91" 0.145692195526316 -0.0153760538342747 0.0315161346624005 -0.0350251027180335 -0.0308055690994532
"C92" -0.0759501546349393 0.0279418186216623 0.00722672162765698 0.024970807238708 -0.0147049374761261
"C94" -0.0402816245702576 0.0213970208701093 0.0559191183702502 0.0175967841066147 0.0205501668185769
"C95" -0.110518184728626 -0.0386704867203915 -0.00479774108484494 -0.0380396773344628 -0.0155301188982151
"C96" -0.133389818674958 -0.132903085199357 0.0121864084492751 0.0156363693668256 0.0123118446789906
"C97" -0.0813988082253909 -0.00945500042579533 0.0211543440081584 0.011485565557271 -0.0181023853270056
"C98" 0.0154840006063713 0.0192371336605851 0.0524042143992583 0.0322501013715326 -0.0191469983791966
"C99" 0.156048453911882 -0.00773222113201465 0.00592909719851485 0.0379810321963876 -0.0183034573154553
"C100" -0.109164203906667 0.118471764552882 -0.059228687295284 -0.0199351689098887 -0.00723276618485388
"C101" -0.0185651280151892 0.038031330669616 0.0220005743173541 -0.00829230903461163 0.00425913564767289
"C102" -0.107829822316369 0.0352323384051734 -0.0850020460302621 -0.012724214290363 0.014342598310902
"C103" 0.103915163138772 0.0287124212196988 0.0273941614361316 0.0151648287075148 -0.0345885862470031
"C104" 0.0613538168065866 0.0266240689050216 0.0454996591936679 -0.0236587755653597 0.00864210273464587
"C105" 0.00536651097974215 -0.000496929275214864 0.0461296553007228 0.0309275538085638 -0.00110150616394322
"C106" -0.0995472251205337 -0.00806202497697634 0.0274093304507928 0.0125633435313801 -0.0183711865889813
"C107" -0.129888305982606 0.0923026762473406 -0.0724163204413749 -0.0667653622525966 -0.0364732827289123
"C108" 0.192517008561745 -0.0242649898261802 -0.0629627550001982 -0.0256609100616051 -0.00514897113696397
"C109" -0.164014693664636 -0.016974220884121 -0.0443447729034006 0.0226448384150892 -0.0199914471662799
"C110" 0.104401990252925 0.0236479100222573 0.00737601498775799 -0.0315698604206561 -0.00428254103091282
"C111" -0.0750405328310649 0.0129163458813978 -0.0100062169731847 0.00134510368355644 -0.00295018609440351
"C112" -0.122243114710635 0.107200001295691 -0.0872343564565812 -0.0257492880282371 -0.0189642570379949
"C113" -0.121951909288008 0.0667634593954851 -0.00178644630264526 0.0462684035713969 0.00861488023827635
"C114" 0.169321394525993 0.0101155206739915 -0.00458659752439557 0.02706974155627 0.0134793846129578
"C115" -0.114597230281833 0.107465711566455 -0.0747933153147458 -0.0122666374576857 -0.011314298492187
"C116" -0.106557712471033 0.103611074812996 -0.0596730141658264 0.0413140263434049 -0.0132990039506876
"C117" 0.11375670972889 0.0466582845180993 0.0423607695797568 0.0120891462260363 0.0310936598959067
"C118" -0.135308202484021 -0.0580634078481023 -0.0133173115358035 -0.000109822011866872 0.0148052565094839
"C119" 0.188892551598875 -0.0155625651787565 -0.0684675097055763 -0.0131978507017956 0.0227405757659289
"C120" 0.204639531487798 -0.0379297998557207 -0.0781497338567712 0.00584070978013812 -0.0129866697267411
"C121" -0.0163447847001818 0.0414834168729488 0.0128926319342171 -0.0159015226088017 -0.0217614899747257
"C122" 0.0332818099735508 0.0183659816993137 0.0674241347204009 0.0180706707027041 0.0088866776522483
"C123" 0.155108789352388 -0.0145420782645905 0.0161040577385732 0.0336636338031007 0.0334472793360962
"C124" -0.0975437214152212 -0.0391331306370978 0.0163574423991117 0.0580498163103796 0.00623961660250998
"C125" -0.11923993464962 0.0693569790379299 -0.0286165532917528 0.00436457026012379 0.0242117149416359
"C126" -0.00536779601448776 0.0142349522648563 0.0271011615714115 -0.0151606936976367 -0.00514509252709816
