"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1" -0.0431303817758148 0.00868705614460362 0.0631099910486827 0.00504604320538472 0.0138662596778923
"C2" 0.0543167576927805 -0.0215775708331451 -0.0111995694508649 0.00798385999936599 -0.00819695734978812
"C3" -0.134314165424758 0.00114833395890716 -0.0395422028461737 -0.0304092632988822 0.00269960306140972
"C4" -0.0292501505429478 0.00879416489922029 0.0128714484570752 0.0281561031548326 -0.00383311039580171
"C5" 0.0536971254082977 -0.0293711272150339 0.0356204865596167 -0.0119800714703752 0.0077190166673744
"C6" 0.0510922283672462 0.0310639561548741 -0.0250238279979403 0.00576466912864943 0.00512195928306217
"C7" 0.0550863007483839 -0.0442138419430653 0.0222446714729886 -0.0253182045481282 -0.0090079709491921
"C8" -0.0105251250749709 -0.0280326242047794 0.0123743104268615 -0.0146914766851055 -0.0351625583640325
"C9" -0.00115968451085472 -0.00160397065134674 0.00678993756466247 -0.0226558390346871 0.0445346186201061
"C10" 0.0368142299639153 -0.029472913432008 -0.00839279704293412 0.0158573448507271 -0.00328117306254857
"C11" -0.108043938264139 0.008442340436533 -0.00802260112197589 -0.0398428518640685 -0.00878113312475245
"C12" -0.0453627174984728 -0.00986702786278013 -0.00347524486865017 0.00571383869935197 -0.006815601560736
"C13" -0.0758040041303832 -0.000189203747132243 0.00481185747668801 -0.0185827870203695 0.0200145826855296
"C14" 0.0545525872660816 0.0107294979660778 -0.0235322065024098 0.0012116305588494 0.00998298272642925
"C15" 0.073873645410312 -0.0314308099172531 0.00352560146960754 -0.034191916578311 -0.0737318939107666
"C16" 0.033716492809385 -0.0411831053738605 -0.0109594757042131 0.00393540372961217 0.00771046343196202
"C17" 0.0247239921512845 0.0761341808383265 -0.0304981909199089 0.0099913495682542 -0.00259235446325836
"C18" -0.105765542690057 -0.00987828460892008 0.00336502120598729 -0.0296593482245774 0.0250830736299442
"C19" 0.0578751290416234 -0.0228814726344292 0.0123781209108943 -0.0370115192731824 -0.0563017242137641
"C20" 0.0244738716945377 0.0949931063150553 0.00587475387626902 -0.0325713759452543 0.0565730051705613
"C21" 0.0442279898708419 -0.031744889756396 -0.00205570525006715 0.00625667678451993 -0.00151873678700776
"C22" -0.0985150319416031 0.00333940912651364 -0.00122644605194185 0.00093964108210423 -0.00529492220583498
"C24" 0.0824363348104534 -0.0258510668367656 -0.0291155354424291 0.00430654024139652 -0.0157555660094792
"C25" 0.0858521361083505 0.011762788410128 -0.0196386747838442 -0.0364097326208742 -0.062175979743618
"C26" -0.0426217622069042 -0.0364924866566244 0.0121151458391051 0.00374873431336396 0.0123185290462804
"C27" -0.0728047819724904 0.00791342579263927 0.0225644091829209 0.015146743864132 -0.0110437191579044
"C29" -0.0683376243719659 -0.00752613288772915 0.0403173840656807 0.02842223120044 -0.00104173884710413
"C30" -0.0303019399676106 -0.00257027107928381 0.0211818573537787 0.0153092766526058 -0.00635475523107405
"C31" 0.0409640761863849 0.0724804070266141 -0.0158198082821951 0.00489502109254597 -0.00712311836875151
"C32" -0.0946018321596195 0.00861896462603518 -0.00754003785430733 0.00503520733834118 -0.00631337325486551
"C33" -0.0933183882645197 0.0207712336110164 -0.0121761172940371 0.00289995817024821 0.017203152217221
"C34" 0.0710257257254454 -0.0382556329728123 -0.0147492292230516 0.00889258387693344 0.00226976197110976
"C35" 0.0405486097012157 0.071598336842991 0.00665071498058282 0.0171583547238584 -0.0135972791395982
"C36" 0.0362408132814993 0.0531465867519305 -0.00650171548852864 0.00861845781211613 -0.00479080126135951
"C37" 0.0410339195525797 0.0489732475610488 -0.00404175577335511 0.0152408562291998 -0.00382691823412488
