"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" -0.0261780116873766 0.00451857480357633 0.0142531134755855 -0.0113466912283013 -0.00188136824480314
"Cell2" -0.0287183016222791 -0.0144181686990009 -0.00214362884806146 0.00864738467605113 -0.0042839220046321
"Cell3" -0.0176986024348044 0.0148973511104291 0.0137244673359124 -0.0145423635414542 0.0160928700582673
"Cell4" 0.00981289620034214 0.019058472668307 -0.0243078885800074 -0.00541876127410764 -0.0143181953227696
"Cell5" -0.0213400827221104 -0.0216985602934738 -0.0201065975964052 0.0157016027152966 0.0165434310483917
"Cell6" -0.0172731839310284 -0.0263629630300803 -0.0170346810667444 0.00937284638760057 0.012758789410726
"Cell7" -0.0183024272146605 -0.0187387907995442 -0.0167111653834194 0.0140535203819586 0.0186382783690469
"Cell8" -0.0281116645190874 0.00026656035121446 0.0113002318957956 -0.00778375822769055 -0.0072963191085175
"Cell9" 0.0315642006689362 -0.0175146821724674 0.0130142493590352 -0.00937106512442782 -0.0019581268354517
"Cell10" 0.00945174649325123 0.00270733349768738 -0.0204189886154763 -0.00338124104914986 0.00324345437990608
"Cell11" 0.0295104600055445 -0.0127920027705887 0.00459171728515654 -0.0192879840230623 -0.00162656233564482
"Cell12" 0.0360770705922529 -0.0136840158926299 0.0175864267321597 0.00239912294079037 -0.00587546962577211
"Cell13" 0.020919618812022 0.00380398780979929 0.0083975133608977 0.0194364113151755 -0.00158411582256435
"Cell14" 0.0179564420563389 0.00907635359688204 0.0110495146722828 0.0137116570629126 -0.00715046492052941
"Cell15" 0.00548374352517601 0.00366175125823612 -0.0215050639071395 -0.00490284743666752 -0.00136329623020086
"Cell16" 0.00815492228579842 0.0189240645700831 -0.0308975516020342 -0.00214550135283526 -0.0137666754640078
"Cell17" 0.0235943593693658 -0.00185495115607734 0.0146756425887526 0.0137258236169788 -0.00682711296369346
"Cell18" -0.0210727200724415 0.0129569517155192 0.0113946286105906 -0.0123023864636745 0.0127036652522581
"Cell19" 0.0297249895313319 -0.0184324562304597 0.00457955015688814 -0.0150533831267686 0.00102269594716613
"Cell20" 0.0256898458020038 -0.0199948547363159 -0.00305836689761257 -0.0204582561995629 0.0039384439307401
"Cell21" -0.0301814801986673 -0.0194910449736912 -0.00601273459519044 0.00903057932658588 -0.00124357963140365
"Cell22" 0.0083654954638109 0.0213080357894163 -0.0293865834654747 -0.00878870433777693 -0.00875856381612211
"Cell23" 0.00606350272638246 0.00359966984443957 -0.0228364269843553 -0.00392794985516458 -0.00387501101244189
"Cell24" -0.00122778318742212 0.0193443416775212 0.00306407988740865 0.000211020478703058 0.00719097181981937
"Cell25" 0.00557884928004225 0.0116673645956487 -0.0018903030065377 0.010792561017107 0.0027791245456892
"Cell26" 0.00634880676719738 0.0188829917539225 -0.0204874085644814 -0.00170323795932375 -0.0171419909490266
"Cell27" 0.0223996275561787 0.00819098269026583 0.00880846831610654 0.0190654049183385 -0.00490394262331848
"Cell28" 0.0067222421029221 0.0029369612818319 -0.0179141780553488 -0.00119495256382446 0.00678349933308819
"Cell29" 0.00619729669809822 0.0237138688762666 -0.0151845784423082 0.0018247871682438 -0.00814949428621859
"Cell30" 0.0336337374638508 -0.0188843201244179 0.012363839304929 -0.00603860947899948 -0.00372739198128318
"Cell31" 0.00199767238006305 0.014040265411968 0.00466244342659076 0.00468970580252714 0.00848504723728183
"Cell32" 0.0176129994931724 0.0101737495224395 0.00685293950007572 0.0184296230399663 -0.000806241724721403
"Cell33" -0.0318308423785627 -0.0013158438422463 0.0170469198751443 -0.00711010465240291 -0.00990827294263084
"Cell34" -0.00905114493820886 0.0195936319828012 0.0130667621592039 0.00064940136387598 0.0138546438828251
"Cell35" 0.0109931148388372 0.020202365580763 -0.0312080424379247 -0.0100630947267703 -0.0162984046011629
"Cell36" -0.0114094264718579 0.021952681933797 0.011486808592239 -0.00589718467759188 0.00755523899007525
"Cell37" 0.024642891749577 0.00444108372864639 0.00978878348722608 0.0265307431934025 0.00474593000835021
"Cell38" 0.0193271208760401 -0.0151369239605898 -0.0092278293084559 -0.016650443875778 0.00521279967268036
"Cell39" -0.0330094728452498 -0.00995583536739483 0.00829484654974573 0.000373673644347139 -0.0142464372451672
"Cell40" 0.0181075751588402 0.0141351423169841 0.0082770229196054 0.0237620985167171 -0.00439321705979109
"Cell41" -0.0401344984400859 -0.010685770661064 0.0122542381423275 -0.00450037852884143 -0.0216309962543642
"Cell42" 0.0272783595844861 -0.0179938398535192 -0.00473110459381179 -0.0234252494775413 0.00885583279948132
"Cell43" -0.0327458994292933 -0.000955447497763961 0.0122370521106114 -0.00632501076467067 -0.0135030718478544
"Cell45" 0.0291527073113351 -0.0153374275755877 0.0053305979435562 -0.0101318348082515 -0.00316973977887792
"Cell46" 0.00648281930074728 0.0102273509486436 -0.0295703242155333 -0.00548745782236529 -0.00934806669220579
"Cell47" 0.00661505763318875 0.014476312453448 -0.029214323017907 -0.00545140943164905 -0.00443386538318411
"Cell48" -0.0312318784716852 -0.0191596603658364 0.00379834211530892 -0.000354470316951063 -0.0103525852808635
"Cell49" 0.00763180023004297 0.0106662627694205 -0.0244510622604683 -0.00837911385715787 -0.00773647667828441
"Cell50" 0.00835686342300896 0.00602378929767785 -0.0226514255269525 -0.00254116209424168 0.000710647590312393
"Cell51" -0.0238258522079223 0.00654374324454409 0.00879021741259725 -0.0150654096807984 8.09039884915226e-05
"Cell52" 0.0057049709670595 0.0217043481616054 -0.00870887926649578 -0.000112039162918064 -0.00237294506812935
"Cell53" 0.0208648860266347 -0.0166986089245212 -0.00419209461021011 -0.0274429013814639 0.0112664114946324
"Cell54" -0.0338952804411581 -0.0158595995996743 -0.00700634749825827 0.00884625135156896 -0.00199679329297895
"Cell55" -0.0127298945515085 -0.0162230667824213 -0.0180063283773645 0.00766054277599091 0.00665633809958032
"Cell56" 0.0336843161110835 -0.0138627641037855 0.0119672893966186 0.00060698096455 -0.00304820604762803
"Cell57" 0.00767121193968777 -0.00010582941831321 -0.0204179689477292 -0.000848214794058973 0.00243831830844951
"Cell58" 0.00444477980041251 0.021025450333446 -0.0178410885039067 -0.00117833191059558 -0.0116349824100688
"Cell59" -0.0222555825906943 0.00995063512947381 0.0129280048713391 -0.00767372955826577 0.00810185762064363
"Cell60" -0.0233380976409319 -0.0220038830487617 -0.0163421613455247 0.0114631461279911 0.00899922388762162
"Cell61" 0.0324580740353928 -0.0125163819020024 0.00548233894432205 -0.010160802150947 -0.000532614933726763
"Cell62" 0.0279914869214437 -0.0011517567849094 0.0122856702694987 0.0134680953316407 0.00316581853084791
"Cell63" 0.0253194649025258 -0.0192856408667756 -0.00399368298503295 -0.0216455992556149 0.00797276140889895
"Cell64" -0.027847214103477 0.00973914662160487 0.0126860077547035 -0.00432568279580275 0.00495954656333149
"Cell65" 0.0291241946990289 -0.0175430448977124 0.000133078647732972 -0.0203276198406356 0.00120798375966909
"Cell66" -0.0342001886740264 -0.00326505867838439 0.010291774976761 -0.00585648489641127 -0.0098535487326218
"Cell67" 0.0324696449600942 -0.0117714084669603 0.0174846069010194 0.00677757544491958 -0.0089467366490908
"Cell68" 0.0243998812907772 0.00138954967053174 0.0103952575641193 0.0210913907358399 -0.000247356972329532
"Cell69" 0.00837736778165015 0.00304518359282858 -0.0204256904977575 -0.00334078921331826 -0.00188680310634264
"Cell70" -0.00394924791958424 0.0195114908728051 0.00465030335502612 -0.00105233642064709 0.0144394331139812
"Cell71" 0.0343190272477378 -0.0109416857057684 0.0184964598582332 0.00401355812308266 -0.0078938719285085
"Cell72" 0.0253644452123244 0.00823885426191947 0.0149321490411469 0.0206187318260167 -0.000919199814082565
"Cell73" 0.022680288136931 0.00656295311676244 0.00946669606390248 0.0206035551983009 -0.00194998473118351
"Cell74" 0.00577829782176379 0.0170611512747938 -0.00492056592108858 0.000941449206527563 0.000196077448644876
"Cell75" 0.00808466031482326 0.0202507730822585 -0.0272556934994684 0.0012916855553266 -0.0132232020865983
"Cell76" 0.0237709077634921 -0.0177319905404389 -0.00265790024044688 -0.0213031937581798 0.00446193523420626
"Cell77" -0.0225368617186388 -0.0215320171700392 -0.0189575887124226 0.0143275177167554 0.0075657243460129
"Cell78" -0.0311104184762832 -0.0165820458256118 -0.00353915715640853 0.00688194392406822 -0.00462345642816418
"Cell79" -0.0302961477136222 -0.0152654589125677 0.00677668906988244 -0.000823256717716288 -0.0107980881077817
"Cell80" 0.0284601569868995 -0.0102549340691295 0.0173665345438912 0.0162827376272316 -0.005401646523749
"Cell81" 0.00933997476838046 0.0116572361989096 -0.0253465433402065 -0.00981866720710328 2.96911626130371e-05
"Cell82" 0.00821394496451141 0.0140725620379573 -0.0278752067892104 -0.00751880572912181 -0.0166020892615063
"Cell83" 0.0304090375985153 0.00211285056048056 0.0139972805337998 0.0143964005652526 -0.0108482601095513
"Cell84" 0.0269185345003453 -0.00371967156264316 0.0114008072588858 0.0103599173130513 -0.00710273628240361
"Cell85" 0.00682716547350836 0.0109012664202771 -0.0254509270148065 -0.00685979853979634 -0.00767288825256247
"Cell86" -0.0269123894740285 0.00751361912656234 0.0159063543895249 -0.00479918974602475 0.00554354914839148
"Cell87" 0.00548209828486421 0.0217974752487339 -0.0264724326211009 -0.00543322742531376 -0.0104668750344778
"Cell88" 0.0321612152804763 -0.0144290788461322 0.0128869609151335 6.52677627336607e-05 -0.00960778321070086
"Cell89" 0.0312986117868247 -0.0171720866944289 0.00892042148128308 -0.0109015876044845 -0.00141187794916537
"Cell90" 0.00238991512990155 0.0209274813114239 -0.00638311431873658 0.00510244034273657 0.00328100958727063
"Cell91" 0.000656429031324482 0.0172896603333645 -0.000682764217632656 0.00534962408662763 0.00997465119324974
"Cell92" 0.0239573115466229 0.00463774549964034 0.0152855197448959 0.0200927795626047 -0.00117434829451741
"Cell93" 0.0064001080160794 0.0181177352546433 -0.00458972256540723 0.0035181595530921 -0.00212328369656304
"Cell94" -0.0265243303386868 -0.0182890096922621 -0.01415997319111 0.01291064341371 0.00163755685755014
"Cell95" 0.00797782341503448 0.00761430727731267 -0.0328028839826118 -0.00367885508392419 -0.00446100393156086
"Cell96" -0.0184890219596923 -0.0204498710612735 -0.0173362221547963 0.013896116651825 0.0147829855788441
"Cell97" -0.0198886013609367 -0.0237671087935385 -0.0188027877078819 0.0121278731847577 0.0200129640885692
"Cell98" -0.0101090023613776 0.0222203368377832 0.00884229728014662 0.00637919633417076 0.0126080663226968
"Cell99" 0.00798359682502154 0.0184409932908108 -0.0282604589815481 -0.00537395163921327 -0.0133131299155716
