"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" -0.0320591866902972 -0.00194188881016404 0.013235429681713 0.00113345043479409 0.0211998413249084
"Cell2" 0.0201217878353182 0.00541759265537155 -0.0393862455843596 0.025794862358765 -0.0237666543925006
"Cell3" -0.00463626590981046 0.00884885194758102 0.017927062560423 0.0583998342237404 -0.0210365463070103
"Cell4" -0.0116719427071257 -0.00273682164021974 0.0079899671718984 0.00736584971443036 -0.0343252254558382
"Cell5" 0.0314526404034533 -0.0402716036890532 0.0130792842257103 -0.00118509131851218 0.0260548480176645
"Cell6" -0.0317446590069461 0.0332954156291167 -0.033428309642783 0.00662822878290157 -0.00498596880714114
"Cell7" 0.0441668482440859 -0.0397419448540497 -0.115466769201233 -0.00354785048432064 -0.0428373573397323
"Cell8" -0.000671058319966786 0.0010262485964645 -0.00783216585605644 -0.0570095512415223 -0.0292837283585727
"Cell9" -0.0462207992348792 -0.00207368837473165 0.0196047900377555 -8.05511968710944e-05 -0.0042076728359861
"Cell10" -0.0135876566071249 0.0128242935916887 0.0144876576603597 -0.0157365497265603 0.0526678352941293
"Cell11" -0.0362977805775234 0.0195791248218554 -0.0123079863672103 -0.00841801148278743 0.0126164293369021
"Cell12" -0.00807577275231385 -0.0308828676783679 -0.0448011036792668 0.0177127374637848 0.0516141577058292
"Cell13" -0.018237885703493 0.014248478900628 0.00286023711109254 -0.0326184469028838 0.0168443231191917
"Cell14" 0.0854160640408626 0.00671748960661158 -0.0163279161259804 -0.00234105072938479 -0.025549840654739
"Cell15" -0.0100848371143342 0.0321247183657008 0.0372684554874927 -0.0249317080836262 0.026470845159613
"Cell16" -0.00326101922322214 -0.0286666494546059 0.00936018300775822 -0.0301825470809179 0.00429626338988306
"Cell17" 0.0309282598102205 -0.0597818102725978 0.0102659287260525 -0.0317853559677834 -0.00904783255070563
"Cell18" -0.00332489704103925 -0.0232962996462357 -0.0256810961580711 0.00226647843830873 0.00573114200868162
"Cell19" -0.0162484861603607 -0.0152730393486993 -0.033255089373379 0.00755738440400957 0.00478226889689566
"Cell20" -0.0497673255813269 -0.0140325263959525 -0.0253396184327464 -0.000386891922927702 0.0011646013736985
"Cell21" 0.040074314240527 -0.0361509195757651 0.000439633229203172 0.0166020164464916 -0.0101467284041682
"Cell22" 0.00883286728062098 -0.0230409125918732 0.0315030487663953 -0.0140626542176982 -0.0411886725749457
"Cell23" -0.0315058255324194 0.0293035071404437 0.00387822502234244 -0.0308467738735048 -0.0302188813254959
"Cell24" 0.0162247429510208 -0.0220703122461516 0.0198395121756641 0.0383740874668808 -0.0223583334525852
"Cell25" -0.00586228228954432 -0.0293892313818836 -0.0522133587324524 -0.00761649160915158 -0.00113577555852528
"Cell26" 0.034211099333837 0.00693329140059454 -0.0144258362152507 -0.00588005205770985 0.0076074717898355
"Cell27" 0.0127257876433466 0.0155829417624186 -0.0535389129499706 -0.0145099188153056 0.0165054851123971
"Cell28" 0.0205129522608861 0.0475373731427629 0.0432838163130967 0.0472076988134651 -0.027261797433813
"Cell29" -0.0064711655939985 -0.0408486676217981 -0.0421093516936871 0.0366913601903075 -0.048879561531407
"Cell30" 0.0821910602088799 -0.00356819088317117 -0.0168380389797031 0.0251268999550829 0.0425967039138684
"Cell31" -0.0546798829396064 -0.00309842098526662 0.00365247552625368 -0.0340154169361939 -0.0114313271957267
"Cell32" -0.0556782493407066 -0.00562443007638278 0.0110601717769763 0.0220291122158532 0.00262660297888318
"Cell33" -0.0527887281623092 0.0345443926602821 0.0363098201130309 0.000489262008080119 0.00253412911453967
"Cell34" -0.0392588186107067 0.0212595538949328 0.00091486152210409 0.00557075186638288 0.0241136619958601
"Cell35" -0.0259638728444634 0.0230359513802493 -0.017591075313908 0.0199475754606661 0.0135980026758427
"Cell36" 0.0332836954660122 0.0414356246076928 0.041812493333925 -0.0303801420476456 0.0611043125786564
"Cell37" 0.0315191757253708 0.031745164003715 -0.0134546919531244 0.0738790871752688 -0.0281845545767755
"Cell38" -0.030371433307222 -0.0315753585275454 0.0282998722607123 -0.037418724487106 -0.00629528489175829
"Cell39" -0.00442923629664407 -0.0478919880496345 -0.0144495381400334 -0.00788683667018187 0.00964534497804087
"Cell40" -0.00747235167524274 0.0162888162464091 -0.00570459260686358 0.000739274327019706 0.0445927482810605
"Cell41" 0.0460161828395345 0.0279285319225889 -0.00799176206722193 -0.00740117428941456 0.00978181897237029
"Cell42" -0.0183971922211115 -0.0239467057689751 0.0227257054470681 0.0248494519694105 0.0207290752611714
"Cell43" 0.0212670376135365 0.0120292970962571 0.0241489599607653 0.00720764573071039 -0.0201511608790402
"Cell44" 0.00508758476073348 -0.00595006840685485 -0.0169648922212683 -0.0028066425246196 -0.0062085618071526
"Cell45" 0.0133253725465881 -0.00491419475255251 0.0131014124505201 0.0412367676215519 0.00402770249991816
"Cell46" -0.00474916706617103 -0.0101806098225378 0.0112036971263657 -0.00188945741337435 -0.0106550440752373
"Cell47" -0.0125667843144161 0.0196241951315896 -0.00973200343202085 0.00180831840486498 0.0169978631545209
"Cell48" -0.00217249531020024 -0.00342199120275842 0.0213694490081422 -0.00503935566793028 -0.00316652529804283
"Cell49" 0.0492855948505908 0.0487026496335532 -0.049879966737346 -0.0247761742128727 0.0102038968743254
"Cell50" 0.0116967865641028 -0.0250718854156542 -0.0185754638199843 -0.0134898951879238 -0.0163930352442263
"Cell51" 0.00461014425402201 0.0215839670348728 -0.0125688201111941 -0.00712975432939053 -0.0139417694613329
"Cell52" -0.0261984636467471 0.0128509976009675 0.00290470663038834 0.00710200050047379 -0.00359507280938105
"Cell53" 0.0384403665527291 0.000997401905884982 -0.0569114713201504 -0.0251513363647793 -0.0508540570192467
"Cell54" -0.0379980441036182 -0.0150626024216246 -0.00720329016686725 0.0188307220501601 0.00337683932850694
"Cell55" -0.0101351419542346 0.00778399334044295 0.0324587693976899 -0.00860739443967954 -0.00826413210444259
"Cell56" 0.0189111148003075 -0.0214972846678554 0.0127155121566466 0.0152040086944325 0.0472861010577445
"Cell57" 0.0455531176131874 0.0157801396477771 0.00873407438674309 -0.00688581877059528 0.0173484581755172
