"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" -0.0102794385865878 -0.0387478567135709 -0.0351072536930279 0.00921741364371807 -0.015550146929586
"Cell2" -0.0344534654381232 0.0070098786133447 -0.00268340601618272 0.00515003981775888 0.00136936979163829
"Cell3" -0.00471743216355973 0.00766107222955057 -0.0231953002823544 -0.0162786134326532 0.0149046814854771
"Cell4" 0.00865163371793412 -0.0232845804442531 0.00862363343251515 0.00205237575290669 -0.00153366612226574
"Cell5" -0.0117524890109818 -0.0267482839162262 -0.0328641221321078 0.00941939408637724 -0.0120279604752569
"Cell6" -0.0125967008399463 -0.0403011247861228 -0.0388086779225128 0.00981345082454302 -0.0187022862701377
"Cell7" 0.0201892009361962 0.0215101724685704 -0.0219550298105198 -0.022902764339078 0.0286794568080713
"Cell8" -0.00306166404989101 -0.0370194715065055 -0.0230984813424863 0.00955445843103394 -0.0147332674027885
"Cell9" 0.0132841002053118 -0.0365245459441559 0.0297006988732556 -0.00799223582956553 0.0213086173962675
"Cell10" 0.00667731320036303 -0.00964949256956827 0.00770405494638941 -0.00172656403295172 -0.00295858212547822
"Cell11" 0.03016746940764 0.0209353493769432 0.00820008414876427 -0.030196690030886 -0.044440500524001
"Cell12" 0.00866276194855049 -0.0247328127211761 0.00739704601117201 0.000981788976991253 -0.00267751317919797
"Cell13" 0.0164897657662826 -0.036641603457881 0.0386348930760853 -0.00566915639141801 0.0272397806099278
"Cell14" -0.0184789233885703 -0.0103069835856544 -0.0238910639765725 0.000530330262002042 -0.00452378043461362
"Cell15" 0.0203367870472435 0.0166219519529629 -0.00628663940774242 -0.00712019929881709 0.000397252976346695
"Cell16" 0.0158200433628483 0.0102176882411737 0.00226886862877498 -0.00522899897154918 0.00254448815898375
"Cell17" 0.0292730890239337 0.0235271472065593 0.00969807169108908 -0.0368276694564794 -0.0585279321392488
"Cell18" -0.0564960870269072 0.0270232600132066 0.0216358490675446 0.00320562289816517 -0.0049042822359528
"Cell19" 0.0363425907500328 0.0256586220327706 -0.00192483063463292 0.0542244227825482 0.00163063002418294
"Cell20" 0.0109783466166744 -0.0354797723249255 0.0386885747975691 -0.00865604567385344 0.0313604816695279
"Cell21" -0.0485578918958534 0.0220428168474101 0.0209980175300738 0.00434054538875947 -0.000745528218091925
"Cell22" 0.00907203221749966 0.00212557149424762 0.00508192098382674 -0.0047500762324307 -0.00234241556727883
"Cell23" 0.00629370354452788 -0.0208971924417352 0.00749510340089923 -0.0014451258860151 -0.0055795068215893
"Cell24" 0.0196706174962825 0.0250577542958932 -0.0180184546347718 -0.0194230592333555 0.0235433624891327
"Cell25" -0.009052191430174 0.0105896289725218 -0.0200176329996522 -0.0137211211451591 0.0119055145285822
"Cell26" 0.00414839731865828 -0.0167651075602352 0.00746282457719671 0.00318766979047171 -0.00226356280167472
"Cell27" 0.0212718944367613 0.0180018125418189 -0.0011468835498473 -0.0050340172126062 0.00330168012077771
"Cell28" 0.0183343711018275 0.0149200399604075 0.00196078524503986 -0.00690376028971768 0.00181919965345811
"Cell29" 0.005203020511859 -0.0206128851434709 0.0082049267932487 0.004072826991935 -0.00414992453321256
"Cell30" 0.0335230372455866 0.0228302434980723 -0.0025305348905318 0.0284222887922238 0.00235556914254547
"Cell31" 0.0169085402838051 0.0229836072322279 -0.0283022489814486 -0.0236303960899046 0.0292439207360049
"Cell32" 0.034542852471505 0.0201194044302997 0.00287687842237385 0.0475409436950978 0.00159084761404953
"Cell33" -0.0144694872480299 -0.0230295387436199 -0.024857892282591 0.00363708369016266 -0.0146327290631738
"Cell34" -0.0240700736426723 0.00572333217655673 -0.00222656743868024 0.00249500542360279 0.00328575784136919
"Cell35" 0.00654292665910024 -0.0103421947804944 0.0102090623559504 0.00094590827397084 -0.000997305965991817
"Cell36" 0.00599364070473699 0.0194754640320039 -0.0263725404710635 -0.0257156331497467 0.0323723001147868
"Cell37" 0.0299945934179236 0.0244855285463714 0.00132763744016803 0.0268802448227092 0.000502186934925802
"Cell38" 0.0290385253364597 0.0251525048102045 -0.00467630571300843 0.0233227833014119 0.00355687723759692
"Cell39" -0.0180110388193069 -0.00899955618408119 -0.0231687476367861 -0.00164370990004065 -0.00849856658169258
"Cell40" 0.00717703526605637 -0.0291666160824411 0.0180746805028152 -0.00607760802663326 0.0104838937268387
"Cell41" -0.00668094820135442 0.00243607146611167 0.0116649249193212 0.000701327116633856 -0.00105615721132769
"Cell42" 0.0375815845387032 0.025139144753885 0.00103064911060594 0.0575475838340676 0.00284167911557681
"Cell43" -0.0420118474503195 0.0146200904320057 0.00401612269493981 0.000607601952190267 0.000148661452256945
"Cell44" 0.0215101339869303 0.0175297527148928 0.00249956651865551 -0.00168145195717168 0.00409058669213771
"Cell45" 0.0292404561012985 0.027224834393328 0.0114524312149465 -0.0343724649641358 -0.0506089598611235
"Cell46" 0.00595323634875572 -0.02256407792304 0.0112263869790512 0.00278584490330651 -0.00369547876723545
"Cell47" 0.00588898159527068 -0.0100854746256118 0.0107070423609708 0.00214460352006182 -0.00449165983860488
"Cell48" 0.0129921810052494 0.0207940743474899 -0.0259797698938645 -0.0247936357963921 0.0298973037830954
"Cell49" 0.0131739094637179 0.00803683017944011 0.00295531809923 -0.00459466895254674 0.00254111581068743
"Cell50" 0.010673533143201 0.0034347211320475 0.001614543049587 -0.00524802213968451 0.00239305787343885
"Cell51" -0.0137763347882622 -0.0333790404349435 -0.0386200449895502 0.00986440075247872 -0.0170968489117196
"Cell52" 0.00888630256117102 -0.0227515496441886 0.00736136941430918 0.00190665593834496 -0.000983771417339924
"Cell53" 0.0377927653783918 0.0286230346754707 0.00105038697761586 0.0512624702073594 -0.000504074604394888
"Cell54" -0.0316084947688 0.00597308978661916 -0.00619614461526876 -0.000554715964206968 0.00258351670199659
"Cell55" -0.00341695977580578 0.00806685553113399 -0.0212386868179651 -0.0105946865562663 0.0132206116916462
"Cell56" 0.0220463875177232 0.0183917580322493 0.00162357568210609 0.00480636428482786 0.001465913732072
"Cell57" 0.0253917126480089 0.0194452703372954 0.0070998605350336 -0.0200682552758892 -0.027950200622053
"Cell58" 0.00442787646542823 -0.00807072075046066 0.0083131381630702 -0.00142825254638846 -0.00292626835280458
"Cell59" 0.0153998428253342 0.018691885237954 -0.0150391372145668 -0.0152118879903237 0.0140125865519177
"Cell60" 0.00197940959726755 -0.0294852544169467 -0.00266064578479486 0.00637634500681776 -0.0061386644078745
"Cell61" 0.0142920271284657 -0.0364106295445512 0.0433758165618166 -0.0107738451815771 0.0268867157806042
"Cell62" 0.0046380872416679 -0.0156853685916952 0.0143412969124628 -0.00573243726217904 0.00873401820317374
"Cell63" 0.0177668308945193 0.0134770385399573 0.00226735655761994 0.0255579254664866 -0.00292436889240679
"Cell64" 0.0159702726128402 0.0193520326629932 -0.0315833719467478 -0.024221288420729 0.0356569052994713
"Cell65" 0.0297934394570783 0.022922880322223 0.0036104839771269 0.0507648754279932 0.00259425599148498
"Cell66" -0.0531447324508121 0.0211452614739196 0.0144328288744756 0.00335513605477474 0.00253523306297863
"Cell67" 0.0327473405270389 0.0193607648948446 0.0071312147213742 -0.0344038548591585 -0.0473372172548516
"Cell68" 0.026876252813817 0.0212240978540068 0.00354741897958235 0.0439439732852858 0.00158276112541284
"Cell69" 0.00773534446603031 -0.0233367833404928 0.0109004067564341 -0.00190040206877365 -0.00393881042744214
"Cell70" -0.0276945488536382 0.0157694806810873 0.0140760823937966 0.00219492894613911 -0.00150465264921382
"Cell71" 0.0134911098833362 0.00381459345740331 0.0102227815946477 -0.0149421739207347 -0.0221128423278653
"Cell72" 0.0185406155913056 0.0107967860913159 0.0135721384483505 -0.0225270867404331 -0.0325782577749233
"Cell73" -0.0149287571208013 -0.0292114788721585 -0.0339528565092503 0.00824401304522749 -0.0169514427754214
"Cell74" 0.00224367572121336 -0.00734815627817905 0.0103836325841763 -0.0031328270231106 -0.00486704852930772
"Cell75" 0.0202815044985347 0.0129593822901353 0.0105991814606144 -0.0258881306217914 -0.0363605972928214
"Cell76" 0.0052082409888424 -0.00908119794665148 0.0141377520425515 -0.00212058553426241 0.00660101785401208
"Cell77" 0.0151088961549059 0.0195992966827325 -0.0132624225316457 -0.0192227502912843 0.0207841554976245
"Cell78" 0.0190748257538235 0.0276795753444711 -0.0257775475676659 -0.0265102110313546 0.0307503831618268
"Cell79" -0.0135152592477588 -0.0056613019822439 -0.0178938850487229 0.00124316684969196 -0.00289499186769004
"Cell80" 0.0213293343934805 0.0128102724164373 0.00200800287652435 0.0309879159396626 0.00147280491899237
"Cell81" 0.00484614927625456 -0.024058067593398 0.00878760181750757 0.00145801684532641 -0.000241232818563077
"Cell82" 0.010869601120076 -0.0160445333327996 0.00885291051003943 0.000668612486663702 -0.00187644614784482
"Cell83" 0.0320640337085294 0.0255553383697939 -0.0018219805384887 0.0256782219381528 0.000330474984875158
"Cell84" -0.0189894965603966 -0.0124374514809529 -0.0202784302222532 0.00374948576175235 -0.00517569272648923
"Cell85" 0.00780161561747024 -0.0130567739637702 0.0132185812300781 0.00101939643854225 -0.00283054753650205
"Cell86" 0.0172772546842891 0.0232119171195726 -0.0205805248825355 -0.0221532964082849 0.0290232611290791
"Cell87" 0.00731666794085741 -0.0186673296366644 0.00590035433718121 0.00333081873562176 -0.00708895188386416
"Cell88" 0.00650666603757088 -0.0237736460818064 0.010374311261305 -0.000668310337811343 0.00241610125505589
"Cell89" 0.0106255464336391 0.00743652136916501 0.00909765566705202 -0.0135863584870216 -0.0269333859748155
