"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" 0.0203177929747054 -0.0049679622115509 -0.00614081724181038 -0.0148080353869396 0.0150684678391406
"Cell2" -0.0380667134889374 -0.0142036277856606 0.0054696285176237 0.00293191179987572 -0.00365126973675313
"Cell3" -0.0434149874468381 -0.0130050073576587 0.00571383134451087 -0.00374215570787613 -0.00122024714217978
"Cell4" 0.0156522045082185 0.0160810621834354 0.0183372021558207 0.00357474179120018 0.0227505854979279
"Cell5" -0.0465915369585251 -0.0210780318155287 -0.00442024979790395 0.00146626802322306 0.00315872061238709
"Cell6" -0.0432237794170804 -0.00938509301314305 0.00657868635701169 0.00198199236402209 -0.0101179094693051
"Cell7" 0.00158035499981434 0.0207456432387637 0.0257949283721763 0.019005816688996 0.0147470141386031
"Cell8" 0.0359937856831746 -0.0184510005017636 0.00249265820478513 -0.00936161788091312 0.00779369105610164
"Cell9" 0.021917028709794 -0.0127175695335046 0.000656378939787861 -0.01086801253322 -0.0147565026035853
"Cell10" 0.041498563436855 -0.023680346567359 0.000318761067260493 -0.00232214158937522 -0.00560355367098733
"Cell11" 0.00710010006399218 0.0238253615969347 0.0106770834029641 -0.0127091366546586 -0.0184722499510747
"Cell12" 0.04029118248999 -0.0278640810495951 -0.0148148594802034 -0.0121808313608104 0.00432200192234977
"Cell13" 0.0117044516664916 0.0040165982600953 -0.00635046289617667 -0.0154563803166304 0.00225940603737004
"Cell14" -0.0211684566000158 -0.00189798852019529 -0.0029253918023276 -0.016589920742463 -0.0162523384866514
"Cell15" 0.00626015284301631 0.013739551742099 0.00227897774783953 0.00529141489775265 0.00262569704909049
"Cell16" 0.00406087545146219 0.0317293483128017 0.0042269300075225 0.00139124073941942 0.0165056435588778
"Cell17" 0.00619087631938383 0.0234341043713227 0.0108506032249173 -0.0221108957407366 -0.0237842714902686
"Cell18" 0.0297414977013701 -0.0035767273173285 0.00114366296706074 0.0402596332379194 -0.0198749663174685
"Cell19" -0.0412156894766658 -0.0168191193218149 0.00172959179298567 -0.00536520339982151 -0.00782611936627892
"Cell20" 0.0220588530335788 0.00391100676961346 -0.0103422721810239 0.00483995743192086 -0.018023738793585
"Cell21" 0.0331122404024233 -0.0285705542269372 -0.00848608829144311 0.00573581487441275 -0.00464335164804884
"Cell22" -0.0444278037513812 -0.0254626316746652 0.00900667112236008 0.00384002188918626 -0.000387050099657646
"Cell23" 0.00476280540739988 -0.0340924730177215 -0.00460275031870584 -0.00551532008690506 -0.00145412698261222
"Cell24" -0.0356656519105 -1.00046574835511e-05 0.0266475111262225 0.00972143988404671 0.00781748570208725
"Cell25" 0.0171872627899538 0.00584745778471116 -0.0087548981084874 -0.0127234363388861 0.0092388671168956
"Cell26" -0.0328243846402983 -0.0179703485759588 0.00843852076468266 0.00749165486469197 -0.00198982189267887
"Cell27" -0.00306183799233025 0.0181787529944014 -0.000430906450930301 -0.00778854476174048 -0.0139315612496685
"Cell28" 0.012899284639826 0.0263248327297349 0.00515092167559834 -0.00901448431735559 0.0183179651006157
"Cell29" 0.025901273203321 -0.0297355424755064 -0.00294563521097447 -0.00156279997287194 -0.00320675880185701
"Cell30" -0.0112467124881351 0.00635898056052496 0.00405474855583552 -0.00542987395943595 0.00812224129809194
"Cell31" 0.03153548588999 -0.015701521186605 -0.000526945861822607 -0.0130155055371782 -0.000128323954307946
"Cell32" 0.00161910958849026 0.0149051702984084 -0.00138937796809997 -0.00236261648505526 0.00252215316971755
"Cell33" -0.0428093021687978 -0.0170782652117036 -0.0178472761952065 0.0127871676140687 -0.00590117344851893
"Cell34" -0.0336269169318917 -0.0088361623753275 0.0173096587089523 0.00428948922829023 0.00929562020396751
"Cell35" -0.0154551690649062 -0.0291398594177721 0.00942236244226084 -0.0140241082188946 0.0168698170367267
"Cell36" 0.0342179682978789 -0.0262342435971926 -0.00352190079303787 -0.000235402897726376 0.00329240408555623
"Cell37" -0.0173203109029071 -0.00449864657200581 -0.00240701003772665 7.82248237577009e-05 0.00368861081184511
"Cell38" -0.0050026117636254 0.0115401765253961 0.000828872986796784 -0.0135654854921145 -0.00607148604761598
"Cell39" -0.0430249971947657 -0.0157522647079575 -0.0123172658267804 0.00268209235437127 -0.00833692920959545
"Cell40" 0.0129491116566879 0.0357004421202382 0.0202061342442862 -0.00692952450968014 0.00954768979246204
"Cell41" -0.0392961599692534 -0.0103064741931462 0.0109542931994331 -0.00392113939553968 -0.00223159791766117
"Cell42" -0.038418742459784 -0.0125055872522322 0.015751389284726 -0.00210174884468941 0.00572896987923655
"Cell43" 0.0334151626314694 -0.0218303885281591 -0.00209380464276151 0.0117939939224882 0.00540181273790923
"Cell44" -0.0151134717581036 0.00829470212664588 0.00564450332135928 -0.00502015242821503 -0.00284485867023652
"Cell45" 0.00871250366304956 0.0327106968288331 0.00919325581929516 -0.0151513654607165 -0.0374306189857004
"Cell46" -0.00872673007347664 -0.0292784640744696 0.0116856471685072 -0.00133888243799395 0.00546134100424054
"Cell47" 0.0254934249242608 -0.0334350377502046 0.00919218813848674 -0.0246559814120909 -0.00157010826365241
"Cell48" 0.0358860639762027 -0.00976084837429675 -0.0127730885737033 -0.01666852851047 0.00206126288612194
"Cell49" -0.0168315635702133 -0.0305704967802359 -0.0032494862183694 -0.00873748752385806 -0.000954154949713625
