"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"IL7115-707-507" -56.8193158427195 -7.34360683398236 -11.296345113804 -8.5533432678013 7.82424145783305
"IL7115-710-517" -57.6527209781421 -15.1322616249065 -21.2885765811617 -3.66915203722536 -3.66268650934229
"IL7115-704-518" -47.8325248379615 -13.7833679724904 -28.3750301933503 -1.40361731827644 5.29861433043072
"IL7115-711-518" -59.3931096200197 -12.2332090157054 -26.2434822922109 -4.17610881351312 -29.2763196346285
"IL7115-718-517" -57.7187093504369 -21.1216918553937 -23.4258889899744 1.41038773192321 -18.1534706136698
"IL7115-704-517" -55.3569688846023 -21.0814643152719 -15.6197169722555 -1.98919165362473 -1.57622326671453
"IL7115-721-507" -57.5583732688974 -21.3253816434447 -21.3197828200389 -1.35424146642227 2.23266106534751
"IL7115-703-508" -55.2338878754973 -14.7153784737056 -18.8401264552204 1.54280564601143 1.99188826218012
"IL7115-721-508" -54.1755599992476 -25.9480930060294 -23.2048427537404 7.09997110201059 0.25080734894334
"IL7115-705-507" -56.7266039771769 -19.7784701727933 -27.7720592437492 -4.0754407796965 -18.1819671886583
"IL7115-719-520" -53.0934174097868 -7.14425019166537 -21.0945515363729 -0.099372551491553 6.14411975576426
"IL7115-716-520" -55.9501658066777 -16.0299068699917 -32.9424648864323 3.96572995391004 8.53106571073328
"IL7115-716-508" -58.2997857283851 -17.3409522538319 -25.5168180029134 3.77159106205736 -0.830696341991991
"IL7115-723-517" -56.2416590611227 -8.65418477371922 -25.3648228508247 -1.03319835913464 -26.3886890213203
"IL7115-710-507" -56.3442238754934 -19.4708533674584 -32.2407879191184 1.55554068351871 -22.8901507145372
"IL7115-704-508" -56.4333620961669 -21.0088932019339 -20.655555679696 -0.530735066467838 -9.52822042429133
"IL7115-701-507" -55.8429239055188 -17.0506560723193 -23.146983543203 1.6786387559194 -3.61212906965325
"IL7115-718-508" -53.7638903592869 -16.2993191571685 -13.3562586703368 1.91399660504958 15.0120965818514
"IL7115-702-510" -56.3353782252252 -22.30105498129 -25.326148789354 10.6271653086873 1.31731327404512
"IL7115-720-508" -59.0084431903787 -18.4240636434234 -30.5517910392165 5.32567436160388 -9.5616114898462
"IL7115-703-518" -57.7617976443528 -26.4710582444268 -26.7622854391936 5.95626266152422 -11.518795458811
"IL7115-714-508" -49.519595883178 -22.5214940595048 -21.8685106299763 5.3339702462458 -2.89381035442365
"IL7115-716-517" -54.7009225228535 -11.6956768470513 -19.3475122598952 -2.71977330383853 -7.05752395944067
"IL7115-714-507" -57.4551279856312 -20.7993006390084 -15.4086261781695 0.394094302438134 6.1506713272979
"IL7115-703-517" -53.1750415574046 -19.4613748393836 -21.7132548272255 -8.79279722194194 -18.1167443582558
"IL7115-727-517" -57.6954436323064 -17.509911452383 -12.5482661150647 -1.64429572508466 7.24616926159278
"IL7115-724-520" -50.9525728818739 -2.98329805887443 -17.8362737576235 -10.2868071493957 -0.760105409719842
"IL7115-701-520" -58.0867287234642 -24.6828633052171 -31.6921634367411 8.29706250114311 -18.7278791408173
"IL7115-719-517" -57.4520108188702 -12.4196812745225 -17.2462042231753 0.0290142073548164 0.323077117727139
"IL7115-705-518" -61.2702600624719 -24.3189252185749 -24.6306765647268 -2.96827809653058 -2.31651387887266
"IL7115-726-507" -51.0405229426427 -13.8697982554064 -4.79498712051071 9.29077131501933 0.0451096575195612
"N335Barcode_704-513" -34.9547940297943 7.57456150402194 10.0327631571276 4.2947442447818 16.6751168449467
"N335Barcode_724-515" -39.8854907940074 9.31706834076447 -1.36491044199411 -15.0015034536567 14.9331155745641
"N335Barcode_711-503" -31.0816766192973 17.6075667317746 7.00546863538063 -14.1765648920248 27.7426233148376
"N335Barcode_704-515" -32.9081363473787 13.9777431535243 6.91444872787055 -7.56938707124526 38.5381128705633
"N335Barcode_712-515" -37.4345880061778 6.87635834337818 -5.10301354086541 -16.0344054191998 31.474290355503
"N335Barcode_715-515" -41.9801440599417 1.33189759145071 3.78056915485937 -2.6850038556199 36.0605377558552
"N335Barcode_714-513" -27.0112180642253 3.67208236848772 -2.34086378026454 -13.8669856806668 42.3003235520885
"N335Barcode_728-502" -32.2127179272014 4.14525298440485 5.8530945475469 -13.3573711839734 39.3496222866846
"N335Barcode_720-513" -42.98107508183 -3.71890798616394 -8.29858592252161 6.81702877902625 38.5911401551532
"N335Barcode_712-503" -37.6757282369864 0.515307518674332 -13.9266971012183 -2.76034574153257 41.7071481029688
"N335Barcode_716-516" -31.3537022135114 28.6934809474849 -1.08278659443202 -44.1271773412394 -11.1851737824413
"N335Barcode_716-517" -18.2866302590622 24.0145246659998 2.11486445068808 -33.8886092947664 10.5846854763567
"N335Barcode_705-516" -34.6449461370485 21.0294914799831 4.12187480982177 -38.9588584330994 -5.16596731565973
"N335Barcode_718-516" -34.5547095211407 24.6926318741563 3.00167435613536 -44.8837776180125 0.843772060933302
"N335Barcode_729-505" -19.5138820479888 24.669735744672 7.22339469158617 -35.4454315627365 6.28316991485252
"N335Barcode_710-516" -29.9446604830703 21.3029396754492 1.12636782195443 -35.7846556121762 -6.64442315587695
"N335Barcode_710-517" -27.1149492536214 21.7619855748353 -6.8658463108542 -34.074505883574 -2.34918124914028
"N335Barcode_722-505" -29.4985733778341 17.0668926020589 1.44393176601429 -33.6430363251334 -5.64479611840535
"N335Barcode_711-506" -28.0894084549232 25.2148061991793 -0.998106357744277 -30.5501447786171 0.01843754129871
"N335Barcode_706-516" -25.4497245090891 29.7356016017219 -2.83453842371081 -31.295212287141 -8.78028530938938
"N335Barcode_728-506" -24.9550791750564 19.5187765709228 2.68674498143789 -32.902338672074 19.9081819780488
"N335Barcode_719-517" -24.8355636630423 25.9724361068923 10.110716956088 -41.6270489045161 22.1124765622625
"N335Barcode_719-516" -25.3195761229934 19.0936684930418 1.60305747092532 -46.4817084417482 7.81249991829651
"N335Barcode_724-507" 45.6361785119934 29.4199158852937 -20.0421812863915 -5.69968519235613 19.8653681334485
"N335Barcode_727-518" 48.4335725700807 17.4941342854595 -27.2317776855267 6.09871064345386 7.06268028357332
"N335Barcode_710-508" 39.7957214262452 35.5833451165552 -20.3322217343652 5.49286221431997 8.72674776590379
"N335Barcode_707-520" 40.8022800618573 28.7194300355366 -27.3560964042636 -8.72372430960459 -2.2330717279173
"N335Barcode_716-507" 39.0293789223296 34.2548901676546 -17.8850143070343 -3.42440176584275 31.1167722696844
"N335Barcode_729-517" 46.3779837206256 28.8044558790224 -23.9014798443072 4.7651574127383 19.2660760011066
"N335Barcode_703-507" 50.635348515933 27.6343178963342 -27.6860800174761 -3.61700998314768 -6.10452490118003
"N335Barcode_711-518" 46.3409527430693 30.917750205912 -26.7721628200642 8.37767210375474 11.8617327873264
"N335Barcode_715-508" 47.6919173127231 23.426677729587 -31.0459265299148 5.35446314275409 -4.03695105657254
"N335Barcode_704-518" 54.5630043205614 29.8326939559692 -28.5917390610274 3.62465346133202 17.0821205192259
"N335Barcode_728-517" 44.9206873248085 31.8283398072461 -25.3931940913407 -1.30521426948567 2.04188769518504
"N335Barcode_722-508" 52.9070799622493 24.8567016587607 -24.7642375669398 3.53113804534126 1.13455895031605
"N335Barcode_702-508" 41.7359426841939 25.0626569650166 -25.7739118637977 12.4300405736314 1.59409897823305
"N335Barcode_726-518" 48.3485196124091 30.9014453450855 -31.2917955750582 2.00193630478528 19.1787892282642
"N335Barcode_719-508" 54.1760862182758 15.5867879323944 -28.6249962092283 -6.35238753536333 12.711647585048
"N335Barcode_723-508" 49.3969631784455 30.1511618655887 -27.5686408506452 2.03029095508617 18.4342085726107
"N335Barcode_706-507" 46.6700431336081 28.6089166079287 -28.4646372933502 6.96583334880551 -3.46366240210507
"N335Barcode_712-518" 53.365395510819 29.2937517787358 -13.5956804047007 2.27885267322107 0.104497862458056
"N335Barcode_714-518" 52.9479650161348 25.5948416645287 -22.1559505040398 5.39931852427498 -0.786111029019043
"N335Barcode_705-518" 49.8616319861884 25.6528241838801 -17.0255741928281 -8.68117931346605 14.1978176694421
"IL7115-722-507" -52.2959291453658 -21.3450442039527 0.656196571092277 19.5063789463014 -12.9877585519261
"IL7115-704-507" -55.9754458399057 -24.7454290160441 -13.4365221262059 9.0586589881727 -19.0197647671591
"IL7115-707-517" -45.975621449342 -2.27896138319633 22.174204427396 12.6358846385084 -5.89549795017643
"IL7115-724-507" -45.8007187745602 -12.3885671537349 8.76680717395001 17.9943666475468 -14.7814657493136
"IL7115-719-518" -52.1156111211155 -15.4513825916379 8.72092393762606 10.9910435845346 -9.47047434761061
"IL7115-703-510" -51.9423344076682 -16.7834838168269 5.69778131536807 34.299081532649 -17.2847015172967
"IL7115-722-508" -54.3225254636571 -16.07725302909 -11.5180964112859 27.7802027111123 -13.478046433128
"IL7115-706-510" -48.8068231183841 -11.0105918582622 12.2816379107629 20.1501871790433 -11.5409183292113
"IL7115-724-518" -40.0108924167979 -1.3472901263365 27.814545591318 17.3215428234453 9.97989447383034
"IL7115-704-520" -41.5251256516244 -20.7534319550676 14.3401626215954 28.8604075116957 -3.4476099359319
"IL7115-719-507" -53.382386535353 -17.7069118281893 -2.0726840679451 12.2423266316813 -24.0743856807847
"N335Barcode_707-503" -40.4945120244142 3.22617531071706 21.562402335455 27.1654315742442 27.3705936595126
"N335Barcode_715-503" -36.4481475510029 11.0434686563446 34.2966502888537 21.4856056448426 8.43295321492921
"N335Barcode_723-503" -36.7824741473282 -7.82944288482714 30.2265885318223 27.722540000833 26.2856532130813
"N335Barcode_723-515" -26.2319893705234 14.0268218145846 29.6635319014324 -0.781906742485114 -11.8354741843703
"N335Barcode_711-515" -45.2123369122938 -7.20906801180212 34.1489227485708 22.1248014788738 3.65363566164583
"N335Barcode_703-515" -35.1738207500496 5.17855009524731 19.9139670840296 18.2175208083197 -3.58641664373221
"N335Barcode_703-503" -27.0269576164084 15.3264339140235 26.1342482441848 13.2183566002635 6.78296997685276
"N335Barcode_727-515" -37.7747230263213 -0.172790332150101 28.8842001001157 13.8125347037119 6.71394361747478
"N335Barcode_715-513" -38.5479598701547 7.59938211837812 25.2287070039653 22.3216544306758 16.9974690945713
"N335Barcode_721-513" -44.6676886291622 -7.18826028660394 27.1039065071025 36.8707726569878 10.7365010692413
"N335Barcode_720-515" -42.714302509895 -5.73689345983993 24.1944298300976 40.210349820187 15.2858308008993
"N335Barcode_703-513" -34.3663805493219 10.344529820089 21.1236608703375 20.0599972036528 1.17258476373007
"N335Barcode_701-513" -37.72981392826 -3.36575108132347 30.2701955948503 16.954749342141 27.5862380614144
"N335Barcode_719-503" -36.4258167542393 -0.554088434488219 13.5213181064259 27.5215052011055 4.08835571437799
"N335Barcode_705-502" -31.2517656146345 9.17763263152914 34.6287816613269 11.8473903331866 18.2584774393853
"N335Barcode_723-516" -8.12746247653035 31.1642113171942 23.3892656983094 -17.2791953488082 -37.4134568099521
"N335Barcode_724-505" -27.6725109820876 28.2616152656571 30.6535938734832 -20.4132558085423 -20.7822529819528
"N335Barcode_720-506" -17.8096384111133 17.8319381773197 41.265028314485 2.45009122085536 7.64670003650255
"N335Barcode_711-517" -30.2732558483844 18.1107960042463 40.1507036050592 -7.56019267970964 -7.87602495350125
"N335Barcode_715-505" -26.7320394207399 22.5631195808307 33.1744229547877 -20.1791491456512 -9.90314037423961
"N335Barcode_712-516" -19.5090739308399 34.7252449462879 32.0259315251237 -27.8631845735671 -31.5887904159062
