"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1-1771017-028-D03" 28.4713590027568 15.3455313248601 -4.34328452404495 -4.31955267163209 4.4450685697087
"C1-1771017-028-E03" 27.1808852046755 13.5673484122813 -4.12367427475056 -3.64457543813086 5.22283489755198
"C1-1771017-028-F08" 25.3216692649509 15.6092178803853 -7.01753516771874 -4.65422190520929 4.57092831942271
"C1-1771017-028-G05" 29.2461352705422 17.0162703620445 -4.74763869600161 -6.56232342980058 3.35982751313099
"C1-1771017-028-G10" 28.0982487663989 14.9604643852051 -4.45146963564223 -2.76706402117181 2.24058296631067
"C1-1771017-028-H09" -3.95794213478585 -6.8764708167105 -6.6481781036342 0.831121391025415 4.46419588104455
"C1-1771017-029-A07" 27.883233333591 14.6231868304731 -6.08874024801946 -4.62607200980541 0.881015611609433
"C1-1771017-029-A09" 27.7278071654894 13.6025713103766 -5.09281779526438 -4.72152558998734 3.12497077651913
"C1-1771017-029-D05" 27.4307602201559 16.4241301736476 -2.86445110889521 -3.54270266538018 2.81033334591972
"C1-1771017-029-D09" 28.0230522288013 16.0846147569584 -3.4567159499352 -2.03527156563389 5.84008558210247
"C1-1771017-029-D10" 27.7515030739107 16.359532558189 -5.51623782810159 -4.08942886403043 3.2725320504617
"C1-1771017-029-E02" 27.4818194393151 14.299608245233 -4.76141131161472 -4.74058221881049 3.68545105013601
"C1-1771017-029-E07" 27.3528897575555 13.7244507111951 -6.02286152333184 -4.08171476341814 3.9725068247098
"C1-1771017-029-E10" 27.2868506393025 16.3590361050591 -5.43614782257475 -5.08763793136247 5.9464581680656
"C1-1771017-029-H07" 28.548991600817 14.7906066645061 -4.16865538684661 -3.98380902168663 1.04390735964164
"C1-1771017-030-A09" 28.7648084063017 14.1064275874585 -3.83004829655277 -6.04507336145192 2.24340256591873
"C1-1771017-030-A10" 31.6595350750931 14.6827964706367 -7.71559511345553 -4.87777091212264 3.06638108479636
"C1-1771017-030-A12" 29.0153759840906 16.6640836729958 -3.95177669948083 -5.64762208911578 3.17132366534325
"C1-1771017-030-B02" 28.4805716847471 15.8017446068131 -4.94160944584292 -4.52558366029046 5.48392701377487
