"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1" -46.97117020714 26.941578494481 -20.083344665143 -0.206725969431185 2.69536881435335
"C2" -42.4735495975195 18.8751642894952 -20.3670575836482 4.77690787129069 10.0480101767642
"C3" -42.9168496145861 33.1772616828977 -12.8341784852472 -0.280715532682952 3.91947909537504
"C4" -44.9241203270173 -9.76571531112844 -4.21579054403051 3.42713240701484 1.70094552479177
"C5" -41.2091109295331 14.8651229472192 -15.5135238720629 -3.8902281971341 12.1871504935776
"C6" 81.1003374369106 -2.09454920733289 -6.20691164790314 5.49135502833767 2.51063007998389
"C7" 56.6262924234757 -30.7528940072194 11.5630515685914 -14.1678138020157 16.9638928643717
"C8" -33.1294322840643 -33.9152040347759 8.98924877178154 14.8967501766997 -0.158966220430326
"C9" -26.0573719546519 -40.9221602141923 -1.56607864051148 1.95002059608854 -16.6700893016786
"C10" -19.7865326378396 -52.331166252462 7.48277850067313 10.6351190822079 -11.4353668016783
"C11" -46.274985102018 -21.7702366270381 8.77267298498291 10.480674241939 6.48279265468658
"C12" 3.44987377303355 58.4902412843874 20.1418296092961 -1.19442978656671 2.16041863691311
"C13" 82.0484797550544 -3.15931602686565 -6.65580271011864 8.2166159886232 -1.78489289676192
"C14" 81.4984004999096 -1.8174299353103 -5.61635139986568 8.21903991876581 2.41563213355328
"C15" -43.2342029625222 24.3882571678346 -12.6772118990835 -12.2070324457966 -0.558140454336259
"C16" 82.4397617604404 -4.73326930126101 -5.41438901084681 8.26457985925496 -0.719751259350305
"C17" 80.5813686945556 -1.23615501724592 -6.0065670229833 5.5719104239411 3.57194596623845
"C18" -48.0608130719941 7.89755653160621 -10.5897691730382 5.48599774769109 9.43345337089445
"C19" -38.6235919510386 -29.4697641321142 8.57917970001796 21.620313691113 -3.08732792247239
"C20" -40.5959340450698 24.585113627363 -12.0431374073831 1.32711165571133 14.9825857178724
"C21" -45.5888310323957 -2.28013477114369 -8.65768486360973 5.31202363164414 18.0557723239377
"C22" 82.3916224223383 -2.93481618482569 -3.89710567535536 7.79018574099131 -5.17347408511554
"C23" 5.89779228902151 58.2368920002181 24.8710882618567 5.0252138852105 -4.86736467745431
"C24" -44.808688070933 2.27837293416093 10.8767696134223 -1.16005257852142 17.2236841160301
"C25" -39.7703436682277 -37.3865251178285 9.85615455811745 14.9212289596905 2.21513633946144
"C26" -34.5189476788451 45.0465873366608 -13.3883377190223 -3.05336117014566 -8.63962256212738
"C27" 14.2812756469972 57.0977400669222 21.9114809006011 -5.70312669769532 5.99514237168148
"C28" -43.6274556118688 22.407626103801 -21.3338876265076 -9.46106627755924 7.11414586092602
"C29" 80.5994178219949 -3.68053162535797 -5.36067243950886 8.49120930687456 -0.480714684452034
"C30" -29.3889819562164 -42.0588317927256 -1.42885664878968 -1.73757506594313 -13.6801163426955
"C31" -36.9548680394179 22.9458775963777 -12.4234839177381 2.42441161903951 13.9649283706736
"C32" 69.6842067733861 -16.2020708320725 -5.97195008001387 -5.16498458153042 8.96969342895029
"C33" -46.9961599785122 16.7017889037431 -16.2152553837631 3.68291933416478 5.93788176921056
