"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"C1" -21.9727636682682 -15.7289776543782 -2.08694462654656 5.36962314512228 -8.453586253635
"C2" 27.873368768396 -2.71846655873444 -1.11603679178753 -1.73693401361206 4.99358819946753
"C3" 22.2916016105424 10.3532509423755 -1.68576039738513 -5.31068714269541 -10.441336400685
"C4" -22.9000915131125 7.83215851628495 2.49486483450395 7.65241088998467 7.76364208327701
"C5" 24.8795878864372 -3.47996259447334 -7.09803011146131 -5.98353520994853 7.09546016569651
"C6" -23.4294179660337 6.45387895683693 -2.37392814003407 7.83158711722617 9.52681412286665
"C7" -2.64452856904264 -20.2827815371873 -9.07669386101208 1.91470065523983 -1.16459153035169
"C8" -21.9465781821329 9.03549158835612 -0.545962472439738 5.47656030845617 8.37898619353409
"C9" -16.1521383128748 -20.3982528161715 -3.66141022636941 0.593731845386199 1.44821721711855
"C10" 29.3341525499601 -3.44547452733607 12.6554841005651 -6.6046321096672 7.57493830091612
"C11" -28.5141586280782 18.7902879244309 -5.34829681172242 -7.86529728385125 -2.38448097012205
"C12" 23.9925488972587 4.03887773688514 2.27421292083771 -7.95637986825643 1.95739676437977
"C13" -23.0791818749373 10.4970847000748 -2.70901656952045 -11.0568225781954 -2.23182030244252
"C14" -21.1565044306271 -13.0235191204539 -9.04498246903379 3.62331266862602 -9.19809824377252
"C15" 22.6963256655209 5.56393194601862 -1.66902012264407 -7.27995994984091 -1.39117489635921
"C16" -25.6486831265541 18.4731454763349 -3.63615164661774 -9.57419432377342 0.321089913682867
"C17" 0.882565376590351 20.9152340448062 2.39005043353706 20.7457367115315 1.69732006480058
"C18" 23.1342970282889 -1.35949037489884 -10.4077815785922 -5.26974136608209 9.31256259145479
"C19" 25.3436012621682 -3.66390243885958 -4.30935842291544 -4.27845882459988 8.55167092679246
"C20" 2.12232738926253 14.7418662582378 9.81457664882452 14.909026305744 0.337198213960465
"C21" -6.73620927238579 -15.6415163984175 -0.89258518492099 -2.37710626960453 4.05205938451166
"C22" 26.5190322295674 -0.783234336513267 -8.06746220975258 -4.67395095962496 1.86004288849982
"C23" -24.4897393859886 5.09955328709941 0.0224660836890796 -8.89030293976987 2.95899343899358
"C24" -4.2588520418025 21.0103864934505 -3.12807828878768 17.4982122926635 1.71280836317582
"C25" 23.793653140773 -1.1380048256132 -14.8897866875762 0.956580417242068 0.543077455007306
"C26" 25.0130398524712 -1.13015730412034 -12.6769393891454 -4.75287072128347 7.26347530953512
"C27" -25.6014697069975 17.437537418075 3.83386736704017 -10.0509129950012 -1.43933115394632
"C28" -14.4349049967717 -8.02382650407908 -11.9906042150372 4.19934115650533 -8.35459766193695
"C29" 30.5327599809486 -3.68250475994138 10.1739718712495 -1.84133974734212 2.89112479481369
"C30" -9.98377839165225 -19.4300232292084 -0.557647933457807 3.76859386730521 -1.65843280194588
"C31" -15.6625727490589 -16.0132643657317 -3.0264376855296 3.11109661018368 -12.4335357441893
"C32" -8.1076191861316 -17.0571205596888 -2.88956221490538 6.2245094174923 -3.70706005191179
"C33" -25.6968364622396 12.1366262649511 -8.91216040014865 -8.3943444746848 -2.83471311261289
"C34" -6.11231708666364 17.9063969784221 -7.55021343150458 15.5953376862071 0.686527605988805
"C35" 21.9714042065865 5.94372203372878 -9.07329679943922 -7.53722184669494 2.21728643155849
"C36" 30.7368010798192 -2.64946014466587 11.8221436966785 -6.14159479174974 8.13631864081163
"C37" 4.64974377466529 -16.4960693314122 -0.0713936716381322 3.79327939928394 2.79660751865027
"C38" -10.9191055215923 -13.0341784977717 -14.137079120545 -1.40590379172762 4.77041647518957
"C39" 29.2448953954991 -1.00437644909478 9.49965723455989 -3.64403436200297 -1.67686457541139
"C40" -23.3639253415844 -14.1412067989383 -12.2786585662846 4.04681661971831 -7.46926649298682
"C41" 21.139233540977 5.01514548930581 -4.84419697936565 -8.47068267049301 2.24279766231917
"C42" -0.673367328463524 -18.8718473374094 13.5506885175702 -1.45205752597493 3.92579672234574
"C43" 26.6546448639009 -3.18355959131803 -2.11664965736319 -0.92395321091635 -1.52781493072691
"C44" -11.4521563058408 -13.2795258830137 -6.76190019766983 -2.75041970480762 5.63720965490734
"C45" 26.5779864884452 -2.37824861436649 -5.131966472999 -1.33321128196409 -1.26761422333914
"C47" -17.73930812739 -17.3131632839847 13.774728550667 4.68801849790166 -13.7675658444155
"C48" -18.9812949977602 -12.3601186616644 -6.18004102328478 3.47373689407094 -11.8242476338858
"C49" -2.95092092495813 -16.2783961783592 -12.8685355947005 5.11170362995819 2.8497769252127
"C50" 20.544786923132 11.2081579401204 -0.163897918281211 -3.50638343487729 -6.99584874565131
"C51" -15.758837037633 11.4632837804867 0.985562116206012 8.94123365376615 6.23489860642011
"C52" 25.4871230656821 -9.02016582411014 14.4290511174472 -1.45855327878599 -1.64472903146998
"C53" -17.6680741188822 -14.6269014437307 -3.54425441810274 1.79830499478439 -9.59448746502811
"C54" -24.8429513828496 4.15982917810585 -5.87025352689405 7.45375397778578 7.3674839035423
"C55" -2.60560827464539 14.7669982383862 -1.17079762401913 20.005291899508 1.80461643009935
"C56" -6.80953534463064 -14.2373532947316 11.1692689268306 -5.7749171740501 4.22052788392525
"C57" -14.876224960024 8.19198848469595 18.8661574854766 -10.2876521004276 -4.06110027855172
"C58" -17.786410549941 6.6326107907751 12.8842756862067 -11.5248161156996 -4.05755945128616
"C59" -13.2442777854875 -15.6652832840942 -10.9509646567313 5.92378492956788 -3.1004877684513
"C60" 5.10628734021004 -25.1798550760633 19.329436110975 -3.46683396941216 -3.40168810419242
"C61" -0.926685749009609 -17.1841651280219 12.2865787150302 -3.68803731203315 0.381995739266085
"C62" 24.1072434497973 -1.60436079807857 -10.7847346219289 -4.22727310960662 0.896925710463351
"C63" -6.3988883747621 -19.6991548643962 -0.539045729037664 -0.770967867524802 2.71634952946263
