"comp_1" "comp_2" "comp_3" "comp_4" "comp_5"
"Cell1" 10.9455765036334 -3.08803016993522 7.14820110863842 -2.01832241862159 2.30014544025589
"Cell2" -0.8323751461702 2.1830523824008 -6.28458773421842 3.34957130388928 3.53220823755265
"Cell3" -0.0222516011341628 8.49861960823953 -4.72929473004253 -0.302027835328638 2.31509862124942
"Cell4" -1.44786522297824 -0.695972053334926 -1.45280212913967 -2.28101096639283 -2.73809985267737
"Cell5" 10.1482038285384 -7.96762457921458 3.92321052351516 -2.85193944448715 1.07853886689822
"Cell6" 3.78556011736341 5.67701852858323 -2.24041231915347 3.13387742389536 0.937243569327868
"Cell7" 4.02568060502774 -2.59853772538387 -2.7188141542039 -3.07703501590337 2.86843566554036
"Cell8" 6.54065568767689 2.79736848194116 -0.592029558099059 1.26350224752902 2.34627066112545
"Cell9" -1.22628111780416 1.02695810534414 -9.93614796378933 -0.0231935499963376 -6.20517259424128
"Cell10" -2.97584581582559 9.55770736608677 8.61591608149263 -11.2553861504777 -1.56146184938324
"Cell11" -10.375925002725 17.6137222948232 3.32387523401057 -37.4321324077282 33.0666324788203
"Cell12" -7.59107981836771 -4.45463190628775 4.92213777027108 -0.775725376628415 -2.01063373037498
"Cell13" -7.52950020784303 2.00916858920114 3.8906725208787 0.191474289669145 0.111422514673856
"Cell14" 10.7095063909199 -0.161554145831493 5.60255882145724 -0.44403176551706 2.54545755378992
"Cell15" 0.639578053307643 2.88826079111171 4.67891709812889 -7.77692807062016 -5.43740747011469
"Cell16" 1.56629779407794 -7.62206585893906 -3.187764358443 -2.96126808902881 -0.379917894980427
"Cell17" -5.72935164262082 1.33421210615226 -3.35421127057144 -0.81550710968769 0.650732960791058
"Cell18" 11.9278767389921 -0.933841627612755 6.9981801674975 0.980660518269063 1.63605279492049
"Cell19" -3.40501278418771 -1.8277746336448 -4.21323836977235 -4.23815330166481 -0.32070913481164
"Cell20" -6.27554836287504 -2.88656853069986 2.96852491850213 -2.35944805314878 0.270316796156921
"Cell21" 3.89868345979008 11.4337402405169 -0.716837549997806 7.79694670937792 8.87923217041325
"Cell22" -0.512229729580688 -1.33311902652252 -0.0269258898526056 -0.210627088184861 -1.08010482216515
"Cell23" -1.78139381876292 2.5922791214469 -1.21449280220024 1.68419524348225 -1.89110639293376
"Cell24" 10.1633550657794 3.8821319260989 4.1860359096359 3.53781149513868 -5.74613228532229
"Cell25" -3.29322567696907 9.01132767341036 -8.00712806548715 -6.64234699865716 -7.9112211770841
"Cell26" -0.658601815670917 -3.90694293053456 -6.02984320643347 -2.15693895709957 -0.318055288400592
"Cell27" -5.50064887008761 -4.39518075574877 3.86383429521304 1.72267840053992 3.7551456593035
"Cell28" -1.74339875542908 -1.80317532218619 -4.35415092427781 2.86926256750124 1.0794402931501
"Cell29" -8.14154948925365 2.17728951687145 4.11083022369268 -9.32988149066776 -16.9881858197696
"Cell30" -5.80624578641402 -1.62494251229585 -1.86930389406177 0.185547133709627 4.7090142153104
"Cell31" 10.4312644476899 -2.31911741964928 6.13151840709821 4.15175143550089 2.52024074144041
"Cell32" -4.85828010306726 -1.93940713601077 -2.93919809435418 -2.68421992369487 -1.27469910997264
"Cell33" 5.0816108514692 -2.87342963255079 -3.16731355703427 -1.54460118798459 3.11227251417085
"Cell34" 1.02890669520459 1.0131821220454 -5.93197282817227 1.77769589719464 -1.98591197899479
"Cell35" -1.46040843779794 -2.6075694531795 -0.130352049358719 -2.0625150830101 0.787372497979439
"Cell36" -0.489677597466811 -2.19850639543222 -7.46513693596741 -3.38770520919918 3.10554411856135
"Cell37" -4.05036419206252 -4.22073136685101 -3.30754575531382 1.7098026227337 1.49494200820522
"Cell38" -6.14788786910567 -5.73773449839155 7.79544938459074 4.97831087538527 3.15293237939944
"Cell39" 9.64839244065813 -4.68839878568597 3.04256979434114 -1.39574617024898 1.51228554690494
"Cell40" -3.00017872014596 -7.44168663718149 -7.07424847860266 -1.0388200702215 2.09445006537899
"Cell41" 8.18214394339391 10.5012141782838 4.75585096074532 0.138632411103142 -7.07226168107955
"Cell42" -9.33220149265138 6.41788291239329 13.1590731502907 6.37608330985824 -1.54216314964208
"Cell43" 13.3955609705986 0.598657280894852 7.66587549107978 0.191587583617013 0.300854587771689
"Cell44" -4.86278490290585 -4.0229056079002 2.78383294638945 -0.583872145771994 -4.33564163111889
"Cell45" -6.09937544604056 -7.88145847789411 2.30727930360888 1.36579940682616 -0.792086417506735
"Cell46" -7.78556227089222 8.86718150981942 4.24430716876067 0.213106638378318 -1.88608141014864
"Cell47" 0.744856905149832 -2.38883844691026 3.75647348350713 -1.52343648363562 -2.84096140076459
"Cell48" 3.7652409188183 19.3472201777323 -3.31952729905523 24.9037012372833 6.79425541136907
