"from" "to" "weight"
"1" "Lsk.3" "Lsk.87" 0.00332549638313811
"2" "Lsk.3" "Lsk.8" 0.00333492221054761
"3" "Lsk.3" "Lsk.30" 0.00344974969561648
"4" "Lsk.3" "Lsk.33" 0.00418234366096191
"5" "Lsk.3" "Lsk.9" 0.00585839116893698
"6" "Lsk.3" "Lsk.94" 0.00589052636723137
"7" "Lsk.3" "Lsk.85" 0.00641928423520326
"8" "Lsk.3" "Lsk.12" 0.0078235888779064
"9" "Lsk.3" "Lsk.54" 0.00825116618061796
"10" "Lsk.3" "Lsk.95" 0.00944247273340234
"11" "Lsk.80" "Lsk.4" 0.00357107197466402
"12" "Lsk.80" "Lsk.50" 0.00373884009778085
"13" "Lsk.80" "Lsk.65" 0.00482895444666862
"14" "Lsk.80" "Lsk.63" 0.00904762378286991
"15" "Lsk.80" "Lsk.78" 0.0102725713007839
"16" "Lsk.80" "Lsk.88" 0.0104492245626317
"17" "Lsk.80" "Lsk.26" 0.010663245075072
"18" "Lsk.80" "Lsk.57" 0.0119088612973834
"19" "Lsk.80" "Lsk.74" 0.0120224623490733
"20" "Lsk.80" "Lsk.94" 0.0122046178457467
"21" "Lsk.81" "Lsk.40" 0.00315155287425555
"22" "Lsk.81" "Lsk.89" 0.00588365200238124
"23" "Lsk.81" "Cmp.70" 0.00864984670657536
"24" "Lsk.81" "Lsk.20" 0.00867946210684771
"25" "Lsk.81" "Lsk.18" 0.00922037317156359
"26" "Lsk.81" "Lsk.10" 0.00988339322771122
"27" "Lsk.81" "Lsk.19" 0.0112510292458953
"28" "Lsk.81" "Lsk.17" 0.0113698455818145
"29" "Lsk.81" "Lsk.84" 0.0117908574170588
"30" "Lsk.81" "Lsk.96" 0.0118162934990692
"31" "Lsk.65" "Lsk.78" 0.0055951637199
"32" "Lsk.65" "Lsk.4" 0.00578800665319477
"33" "Lsk.65" "Lsk.50" 0.00626959101176524
"34" "Lsk.65" "Lsk.16" 0.0111261022451569
"35" "Lsk.65" "Lsk.63" 0.0114932471727399
"36" "Lsk.65" "Lsk.88" 0.0123361984712565
"37" "Lsk.65" "Lsk.26" 0.0128258057246201
"38" "Lsk.65" "Lsk.24" 0.014011268447221
"39" "Lsk.65" "Lsk.74" 0.0142833634729717
"40" "Lsk.16" "Lsk.78" 0.00736934310562776
"41" "Lsk.16" "Lsk.22" 0.0113006389998982
"42" "Lsk.16" "Lsk.49" 0.0115213782089149
"43" "Lsk.16" "Lsk.4" 0.0122204806575673
"44" "Lsk.16" "Lsk.50" 0.0125681736995989
"45" "Lsk.16" "Lsk.88" 0.0132008580240681
"46" "Lsk.16" "Lsk.43" 0.01329914596032
"47" "Lsk.16" "Lsk.24" 0.0136702138437254
"48" "Lsk.80" "Lsk.16" 0.0144175717862036
"49" "Lsk.17" "Cmp.70" 0.00300774681533256
"50" "Lsk.17" "Lsk.24" 0.00547283544351077
