"from" "to" "weight"
"1" "E18/383_SF10-10" "E18/383_SF10-7" 0.00421113846044868
"2" "E18/383_SF10-10" "E18/383_SF9-10" 0.00490735857394729
"3" "E18/383_SF10-10" "P5/393_SF15-13" 0.0050143312997852
"4" "E18/383_SF10-10" "P2/353_SF5-12" 0.00560491692726679
"5" "E18/383_SF10-10" "P2/353_SF4-9" 0.00579469003286653
"6" "E18/383_SF10-10" "E18/393_SF15-11" 0.00627710987924261
"7" "E18/383_SF10-10" "P2/353_SF1-16" 0.00631487064176503
"8" "E18/383_SF10-10" "E18/383_SF8-7" 0.00633984022370705
"9" "E18/383_SF10-10" "E18/383_SF9-15" 0.00648136641558151
"10" "E18/383_SF10-10" "P5/393_SF18-1" 0.00676655731089194
"11" "E18/383_SF10-11" "P2/353_SF3-8" 0.00168869468029569
"12" "E18/383_SF10-11" "P2/353_SF1-7" 0.00283614375947719
"13" "E18/383_SF10-11" "P2/353_SF2-13" 0.00356507118159999
"14" "E18/383_SF10-11" "P5/392_SF12-4" 0.00419495739389813
"15" "E18/383_SF10-11" "P5/393_SF16-6" 0.00503349552789135
"16" "E18/383_SF10-11" "E18/383_SF9-1" 0.0050849306157325
"17" "E18/383_SF10-11" "P5/383_SF11-15" 0.00527614182944056
"18" "E18/383_SF10-11" "P2/353_SF4-6" 0.00534533059077553
"19" "E18/383_SF10-11" "P5/383_SF11-3" 0.00575510811525938
"20" "E18/383_SF10-11" "E18/383_SF9-2" 0.00600010438752772
"21" "E18/383_SF10-12" "E18/393_SF14-16" 0.00107859240016517
"22" "E18/383_SF10-12" "E18/383_SF8-13" 0.00109516398489239
"23" "E18/383_SF10-12" "E18/393_SF14-3" 0.00306112323227808
"24" "E18/383_SF10-12" "E18/383_SF9-13" 0.00318711075923413
"25" "E18/383_SF10-12" "E18/393_SF15-5" 0.00422946893799374
"26" "E18/383_SF10-12" "E18/383_SF8-4" 0.00605107946486876
"27" "E18/383_SF10-12" "E18/383_SF10-4" 0.00819894321844758
"28" "E18/383_SF10-12" "P5/392_SF12-2" 0.00905276370960821
"29" "E18/383_SF10-12" "E18/392_SF13-15" 0.00919857847227822
"30" "E18/383_SF10-12" "E18/393_SF14-10" 0.00998636982477454
"31" "E18/383_SF10-13" "E18/393_SF15-4" 0.00243060247057454
"32" "E18/383_SF10-13" "E18/392_SF13-12" 0.00328483046470604
"33" "E18/383_SF10-13" "E18/383_SF8-6" 0.00357549193881536
"34" "E18/383_SF10-13" "E18/383_SF9-3" 0.00368799057308996
"35" "E18/383_SF10-13" "E18/383_SF8-2" 0.00394093242832221
"36" "E18/383_SF10-13" "E18/383_SF8-16" 0.00434686987114023
"37" "E18/383_SF10-13" "E18/393_SF14-8" 0.00452028590759088
"38" "E18/383_SF10-13" "E18/383_SF9-12" 0.00461665481515728
"39" "E18/383_SF10-13" "E18/383_SF8-14" 0.00464614426234645
"40" "E18/383_SF10-13" "E18/392_SF13-5" 0.00478516945085127
"41" "E18/383_SF10-14" "E18/383_SF9-12" 0.000985242546239792
"42" "E18/383_SF10-14" "E18/383_SF10-9" 0.00198634237572122
"43" "E18/383_SF10-14" "E18/393_SF14-8" 0.00243041831891509
"44" "E18/383_SF10-14" "E18/383_SF8-14" 0.0027801417619679
"45" "E18/383_SF10-14" "E18/383_SF9-4" 0.0029850090976131
"46" "E18/383_SF10-14" "E18/392_SF13-5" 0.00371442471637068
"47" "E18/383_SF10-14" "E18/383_SF10-15" 0.00383894010151923
"48" "E18/383_SF10-14" "E18/393_SF15-4" 0.00451330298280229
"49" "E18/383_SF10-13" "E18/383_SF10-14" 0.00493934361626116
"50" "E18/383_SF10-14" "E18/383_SF10-1" 0.00569914454534648
"51" "E18/383_SF10-15" "E18/393_SF15-8" 0.00200971944035675
"52" "E18/383_SF10-15" "E18/383_SF10-1" 0.00318492660136948
"53" "E18/383_SF10-15" "E18/383_SF9-4" 0.00363724110035364
"54" "E18/383_SF10-15" "E18/383_SF10-9" 0.00377215715421468
"55" "E18/383_SF10-15" "E18/383_SF9-12" 0.00394381316898592
"56" "E18/383_SF10-15" "E18/393_SF14-8" 0.00448911177272674
"57" "E18/383_SF10-15" "E18/383_SF8-14" 0.00461164866992186
"58" "E18/383_SF10-15" "E18/392_SF13-14" 0.00464552100033149
"59" "E18/383_SF10-15" "E18/383_SF10-6" 0.00511731500861993
"60" "E18/383_SF10-1" "E18/392_SF13-14" 0.00153976574565603
"61" "E18/383_SF10-1" "E18/383_SF10-6" 0.00205146280655573
"62" "E18/383_SF10-1" "E18/393_SF15-8" 0.00261473538813192
