"from" "to" "weight"
"1" "C1" "C1460" 0.0025063150068252
"2" "C1" "C1409" 0.00253986552725213
"3" "C1" "C124" 0.00292997673026355
"4" "C1" "C661" 0.00330026689788338
"5" "C1" "C1481" 0.00335491191577124
"6" "C1" "C190" 0.00346567869635665
"7" "C1" "C2124" 0.00364183554983393
"8" "C1" "C538" 0.00369157667258399
"9" "C1" "C1319" 0.00448228677325618
"10" "C1" "C1528" 0.00455126931096153
"11" "C2" "C2208" 0.00142244889477899
"12" "C2" "C98" 0.00456056472057517
"13" "C2" "C1354" 0.00465897889230112
"14" "C2" "C681" 0.0050605665366703
"15" "C2" "C2422" 0.00572313238057852
"16" "C2" "C1045" 0.00573793031537109
"17" "C2" "C506" 0.00603993777029895
"18" "C2" "C2308" 0.00607629205349881
"19" "C2" "C561" 0.00631268505394564
"20" "C2" "C2069" 0.0064122480551442
"21" "C3" "C595" 0.0011695839437934
"22" "C3" "C2345" 0.00190268494661486
"23" "C3" "C1208" 0.00204886817994776
"24" "C3" "C846" 0.00231031789763893
"25" "C3" "C1711" 0.00260615307321384
"26" "C3" "C1278" 0.00272540531835335
"27" "C3" "C64" 0.00276055423744159
"28" "C3" "C601" 0.00377781009424653
"29" "C3" "C1619" 0.00386711138494621
"30" "C3" "C2366" 0.00399055553298653
"31" "C4" "C798" 0.00276503112852638
"32" "C4" "C1304" 0.00285043387999896
"33" "C4" "C171" 0.00312428964317697
"34" "C4" "C1988" 0.00383607996492057
"35" "C4" "C236" 0.00427146668289769
"36" "C4" "C2426" 0.00482363854312386
"37" "C4" "C1086" 0.00507524405179685
"38" "C4" "C2154" 0.00518756478632322
"39" "C4" "C785" 0.00552910782735301
"40" "C4" "C742" 0.00576600023936094
"41" "C5" "C109" 0.000720650773394855
"42" "C5" "C1521" 0.000722247850399044
"43" "C5" "C2205" 0.00170022336834999
"44" "C5" "C1479" 0.00204700410838675
"45" "C5" "C826" 0.00232588603466395
"46" "C5" "C992" 0.00256883831460617
"47" "C5" "C673" 0.00303031641784788
"48" "C5" "C518" 0.00304547781424023
"49" "C5" "C1672" 0.00305054020220697
"50" "C5" "C765" 0.00305189998088978
"51" "C6" "C2336" 0.00144370791826125
"52" "C6" "C1787" 0.00147737180666123
"53" "C6" "C1543" 0.00165569805091331
"54" "C6" "C1635" 0.00216818530136955
"55" "C6" "C113" 0.00255926609682232
"56" "C6" "C853" 0.00277907538620056
"57" "C6" "C1163" 0.00309395030634125
"58" "C6" "C531" 0.00349127608102361
"59" "C6" "C2437" 0.00423433027891226
"60" "C6" "C1485" 0.00439598972305275
"61" "C7" "C2050" 0.000707366689859671
"62" "C7" "C260" 0.000853002015170042
"63" "C7" "C542" 0.000873237809497091
"64" "C7" "C1655" 0.00198081213024057
"65" "C7" "C1164" 0.00221723225122618
"66" "C7" "C792" 0.0022595078860168
"67" "C7" "C1855" 0.00241246674442127
"68" "C7" "C1853" 0.00250186732277068
"69" "C7" "C334" 0.00288264529703943
"70" "C7" "C1152" 0.00398441781635741
"71" "C8" "C1296" 0.00103501708075542
"72" "C8" "C640" 0.00139309118985284
"73" "C8" "C2420" 0.00142124788522995
"74" "C8" "C891" 0.00200788188912178
"75" "C8" "C959" 0.00360312391702051
"76" "C8" "C473" 0.00366593381815735
"77" "C8" "C1653" 0.00382911529517494
"78" "C8" "C593" 0.00414416370801297
"79" "C8" "C599" 0.00441970181306476
"80" "C8" "C48" 0.00444105972618068
"81" "C9" "C924" 0.00385637515578308
"82" "C9" "C541" 0.00451151623486824
"83" "C9" "C1632" 0.00465405428392442
"84" "C9" "C1502" 0.00553744461534486
"85" "C9" "C170" 0.00577322645251297
"86" "C9" "C397" 0.00597671145958531
"87" "C9" "C1886" 0.00637354746525625
"88" "C9" "C629" 0.00679028729279296
"89" "C9" "C157" 0.00726092644243174
"90" "C9" "C1878" 0.0082111909791828
"91" "C10" "C1312" 0.000513323815115022
"92" "C10" "C2147" 0.000745828192179539
"93" "C10" "C1126" 0.00110868331487431
"94" "C10" "C487" 0.00136085465711971
"95" "C10" "C842" 0.00145485992867475
"96" "C10" "C40" 0.00165371559022706
"97" "C10" "C2281" 0.00187931041766246
"98" "C10" "C2194" 0.00189788078849296
"99" "C10" "C305" 0.00200186994779343
"100" "C10" "C704" 0.00220570355203419
"101" "C11" "C1279" 0.00188358889226706
"102" "C11" "C268" 0.00281735942470514
"103" "C11" "C2282" 0.00377305322293077
"104" "C11" "C2084" 0.00501991967468195
"105" "C11" "C654" 0.0062802704769816
"106" "C11" "C22" 0.00769146814735522
"107" "C11" "C800" 0.0078379340620582
"108" "C11" "C1980" 0.00894658626782582
"109" "C11" "C2306" 0.00966282856426203
"110" "C11" "C2126" 0.0098538075140072
"111" "C12" "C1653" 0.000871520345981255
"112" "C12" "C1799" 0.00180845848612688
"113" "C12" "C44" 0.00199380200061886
"114" "C12" "C543" 0.00214646546276347
"115" "C12" "C1127" 0.00319410127413003
"116" "C12" "C640" 0.00334545008898779
"117" "C12" "C337" 0.00357370463402842
"118" "C12" "C45" 0.00426002859604558
"119" "C8" "C12" 0.00461349557154138
"120" "C12" "C959" 0.00463288819185815
"121" "C13" "C496" 0.0016509402629999
"122" "C13" "C805" 0.00241607632263361
"123" "C13" "C551" 0.00242286336033001
"124" "C13" "C117" 0.00294434190031351
"125" "C13" "C1628" 0.00327565472297819
"126" "C13" "C1647" 0.00330049399336147
"127" "C13" "C475" 0.0040992304400973
"128" "C13" "C183" 0.00467803580855992
"129" "C13" "C600" 0.00512702379904933
"130" "C13" "C94" 0.005376428488386
"131" "C14" "C1416" 0.000799866182293031
"132" "C14" "C2159" 0.000992909165783572
"133" "C14" "C2339" 0.00208401855700324
"134" "C14" "C2003" 0.00293466029109067
"135" "C14" "C1257" 0.00381974489612119
"136" "C14" "C432" 0.00403716044731629
"137" "C14" "C1297" 0.00439834028264275
"138" "C14" "C212" 0.00441146441101722
"139" "C14" "C1876" 0.00456239085837797
"140" "C14" "C1656" 0.0046590340705692
"141" "C15" "C479" 0.00025553389501308
"142" "C15" "C979" 0.00162234430520236
"143" "C15" "C2374" 0.00188905459620571
"144" "C15" "C886" 0.00242059386821251
"145" "C15" "C960" 0.00290592874469677
"146" "C15" "C591" 0.00349352268210668
"147" "C15" "C1056" 0.0035471703252175
"148" "C15" "C1920" 0.00374720021490964
"149" "C15" "C460" 0.00379106780871632
"150" "C15" "C1085" 0.00396765156479103
"151" "C16" "C1580" 0.000308216176268257
"152" "C16" "C613" 0.00108256337921104
"153" "C16" "C1912" 0.00115284012535024
"154" "C16" "C812" 0.00247574926004623
"155" "C16" "C2175" 0.00253197375291615
"156" "C16" "C763" 0.00300303542356815
"157" "C16" "C525" 0.00334136876006001
"158" "C16" "C1984" 0.00336838599732369
"159" "C16" "C1579" 0.00351329514746502
"160" "C16" "C921" 0.0035402920728629
"161" "C17" "C414" 0.00236369598585883
"162" "C17" "C2076" 0.00307009096580388
"163" "C17" "C480" 0.00394871306744966
"164" "C17" "C261" 0.00479003084686565
"165" "C17" "C2401" 0.00544802873139148
"166" "C17" "C1911" 0.00558989040525453
"167" "C17" "C1636" 0.00571142494965489
"168" "C17" "C698" 0.00641134604618938
"169" "C17" "C95" 0.00657997978535919
"170" "C17" "C1781" 0.00731535345270244
"171" "C18" "C1217" 0.00115233282850635
"172" "C18" "C1616" 0.0013177028920827
"173" "C18" "C2286" 0.00144515350503523
"174" "C18" "C643" 0.00184753359226668
"175" "C18" "C1955" 0.00202733372776716
"176" "C18" "C912" 0.00210001821683285
"177" "C18" "C274" 0.00220302350340367
"178" "C18" "C1932" 0.0024407092383285
"179" "C18" "C1548" 0.00265607087659557
"180" "C18" "C956" 0.00269065211225363
"181" "C19" "C1945" 0.000570350106003872
"182" "C19" "C2204" 0.00281062311388197
"183" "C19" "C1488" 0.00312180023751001
"184" "C19" "C568" 0.00329181540269352
"185" "C19" "C2319" 0.00340452253909253
"186" "C19" "C354" 0.00346562621030882
"187" "C19" "C452" 0.00356736827567131
"188" "C19" "C630" 0.00362025790691821
"189" "C19" "C707" 0.00369929770479339
"190" "C19" "C1638" 0.00385130591805453
"191" "C20" "C692" 0.00145581701071752
"192" "C20" "C2061" 0.00154096166627772
"193" "C20" "C508" 0.0015637440919049
"194" "C20" "C2012" 0.001665364683412
"195" "C20" "C946" 0.00188193839037411
"196" "C20" "C1014" 0.00198893409647951
"197" "C20" "C1303" 0.0020664852905196
"198" "C20" "C2057" 0.00208488709834178
"199" "C20" "C548" 0.00235014562176636
"200" "C20" "C1320" 0.00252310254044847
"201" "C21" "C1507" 0.00230704290575883
"202" "C21" "C1422" 0.00309561156223034
"203" "C21" "C2010" 0.00327983952527032
"204" "C21" "C754" 0.00374335069519073
"205" "C21" "C1827" 0.00392118153137994
"206" "C21" "C683" 0.00466605262993741
"207" "C21" "C2338" 0.00503872215205498
"208" "C21" "C22" 0.00544539834486675
"209" "C21" "C1363" 0.00594485347191599
"210" "C21" "C2297" 0.00738274018959445
"211" "C22" "C754" 0.00309470169315279
"212" "C22" "C2306" 0.00464124855208551
"213" "C22" "C683" 0.00482223695182833
"214" "C22" "C654" 0.00496908189497805
"215" "C22" "C1980" 0.00567265978209502
"216" "C22" "C1507" 0.00589139704604304
"217" "C22" "C801" 0.00694030955086034
"218" "C22" "C2338" 0.00723813327724909
"219" "C22" "C2297" 0.0072745809831046
"220" "C23" "C2343" 0.00119352707917854
"221" "C23" "C1262" 0.00201139745668436
"222" "C23" "C1963" 0.00268626143154641
"223" "C23" "C2373" 0.00289170245465594
"224" "C23" "C1064" 0.00314257187514375
"225" "C23" "C1321" 0.00367232598720025
"226" "C23" "C1356" 0.00369009857034965
"227" "C23" "C1858" 0.00379988624008867
"228" "C23" "C1494" 0.00417036822377411
"229" "C23" "C110" 0.0042149465589912
"230" "C24" "C1448" 0.00247550806393154
"231" "C24" "C281" 0.00312383421981951
"232" "C24" "C384" 0.00354235946208575
