"from" "to" "weight"
"1" "C1" "C574" 0.000850359378763235
"2" "C1" "C442" 0.000865884114848932
"3" "C1" "C178" 0.00158503015248915
"4" "C1" "C288" 0.00242670168662517
"5" "C1" "C196" 0.00249631129158552
"6" "C1" "C198" 0.00262657448768339
"7" "C1" "C639" 0.00287212258791969
"8" "C1" "C439" 0.00291555158913005
"9" "C1" "C563" 0.00313800975281716
"10" "C1" "C399" 0.00339989856634368
"11" "C2" "C262" 0.00197556647317442
"12" "C2" "C587" 0.0052933623717584
"13" "C2" "C18" 0.0069482957050447
"14" "C2" "C925" 0.00720018527806669
"15" "C2" "C163" 0.0079034463589741
"16" "C2" "C586" 0.00857632794049318
"17" "C2" "C790" 0.00859330415473839
"18" "C2" "C93" 0.00953295722159345
"19" "C2" "C204" 0.0104555849553692
"20" "C2" "C320" 0.0107118645954855
"21" "C3" "C223" 0.000797536732111957
"22" "C3" "C738" 0.00125814652832751
"23" "C3" "C250" 0.00140398274894318
"24" "C3" "C754" 0.00170015160156321
"25" "C3" "C396" 0.00208880980166841
"26" "C3" "C164" 0.0030365715299952
"27" "C3" "C824" 0.00325081982315456
"28" "C3" "C518" 0.00330381707445707
"29" "C3" "C794" 0.00332901326732893
"30" "C3" "C708" 0.00342403639275806
"31" "C4" "C560" 0.000678734378322526
"32" "C4" "C461" 0.000697858566301735
"33" "C4" "C286" 0.000901298537145389
"34" "C4" "C761" 0.00124978422205273
"35" "C4" "C85" 0.00161303825847013
"36" "C4" "C708" 0.0017808832865781
"37" "C4" "C565" 0.00193141810852463
"38" "C4" "C226" 0.00218377129024288
"39" "C4" "C219" 0.00227689258992085
"40" "C4" "C341" 0.00230830621462304
"41" "C5" "C333" 0.00107653074484223
"42" "C5" "C402" 0.00182150258955578
"43" "C5" "C594" 0.00329026886768516
"44" "C5" "C767" 0.00492835722627249
"45" "C5" "C69" 0.00535785784303143
"46" "C5" "C414" 0.00591182885816873
"47" "C5" "C512" 0.00603037698607703
"48" "C5" "C838" 0.0061091524562276
"49" "C5" "C148" 0.00653445355206958
"50" "C5" "C805" 0.00657446801362429
"51" "C6" "C459" 0.000829537013455197
"52" "C6" "C76" 0.00300929589640702
"53" "C6" "C159" 0.00331859195473866
"54" "C6" "C428" 0.00339474861821546
"55" "C6" "C625" 0.00381364707711233
"56" "C6" "C870" 0.0048426580195266
"57" "C6" "C49" 0.00490203861553283
"58" "C6" "C266" 0.00508374765710385
"59" "C6" "C710" 0.00518876405086182
"60" "C6" "C245" 0.00521177619799712
"61" "C7" "C113" 0.00160478401618125
"62" "C7" "C714" 0.00247038935867177
"63" "C7" "C566" 0.00315223227726045
"64" "C7" "C83" 0.00408713393532358
"65" "C7" "C76" 0.00410162205073663
"66" "C7" "C747" 0.0042216663330055
"67" "C7" "C459" 0.00451609895787994
"68" "C7" "C401" 0.00486357368309556
"69" "C7" "C136" 0.00508629910141369
"70" "C7" "C611" 0.00528655532315273
"71" "C8" "C415" 0.00201971494943633
"72" "C8" "C501" 0.00219502563064964
"73" "C8" "C43" 0.00293268458057506
"74" "C8" "C11" 0.00324069962700781
"75" "C8" "C275" 0.00347788746129125
"76" "C8" "C240" 0.00373083584565
"77" "C8" "C296" 0.00384304980076777
"78" "C8" "C181" 0.00389847004224973
"79" "C8" "C424" 0.00400300013888975
"80" "C8" "C40" 0.00407231154032026
"81" "C9" "C145" 0.000353276796901638
"82" "C9" "C914" 0.00061764126715186
"83" "C9" "C557" 0.00160489025610158
"84" "C9" "C771" 0.00206171352652306
"85" "C9" "C172" 0.00284288114481156
"86" "C9" "C892" 0.00327028187072498
"87" "C9" "C723" 0.00327330084550235
"88" "C9" "C348" 0.00329850848181271
"89" "C9" "C671" 0.00330955577249052
"90" "C9" "C24" 0.00348229130003244
"91" "C10" "C135" 0.00224109103094015
"92" "C10" "C783" 0.00228312770563542
"93" "C10" "C545" 0.00232569072079053
"94" "C10" "C729" 0.0029020366473869
"95" "C10" "C622" 0.00307236379709272
"96" "C10" "C908" 0.00370387332633103
"97" "C10" "C193" 0.00411780502211616
"98" "C10" "C543" 0.00414812462457394
"99" "C10" "C888" 0.0042811261351975
"100" "C10" "C430" 0.00464049140063165
"101" "C11" "C820" 0.00114472328357407
"102" "C11" "C296" 0.00129064655427217
"103" "C11" "C275" 0.00248689041038508
"104" "C11" "C415" 0.00252155154437613
"105" "C11" "C165" 0.00275957888218495
"106" "C11" "C581" 0.00286870243826868
"107" "C11" "C649" 0.00287844266300629
"108" "C11" "C494" 0.00289575532575256
"109" "C11" "C352" 0.00297642915555713
"110" "C11" "C116" 0.00302048614449947
"111" "C12" "C168" 0.0017668899069885
"112" "C12" "C646" 0.00194431969941816
"113" "C12" "C697" 0.00224699856656348
"114" "C12" "C227" 0.00279133792865226
"115" "C12" "C338" 0.00280085176725133
"116" "C12" "C77" 0.00293571523900507
"117" "C12" "C493" 0.00309301019201952
"118" "C12" "C218" 0.00316264338767511
"119" "C12" "C70" 0.00320393018539923
"120" "C12" "C821" 0.00346277875089406
"121" "C13" "C843" 0.00170283599412047
"122" "C13" "C840" 0.0020532380329247
"123" "C13" "C25" 0.00319404763803318
"124" "C13" "C244" 0.00320315577575578
"125" "C13" "C504" 0.00333179672813162
"126" "C13" "C736" 0.00363535826552293
"127" "C13" "C791" 0.00376006089168034
"128" "C13" "C303" 0.00383534596614364
"129" "C13" "C626" 0.00407975083728873
"130" "C13" "C834" 0.00415569624802297
"131" "C14" "C589" 0.000946749034166784
"132" "C14" "C516" 0.00098092638969363
"133" "C14" "C82" 0.00108672908147021
"134" "C14" "C451" 0.00119261464544834
"135" "C14" "C699" 0.00203578520066224
"136" "C14" "C345" 0.00251530621876897
"137" "C14" "C658" 0.00288089894045601
"138" "C14" "C722" 0.00309471423639057
"139" "C14" "C623" 0.00401342168999763
"140" "C14" "C270" 0.00445779516827993
"141" "C15" "C407" 0.000392085619246183
"142" "C15" "C862" 0.00106060426260473
"143" "C15" "C595" 0.00127430084817096
"144" "C15" "C88" 0.00161530499048314
"145" "C15" "C385" 0.00255994572012356
"146" "C15" "C765" 0.00277716404722172
"147" "C15" "C353" 0.00309740570275418
"148" "C15" "C860" 0.00313713318150079
"149" "C15" "C471" 0.00336601969686575
"150" "C15" "C907" 0.00338129763717249
"151" "C16" "C420" 0.00076866063492044
"152" "C16" "C109" 0.0010832199742216
"153" "C16" "C777" 0.00264538486435936
"154" "C16" "C495" 0.00276050373877591
"155" "C16" "C498" 0.00278283224243344
"156" "C16" "C786" 0.00329427776958131
"157" "C16" "C898" 0.00349992809134077
"158" "C16" "C53" 0.00362016616428964
"159" "C16" "C538" 0.00385406628077003
"160" "C16" "C707" 0.00389252347538679
"161" "C17" "C866" 0.0021436326532835
"162" "C17" "C670" 0.00270200358897749
"163" "C17" "C929" 0.00275315657273886
"164" "C17" "C321" 0.00311547296857688
"165" "C17" "C354" 0.00329471333785168
"166" "C17" "C517" 0.0033106090076629
"167" "C17" "C788" 0.00332125367942861
"168" "C17" "C640" 0.00341719251820773
"169" "C17" "C882" 0.00370987795899239
"170" "C17" "C356" 0.00374821626480546
"171" "C18" "C925" 0.00232883143951453
"172" "C18" "C790" 0.00336608381923376
"173" "C18" "C587" 0.00491493636676711
"174" "C18" "C204" 0.00591952323788312
"175" "C18" "C762" 0.00695876014452493
"176" "C18" "C659" 0.00730133040259253
"177" "C18" "C586" 0.00780860875035763
"178" "C18" "C262" 0.00799245049527412
"179" "C18" "C215" 0.00881619791734612
"180" "C19" "C551" 0.00112091711623692
"181" "C19" "C170" 0.0019721668381348
"182" "C19" "C771" 0.00271072759702025
"183" "C19" "C343" 0.00322677617766569
"184" "C19" "C270" 0.00327533523083376
"185" "C19" "C557" 0.00327726407982927
"186" "C19" "C671" 0.00347959060543371
"187" "C19" "C253" 0.00388953925725552
"188" "C19" "C892" 0.00458078034035276
"189" "C19" "C382" 0.00458552254033086
"190" "C20" "C781" 0.000487287488890202
"191" "C20" "C571" 0.000870139959921299
"192" "C20" "C656" 0.00205446725873887
"193" "C20" "C756" 0.00208227788266342
"194" "C20" "C123" 0.0034557966174353
"195" "C20" "C575" 0.00394787266875064
"196" "C20" "C825" 0.00424637780477335
"197" "C20" "C713" 0.00474962783626295
"198" "C20" "C476" 0.00481626415924751
"199" "C20" "C281" 0.00601972749699083
"200" "C21" "C387" 0.00529240393707507
"201" "C21" "C292" 0.00748262225030667
"202" "C21" "C915" 0.00822179856383241
"203" "C21" "C666" 0.00825429848633411
"204" "C21" "C406" 0.00897934944401668
"205" "C21" "C902" 0.0106493954730138
"206" "C21" "C628" 0.0107780535631114
"207" "C21" "C633" 0.0108323076145566
"208" "C21" "C378" 0.0109319648423411
"209" "C21" "C425" 0.0109622085115093
"210" "C22" "C418" 0.000545674919821698
"211" "C22" "C810" 0.000688545057742038
"212" "C22" "C124" 0.00096577592093649
"213" "C22" "C887" 0.000987517283921973
"214" "C22" "C157" 0.0016216693681964
"215" "C22" "C835" 0.00185282075167147
"216" "C22" "C429" 0.00214471364337261
"217" "C22" "C903" 0.00226697085961322
"218" "C22" "C845" 0.00242014950011051
"219" "C22" "C885" 0.00256487738446987
"220" "C23" "C120" 0.00167502683438392
