"from" "to" "weight"
"1" "C1" "C223" 0.00241115751636679
"2" "C1" "C564" 0.00525379753673235
"3" "C1" "C462" 0.00545042386989566
"4" "C1" "C131" 0.00820635839666685
"5" "C1" "C3" 0.00924413250535707
"6" "C1" "C23" 0.0107887762602056
"7" "C1" "C699" 0.0110864096282986
"8" "C1" "C510" 0.01154702738665
"9" "C1" "C681" 0.0130777995180834
"10" "C1" "C987" 0.0133771142908442
"11" "C2" "C379" 0.00293379225345085
"12" "C2" "C474" 0.00409087146993235
"13" "C2" "C247" 0.00523335366635595
"14" "C2" "C513" 0.00596436736388784
"15" "C2" "C260" 0.00800172928617394
"16" "C2" "C11" 0.00869417940861485
"17" "C2" "C993" 0.00899564302572621
"18" "C2" "C999" 0.00929568038406592
"19" "C2" "C943" 0.00974471616803258
"20" "C2" "C839" 0.0103103181807797
"21" "C3" "C131" 0.00128551153417056
"22" "C3" "C23" 0.0021999881053461
"23" "C3" "C510" 0.00320848491526148
"24" "C3" "C564" 0.00494995724932353
"25" "C3" "C804" 0.00622218888759559
"26" "C3" "C462" 0.00838404692737217
"27" "C3" "C951" 0.00863389727842603
"28" "C3" "C125" 0.0108791997574189
"29" "C3" "C223" 0.0115509152895379
"30" "C4" "C280" 0.00282261116819226
"31" "C4" "C735" 0.00300098131868894
"32" "C4" "C784" 0.00444825306437346
"33" "C4" "C829" 0.00475100900498344
"34" "C4" "C419" 0.00483854112296203
"35" "C4" "C581" 0.00747816541483263
"36" "C4" "C560" 0.00792850001851173
"37" "C4" "C61" 0.00934271452308902
"38" "C4" "C603" 0.00989113043233075
"39" "C4" "C823" 0.0110123006997577
"40" "C5" "C770" 0.00518506024198298
"41" "C5" "C417" 0.0114715685439087
"42" "C5" "C386" 0.0119681582133604
"43" "C5" "C502" 0.0124939220081367
"44" "C5" "C863" 0.0147758721086306
"45" "C5" "C565" 0.015673143511362
"46" "C5" "C547" 0.0179705412227897
"47" "C5" "C854" 0.0215517376619454
"48" "C5" "C19" 0.024122877595659
"49" "C5" "C445" 0.025380348911244
"50" "C6" "C749" 0.0220836859747573
"51" "C6" "C286" 0.0224516344163567
"52" "C6" "C662" 0.0272829355524557
"53" "C6" "C217" 0.0282721352893638
"54" "C6" "C177" 0.0296390293232429
"55" "C6" "C656" 0.0301373867450919
"56" "C6" "C598" 0.0335234215715842
"57" "C6" "C977" 0.0344536767234357
"58" "C6" "C810" 0.0357139516090186
"59" "C6" "C896" 0.038415753196139
"60" "C7" "C504" 0.00123817552464489
"61" "C7" "C758" 0.00392334246416796
"62" "C7" "C401" 0.00531676923738059
"63" "C7" "C359" 0.0059303781534347
"64" "C7" "C158" 0.00660638233178165
"65" "C7" "C929" 0.00703620560397874
"66" "C7" "C841" 0.00841438009603186
"67" "C7" "C255" 0.00926924722556605
"68" "C7" "C693" 0.0103906582905221
"69" "C7" "C707" 0.0105717141740938
"70" "C8" "C548" 0.00330800503001874
"71" "C8" "C820" 0.00495075295110155
"72" "C8" "C954" 0.00602362234141772
"73" "C8" "C166" 0.00764327555904555
"74" "C8" "C730" 0.0077990871821646
"75" "C8" "C220" 0.00811005525846173
"76" "C8" "C555" 0.00886032357956381
"77" "C8" "C850" 0.00912555973368136
"78" "C8" "C793" 0.0107428972749225
"79" "C8" "C496" 0.0117789594492198
"80" "C9" "C728" 0.00785992986089343
"81" "C9" "C259" 0.0134569018948798
"82" "C9" "C256" 0.0166021587990185
"83" "C9" "C590" 0.0183625659942698
"84" "C9" "C851" 0.0360233347154506
"85" "C9" "C733" 0.0444471698813234
"86" "C9" "C123" 0.0462720217383647
"87" "C9" "C532" 0.0508590835811598
"88" "C9" "C596" 0.0550695462031986
"89" "C9" "C442" 0.0645228416825245
"90" "C10" "C694" 0.00693207409409576
"91" "C10" "C578" 0.0119293293332414
"92" "C10" "C204" 0.0123592305709368
"93" "C10" "C262" 0.0135020876773348
"94" "C10" "C455" 0.0148344295330033
"95" "C10" "C736" 0.0164603586043166
"96" "C10" "C506" 0.0181013405959193
"97" "C10" "C830" 0.0220523741510391
"98" "C10" "C1001" 0.0250890641853656
"99" "C10" "C304" 0.0292835671960983
"100" "C11" "C993" 0.00462663744646902
"101" "C11" "C311" 0.00652274648085582
"102" "C11" "C379" 0.00741628049715894
"103" "C11" "C856" 0.00812372681173789
"104" "C11" "C944" 0.00947188459354498
"105" "C11" "C874" 0.0106028815303774
"106" "C11" "C195" 0.0109048028314715
"107" "C11" "C440" 0.010927150301435
"108" "C11" "C513" 0.0111609412760474
"109" "C12" "C147" 0.00667798549493624
"110" "C12" "C870" 0.0081744758983338
"111" "C12" "C38" 0.015498287587954
"112" "C12" "C314" 0.0160206066088548
"113" "C12" "C294" 0.0185697321101644
"114" "C12" "C926" 0.0199550573981305
"115" "C12" "C936" 0.02309935050236
"116" "C12" "C773" 0.0258750884455229
"117" "C12" "C17" 0.0283338644127243
"118" "C12" "C466" 0.0299124671886681
"119" "C13" "C155" 0.00367376323521778
"120" "C13" "C60" 0.00383658444424296
"121" "C13" "C701" 0.00452246187974922
"122" "C13" "C298" 0.0055153104895516
"123" "C13" "C334" 0.00552698254306667
"124" "C13" "C454" 0.0117342391915111
"125" "C13" "C46" 0.013338368562123
"126" "C13" "C164" 0.0148806388610694
"127" "C13" "C645" 0.0182292156403193
"128" "C13" "C76" 0.019558851440939
"129" "C14" "C1001" 0.0114838445489897
"130" "C14" "C304" 0.0129399186736236
"131" "C14" "C816" 0.0183193493173142
"132" "C14" "C941" 0.0194925482963332
"133" "C14" "C830" 0.0218973865736301
"134" "C14" "C694" 0.0229904986676841
"135" "C14" "C869" 0.0232576914689758
"136" "C14" "C578" 0.0261145998990439
"137" "C14" "C533" 0.0270179978915097
"138" "C14" "C341" 0.02747302243931
"139" "C15" "C82" 0.0113400620842429
"140" "C15" "C80" 0.011418016869103
"141" "C15" "C378" 0.0145346081274398
"142" "C15" "C675" 0.017029114457334
"143" "C15" "C56" 0.0218680511149422
"144" "C15" "C199" 0.0230672264041349
"145" "C15" "C592" 0.0245531284008677
"146" "C15" "C591" 0.0256491043971168
"147" "C15" "C439" 0.0263401470135709
"148" "C15" "C984" 0.0264718918467102
"149" "C16" "C775" 0.0113754350524684
"150" "C16" "C76" 0.0134533031881838
"151" "C16" "C701" 0.017423229204514
"152" "C16" "C298" 0.017947586288705
"153" "C16" "C334" 0.0183533272026527
"154" "C16" "C87" 0.0211731816203436
"155" "C13" "C16" 0.0217173742970586
"156" "C16" "C46" 0.0219154207465219
"157" "C16" "C60" 0.0228540935919073
"158" "C16" "C360" 0.0230047977975969
"159" "C17" "C466" 0.00833794667049383
"160" "C17" "C294" 0.0137914398356458
"161" "C17" "C936" 0.0252594233041434
"162" "C17" "C147" 0.030220993673577
"163" "C17" "C870" 0.0323480481883239
"164" "C17" "C279" 0.0326730278223224
"165" "C17" "C635" 0.0340225963162309
"166" "C17" "C148" 0.0340564765373506
"167" "C17" "C610" 0.0401469632158277
"168" "C18" "C814" 0.00325655781642584
"169" "C18" "C702" 0.00911337226911036
"170" "C18" "C977" 0.0122779500061027
"171" "C18" "C116" 0.0125291055020209
"172" "C18" "C825" 0.0171987816752786
"173" "C18" "C803" 0.0226228629198579
"174" "C18" "C618" 0.0281477600220657
"175" "C18" "C895" 0.0282069794932218
"176" "C18" "C749" 0.0300129268566386
"177" "C18" "C810" 0.0357382745001428
"178" "C19" "C445" 0.00395057964765986
"179" "C19" "C594" 0.00585159432968
"180" "C19" "C547" 0.00888366146918152
"181" "C19" "C627" 0.0116037233508679
"182" "C19" "C642" 0.0118529280171097
"183" "C19" "C928" 0.0132635887966328
"184" "C19" "C417" 0.0148891331748238
"185" "C19" "C875" 0.0159348458041452
"186" "C19" "C215" 0.0172581815022023
"187" "C19" "C605" 0.0173823755933235
"188" "C20" "C266" 0.00234845748912981
"189" "C20" "C187" 0.00258640821045438
"190" "C20" "C968" 0.00460107013221495
"191" "C20" "C139" 0.00478670831838339
"192" "C20" "C141" 0.00547737211924323
"193" "C20" "C677" 0.00607183091533907
"194" "C20" "C714" 0.00686887030678182
"195" "C20" "C925" 0.00817234657276199
"196" "C20" "C356" 0.00835038339414415
"197" "C20" "C340" 0.00953707086990054
"198" "C21" "C811" 0.00217058314629422
"199" "C21" "C99" 0.0157205561216193
"200" "C21" "C332" 0.020371962674173
"201" "C21" "C734" 0.0210201959544376
"202" "C21" "C93" 0.022138457007759
"203" "C21" "C497" 0.0242828365765439
"204" "C21" "C607" 0.024839525674161
"205" "C21" "C840" 0.0255106901011953
"206" "C21" "C946" 0.0256065278128211
"207" "C21" "C75" 0.0320122873598462
"208" "C22" "C407" 0.00734698488178747
"209" "C22" "C760" 0.00812826072805788
