"from" "to" "weight"
"1" "Cell1" "Cell337" 0.000534997525009489
"2" "Cell1" "Cell320" 0.000723779188772419
"3" "Cell1" "Cell202" 0.00119868768753127
"4" "Cell1" "Cell164" 0.00149249135185905
"5" "Cell1" "Cell300" 0.00158780141038609
"6" "Cell1" "Cell253" 0.00161151481972948
"7" "Cell1" "Cell231" 0.00168589017685661
"8" "Cell1" "Cell25" 0.00218392951307283
"9" "Cell1" "Cell295" 0.00218916507408349
"10" "Cell1" "Cell252" 0.00221142181483797
"11" "Cell2" "Cell248" 0.00101321951256911
"12" "Cell2" "Cell301" 0.00192877911549981
"13" "Cell2" "Cell193" 0.001951337253936
"14" "Cell2" "Cell94" 0.00271516604470527
"15" "Cell2" "Cell184" 0.0029224281065869
"16" "Cell2" "Cell127" 0.00303172609505235
"17" "Cell2" "Cell161" 0.00318266633041202
"18" "Cell2" "Cell327" 0.00326510681267412
"19" "Cell2" "Cell173" 0.0034976783128196
"20" "Cell2" "Cell273" 0.00353704843034378
"21" "Cell3" "Cell267" 0.00142450503479874
"22" "Cell3" "Cell152" 0.00162919658936338
"23" "Cell3" "Cell177" 0.00222657285896961
"24" "Cell3" "Cell313" 0.00246169820477193
"25" "Cell3" "Cell170" 0.00326421660575492
"26" "Cell3" "Cell254" 0.0035578844523678
"27" "Cell3" "Cell262" 0.00365941781624838
"28" "Cell3" "Cell346" 0.00367030349099742
"29" "Cell3" "Cell275" 0.00385669859710596
"30" "Cell3" "Cell201" 0.00393575780742164
"31" "Cell4" "Cell269" 0.00263913770824944
"32" "Cell4" "Cell272" 0.00269251638120629
"33" "Cell4" "Cell47" 0.00303041052729637
"34" "Cell4" "Cell289" 0.00357353981355454
"35" "Cell4" "Cell326" 0.00409625771721663
"36" "Cell4" "Cell15" 0.0041045670969039
"37" "Cell4" "Cell85" 0.00434179563211604
"38" "Cell4" "Cell28" 0.00442938713204625
"39" "Cell4" "Cell42" 0.00452597742381953
"40" "Cell4" "Cell93" 0.00453059077895129
"41" "Cell5" "Cell235" 0.000657212188401337
"42" "Cell5" "Cell361" 0.000704329074358358
"43" "Cell5" "Cell211" 0.00072396611401891
"44" "Cell5" "Cell261" 0.000745868912047989
"45" "Cell5" "Cell167" 0.000922719568081912
"46" "Cell5" "Cell165" 0.000969719346274315
"47" "Cell5" "Cell315" 0.00106272312054256
"48" "Cell5" "Cell138" 0.0010996465776464
"49" "Cell5" "Cell265" 0.00122751160007597
"50" "Cell5" "Cell76" 0.00138646032938638
"51" "Cell6" "Cell91" 0.000586725397814978
"52" "Cell6" "Cell21" 0.00117259594841305
"53" "Cell6" "Cell158" 0.0015016451869686
"54" "Cell6" "Cell31" 0.00169535516039531
"55" "Cell6" "Cell164" 0.00183754742563126
"56" "Cell6" "Cell279" 0.00231500820473352
"57" "Cell6" "Cell141" 0.0023373027097032
"58" "Cell6" "Cell300" 0.00262351097784072
"59" "Cell6" "Cell183" 0.00267538413627024
"60" "Cell6" "Cell320" 0.00267843555106206
"61" "Cell7" "Cell357" 0.000571176174374194
"62" "Cell7" "Cell169" 0.00111999502854444
"63" "Cell7" "Cell97" 0.001132627149351
"64" "Cell7" "Cell8" 0.00137186507000618
"65" "Cell7" "Cell180" 0.00137774618969292
"66" "Cell7" "Cell310" 0.00144420449342314
"67" "Cell7" "Cell55" 0.00185036089411368
"68" "Cell7" "Cell275" 0.00227142661239347
"69" "Cell7" "Cell346" 0.00265571698993699
"70" "Cell7" "Cell150" 0.00299698048709767
"71" "Cell8" "Cell97" 0.000927352467408223
"72" "Cell8" "Cell310" 0.00157003965575814
"73" "Cell8" "Cell357" 0.00168551712564234
"74" "Cell8" "Cell150" 0.00169255560810856
"75" "Cell8" "Cell169" 0.00183037755355181
"76" "Cell8" "Cell55" 0.00206920285978469
"77" "Cell8" "Cell180" 0.00262772668133298
"78" "Cell8" "Cell168" 0.00309794632770067
"79" "Cell8" "Cell237" 0.00344965742797815
"80" "Cell9" "Cell78" 0.000417492280659819
"81" "Cell9" "Cell223" 0.000623156775504584
"82" "Cell9" "Cell350" 0.00100722575017339
"83" "Cell9" "Cell132" 0.00130234662130638
"84" "Cell9" "Cell98" 0.00223403907610882
"85" "Cell9" "Cell322" 0.00251947705235042
"86" "Cell9" "Cell277" 0.00274201551791689
"87" "Cell9" "Cell199" 0.00291931836381693
"88" "Cell9" "Cell141" 0.00323557977110033
"89" "Cell9" "Cell316" 0.00329426170777827
"90" "Cell10" "Cell131" 0.000119754062657264
"91" "Cell10" "Cell20" 0.000212224586037519
"92" "Cell10" "Cell113" 0.000593977862393645
"93" "Cell10" "Cell128" 0.00101985161259344
"94" "Cell10" "Cell208" 0.0010610895065988
"95" "Cell10" "Cell99" 0.00111213892592132
"96" "Cell10" "Cell354" 0.00112023297585605
"97" "Cell10" "Cell136" 0.0011960832824405
"98" "Cell10" "Cell228" 0.00129564833899083
"99" "Cell10" "Cell297" 0.00129607704092081
"100" "Cell11" "Cell93" 0.000213084673251133
"101" "Cell11" "Cell68" 0.000682623352714973
"102" "Cell11" "Cell289" 0.00138046579455253
"103" "Cell11" "Cell42" 0.00173359502666209
"104" "Cell11" "Cell32" 0.00188636595526011
"105" "Cell11" "Cell84" 0.00263352480949079
"106" "Cell11" "Cell213" 0.00323963624850553
"107" "Cell11" "Cell148" 0.00342921016653766
"108" "Cell11" "Cell110" 0.00346734520684033
"109" "Cell11" "Cell272" 0.00358836407856832
"110" "Cell12" "Cell59" 0.000899310092262633
"111" "Cell12" "Cell352" 0.00101081797923917
"112" "Cell12" "Cell260" 0.00137220931113156
"113" "Cell12" "Cell186" 0.00238163809455125
"114" "Cell12" "Cell86" 0.00241041261560261
"115" "Cell12" "Cell359" 0.00248270961801471
"116" "Cell12" "Cell263" 0.00253705526531515
"117" "Cell12" "Cell219" 0.00254273962905825
"118" "Cell12" "Cell146" 0.00305096779766318
"119" "Cell12" "Cell290" 0.00307236926455574
"120" "Cell13" "Cell211" 0.00116179090087318
"121" "Cell13" "Cell189" 0.00127030197640556
"122" "Cell13" "Cell321" 0.00135143637937329
"123" "Cell13" "Cell143" 0.00154004217679973
"124" "Cell13" "Cell157" 0.00154863079375191
"125" "Cell13" "Cell76" 0.00161588839501197
"126" "Cell13" "Cell235" 0.00170602454020729
"127" "Cell13" "Cell18" 0.0017080821660749
"128" "Cell5" "Cell13" 0.00179611382023198
"129" "Cell13" "Cell165" 0.00215517825174328
"130" "Cell14" "Cell124" 0.000204374293032626
"131" "Cell14" "Cell336" 0.000378588358718591
"132" "Cell14" "Cell307" 0.000456617819604722
"133" "Cell14" "Cell107" 0.000812800033380045
"134" "Cell14" "Cell328" 0.00129618369618608
"135" "Cell14" "Cell293" 0.00145233107655602
"136" "Cell14" "Cell57" 0.0021157756086605
"137" "Cell14" "Cell30" 0.00229179907294763
"138" "Cell14" "Cell179" 0.00229771308822065
"139" "Cell14" "Cell99" 0.00240444158678608
"140" "Cell15" "Cell47" 0.00133435514058784
"141" "Cell15" "Cell85" 0.00195127557496925
"142" "Cell15" "Cell154" 0.00379452854855179
"143" "Cell15" "Cell289" 0.00498124071880984
"144" "Cell15" "Cell269" 0.00499297545313373
"145" "Cell15" "Cell93" 0.00501390667934748
"146" "Cell11" "Cell15" 0.00511586601134768
"147" "Cell15" "Cell182" 0.00512847069043869
"148" "Cell15" "Cell68" 0.00569434066639514
"149" "Cell16" "Cell23" 0.00115058331592704
"150" "Cell16" "Cell90" 0.00133897042585674
"151" "Cell16" "Cell24" 0.00245548499292244
"152" "Cell16" "Cell50" 0.00374165457481403
"153" "Cell16" "Cell335" 0.0037653033796367
"154" "Cell16" "Cell185" 0.00392432941509253
"155" "Cell16" "Cell28" 0.00403383803759462
"156" "Cell16" "Cell270" 0.00413258288386267
"157" "Cell16" "Cell102" 0.00420065490169422
"158" "Cell16" "Cell218" 0.00432979020419647
"159" "Cell17" "Cell296" 6.44222216826609e-05
"160" "Cell17" "Cell256" 0.000392268404427579
"161" "Cell17" "Cell236" 0.000412357199854561
"162" "Cell17" "Cell67" 0.000582299237190997
"163" "Cell17" "Cell356" 0.000673581006536501
"164" "Cell17" "Cell75" 0.000801266095156125
"165" "Cell17" "Cell216" 0.000842283022163888
"166" "Cell17" "Cell303" 0.000849518012701694
"167" "Cell17" "Cell149" 0.000962715607142886
"168" "Cell17" "Cell38" 0.000991939354435443
"169" "Cell18" "Cell321" 0.000867518544532965
"170" "Cell18" "Cell189" 0.00093893693884083
"171" "Cell18" "Cell266" 0.00178924355326458
"172" "Cell18" "Cell76" 0.0018456067560405
"173" "Cell18" "Cell211" 0.00259943244205847
"174" "Cell18" "Cell138" 0.00265639292626956
"175" "Cell18" "Cell274" 0.00268246103496397
"176" "Cell18" "Cell165" 0.0027149682954241
