"from" "to" "weight"
"1" "A10" "A8" 0.00376234530555763
"2" "A10" "A13" 0.00428106049650151
"3" "A10" "A21" 0.00429544811874738
"4" "A10" "A19" 0.00490854307438667
"5" "A10" "E19" 0.00518539369369186
"6" "A10" "A3" 0.00617053901143159
"7" "A10" "A18" 0.00782411665915628
"8" "A10" "A15" 0.00907718913488379
"9" "A10" "A12" 0.00959185948878706
"10" "A10" "A14" 0.00968167390306555
"11" "A10" "D2" 0.0114723229036902
"12" "A10" "A16" 0.0116742292820116
"13" "A10" "A4" 0.0138324762565994
"14" "A10" "A20" 0.014215139711183
"15" "A10" "E14" 0.0154800510797594
"16" "A11" "F4" 0.00419092437195289
"17" "A11" "G17" 0.00637480194036834
"18" "A11" "E17" 0.00793843174664816
"19" "A11" "A20" 0.0105358651832197
"20" "A11" "E14" 0.0105837705851609
"21" "A11" "E13" 0.0122048799081962
"22" "A11" "E12" 0.0124332136255845
"23" "A11" "A15" 0.0135907221692029
"24" "A11" "A3" 0.0167945730574108
"25" "A11" "A14" 0.0173448967202565
"26" "A11" "A4" 0.0181619268363692
"27" "A11" "A21" 0.0182169372178948
"28" "A11" "D2" 0.0182657973936442
"29" "A11" "E19" 0.0183564473042105
"30" "A11" "A19" 0.0185544117815968
"31" "A12" "A8" 0.0058479191952439
"32" "A12" "A18" 0.00626201921225511
"33" "A12" "A13" 0.00805461780232205
"34" "A12" "D2" 0.00906282686748129
"35" "A12" "A14" 0.00923410405223122
"36" "A12" "E19" 0.0093118786800183
"37" "A12" "A4" 0.0106356755318396
"38" "A12" "A9" 0.0108138630094036
"39" "A12" "A3" 0.0109190171392846
"40" "A12" "A21" 0.0116306921011168
"41" "A12" "A16" 0.0124164758831591
"42" "A12" "A19" 0.0135775807580024
"43" "A12" "A15" 0.0155149830799615
"44" "A12" "E14" 0.0166409255521195
"45" "A13" "E19" 0.00150896116446904
"46" "A13" "A3" 0.00314707929186041
"47" "A13" "A8" 0.00355494703619244
"48" "A13" "A21" 0.00370134769285402
"49" "A13" "A14" 0.00540147226624482
"50" "A13" "A19" 0.00593014626782778
"51" "A13" "D2" 0.0072337091744266
"52" "A13" "A15" 0.00756646900926763
"53" "A13" "A18" 0.0093633445257022
"54" "A13" "A4" 0.00958875466994957
"55" "A13" "E14" 0.0116594539250091
"56" "A13" "A20" 0.0132546731788482
"57" "A13" "A16" 0.0146582307592829
"58" "A14" "D2" 0.00223301066615302
"59" "A14" "A4" 0.00439485425529496
"60" "A14" "E19" 0.00481096002769108
"61" "A14" "A3" 0.00508090086076062
"62" "A14" "E14" 0.00746352729758802
"63" "A14" "A21" 0.00768313783409164
"64" "A14" "A8" 0.00799210355887347
"65" "A14" "A15" 0.00869771854981586
"66" "A14" "A19" 0.0100011685622385
"67" "A14" "A18" 0.013250691069611
"68" "A14" "A20" 0.0138156091211938
"69" "A14" "G17" 0.0144955550158073
"70" "A15" "A3" 0.00460850397069371
"71" "A15" "A21" 0.00481092484315717
"72" "A15" "A19" 0.00501257266471063
"73" "A15" "A20" 0.00569860332741905
"74" "A15" "E19" 0.00620632341668789
"75" "A15" "G17" 0.00818465458450908
"76" "A15" "E14" 0.00929202174768294
"77" "A15" "D2" 0.0108392110779946
"78" "A15" "A8" 0.0108450329222873
"79" "A15" "A4" 0.0125281405177911
"80" "A16" "A18" 0.00628132128766974
"81" "A16" "A5" 0.0102864666756189
"82" "A16" "A8" 0.011306976737503
"83" "A16" "A21" 0.0159681296711142
"84" "A16" "E19" 0.0160722308492691
"85" "A16" "A19" 0.0161981851621998
"86" "A16" "A3" 0.0174748627704712
"87" "A16" "A9" 0.0182634566887675
"88" "A14" "A16" 0.0192082988579994
"89" "A16" "D2" 0.0201127193920017
"90" "A15" "A16" 0.0207441482968412
"91" "A16" "A4" 0.0222002446672808
"92" "A18" "A8" 0.0058085635280968
"93" "A18" "E19" 0.0108676389533223
"94" "A18" "A21" 0.0116933304096033
"95" "A18" "A3" 0.012454186220702
"96" "A18" "A19" 0.0127286044410457
"97" "A18" "D2" 0.0139503037450408
"98" "A18" "A9" 0.0143541491329535
"99" "A18" "A5" 0.0152742477349149
"100" "A18" "A4" 0.0159715410726404
"101" "A15" "A18" 0.0164355227306641
"102" "A19" "A21" 0.00237417190629456
"103" "A19" "A3" 0.00496371495268008
"104" "A19" "E19" 0.00545294868864448
"105" "A19" "A8" 0.00793592684433978
"106" "A19" "A20" 0.00945881574231127
"107" "A19" "D2" 0.0121965299159219
"108" "A19" "G17" 0.0128334660105802
"109" "A19" "E14" 0.0134580140286695
"110" "A19" "A4" 0.0143806869912941
"111" "A20" "G17" 0.00416247611192259
"112" "A20" "A21" 0.0101947795973992
"113" "A20" "A3" 0.0102937992321013
"114" "A20" "E14" 0.0115329655433714
"115" "A20" "E19" 0.0119045747893867
"116" "A20" "F4" 0.01384574040292
"117" "A20" "D2" 0.0157617575774499
"118" "A20" "E17" 0.0162986976895758
"119" "A20" "A8" 0.0164433749400092
"120" "A21" "A3" 0.00276666113667726
"121" "A21" "E19" 0.00307981245903352
"122" "A21" "A8" 0.00631943106072734
"123" "A21" "D2" 0.00985699422337027
"124" "A21" "E14" 0.0118668182345347
"125" "A21" "A4" 0.0120755632947599
"126" "A21" "G17" 0.0129955767043593
"127" "A3" "E19" 0.00166388316923594
"128" "A3" "A8" 0.00666486669503046
"129" "A3" "D2" 0.00730430131905376
"130" "A3" "E14" 0.00935420525343953
"131" "A3" "A4" 0.00943226085794848
"132" "A3" "G17" 0.0122741886986172
"133" "A4" "D2" 0.00236026236508873
"134" "A4" "E14" 0.00757944337999214
"135" "A4" "E19" 0.00918285636720476
"136" "A4" "A8" 0.0115223675558297
"137" "A4" "D3" 0.0152102193528176
"138" "A4" "E17" 0.0152795270481921
"139" "A5" "A6" 0.0163426045550003
"140" "A12" "A5" 0.0201435387739009
"141" "A5" "A9" 0.020904395935859
"142" "A5" "A8" 0.0209912483247091
"143" "A10" "A5" 0.0219019489116243
"144" "A13" "A5" 0.0245055437101385
"145" "A5" "E19" 0.0259810971285122
"146" "A21" "A5" 0.0261794267352778
"147" "A19" "A5" 0.0264844504683677
"148" "A3" "A5" 0.0274819460612865
"149" "A14" "A5" 0.02846962944674
"150" "A5" "D2" 0.0289371460690639
"151" "A4" "A5" 0.0307336910241626
"152" "A16" "A6" 0.025904901282384
"153" "A6" "A9" 0.0268902397063136
"154" "A18" "A6" 0.0292087646600129
"155" "A12" "A6" 0.0319755199419209
"156" "A6" "A8" 0.0349222464925155
"157" "A10" "A6" 0.0367961717711931
"158" "A6" "A7" 0.03702373920746
"159" "A13" "A6" 0.0384393565851444
"160" "A6" "E19" 0.0399455289114457
"161" "A21" "A6" 0.0408739729569026
"162" "A6" "D2" 0.0409546404402484
"163" "A14" "A6" 0.041180657817588
"164" "A3" "A6" 0.0415789070101534
"165" "A19" "A6" 0.0416442063355941
"166" "A7" "A9" 0.0126749138791734
