"from" "to" "weight"
"1" "GSM1677474" "GSM1677624" 0.00369865225394871
"2" "GSM1677474" "GSM1677626" 0.00686483440102408
"3" "GSM1677474" "GSM1677502" 0.0076184551257823
"4" "GSM1677474" "GSM1677625" 0.00811214886909832
"5" "GSM1677474" "GSM1677478" 0.00898868165325794
"6" "GSM1677474" "GSM1677622" 0.00946323994327837
"7" "GSM1677474" "GSM1677627" 0.0107961508722556
"8" "GSM1677474" "GSM1677504" 0.0119342147706949
"9" "GSM1677474" "GSM1677475" 0.0124621521497003
"10" "GSM1677474" "GSM1677500" 0.0146131984685028
"11" "GSM1677474" "GSM1677501" 0.0151363238879802
"12" "GSM1677474" "GSM1677629" 0.0157891940347444
"13" "GSM1677474" "GSM1677631" 0.0191208826928882
"14" "GSM1677474" "GSM1677483" 0.0192408558555263
"15" "GSM1677474" "GSM1677630" 0.0199493441921029
"16" "GSM1677475" "GSM1677625" 0.00929020197335726
"17" "GSM1677475" "GSM1677504" 0.00930015375256129
"18" "GSM1677475" "GSM1677624" 0.00988205684600334
"19" "GSM1677475" "GSM1677629" 0.00999513643706139
"20" "GSM1677475" "GSM1677626" 0.011881384864947
"21" "GSM1677475" "GSM1677630" 0.0130368643972016
"22" "GSM1677475" "GSM1677478" 0.0144488939153118
"23" "GSM1677475" "GSM1677631" 0.0150690738752932
"24" "GSM1677475" "GSM1677632" 0.0176866936844558
"25" "GSM1677475" "GSM1677513" 0.01792365263953
"26" "GSM1677475" "GSM1677623" 0.0188149429258134
"27" "GSM1677475" "GSM1677627" 0.0197092519893121
"28" "GSM1677475" "GSM1677502" 0.0197970096803877
"29" "GSM1677475" "GSM1677678" 0.0198758068139397
"30" "GSM1677477" "GSM1677623" 0.011525350131156
"31" "GSM1677477" "GSM1677667" 0.0280310852756547
"32" "GSM1677477" "GSM1677504" 0.0287855749954574
"33" "GSM1677475" "GSM1677477" 0.0289208602684758
"34" "GSM1677477" "GSM1677673" 0.0292871717989855
"35" "GSM1677477" "GSM1677665" 0.0300079920958128
"36" "GSM1677477" "GSM1677672" 0.031130739285964
"37" "GSM1677477" "GSM1677678" 0.0345169431673249
"38" "GSM1677477" "GSM1677629" 0.0358184583937008
