"from" "to" "weight"
"1" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_B04" 0.00223364243951496
"2" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_F02" 0.00274952206003394
"3" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_F10" 0.00448735778811898
"4" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_H11" 0.00564900890308465
"5" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_D10" 0.00580653265006686
"6" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_H10" 0.00588211181311481
"7" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_G12" 0.00591131802280495
"8" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_H06" 0.00651219520352525
"9" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_C01" 0.00664210524533284
"10" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_F08" 0.00759053734393055
"11" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_E05" 0.00790977795428198
"12" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_G02" 0.00807644002731579
"13" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_B05" 0.00810324899846884
"14" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_F07" 0.00844228583806187
"15" "RamDA_mESC_00h_A04" "RamDA_mESC_00h_D01" 0.00872898412857413
"16" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_E06" 0.00287552582687728
"17" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_F05" 0.00566789982949652
"18" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_E11" 0.00599151978019012
"19" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_G03" 0.00656574443877982
"20" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_C04" 0.00660527977107293
"21" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_B01" 0.00713321478118816
"22" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_H05" 0.00743363984914722
"23" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_C11" 0.007539432429793
"24" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_C06" 0.00810689897243505
"25" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_H08" 0.00851704103623887
"26" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_B06" 0.00888765054345703
"27" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_D06" 0.00969961284523631
"28" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_D07" 0.0110237590010025
"29" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_F12" 0.0115588811276041
"30" "RamDA_mESC_00h_A05" "RamDA_mESC_00h_C02" 0.0121812232052015
"31" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_F04" 0.00583475841338386
"32" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_E04" 0.00665663082834947
"33" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_B10" 0.00821468489001235
"34" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_C09" 0.00899880139444533
"35" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_G09" 0.0099694482225094
"36" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_A09" 0.0103163842231976
"37" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_B02" 0.0106495973341256
"38" "RamDA_mESC_00h_A06" "RamDA_mESC_00h_H12" 0.0113187182921234
