"from" "to" "weight"
"1" "C6FF_MS11T85" "C6FF_MS11T88" 0.0356933582750755
"2" "C6FF_MS11T85" "C9oF_MS05T68" 0.0364677382550967
"3" "C6FF_MS11T85" "C6oF_MS05T55" 0.0371715280888833
"4" "C6FF_MS11T85" "C6FF_MS11T86" 0.0449893898215748
"5" "C6FF_MS11T85" "C6FF_MS11T91" 0.0469206594742599
"6" "C6FF_MS11T85" "C6FF_MS11T89" 0.0471202435799832
"7" "C6FF_MS11T85" "C6FF_MS11T92" 0.0489882575299276
"8" "C6FF_MS11T85" "E17_MS11T46" 0.0493246184600399
"9" "C6FF_MS11T85" "E17_MS10T81" 0.0495439819782314
"10" "C6FF_MS11T85" "E17_MS10T71" 0.0509866851128877
"11" "C6FF_MS11T85" "E17_MS10T87" 0.0518821362264005
"12" "C6FF_MS11T85" "E17_MS11T80" 0.0550070788771779
"13" "C6FF_MS11T85" "E17_MS61T43" 0.0561936688632267
"14" "C6FF_MS11T85" "E17_MS10T82" 0.0573766401760035
"15" "C6FF_MS11T85" "E17_MS10T93" 0.060842523686686
"16" "C6FF_MS11T86" "C6FF_MS11T89" 0.0383090950069846
"17" "C6FF_MS11T86" "E17_MS10T87" 0.0611056698764478
"18" "C6FF_MS11T86" "C6FF_MS11T92" 0.0618357635546318
"19" "C6FF_MS11T86" "E17_MS10T93" 0.0639917402693545
"20" "C6FF_MS11T86" "E17_MS10T71" 0.0686851450857639
"21" "C6FF_MS11T86" "E17_MS10T82" 0.0691365763931462
"22" "C6FF_MS11T86" "E17_MS61T40" 0.0721725908631399
"23" "C6FF_MS11T86" "C6FF_MS11T88" 0.0795251496400209
"24" "C6FF_MS11T86" "C9oF_MS05T68" 0.0810023254988141
"25" "C6FF_MS11T86" "C6oF_MS05T55" 0.0819486917951896
"26" "C6FF_MS11T86" "E17_MS10T81" 0.0832118749904363
"27" "C6FF_MS11T86" "C6oF_MS05T54" 0.0842994210506747
"28" "C6FF_MS11T86" "E17_MS11T80" 0.087771884071571
"29" "C6FF_MS11T86" "E17_MS11T46" 0.0895747480823505
"30" "C6FF_MS11T87" "E17_MS11T81" 0.0148261931950469
"31" "C6FF_MS11T87" "C6oF_MS05T53" 0.0163645391434253
"32" "C6FF_MS11T87" "C6oF_MS05T64" 0.0198130026764632
"33" "C6FF_MS11T87" "E17_MS10T73" 0.0213282575363973
"34" "C6FF_MS11T87" "C6oF_MS05T66" 0.0215211610166794
"35" "C6FF_MS11T87" "E16_MS08T62" 0.0274455358884377
"36" "C6FF_MS11T87" "E16_MS08T63" 0.0279199190060892
"37" "C6FF_MS11T87" "E17_MS10T68" 0.0303219929569846
"38" "C6FF_MS11T87" "C6FF_MS11T91" 0.0306897074640753
"39" "C6FF_MS11T87" "E17_MS11T46" 0.0334548841477375
"40" "C6FF_MS11T87" "E17_MS10T85" 0.035319119560549
"41" "C6FF_MS11T87" "E16_MS08T66" 0.0404109806234637
"42" "C6FF_MS11T87" "C9oF_MS05T68" 0.041760370465273
"43" "C6FF_MS11T87" "E17_MS61T43" 0.0420396610913651
"44" "C6FF_MS11T87" "E17_MS10T72" 0.0470338618499725
"45" "C6FF_MS11T88" "C6oF_MS05T55" 0.00731702362852147
"46" "C6FF_MS11T88" "C9oF_MS05T68" 0.0197518375498819
"47" "C6FF_MS11T88" "C6oF_MS05T61" 0.0273510370631441
"48" "C6FF_MS11T88" "C6FF_MS11T91" 0.0295766593304564
"49" "C6FF_MS11T88" "E16_MS08T62" 0.0306787170907969
"50" "C6FF_MS11T88" "C6oF_MS05T64" 0.0355421121527279
"51" "C6FF_MS11T88" "E17_MS11T46" 0.0417421532292929
"52" "C6FF_MS11T88" "C9oF_MS05T69" 0.0517161563322336
"53" "C6FF_MS11T88" "E17_MS10T81" 0.0537655038761208
"54" "C6FF_MS11T88" "C6FF_MS11T92" 0.0544271518203612
"55" "C6FF_MS11T88" "E17_MS11T81" 0.054775185241507
"56" "C6FF_MS11T87" "C6FF_MS11T88" 0.0549620749071174
"57" "C6FF_MS11T88" "E17_MS61T43" 0.0560711947299876
"58" "C6FF_MS11T88" "E17_MS11T80" 0.0585296062752138
"59" "C6FF_MS11T89" "E17_MS10T87" 0.0250264069440989
"60" "C6FF_MS11T89" "E17_MS10T93" 0.0258291487105915
"61" "C6FF_MS11T89" "E17_MS10T82" 0.0328706060587397
"62" "C6FF_MS11T89" "E17_MS10T71" 0.0354128147515088
"63" "C6FF_MS11T89" "E17_MS61T40" 0.0424574967222809
"64" "C6FF_MS11T89" "C6oF_MS05T54" 0.046117592907693
"65" "C6FF_MS11T89" "C6oF_MS05T57" 0.0535679816203575
"66" "C6FF_MS11T89" "E17_MS10T88" 0.0556975402194377
"67" "C6FF_MS11T89" "C6oF_MS05T60" 0.056706956700973
"68" "C6FF_MS11T89" "E17_MS10T81" 0.0583302575425601
"69" "C6FF_MS11T89" "E17_MS61T62" 0.0596889203968833
"70" "C6FF_MS11T89" "E17_MS11T80" 0.0613194744487706
"71" "C6FF_MS11T89" "E17_MS61T41" 0.0622928015559645
"72" "C6FF_MS11T91" "C9oF_MS05T68" 0.0117092193343234
"73" "C6FF_MS11T91" "E17_MS11T46" 0.0144443300841153
"74" "C6FF_MS11T91" "C6oF_MS05T64" 0.0177043731504095
"75" "C6FF_MS11T91" "E16_MS08T62" 0.0219206180990421
"76" "C6FF_MS11T91" "C6oF_MS05T55" 0.0222898619815857
"77" "C6FF_MS11T91" "E17_MS11T81" 0.0260073709280326
"78" "C6FF_MS11T91" "E17_MS61T43" 0.0299620428726273
"79" "C6FF_MS11T91" "E17_MS10T81" 0.0308956804598848
"80" "C6FF_MS11T91" "E17_MS11T80" 0.0341163504299397
"81" "C6FF_MS11T91" "C6oF_MS05T66" 0.0387684729219558
"82" "C6FF_MS11T91" "C6oF_MS05T61" 0.0398480566886509
"83" "C6FF_MS11T91" "E17_MS10T68" 0.0414628545451093
"84" "C6FF_MS11T91" "C6oF_MS05T53" 0.0434262637763226
"85" "C6FF_MS11T92" "C9oF_MS05T74" 0.0340117163630431
"86" "C6FF_MS11T92" "C6oF_MS05T55" 0.0612618203565734
"87" "C6FF_MS11T92" "C9oF_MS05T71" 0.0662612868339876
"88" "C6FF_MS11T92" "C9oF_MS05T68" 0.0703723227752742
"89" "C6FF_MS11T92" "C6oF_MS05T61" 0.0714760629692506
"90" "C6FF_MS11T91" "C6FF_MS11T92" 0.0819233184873043
"91" "C6FF_MS11T92" "E16_MS08T62" 0.0843573760085139
"92" "C6FF_MS11T92" "C9oF_MS05T69" 0.0846250838178432
"93" "C6FF_MS11T89" "C6FF_MS11T92" 0.0875484232521362
"94" "C6FF_MS11T92" "C6oF_MS05T64" 0.0899394829070136
"95" "C6FF_MS11T92" "E17_MS11T46" 0.0906137024855213
"96" "C6FF_MS11T92" "C9oF_MS05T70" 0.0938349888100676
"97" "C6FF_MS11T94" "E16_MS09T28" 0.00497473839509509
"98" "C6FF_MS11T94" "E16_MS08T69" 0.00680426858600321
"99" "C6FF_MS11T94" "E17_MS11T82" 0.0100559190581675
"100" "C6FF_MS11T94" "E17_MS11T84" 0.0185490220369299
"101" "C6FF_MS11T94" "E17_MS10T72" 0.0275055487855467
"102" "C6FF_MS11T94" "E17_MS10T77" 0.0344091705327638
"103" "C6FF_MS11T94" "C9oF_MS05T75" 0.0346047407381308
"104" "C6FF_MS11T94" "C6oF_MS05T56" 0.0352332691002184
"105" "C6FF_MS11T94" "E17_MS61T42" 0.0357578586331107
"106" "C6FF_MS11T94" "E16_MS08T61" 0.0403894996666853
"107" "C6FF_MS11T94" "E16_MS08T74" 0.0405177158816974
"108" "C6FF_MS11T94" "C6oF_MS05T58" 0.044459540350065
"109" "C6FF_MS11T94" "E16_MS08T65" 0.0458769996514736
"110" "C6FF_MS11T94" "E16_MS08T64" 0.046077777288923
"111" "C6FF_MS11T94" "E16_MS09T41" 0.0509021566559363
"112" "C6FF_MS11T95" "E17_MS10T92" 0.010851787861336
"113" "C6FF_MS11T95" "E17_MS61T38" 0.0386018456714672
"114" "C6FF_MS11T95" "E17_MS61T40" 0.040973500648528
"115" "C6FF_MS11T95" "E17_MS10T94" 0.0434833964146467
"116" "C6FF_MS11T95" "E17_MS61T41" 0.0465261538562995
"117" "C6FF_MS11T95" "E17_MS61T39" 0.0622793784376743
"118" "C6FF_MS11T95" "C6oF_MS05T57" 0.0779541149144774
"119" "C6FF_MS11T95" "E17_MS10T93" 0.0784498808773736
"120" "C6FF_MS11T89" "C6FF_MS11T95" 0.0806801637493569
