"from" "to" "weight"
"1" "E10.5D_1_01" "E10.5D_1_02" 0.0136726445662373
"2" "E10.5D_1_01" "E10.5D_2_04" 0.0159338800965523
"3" "E10.5D_1_01" "E10.5D_1_11" 0.02566122169873
"4" "E10.5D_1_01" "E10.5D_1_12" 0.0377758761832272
"5" "E10.5D_1_01" "E10.5D_1_09" 0.0388580171264134
"6" "E10.5D_1_01" "E10.5D_3_04" 0.0439385623432636
"7" "E10.5D_1_01" "E10.5D_1_14" 0.0446314885181977
"8" "E10.5D_1_01" "E10.5D_1_08" 0.0471212089349188
"9" "E10.5D_1_01" "E11.5D_2_02" 0.0518629381148638
"10" "E10.5D_1_01" "E11.5D_1_02" 0.0525470890339972
"11" "E10.5D_1_01" "E10.5D_2_11" 0.0544863094627137
"12" "E10.5D_1_01" "E10.5D_2_20" 0.058379241821757
"13" "E10.5D_1_01" "E10.5D_2_05" 0.0622479125941884
"14" "E10.5D_1_01" "E10.5D_2_14" 0.0666613797165443
"15" "E10.5D_1_01" "E10.5D_2_07" 0.0729080467144877
"16" "E10.5D_1_02" "E10.5D_2_04" 0.00242966773269379
"17" "E10.5D_1_02" "E10.5D_1_12" 0.0241689706835202
"18" "E10.5D_1_02" "E10.5D_1_11" 0.0357753817629016
"19" "E10.5D_1_02" "E10.5D_3_04" 0.0442967239401109
"20" "E10.5D_1_02" "E11.5D_2_02" 0.0473926450641586
"21" "E10.5D_1_02" "E10.5D_2_05" 0.0485779748230126
"22" "E10.5D_1_02" "E10.5D_2_20" 0.0517107644116008
"23" "E10.5D_1_02" "E10.5D_1_09" 0.0517958399219689
"24" "E10.5D_1_02" "E10.5D_1_14" 0.0538234854473642
"25" "E10.5D_1_02" "E11.5D_1_02" 0.0550872548459548
"26" "E10.5D_1_02" "E10.5D_1_08" 0.0606500269605271
"27" "E10.5D_1_02" "E11.5E_2_06" 0.067999041914213
"28" "E10.5D_1_02" "E10.5D_2_11" 0.0680778032322204
"29" "E10.5D_1_02" "E11.5D_1_07" 0.0742551499153249
"30" "E10.5D_1_03" "E10.5D_1_15" 0.00433870638918399
"31" "E10.5D_1_03" "E10.5D_2_09" 0.00736800714933343
"32" "E10.5D_1_03" "E10.5D_1_05" 0.0111598079041534
"33" "E10.5D_1_03" "E10.5D_3_11" 0.0149382129786868
"34" "E10.5D_1_03" "E10.5D_3_08" 0.0224742661302092
"35" "E10.5D_1_03" "E10.5D_1_06" 0.0237069541154426
"36" "E10.5D_1_03" "E10.5D_3_07" 0.0242145643480336
"37" "E10.5D_1_03" "E10.5D_2_03" 0.0251271452146697
"38" "E10.5D_1_03" "E10.5D_2_02" 0.0313715495730044
"39" "E10.5D_1_03" "E10.5D_1_13" 0.0319266955365337
"40" "E10.5D_1_03" "E10.5D_2_13" 0.0342275154887278
"41" "E10.5D_1_03" "E10.5D_2_19" 0.0370855236319042
"42" "E10.5D_1_03" "E10.5D_3_13" 0.040579135738785
"43" "E10.5D_1_03" "E10.5D_2_12" 0.0452382876407763
"44" "E10.5D_1_03" "E10.5D_3_10" 0.0509528395373646
"45" "E10.5D_1_04" "E10.5D_3_02" 0.0112009754810355
"46" "E10.5D_1_04" "E10.5D_3_15" 0.0186087429357326
"47" "E10.5D_1_04" "E10.5D_3_01" 0.0428185119311539
"48" "E10.5D_1_04" "E10.5D_2_16" 0.0464138270922904
"49" "E10.5D_1_04" "E10.5D_3_13" 0.0563267742704312
