"from" "to" "weight"
"1" "C1" "C1337" 0.00183716039859771
"2" "C1" "C71" 0.00229132245153142
"3" "C1" "C1478" 0.00269626213439985
"4" "C1" "C2167" 0.0042641910918684
"5" "C1" "C639" 0.00449850651706502
"6" "C1" "C1679" 0.00525231515273559
"7" "C1" "C2365" 0.00537702932420056
"8" "C1" "C629" 0.00547841982743427
"9" "C1" "C1780" 0.00571847464783042
"10" "C1" "C1416" 0.00603126369634796
"11" "C1" "C1761" 0.00643803577265519
"12" "C1" "C685" 0.00653150008577875
"13" "C1" "C285" 0.00695039369013389
"14" "C1" "C2193" 0.00713516659375863
"15" "C1" "C2186" 0.00722104222491025
"16" "C3" "C189" 0.00418346135190918
"17" "C3" "C1320" 0.0063317537600634
"18" "C3" "C689" 0.011381138360919
"19" "C3" "C1151" 0.0115816980591386
"20" "C3" "C346" 0.0128016979657527
"21" "C3" "C1482" 0.0135633031034308
"22" "C3" "C1006" 0.0142009020156654
"23" "C3" "C176" 0.0164116239428054
"24" "C3" "C661" 0.0174368531206718
"25" "C3" "C1358" 0.0177923624315342
"26" "C3" "C469" 0.018868098791137
"27" "C3" "C1597" 0.0192194699019313
"28" "C3" "C1273" 0.0208992898665969
"29" "C3" "C2137" 0.0213134844224283
"30" "C3" "C916" 0.0228033525591853
"31" "C4" "C487" 0.000776543017220261
"32" "C4" "C409" 0.000855332688475308
"33" "C4" "C14" 0.00230179130666988
"34" "C4" "C2269" 0.00231360412076777
"35" "C4" "C2133" 0.00346915322951323
"36" "C4" "C454" 0.00360710187728421
"37" "C4" "C762" 0.00374311148936553
"38" "C4" "C375" 0.00379428321828916
"39" "C4" "C299" 0.00387987518346082
"40" "C4" "C1247" 0.004102867820078
"41" "C4" "C1170" 0.00418337941522843
"42" "C4" "C81" 0.00418409088421913
"43" "C4" "C1879" 0.00424309394747956
"44" "C4" "C1681" 0.0043464503732911
"45" "C4" "C1821" 0.00438108704137358
"46" "C6" "C2005" 0.00021854000741252
"47" "C6" "C1504" 0.000710924943502755
"48" "C6" "C1070" 0.00113874904901857
"49" "C6" "C2008" 0.00133740145832268
"50" "C6" "C724" 0.00173046663584864
"51" "C6" "C2116" 0.00218754543561936
"52" "C6" "C1386" 0.00238532736526387
"53" "C6" "C815" 0.00252646686465818
"54" "C6" "C2255" 0.00283135943288351
"55" "C6" "C184" 0.00289252965025461
"56" "C6" "C973" 0.00320550284731561
"57" "C6" "C2181" 0.00338257560745519
"58" "C6" "C2106" 0.00355590476123556
"59" "C6" "C2234" 0.00362361652376033
"60" "C6" "C2032" 0.00383746431356719
"61" "C7" "C731" 0.00120912526611173
"62" "C7" "C2272" 0.00157654848091521
"63" "C7" "C1727" 0.00201949857018777
"64" "C7" "C792" 0.0037813751281595
"65" "C7" "C2261" 0.00564334696945322
"66" "C7" "C1113" 0.00593051608218883
"67" "C7" "C2085" 0.00731990186156858
"68" "C7" "C465" 0.00770038112479146
"69" "C7" "C11" 0.00774489756877192
"70" "C7" "C1847" 0.00827404883458457
"71" "C7" "C749" 0.00837867786289859
"72" "C7" "C787" 0.00845597283490651
"73" "C7" "C1280" 0.00869030978310791
"74" "C7" "C1906" 0.00894547747743901
"75" "C7" "C1099" 0.00903193377414386
"76" "C8" "C2190" 0.00235979433066839
"77" "C8" "C1039" 0.00292028750139889
"78" "C8" "C1853" 0.0031147977848814
"79" "C8" "C2396" 0.0036432957946993
"80" "C8" "C1429" 0.00374650151489215
"81" "C8" "C991" 0.00528373207105536
"82" "C8" "C704" 0.00552025455735344
"83" "C8" "C1066" 0.00552826038396951
"84" "C8" "C707" 0.00601796652589468
"85" "C8" "C2141" 0.00675109871115099
"86" "C8" "C2334" 0.00727551252419037
"87" "C8" "C937" 0.00730008150826252
"88" "C8" "C1256" 0.00737110059119499
"89" "C8" "C1088" 0.00749947486310733
"90" "C8" "C170" 0.00770757243544648
"91" "C9" "C641" 0.00276417146188234
"92" "C9" "C1758" 0.00474741719972727
"93" "C9" "C1720" 0.00500958094310012
"94" "C9" "C1278" 0.00549547695352986
"95" "C9" "C2204" 0.00574068779593546
"96" "C9" "C1827" 0.00691755349466516
"97" "C9" "C630" 0.00701785787149476
"98" "C9" "C845" 0.00778605979349313
"99" "C9" "C1094" 0.00783750300051458
"100" "C9" "C875" 0.00793498959723732
"101" "C9" "C966" 0.00808297899240772
"102" "C9" "C521" 0.00891450174529461
"103" "C9" "C329" 0.00938530666658388
"104" "C9" "C916" 0.0103105763548248
"105" "C9" "C209" 0.0103637917626057
"106" "C10" "C193" 0.000702460700917554
"107" "C10" "C2187" 0.00120096048612713
"108" "C10" "C243" 0.00149928192547587
"109" "C10" "C436" 0.0015369002985441
"110" "C10" "C2345" 0.00228682744931484
"111" "C10" "C674" 0.00236177051521452
"112" "C10" "C1577" 0.00244808584035921
"113" "C10" "C2224" 0.00249463612854745
"114" "C10" "C959" 0.00250459947072969
"115" "C10" "C124" 0.00253254683348336
"116" "C10" "C2156" 0.00256849546863733
"117" "C10" "C178" 0.00265449033573785
"118" "C10" "C205" 0.00285229163457873
"119" "C10" "C241" 0.00316692941277586
"120" "C10" "C1078" 0.00323157363202953
"121" "C11" "C787" 0.0013972272278605
"122" "C11" "C465" 0.00159063257164067
"123" "C11" "C1099" 0.00207051035138154
"124" "C11" "C1668" 0.0021836646361124
"125" "C11" "C2261" 0.00231143821784969
"126" "C11" "C1906" 0.00233333887894511
"127" "C11" "C1743" 0.00273226349716867
"128" "C11" "C440" 0.00328775693549722
"129" "C11" "C1439" 0.00338376095001675
"130" "C11" "C749" 0.00351817208730302
"131" "C11" "C2085" 0.00446270983206079
"132" "C11" "C846" 0.00480896768335194
"133" "C11" "C1777" 0.00496807856617469
"134" "C11" "C135" 0.00528471710148848
"135" "C11" "C2041" 0.00537084276396129
"136" "C12" "C1588" 0.000739681541265215
"137" "C12" "C1664" 0.00146637244204086
"138" "C12" "C1188" 0.00165533833312341
"139" "C12" "C582" 0.00213598018604309
"140" "C12" "C2058" 0.00224061270884125
"141" "C12" "C1855" 0.00246156541144041
"142" "C12" "C60" 0.0025260580378965
"143" "C12" "C253" 0.00271173927897024
"144" "C12" "C1069" 0.00316546384973588
"145" "C12" "C1535" 0.00360105722989746
"146" "C12" "C1951" 0.00369700819181125
"147" "C12" "C2270" 0.00424264620897232
"148" "C12" "C2207" 0.00424583145244527
"149" "C12" "C1495" 0.00432291298641615
"150" "C12" "C662" 0.00436850115124655
"151" "C13" "C609" 0.00237434829295286
"152" "C13" "C1447" 0.00445852857145363
"153" "C13" "C2086" 0.00619206644815847
"154" "C13" "C1023" 0.00707098011592509
"155" "C13" "C727" 0.00729624804073074
"156" "C13" "C2337" 0.00780510921288169
"157" "C13" "C384" 0.00806803631868976
"158" "C13" "C1314" 0.00818810162347631
"159" "C13" "C877" 0.00884847079966544
"160" "C13" "C1726" 0.00940637419912657
"161" "C13" "C736" 0.00958972850533432
"162" "C13" "C1145" 0.00966694691219847
"163" "C13" "C1673" 0.0103086122546763
"164" "C13" "C101" 0.0104881847036733
"165" "C13" "C2235" 0.0110300310260955
"166" "C14" "C375" 0.00178941684439212
"167" "C14" "C487" 0.00219038342843069
"168" "C14" "C409" 0.00237206976880426
"169" "C14" "C1703" 0.00250400179597995
"170" "C14" "C895" 0.00280617470647558
"171" "C14" "C2133" 0.00295611664352039
"172" "C14" "C1821" 0.00356317718497057
"173" "C14" "C645" 0.00375447651889703
"174" "C14" "C2269" 0.00391653881168549
"175" "C14" "C211" 0.00394135593416743
"176" "C14" "C339" 0.00402420528802656
"177" "C14" "C1170" 0.00427058552642098
"178" "C14" "C89" 0.00427636735033832
"179" "C14" "C2439" 0.00440311937541564
"180" "C16" "C1332" 0.000792304170507519
"181" "C16" "C1330" 0.000937654342905317
"182" "C16" "C1114" 0.000942605973707837
"183" "C16" "C1519" 0.00130250319577497
"184" "C16" "C1351" 0.00160045201853645
"185" "C16" "C1135" 0.00176753327883556
"186" "C16" "C1451" 0.00186206182132378
"187" "C16" "C1155" 0.00203255733328153
"188" "C16" "C1083" 0.00209657715865998
"189" "C16" "C592" 0.00211123275482021
"190" "C16" "C1097" 0.0022768986126414
"191" "C16" "C2349" 0.002482000837044
"192" "C16" "C246" 0.00260478584853875
"193" "C16" "C2358" 0.00266402681659941
"194" "C16" "C1596" 0.00299444890796319
"195" "C17" "C1623" 0.000215247453680314
"196" "C17" "C263" 0.0012890497006973
"197" "C17" "C434" 0.00137095324907092
"198" "C17" "C2254" 0.00226851716589884
"199" "C17" "C1622" 0.00253476059508833
"200" "C17" "C1612" 0.00256057470845617
"201" "C17" "C2091" 0.00265700492807975
"202" "C17" "C1566" 0.00282394651387224
"203" "C17" "C1389" 0.00302243371837059
"204" "C17" "C2367" 0.0031950428583689
"205" "C17" "C1022" 0.00329979670424603
"206" "C17" "C2153" 0.00350974189429073
"207" "C17" "C793" 0.00353685122338134
"208" "C17" "C1523" 0.00359604849598598
"209" "C17" "C1695" 0.00377686296954261
"210" "C19" "C179" 0.00317042418740965
"211" "C19" "C293" 0.00343578005347501
"212" "C19" "C1820" 0.00378110664699091
"213" "C19" "C2170" 0.00471483713077522
"214" "C19" "C1317" 0.0051857294138516
"215" "C19" "C2275" 0.00644105020907785
"216" "C19" "C1024" 0.00718377586553237
"217" "C19" "C1186" 0.00718559380884381
"218" "C19" "C2331" 0.00818659971324103
"219" "C19" "C1220" 0.00826733075325541
"220" "C19" "C2206" 0.00839851611820224
"221" "C19" "C1064" 0.00926329732364109
"222" "C19" "C1970" 0.00971148603511328
"223" "C19" "C561" 0.0100180625938911
"224" "C19" "C489" 0.0102192027976912
"225" "C20" "C2177" 0.000520975881319878
"226" "C20" "C970" 0.00101917373422497
