"from" "to" "weight"
"1" "C1" "C4534" 0.000603120280328827
"2" "C1" "C2813" 0.000902176649347377
"3" "C1" "C4315" 0.000974736705500942
"4" "C1" "C4417" 0.000995205573642341
"5" "C1" "C1700" 0.00129755533763381
"6" "C1" "C1724" 0.00137790038755472
"7" "C1" "C4811" 0.00148677778421179
"8" "C1" "C2767" 0.00151486209927757
"9" "C1" "C487" 0.00162864340854524
"10" "C1" "C3647" 0.00170188009744127
"11" "C1" "C1078" 0.00180560392517359
"12" "C1" "C4884" 0.00189044493738309
"13" "C1" "C3966" 0.00193384587003189
"14" "C1" "C3501" 0.00204267119394816
"15" "C1" "C1726" 0.00221180982633558
"16" "C2" "C4508" 0.000246216373664674
"17" "C2" "C4096" 0.000424138704006205
"18" "C2" "C1516" 0.000536054728669431
"19" "C2" "C4585" 0.00075099117622547
"20" "C2" "C4282" 0.000822591673028853
"21" "C2" "C2263" 0.00109202751718757
"22" "C2" "C3682" 0.00111006376222661
"23" "C2" "C252" 0.00114629547076027
"24" "C2" "C3664" 0.00122866908568931
"25" "C2" "C243" 0.00124247911939362
"26" "C2" "C446" 0.00143806251189207
"27" "C2" "C3562" 0.00146968745634711
"28" "C2" "C3870" 0.0015174867050157
"29" "C2" "C2687" 0.00155069445382122
"30" "C2" "C2064" 0.00156073570445794
"31" "C3" "C1349" 0.00156214076311723
"32" "C3" "C884" 0.0015641817342938
"33" "C3" "C1444" 0.00173259785025851
"34" "C3" "C2763" 0.0022647495297093
"35" "C3" "C1545" 0.00244646903420128
"36" "C3" "C627" 0.00274082074349609
"37" "C3" "C1771" 0.00288368346168838
"38" "C3" "C2347" 0.00316482034607113
"39" "C3" "C4411" 0.00336586893557189
"40" "C3" "C3357" 0.00345076946689485
"41" "C3" "C4" 0.00378644625110683
"42" "C3" "C1927" 0.00393852731976057
"43" "C3" "C309" 0.00395187458276098
"44" "C3" "C3472" 0.00417757699341009
"45" "C3" "C3390" 0.00442199493896169
"46" "C4" "C1927" 0.00179275237676049
"47" "C4" "C3602" 0.00226386918392882
"48" "C4" "C2604" 0.00239248122920264
"49" "C4" "C14" 0.00245323337243385
"50" "C4" "C4153" 0.00255685938605703
"51" "C4" "C1444" 0.00274264277186682
"52" "C4" "C2170" 0.00348967527645221
"53" "C4" "C3793" 0.00352881277343846
"54" "C4" "C3610" 0.00357975517991256
"55" "C4" "C3390" 0.00362894446740912
"56" "C4" "C1545" 0.00372364305741571
"57" "C4" "C1355" 0.00393752568842376
"58" "C4" "C4669" 0.00398219660567575
"59" "C4" "C309" 0.00398803658663885
"60" "C5" "C2501" 0.000298502417260286
"61" "C5" "C673" 0.000713320000616368
"62" "C5" "C3843" 0.00130730299021325
"63" "C5" "C4280" 0.00204272189034832
"64" "C5" "C693" 0.00222738236598507
"65" "C5" "C3856" 0.00224321351376217
"66" "C5" "C3965" 0.00253549545690845
"67" "C5" "C776" 0.00261217430583869
"68" "C5" "C3895" 0.00265163488442205
"69" "C5" "C4888" 0.00312612269434797
"70" "C5" "C4091" 0.00316455005231273
"71" "C5" "C1531" 0.00322561177900165
"72" "C5" "C4887" 0.00346738920859064
"73" "C5" "C4546" 0.00348406575182512
"74" "C5" "C3548" 0.00354326244903374
"75" "C6" "C1337" 6.87303712271003e-05
"76" "C6" "C4944" 0.000979247907546517
"77" "C6" "C3362" 0.00162684394385532
"78" "C6" "C4271" 0.00187875312437588
"79" "C6" "C4919" 0.00238788129982632
"80" "C6" "C2330" 0.00241317785967227
"81" "C6" "C2331" 0.00242565938453876
"82" "C6" "C3777" 0.00280956884486668
"83" "C6" "C2667" 0.00287156669577865
"84" "C6" "C2187" 0.00296888597948212
"85" "C6" "C1864" 0.00298605381165974
"86" "C6" "C4001" 0.00316573051363946
"87" "C6" "C3742" 0.00318022278583031
"88" "C6" "C1720" 0.0039774965620437
"89" "C6" "C2269" 0.00411044917505246
"90" "C7" "C1409" 0.00016322434973826
"91" "C7" "C1617" 0.000356909773164319
"92" "C7" "C1870" 0.00103078482935264
"93" "C7" "C1017" 0.00162456328118604
"94" "C7" "C3049" 0.00202720489134593
"95" "C7" "C2636" 0.00212716460905076
"96" "C7" "C3414" 0.0023496670160807
"97" "C7" "C394" 0.00264918502315736
"98" "C7" "C2273" 0.00318260862034845
"99" "C7" "C2871" 0.0033695730808112
"100" "C7" "C1441" 0.00343817721691267
