"from" "to" "weight"
"1" "Cell1" "Cell1621" 0.00045472934908979
"2" "Cell1" "Cell1916" 0.000487822406032123
"3" "Cell1" "Cell60" 0.000743458606446125
"4" "Cell1" "Cell267" 0.000782509959583534
"5" "Cell1" "Cell431" 0.00113826789913491
"6" "Cell1" "Cell50" 0.00117318254477782
"7" "Cell1" "Cell247" 0.00123851985873036
"8" "Cell1" "Cell1455" 0.00137589993818937
"9" "Cell1" "Cell1508" 0.0013903223193816
"10" "Cell1" "Cell1816" 0.0014841017007666
"11" "Cell1" "Cell260" 0.00150152491865196
"12" "Cell1" "Cell281" 0.00152851370756764
"13" "Cell1" "Cell783" 0.00153726641966248
"14" "Cell1" "Cell133" 0.00171366254944333
"15" "Cell1" "Cell666" 0.00182859231180727
"16" "Cell2" "Cell537" 0.000367115063602424
"17" "Cell2" "Cell634" 0.00040052251260217
"18" "Cell2" "Cell616" 0.000451064968729466
"19" "Cell2" "Cell1275" 0.000462000741050513
"20" "Cell2" "Cell1075" 0.000582400089071919
"21" "Cell2" "Cell682" 0.00070512420380846
"22" "Cell2" "Cell1647" 0.000751947317106218
"23" "Cell2" "Cell792" 0.000754587022231982
"24" "Cell2" "Cell1619" 0.000808011231857272
"25" "Cell2" "Cell186" 0.000826802327635597
"26" "Cell2" "Cell1237" 0.000869176273759854
"27" "Cell2" "Cell978" 0.000907026485394345
"28" "Cell2" "Cell326" 0.000926734446809182
"29" "Cell2" "Cell747" 0.000940931821494052
"30" "Cell2" "Cell1646" 0.000986515031871012
"31" "Cell3" "Cell433" 0.000504391004725579
"32" "Cell3" "Cell1090" 0.000512448053167119
"33" "Cell3" "Cell447" 0.000533897022683157
"34" "Cell3" "Cell1440" 0.000680923978590702
"35" "Cell3" "Cell200" 0.000804097329459685
"36" "Cell3" "Cell2023" 0.000838491651404676
"37" "Cell3" "Cell1585" 0.000868186902505663
"38" "Cell3" "Cell1783" 0.000924920167421972
"39" "Cell3" "Cell566" 0.000954048484121026
"40" "Cell3" "Cell316" 0.000970181861174329
"41" "Cell3" "Cell234" 0.000981944702672538
"42" "Cell3" "Cell1564" 0.00101202681524324
"43" "Cell3" "Cell1568" 0.00112695688728355
"44" "Cell3" "Cell826" 0.00129388844178121
"45" "Cell3" "Cell503" 0.00129998756722326
"46" "Cell4" "Cell951" 0.000250899700963794
"47" "Cell4" "Cell524" 0.000477401733199045
"48" "Cell4" "Cell756" 0.000506438529592462
"49" "Cell4" "Cell1945" 0.000645504021427108
"50" "Cell4" "Cell1469" 0.000653761072539724
"51" "Cell4" "Cell662" 0.000682277986653988
"52" "Cell4" "Cell866" 0.000711090264044011
"53" "Cell4" "Cell1430" 0.000731540512962755
"54" "Cell4" "Cell1388" 0.000822082290516429
"55" "Cell4" "Cell840" 0.000839808759855374
"56" "Cell4" "Cell1204" 0.000868890105608373
"57" "Cell4" "Cell1286" 0.000882292475550743
"58" "Cell4" "Cell1658" 0.000887000468299489
"59" "Cell4" "Cell313" 0.000891591108110707
"60" "Cell4" "Cell78" 0.000990484095876206
"61" "Cell5" "Cell1313" 0.000359723037197777
"62" "Cell5" "Cell1087" 0.000397878794100751
"63" "Cell5" "Cell1230" 0.000441969079393267
"64" "Cell5" "Cell876" 0.000459858743678062
"65" "Cell5" "Cell1524" 0.000551032905797294
"66" "Cell5" "Cell57" 0.000670237251986409
"67" "Cell5" "Cell1572" 0.000754873431917775
"68" "Cell5" "Cell1423" 0.000800246732953343
"69" "Cell5" "Cell2067" 0.000910316867622239
"70" "Cell5" "Cell1445" 0.000948300388825093
"71" "Cell5" "Cell1616" 0.000969637720308778
"72" "Cell5" "Cell1280" 0.000986119680974771
"73" "Cell5" "Cell396" 0.00102755668489701
"74" "Cell5" "Cell179" 0.0010851278748174
"75" "Cell5" "Cell1925" 0.00108513292540308
"76" "Cell6" "Cell245" 0.000358182673603468
"77" "Cell6" "Cell597" 0.000467958926028654
"78" "Cell6" "Cell40" 0.000490187627219972
"79" "Cell6" "Cell1555" 0.000556135427675769
"80" "Cell6" "Cell301" 0.000572334116408725
"81" "Cell6" "Cell991" 0.000598069379332132
"82" "Cell6" "Cell865" 0.000599093510277738
"83" "Cell6" "Cell1890" 0.000599716976504662
"84" "Cell6" "Cell1050" 0.000655912601724185
"85" "Cell6" "Cell1131" 0.000661498234321282
"86" "Cell6" "Cell816" 0.000772315999349065
"87" "Cell6" "Cell1395" 0.000804275767018683
"88" "Cell6" "Cell1008" 0.000905774592968471
"89" "Cell6" "Cell1337" 0.000938874249523138
"90" "Cell6" "Cell584" 0.000971909805619441
"91" "Cell7" "Cell1035" 0.00125830075136064
"92" "Cell7" "Cell1085" 0.00140430637401808
"93" "Cell7" "Cell1031" 0.00144109037846873
"94" "Cell7" "Cell1472" 0.00225142654342333
"95" "Cell7" "Cell1700" 0.00243619587692013
"96" "Cell7" "Cell1350" 0.00265654928496511
"97" "Cell7" "Cell582" 0.00286755237382136
"98" "Cell7" "Cell1502" 0.0029948976801149
"99" "Cell7" "Cell71" 0.00337775713966969
"100" "Cell7" "Cell430" 0.00349147895613591
"101" "Cell7" "Cell1071" 0.00354048647244146
"102" "Cell7" "Cell1536" 0.00360021861673083
"103" "Cell7" "Cell1674" 0.00364877033201767
"104" "Cell7" "Cell569" 0.00368011076105204
"105" "Cell7" "Cell1982" 0.00374787520145369
"106" "Cell8" "Cell1441" 0.000342818384943187
"107" "Cell8" "Cell257" 0.000504515655107176
"108" "Cell8" "Cell955" 0.00106152170395641
"109" "Cell8" "Cell1498" 0.00141671866000472
"110" "Cell8" "Cell1511" 0.00169451499673734
"111" "Cell8" "Cell310" 0.00175887950975008
"112" "Cell8" "Cell1384" 0.00185076056978434
"113" "Cell8" "Cell1686" 0.00185626861324265
"114" "Cell8" "Cell88" 0.00191830758121435
"115" "Cell8" "Cell1656" 0.00202496926415848
"116" "Cell8" "Cell350" 0.00258961431547672
"117" "Cell8" "Cell619" 0.00264705987860758
"118" "Cell8" "Cell1119" 0.00268005466612701
"119" "Cell8" "Cell630" 0.00274407652738142
"120" "Cell8" "Cell1809" 0.00278400132670811
"121" "Cell9" "Cell421" 0.000329763417049704
"122" "Cell9" "Cell835" 0.000559931196769846
"123" "Cell9" "Cell929" 0.000657381656166961
"124" "Cell9" "Cell2016" 0.00074672854490135
"125" "Cell9" "Cell853" 0.000867886550748381
"126" "Cell9" "Cell770" 0.000888325819165936
"127" "Cell9" "Cell1750" 0.000963846073320346
"128" "Cell9" "Cell1451" 0.000981538891669734
"129" "Cell9" "Cell1601" 0.00102386416957767
"130" "Cell9" "Cell731" 0.0010820122803397
"131" "Cell9" "Cell127" 0.00116541968020318
"132" "Cell9" "Cell626" 0.00119929462962139
"133" "Cell9" "Cell1372" 0.00120364585411142
"134" "Cell9" "Cell150" 0.00123211096929585
"135" "Cell9" "Cell766" 0.00124648959346863
"136" "Cell10" "Cell1077" 0.00104435744472561
"137" "Cell10" "Cell1976" 0.00113306928550292
"138" "Cell10" "Cell701" 0.00152291835730634
"139" "Cell10" "Cell1358" 0.00155637624419125
"140" "Cell10" "Cell1051" 0.00179913212982136
"141" "Cell10" "Cell1377" 0.00181161620884687
"142" "Cell10" "Cell1660" 0.00188573124607474
"143" "Cell10" "Cell467" 0.00188904537011124
"144" "Cell10" "Cell573" 0.00208109325463997
"145" "Cell10" "Cell209" 0.00209350423870081
"146" "Cell10" "Cell628" 0.00209900790549021
"147" "Cell10" "Cell681" 0.00225992367332456
"148" "Cell10" "Cell1607" 0.00233689694349692
"149" "Cell10" "Cell1757" 0.00247157891656049
"150" "Cell10" "Cell278" 0.00253492415723603
"151" "Cell11" "Cell617" 0.000385778530726129
"152" "Cell11" "Cell874" 0.00095271733807447
"153" "Cell11" "Cell1794" 0.000974632635326895
"154" "Cell11" "Cell1903" 0.000998812721698301
"155" "Cell11" "Cell1422" 0.00109950293019603
"156" "Cell11" "Cell738" 0.00112317463265443
"157" "Cell11" "Cell336" 0.00127547177079235
"158" "Cell11" "Cell1120" 0.00132797778145766
"159" "Cell11" "Cell230" 0.00136535499703787
"160" "Cell11" "Cell1830" 0.00142513873416242
"161" "Cell11" "Cell1786" 0.00143177909664746
"162" "Cell11" "Cell1850" 0.00144055765841271
"163" "Cell11" "Cell1613" 0.00144149640408136
"164" "Cell11" "Cell1318" 0.00148620320942391
"165" "Cell11" "Cell324" 0.00149493552538535
"166" "Cell12" "Cell1282" 6.78447459389316e-05
"167" "Cell12" "Cell1179" 0.000577732600792106
"168" "Cell12" "Cell1860" 0.000809674238967268
"169" "Cell12" "Cell1005" 0.000833866017726218
"170" "Cell12" "Cell473" 0.00116654581172374
"171" "Cell12" "Cell2026" 0.00120637099999208
"172" "Cell12" "Cell1173" 0.00122086336586029
"173" "Cell12" "Cell271" 0.00124863536551847
"174" "Cell12" "Cell593" 0.00153373650783946
"175" "Cell12" "Cell440" 0.00156819035420376
"176" "Cell12" "Cell824" 0.00157762323119201
"177" "Cell12" "Cell706" 0.00159923856228282
"178" "Cell12" "Cell481" 0.00163130383209738
"179" "Cell12" "Cell246" 0.00163510507998858
"180" "Cell12" "Cell1542" 0.00165253695728724
"181" "Cell13" "Cell1650" 0.000348603543227597
"182" "Cell13" "Cell1283" 0.000383626206072277
"183" "Cell13" "Cell1278" 0.000489281406041464
"184" "Cell13" "Cell867" 0.000552205113264733
"185" "Cell13" "Cell243" 0.000596505357381462
"186" "Cell13" "Cell1459" 0.000704217949615393
"187" "Cell13" "Cell1567" 0.000844479560794865
"188" "Cell13" "Cell49" 0.000878754335201976
"189" "Cell13" "Cell1640" 0.000908173557750019
"190" "Cell13" "Cell691" 0.000966341887675024
"191" "Cell13" "Cell571" 0.000966799204487373
"192" "Cell13" "Cell1202" 0.000976642691841001
"193" "Cell13" "Cell2006" 0.001038452673031
"194" "Cell13" "Cell913" 0.00108733191007611
"195" "Cell13" "Cell1323" 0.00111678003191063
"196" "Cell14" "Cell1969" 0.000293762260798972
"197" "Cell14" "Cell1392" 0.000404800816866412
"198" "Cell14" "Cell948" 0.000417479272811244
"199" "Cell14" "Cell1361" 0.000452232260634583
"200" "Cell14" "Cell118" 0.000460033079870037
"201" "Cell14" "Cell693" 0.000555114983640517
"202" "Cell14" "Cell107" 0.000560763771565842
"203" "Cell14" "Cell1798" 0.000598796304910414
"204" "Cell14" "Cell1385" 0.000645601470451858
"205" "Cell14" "Cell1079" 0.000695354210834302
"206" "Cell14" "Cell1657" 0.000722515239442376
"207" "Cell14" "Cell1999" 0.000750945939757717
"208" "Cell14" "Cell2063" 0.000752780923884202
"209" "Cell14" "Cell771" 0.000782933444842467
"210" "Cell14" "Cell637" 0.000916999694281158
"211" "Cell15" "Cell926" 0.000225529132331552
"212" "Cell15" "Cell771" 0.000226295859419127
"213" "Cell15" "Cell635" 0.000437069179309454
"214" "Cell15" "Cell1737" 0.000438039472669013
"215" "Cell15" "Cell1754" 0.000515407583001674
"216" "Cell15" "Cell1086" 0.000602029519687734
"217" "Cell15" "Cell1361" 0.000648449293042675
"218" "Cell15" "Cell1576" 0.000652995147815172
"219" "Cell15" "Cell1798" 0.000744059277064358
"220" "Cell15" "Cell367" 0.000829817670612687
"221" "Cell15" "Cell1392" 0.000840404986312681
"222" "Cell15" "Cell1733" 0.000906781839036256
"223" "Cell15" "Cell118" 0.000920213470193161
"224" "Cell14" "Cell15" 0.000928737893775662
"225" "Cell15" "Cell1969" 0.00102475702574632
"226" "Cell16" "Cell398" 0.000223071530844979
"227" "Cell16" "Cell322" 0.000278888999165376
"228" "Cell16" "Cell833" 0.000534226114819966
"229" "Cell16" "Cell1557" 0.000633776093240051
"230" "Cell16" "Cell75" 0.000684803377526474
"231" "Cell16" "Cell291" 0.000938712250428283
"232" "Cell16" "Cell1342" 0.00107501755987478
"233" "Cell16" "Cell564" 0.0010965695027626
"234" "Cell16" "Cell2033" 0.00114364077751749
"235" "Cell16" "Cell727" 0.00119824829152854
"236" "Cell16" "Cell1484" 0.00130902587046574
"237" "Cell16" "Cell1489" 0.00133290418766006
"238" "Cell16" "Cell807" 0.00133805265889016
"239" "Cell16" "Cell1986" 0.00137837710312529
"240" "Cell16" "Cell1143" 0.00145189776800515
"241" "Cell17" "Cell2077" 0.000357590446816671
"242" "Cell17" "Cell66" 0.000379852821729941
"243" "Cell17" "Cell181" 0.000493970052507346
"244" "Cell17" "Cell218" 0.000569118017631778
"245" "Cell17" "Cell1917" 0.000626298376784714
"246" "Cell17" "Cell1529" 0.000845409167283841
