"from" "to" "weight"
"1" "Cell1" "Cell221" 0.000703277511687248
"2" "Cell1" "Cell306" 0.000742679033439901
"3" "Cell1" "Cell2" 0.000748474510811913
"4" "Cell1" "Cell436" 0.00110793048746034
"5" "Cell1" "Cell109" 0.00115335390279712
"6" "Cell1" "Cell464" 0.00116197701170904
"7" "Cell1" "Cell94" 0.00126481908128587
"8" "Cell1" "Cell141" 0.00138453529825888
"9" "Cell1" "Cell25" 0.00153363612411156
"10" "Cell1" "Cell416" 0.00154068398392742
"11" "Cell1" "Cell303" 0.00157432769207785
"12" "Cell1" "Cell264" 0.00166383662089259
"13" "Cell1" "Cell297" 0.00191091863779748
"14" "Cell1" "Cell275" 0.00191729798754159
"15" "Cell1" "Cell402" 0.00203132940442132
"16" "Cell2" "Cell436" 0.000361059630434064
"17" "Cell2" "Cell94" 0.000668239156933972
"18" "Cell2" "Cell109" 0.000704830508743429
"19" "Cell2" "Cell221" 0.000789750347779405
"20" "Cell2" "Cell264" 0.00091537056972998
"21" "Cell2" "Cell303" 0.000952089780478004
"22" "Cell2" "Cell416" 0.000979079230693111
"23" "Cell2" "Cell464" 0.00112732416284371
"24" "Cell2" "Cell25" 0.0011654944112718
"25" "Cell2" "Cell306" 0.00117527439423917
"26" "Cell2" "Cell297" 0.00140121613929123
"27" "Cell2" "Cell60" 0.00142634435697925
"28" "Cell2" "Cell451" 0.00146238512625197
"29" "Cell2" "Cell318" 0.0015123058909765
"30" "Cell3" "Cell135" 0.00114155849783373
"31" "Cell3" "Cell574" 0.00135887291305934
"32" "Cell3" "Cell299" 0.00204470179210328
"33" "Cell3" "Cell380" 0.00227423064592871
"34" "Cell3" "Cell495" 0.00248332210863175
"35" "Cell3" "Cell331" 0.00260696055827219
"36" "Cell3" "Cell374" 0.00287462925106861
"37" "Cell3" "Cell362" 0.00301325609930302
"38" "Cell3" "Cell368" 0.00331094430518567
"39" "Cell3" "Cell357" 0.00360787458019453
"40" "Cell3" "Cell350" 0.00361274876365209
"41" "Cell3" "Cell364" 0.00365671806695665
"42" "Cell3" "Cell266" 0.00366381910213248
"43" "Cell3" "Cell55" 0.00386116284847386
"44" "Cell3" "Cell447" 0.00389554094649932
"45" "Cell4" "Cell422" 0.000951265870765934
"46" "Cell4" "Cell280" 0.00113073780361226
"47" "Cell4" "Cell335" 0.00113212001976192
"48" "Cell4" "Cell28" 0.00121551408620872
"49" "Cell4" "Cell126" 0.00158654143901157
"50" "Cell4" "Cell134" 0.00160984969399102
"51" "Cell4" "Cell532" 0.00161818260315236
"52" "Cell4" "Cell12" 0.00165983623203591
"53" "Cell4" "Cell295" 0.00166118242287073
"54" "Cell4" "Cell442" 0.00177601647897736
"55" "Cell4" "Cell476" 0.0018272217441126
"56" "Cell4" "Cell522" 0.00189596065046562
"57" "Cell4" "Cell412" 0.00193027664287156
"58" "Cell4" "Cell290" 0.00201478840367651
"59" "Cell4" "Cell106" 0.00210895127720705
"60" "Cell5" "Cell367" 0.000257721384891977
"61" "Cell5" "Cell283" 0.000329753714381515
"62" "Cell5" "Cell57" 0.000346184515631042
"63" "Cell5" "Cell129" 0.000449980049208026
"64" "Cell5" "Cell37" 0.000531961522549522
"65" "Cell5" "Cell312" 0.00061760911815971
"66" "Cell5" "Cell253" 0.000677540210354021
"67" "Cell5" "Cell564" 0.000724101820299746
"68" "Cell5" "Cell11" 0.000784932366711818
"69" "Cell5" "Cell223" 0.000903855379148649
"70" "Cell5" "Cell383" 0.000950302816330982
"71" "Cell5" "Cell408" 0.000950686414035728
"72" "Cell5" "Cell545" 0.00098021077146668
"73" "Cell5" "Cell384" 0.000990767828983525
"74" "Cell5" "Cell261" 0.000998499337681993
"75" "Cell6" "Cell14" 0.000608501827772085
"76" "Cell6" "Cell54" 0.000727398437910302
"77" "Cell6" "Cell276" 0.000796126554697709
"78" "Cell6" "Cell30" 0.00094086177808562
"79" "Cell6" "Cell229" 0.0009442579491602
"80" "Cell6" "Cell499" 0.000990317372863075
"81" "Cell6" "Cell324" 0.00121589722080819
"82" "Cell6" "Cell459" 0.00134316513932875
"83" "Cell6" "Cell358" 0.00144639162303363
"84" "Cell6" "Cell332" 0.00156218246835445
"85" "Cell6" "Cell401" 0.00160299654775546
"86" "Cell6" "Cell411" 0.00165654270240925
"87" "Cell6" "Cell32" 0.00168771041034768
"88" "Cell6" "Cell536" 0.00180289626078838
"89" "Cell6" "Cell515" 0.00192808711441395
"90" "Cell7" "Cell9" 0.000591342124094332
"91" "Cell7" "Cell214" 0.000899057056051269
"92" "Cell7" "Cell561" 0.00103866799303567
"93" "Cell7" "Cell224" 0.00105845714319806
"94" "Cell7" "Cell371" 0.00128478754686412
"95" "Cell7" "Cell565" 0.00130826301523693
"96" "Cell7" "Cell78" 0.00136468917938204
"97" "Cell7" "Cell549" 0.00137551585243411
"98" "Cell7" "Cell471" 0.00138884337203426
"99" "Cell7" "Cell373" 0.0013978511773312
"100" "Cell7" "Cell246" 0.00140796409002249
"101" "Cell7" "Cell176" 0.00171468154498803
"102" "Cell7" "Cell572" 0.00175990065929929
"103" "Cell7" "Cell243" 0.0018158216767739
"104" "Cell7" "Cell446" 0.00182599118101035
"105" "Cell8" "Cell435" 0.000310991714970671
"106" "Cell8" "Cell165" 0.000397060312552249
"107" "Cell8" "Cell210" 0.000412725063639853
