"from" "to" "weight"
"1" "33" "52" 0.000402644166672663
"2" "64" "81" 0.000682247247715143
"3" "67" "87" 0.000946251165876994
"4" "13" "31" 0.00102957049613968
"5" "64" "83" 0.0011674666006865
"6" "18" "20" 0.00123215352049909
"7" "132" "135" 0.00132923716483838
"8" "68" "81" 0.00135927359472929
"9" "33" "73" 0.00145440655744188
"10" "127" "131" 0.00155603256093978
"11" "56" "71" 0.00155639635994544
"12" "7" "34" 0.00168495657944118
"13" "37" "52" 0.00177008671024184
"14" "60" "82" 0.00192163222286936
"15" "57" "86" 0.00192984087772855
"16" "49" "75" 0.00203976115009201
"17" "10" "14" 0.00204271899616797
"18" "112" "135" 0.00205287875462054
"19" "114" "136" 0.00211644381516938
"20" "100" "103" 0.00235315243776255
"21" "146" "161" 0.00242615860396613
"22" "18" "16" 0.00260119403020729
"23" "42" "44" 0.00262101061205171
"24" "10" "43" 0.00266215190021157
"25" "9" "15" 0.00266500579987566
"26" "59" "71" 0.00286207246514933
"27" "57" "93" 0.00292928114549732
"28" "7" "43" 0.00295518689070097
"29" "24" "31" 0.00302991558994354
"30" "99" "120" 0.00306596409881408
"31" "56" "87" 0.00312859105016947
"32" "55" "63" 0.00314208537438747
"33" "80" "93" 0.0031827927442406
"34" "95" "128" 0.00324199365382492
"35" "18" "8" 0.00325382237249414
"36" "6" "29" 0.00331443541082598
"37" "38" "45" 0.00345069531182007
"38" "60" "61" 0.00350402870624849
"39" "50" "82" 0.00358102028573253
"40" "22" "40" 0.00364660398614656
"41" "7" "19" 0.00369578248504924
"42" "42" "36" 0.00370409469314277
"43" "38" "17" 0.00373508231400942
"44" "65" "115" 0.00374092524605953
"45" "77" "86" 0.00390710878615502
"46" "113" "125" 0.00399178525355779
"47" "67" "51" 0.00405665177991092
"48" "83" "84" 0.00410342552284221
"49" "40" "44" 0.00411316261301657
"50" "34" "39" 0.00415779972293148
"51" "80" "54" 0.00417344066908379
"52" "99" "58" 0.00424686352735325
"53" "20" "43" 0.0042757129960181
"54" "85" "87" 0.00430942951039178
"55" "99" "128" 0.00432197179980174
"56" "49" "85" 0.00441004930302439
"57" "37" "38" 0.00447198170372016
"58" "63" "123" 0.00447887617884519
"59" "48" "115" 0.00448537732400126
"60" "46" "53" 0.00449357182611615
"61" "27" "31" 0.00449395619370578
"62" "58" "48" 0.00457045428269099
"63" "66" "75" 0.00458020106331925
"64" "122" "138" 0.00458509275187437
"65" "16" "15" 0.00459038611756369
"66" "140" "141" 0.00468265144405576
"67" "94" "104" 0.0047788985819371
"68" "149" "151" 0.00480109030977306
"69" "53" "74" 0.00488936203246336
"70" "54" "102" 0.00494527662315875
"71" "127" "119" 0.00506621907091774
"72" "105" "124" 0.0052341801175623
"73" "60" "69" 0.00530671809398319
"74" "40" "21" 0.00534683514689456
"75" "53" "96" 0.00538611735518003
"76" "77" "63" 0.00544234553652883
"77" "119" "110" 0.00548429623689301
"78" "132" "102" 0.00554314718461567
"79" "96" "111" 0.00558917822610287
"80" "22" "12" 0.00560019653046975
"81" "6" "28" 0.00577420743709953
"82" "125" "133" 0.00583760587412563
"83" "11" "23" 0.00583863139019024
"84" "3" "30" 0.00586761964476871
"85" "103" "121" 0.00591903492727317
"86" "47" "70" 0.00592967124642424
"87" "59" "74" 0.005955980773666
"88" "95" "54" 0.00596025090725949
"89" "23" "28" 0.0061373503942618
"90" "105" "116" 0.00637168656082309
"91" "98" "129" 0.00639150981430184
"92" "103" "134" 0.00640972175217754
"93" "3" "2" 0.00641799819952935
"94" "110" "137" 0.00645586379943443
"95" "114" "124" 0.00650434518776592
"96" "58" "137" 0.00652276832308625
"97" "46" "47" 0.00657077800874941
"98" "35" "45" 0.00668266506332875
"99" "13" "36" 0.00673475536755387
"100" "97" "109" 0.00680098514973016
"101" "65" "111" 0.00684400493603619
"102" "113" "126" 0.00707680021784295
"103" "12" "23" 0.0071179974943086
"104" "64" "50" 0.00714330615870168
"105" "11" "26" 0.00741733035668945
"106" "79" "131" 0.00745234450739856
"107" "69" "72" 0.00749525609912029
"108" "62" "130" 0.00758701734880511
"109" "17" "14" 0.00777416646185607
"110" "121" "129" 0.00834366610842258
"111" "97" "106" 0.00836191235798373
"112" "93" "104" 0.00857988982889599
"113" "136" "138" 0.00877756332462345
"114" "18" "27" 0.00892935341594087
"115" "50" "70" 0.00894313547022747
"116" "114" "109" 0.00917432918624724
"117" "37" "85" 0.0092900667992215
"118" "116" "137" 0.00940219080797668
"119" "101" "135" 0.00943908984243971
"120" "12" "25" 0.00953872230161667
"121" "108" "129" 0.00956564749261643
"122" "149" "155" 0.0101907883743719
"123" "28" "30" 0.0103580291059469
"124" "142" "159" 0.0106295924002918
"125" "49" "76" 0.0106643677746983
"126" "4" "5" 0.0108039519523355
"127" "144" "152" 0.0113349611084322
"128" "26" "41" 0.0115777885235804
"129" "147" "158" 0.0119642664708017
"130" "122" "107" 0.0122866282708119
"131" "76" "88" 0.0123685953461777
"132" "121" "133" 0.0128133767563849
"133" "30" "32" 0.0130680900270417
"134" "108" "106" 0.0141222031055894
"135" "117" "118" 0.0145978167222363
"136" "117" "91" 0.0160068023264318
"137" "144" "151" 0.0162505821456022
"138" "140" "118" 0.016408735035948
"139" "5" "32" 0.0168587075460743
"140" "62" "111" 0.0171271678688084
"141" "108" "89" 0.0173775618309098
"142" "154" "161" 0.0174460646662393
"143" "2" "1" 0.0176295851298818
"144" "150" "155" 0.0180864164845362
"145" "146" "162" 0.0190302318954319
"146" "78" "88" 0.0195042503962815
"147" "98" "92" 0.0226689495509646
"148" "156" "165" 0.0254242996724356
"149" "152" "159" 0.0255875242236775
"150" "91" "90" 0.0263278192967326
"151" "153" "157" 0.0267055586265465
"152" "159" "163" 0.0269705003212402
"153" "157" "164" 0.0273532089882104
"154" "154" "148" 0.0292053245323435
"155" "142" "154" 0.0296718686809076
"156" "143" "164" 0.0297055588261482
"157" "146" "160" 0.0376056877518016
"158" "153" "165" 0.0381507127596104
"159" "150" "156" 0.0432781524311253
"160" "117" "92" 0.0456719105901095
"161" "158" "160" 0.050734235737967
"162" "155" "166" 0.0515288254652226
"163" "143" "145" 0.0634675831073652
"164" "139" "141" 0.0815761441750731
"165" "4" "145" 0.325198853024229
"166" "1" "1" 0
