"from" "to" "weight"
"1" "21" "59" 0.000424947946208693
"2" "281" "290" 0.00068275621023743
"3" "61" "262" 0.000688310717506653
"4" "5" "26" 0.000772715519177205
"5" "98" "129" 0.000791299082864079
"6" "181" "250" 0.00101122375562834
"7" "113" "123" 0.00107467524394525
"8" "32" "208" 0.00110197845616738
"9" "145" "290" 0.00113789589919757
"10" "7" "271" 0.00119195980504086
"11" "65" "127" 0.00127501875284669
"12" "234" "243" 0.00129489760071629
"13" "65" "68" 0.00141638104048356
"14" "268" "284" 0.00144784554873442
"15" "51" "153" 0.00148661820089007
"16" "154" "236" 0.00158022354164329
"17" "8" "275" 0.00161095158045494
"18" "222" "243" 0.00164119674654558
"19" "143" "174" 0.00166799400359458
"20" "98" "83" 0.0019394578319368
"21" "83" "128" 0.00194352453379598
"22" "161" "232" 0.00200640247543261
"23" "197" "275" 0.00209234274257216
"24" "5" "155" 0.00223415694633482
"25" "63" "70" 0.00230589702449177
"26" "164" "290" 0.0023075820823448
"27" "3" "226" 0.00239354905147855
"28" "161" "203" 0.00242851064674343
"29" "239" "240" 0.00251854169122293
"30" "225" "231" 0.00251937418283439
"31" "7" "288" 0.0026593250366808
"32" "181" "225" 0.00267762681155585
"33" "52" "60" 0.00269021120496565
"34" "86" "194" 0.00273098005901484
"35" "194" "258" 0.00276078580016281
"36" "177" "201" 0.00278414346012102
"37" "197" "45" 0.00281795844768691
"38" "148" "191" 0.00284200920731024
"39" "195" "267" 0.00284270661301886
"40" "88" "108" 0.00286638430360994
"41" "25" "89" 0.00294564774443664
"42" "81" "96" 0.00314035970049397
"43" "101" "115" 0.00317589459693021
"44" "9" "34" 0.0032346847364492
"45" "20" "214" 0.0032363517320465
"46" "187" "235" 0.00325312890873445
"47" "28" "176" 0.00325642396983996
"48" "164" "204" 0.00329017021222758
"49" "149" "210" 0.00334918822156199
"50" "145" "177" 0.00335277192129452
"51" "28" "188" 0.00343048624729315
"52" "178" "223" 0.00352253844564017
"53" "176" "249" 0.00356731588709023
"54" "66" "80" 0.00357881868267604
"55" "204" "224" 0.00358110913193027
"56" "281" "262" 0.00363465717713975
"57" "46" "85" 0.0036815278982466
"58" "38" "232" 0.00372651772372946
"59" "90" "163" 0.003742570700344
"60" "225" "162" 0.00379164282813041
"61" "7" "285" 0.00381598670631893
"62" "152" "215" 0.00384835704109455
"63" "54" "163" 0.00385170053587471
"64" "99" "134" 0.00386155128122038
"65" "5" "18" 0.0039271292466752
"66" "197" "20" 0.00394390564318933
"67" "228" "276" 0.00395220493048394
"68" "19" "155" 0.00396678743524309
"69" "55" "201" 0.00399811903522405
"70" "203" "277" 0.00406037536398081
"71" "55" "266" 0.00408847994420188
"72" "30" "210" 0.00413932222098344
"73" "143" "38" 0.00415285598299367
"74" "40" "282" 0.00415635696408208
"75" "231" "286" 0.00417467098633916
"76" "53" "156" 0.00421796205102577
"77" "161" "42" 0.00421960696382452
"78" "8" "155" 0.00426888967434575
"79" "6" "213" 0.00430116563710365
"80" "185" "251" 0.00434348619603098
"81" "59" "280" 0.00445995012630434
"82" "156" "199" 0.00450711061422941
"83" "186" "286" 0.00463199849999612
"84" "205" "216" 0.00465822233083566
"85" "181" "159" 0.00468638140638435
"86" "16" "18" 0.00474801523241037
"87" "47" "199" 0.00480278065319569
"88" "83" "75" 0.00480406436873592
"89" "51" "288" 0.00484598325176561
"90" "185" "263" 0.00496023006808645
"91" "61" "277" 0.00510672514565223
"92" "214" "249" 0.00518436914297313
"93" "215" "266" 0.00525333136224904
"94" "75" "77" 0.00530908294081638
"95" "108" "111" 0.00531223539068077
"96" "242" "264" 0.00539679144347181
"97" "10" "130" 0.0054012196583704
"98" "119" "137" 0.00542550451154677
"99" "167" "243" 0.0054262303799865
"100" "169" "241" 0.00544141016632001
"101" "103" "117" 0.00544477768067209
"102" "11" "182" 0.00552169379691321
"103" "46" "49" 0.00552272643646045
"104" "167" "282" 0.00554935100120016
"105" "52" "195" 0.00560004944459861
"106" "106" "267" 0.00562329564879028
"107" "205" "198" 0.00564862291152217
"108" "191" "244" 0.00565498605387119
"109" "106" "190" 0.00565770118772919
"110" "183" "256" 0.00580640243899642
"111" "186" "168" 0.00581972111361212
"112" "32" "165" 0.00596135947019145
"113" "24" "165" 0.00598987954643622
"114" "96" "129" 0.00600364772259358
"115" "108" "64" 0.00604345287198553
"116" "169" "170" 0.00604468153137418
"117" "217" "266" 0.0060566090076723
"118" "100" "105" 0.00607999957665438
"119" "8" "42" 0.00609394965601841
"120" "19" "271" 0.00611256003691781
"121" "31" "138" 0.00611852081644099
"122" "228" "153" 0.0061295880929116
"123" "183" "218" 0.00623435833456419
"124" "160" "211" 0.00625344175232944
"125" "13" "158" 0.00632181906178157
"126" "190" "246" 0.00632406298953589
"127" "102" "110" 0.00637124986302385
"128" "100" "85" 0.00638457537278552
"129" "148" "270" 0.00643801648665506
"130" "71" "125" 0.0064797928074907
"131" "17" "29" 0.0065457459041842
"132" "212" "261" 0.00657093853393765
"133" "240" "289" 0.00657221459430514
"134" "149" "211" 0.00658360909158615
"135" "156" "69" 0.00661358690601424
"136" "192" "272" 0.00669523317527186
"137" "1" "188" 0.00681134284590841
"138" "186" "215" 0.00683966800529185
"139" "110" "118" 0.00686767394933674
"140" "59" "37" 0.00696813858003821
"141" "220" "276" 0.00697106672947457
"142" "189" "270" 0.00704559321801609
"143" "163" "175" 0.00714429515662686
"144" "164" "221" 0.00714866993276903
"145" "4" "251" 0.00725966194805027
"146" "241" "254" 0.00726063376298617
"147" "78" "140" 0.00733050841884899
"148" "170" "175" 0.0073334650120098
"149" "220" "282" 0.00744224238478845
"150" "22" "254" 0.00747254075766122
"151" "220" "269" 0.00747599697354619
"152" "146" "147" 0.00755266431703445
"153" "189" "29" 0.00755817020407388
"154" "178" "244" 0.00762246120242809
"155" "212" "147" 0.00775638012236595
"156" "30" "43" 0.00781205046646281
"157" "248" "283" 0.00793065866207814
"158" "84" "141" 0.00806892762426469
"159" "39" "200" 0.00813490557795607
"160" "151" "279" 0.00819448160055115
"161" "72" "120" 0.00822906778027472
"162" "258" "283" 0.00823471675040384
"163" "170" "249" 0.0082669534936946
"164" "46" "22" 0.00829905037911277
"165" "112" "132" 0.00830732298698839
"166" "227" "260" 0.00832543488609075
"167" "165" "263" 0.00836666697347516
"168" "36" "141" 0.00842121326149753
"169" "48" "247" 0.00847976747822972
"170" "147" "48" 0.00857372936705539
"171" "185" "35" 0.0086354593488064
