"from" "to" "weight"
"1" "552" "604" 4.68757620719443e-05
"2" "275" "573" 6.16066780389815e-05
"3" "718" "759" 6.58630356668365e-05
"4" "745" "872" 7.24592924586961e-05
"5" "338" "748" 9.0773097532772e-05
"6" "261" "646" 9.493003211377e-05
"7" "200" "492" 9.91185821555017e-05
"8" "341" "853" 9.98239993407541e-05
"9" "447" "597" 0.000106278847495973
"10" "409" "445" 0.000114171390352027
"11" "583" "614" 0.000115786046358405
"12" "634" "749" 0.000116579431137917
"13" "38" "480" 0.000128742682650687
"14" "280" "470" 0.000132612337350075
"15" "326" "719" 0.000133027339130277
"16" "562" "737" 0.000144649917922198
"17" "735" "845" 0.000154627989396318
"18" "662" "686" 0.000156486691263772
"19" "54" "697" 0.000162626964645293
"20" "483" "660" 0.000171018893066643
"21" "715" "723" 0.000174977919688842
"22" "222" "663" 0.000176945273319518
"23" "91" "229" 0.000189252911604812
"24" "214" "524" 0.000199133574164158
"25" "367" "432" 0.000205082067517993
"26" "706" "756" 0.000206843122410486
"27" "255" "399" 0.000239283036936172
"28" "540" "723" 0.000244842544014547
"29" "235" "310" 0.000250600152745853
"30" "157" "319" 0.000260383692958281
"31" "100" "717" 0.000263815168485121
"32" "566" "752" 0.000266540206750936
"33" "525" "776" 0.000268505951229617
"34" "658" "869" 0.000268602927169579
"35" "56" "247" 0.000276251625380016
"36" "348" "509" 0.000277701589710493
"37" "398" "607" 0.000278010054102498
"38" "251" "677" 0.000283409873048532
"39" "101" "266" 0.000284051626700228
"40" "384" "637" 0.000284081617750202
"41" "120" "328" 0.00028939459540208
"42" "582" "696" 0.0002912959569706
"43" "566" "173" 0.000293760277445222
"44" "169" "592" 0.000294257085744407
"45" "212" "439" 0.000294438854295733
"46" "591" "895" 0.000297358547978428
"47" "632" "766" 0.000297627050773451
"48" "483" "741" 0.000300549529363784
"49" "264" "783" 0.000306194090582085
"50" "665" "691" 0.000310642214370448
"51" "230" "401" 0.000310773444417103
"52" "79" "162" 0.000314274187461357
"53" "836" "871" 0.000319998574816709
"54" "602" "864" 0.000320698487998801
"55" "715" "437" 0.000323211732082555
"56" "426" "859" 0.000327094317048388
"57" "518" "705" 0.000328610519553747
"58" "427" "511" 0.00032879632497446
"59" "154" "661" 0.000331810210341283
"60" "540" "659" 0.000333673971593881
"61" "475" "724" 0.000336762742469828
"62" "244" "600" 0.000340349684719677
"63" "42" "501" 0.0003510126129118
"64" "113" "135" 0.000355541921536076
"65" "8" "274" 0.000355924751340659
"66" "336" "444" 0.000371088585571286
"67" "368" "692" 0.00037227833324034
"68" "652" "775" 0.000377546171861284
"69" "182" "492" 0.0003795669942925
"70" "72" "813" 0.000380278536218131
"71" "578" "820" 0.000384122374600762
"72" "348" "554" 0.000393600416625701
"73" "448" "625" 0.000396601066618886
"74" "464" "484" 0.000396792341908664
"75" "271" "340" 0.000398198510484245
"76" "127" "190" 0.000408906375979979
"77" "634" "398" 0.000409247806241519
"78" "653" "765" 0.000409629627287689
"79" "257" "795" 0.000414503983034187
"80" "378" "567" 0.000416673056216049
"81" "489" "842" 0.000417416102407311
"82" "318" "407" 0.000418244325606585
"83" "21" "156" 0.000418370516584449
"84" "300" "781" 0.000424172628311605
"85" "150" "558" 0.000425048138941461
"86" "355" "460" 0.000425811574049974
"87" "413" "441" 0.000434357846257337
"88" "482" "828" 0.000435339280764242
"89" "257" "184" 0.000436599455731947
"90" "218" "819" 0.000437005162363412
"91" "244" "548" 0.000441611437014034
"92" "503" "848" 0.000442279204448568
"93" "611" "841" 0.000443127554183276
"94" "322" "833" 0.000443357130450122
"95" "455" "597" 0.000446690275505598
"96" "249" "740" 0.000449540426912679
