"from" "to" "weight"
"1" "1546" "2055" 5.90162194313484e-05
"2" "1183" "2276" 9.23827622747072e-05
"3" "1457" "2026" 0.000100448645896313
"4" "1267" "1564" 0.000123859410152085
"5" "1611" "1832" 0.000134832614323995
"6" "1839" "1990" 0.000136094121461748
"7" "2143" "2691" 0.000147611694808222
"8" "1794" "2276" 0.00015164624711672
"9" "873" "1615" 0.000170294997644898
"10" "2187" "2324" 0.000175658599173702
"11" "1265" "2400" 0.000205860400353459
"12" "1147" "2486" 0.00021331802747819
"13" "1035" "1722" 0.000215345330463978
"14" "1071" "1538" 0.000232140210555428
"15" "879" "1860" 0.000235717878579044
"16" "1623" "1775" 0.000243163210784913
"17" "1665" "1871" 0.000246830567618268
"18" "933" "1143" 0.000250124920407284
"19" "1047" "1132" 0.000254041704770281
"20" "1471" "1670" 0.000286329909666651
"21" "1205" "1565" 0.000288849437121468
"22" "2332" "2345" 0.000300103329953363
"23" "1265" "972" 0.000300425776256838
"24" "1853" "2353" 0.000304745382954921
"25" "1714" "2492" 0.000306056921268945
"26" "888" "1301" 0.000330741476556806
"27" "2343" "2544" 0.000330831257233513
"28" "992" "1398" 0.000332560486665584
"29" "1256" "2298" 0.00033600885065653
"30" "1307" "1737" 0.00034450889551693
"31" "307" "518" 0.000348616060288991
"32" "968" "1241" 0.000349601076150269
"33" "1835" "2564" 0.000351772002952406
"34" "960" "2101" 0.000352487415418364
"35" "1975" "2583" 0.00035682267284375
"36" "940" "1830" 0.000361840814562034
"37" "1694" "1730" 0.000364005576764509
"38" "1089" "2388" 0.000369740328958804
"39" "999" "1215" 0.000371073269887808
"40" "1851" "2293" 0.000374515482045791
"41" "2260" "2577" 0.000377139127067127
"42" "1340" "1398" 0.000379380179936769
"43" "387" "2659" 0.000382416321320964
"44" "1377" "2447" 0.000384221817426187
"45" "1685" "2092" 0.000385304448767492
"46" "978" "1550" 0.000387507421429194
"47" "1864" "2553" 0.000390194593116165
"48" "1136" "1190" 0.000396034901353388
"49" "1327" "1478" 0.000398710734525849
"50" "544" "576" 0.000402108749057477
"51" "1462" "1945" 0.000404730873001734
"52" "420" "587" 0.00040476791442229
"53" "1051" "2055" 0.000415253700863914
"54" "1465" "1821" 0.000415988885939474
"55" "1761" "2500" 0.000420048478662011
"56" "2058" "2500" 0.000426401727900464
"57" "2039" "2151" 0.000426974168653429
"58" "1631" "2377" 0.000430914490151143
"59" "890" "1135" 0.000438101634718415
"60" "1320" "2244" 0.000446015204808774
"61" "1825" "2550" 0.000448917432830136
"62" "1031" "1676" 0.000458140185487089
"63" "1229" "1405" 0.000459836496003875
"64" "1860" "2492" 0.000460217718500764
"65" "2136" "2472" 0.000468486419811684
"66" "1604" "2080" 0.000470382777047721
"67" "1733" "1868" 0.000473304061104085
"68" "901" "2175" 0.000474844080020344
"69" "2082" "2262" 0.000486745230295769
"70" "1864" "1577" 0.000491028942210286
"71" "1043" "1469" 0.000494044671863637
"72" "1403" "2307" 0.000498556697769516
"73" "1648" "1691" 0.000499875981140276
"74" "999" "1214" 0.000503247416701682
"75" "1238" "2237" 0.00050402382666893
"76" "909" "1070" 0.000507984829104704
"77" "933" "1710" 0.000510701660412534
"78" "1750" "2508" 0.000513407751002136
"79" "1136" "2221" 0.00052467235429188
"80" "1186" "1815" 0.000527838173714569
"81" "2523" "2532" 0.000531173435697696
"82" "1217" "1509" 0.000535544675986528
"83" "1044" "1096" 0.00053599603084952
"84" "1940" "1954" 0.000536575557512006
"85" "1309" "1405" 0.00054765045568155
"86" "1872" "2485" 0.000552022024621623
"87" "1617" "2454" 0.000552160526126907
"88" "1625" "2515" 0.000556494698165771
"89" "1182" "2043" 0.000557586824866011
"90" "1469" "2537" 0.000563221203041857
"91" "1420" "1903" 0.000568047891157877
"92" "1538" "1771" 0.000571056086340292
"93" "2041" "2161" 0.000572600785088193
"94" "1164" "2246" 0.000573581615584543
"95" "1663" "1877" 0.00057541952098968
"96" "1927" "1978" 0.000577018075962717
"97" "1244" "2426" 0.000580954355362259
"98" "2024" "2298" 0.000581853020440236
"99" "1975" "1022" 0.000584358320601743
"100" "1040" "2061" 0.000584766301182425
"101" "1217" "1784" 0.000588488795371784
