"from" "to" "weight"
"1" "598" "2466" 1.73245046589085e-05
"2" "376" "2218" 2.54478343780445e-05
"3" "2297" "3863" 3.13269583598078e-05
"4" "547" "2295" 4.24643368575864e-05
"5" "513" "2717" 6.56791762465558e-05
"6" "611" "633" 6.60138263117317e-05
"7" "694" "2143" 6.66259940255329e-05
"8" "3265" "3811" 6.66456190630486e-05
"9" "997" "3801" 7.87765854322611e-05
"10" "3126" "3503" 7.92518663255498e-05
"11" "38" "1477" 8.24142279344502e-05
"12" "1052" "3467" 8.37681456084243e-05
"13" "1062" "3466" 8.51597505848646e-05
"14" "1316" "3366" 9.39659270607615e-05
"15" "2079" "3728" 0.000101232616925872
"16" "951" "3212" 0.00010124299855894
"17" "2854" "3382" 0.000102056356061541
"18" "2981" "3567" 0.000102402679365105
"19" "878" "1379" 0.000102782837941254
"20" "1064" "1094" 0.000111992873745334
"21" "413" "2366" 0.000114911707029886
"22" "3466" "3566" 0.000115523955340713
"23" "2258" "3070" 0.000115982332214946
"24" "291" "1964" 0.000115997424356999
"25" "2887" "3585" 0.000119755554048989
"26" "1772" "3297" 0.000120430613056825
"27" "2295" "3144" 0.000121056323093425
"28" "712" "3949" 0.000123251660785306
"29" "2347" "2520" 0.000124871700382645
"30" "132" "3305" 0.000127641424322554
"31" "1226" "3017" 0.000131774837890579
"32" "267" "3956" 0.000138674199912443
"33" "964" "3311" 0.000139581922619669
"34" "2415" "3174" 0.000140594673175079
"35" "2092" "3682" 0.000141078532199383
"36" "59" "1108" 0.000143492648412607
"37" "2192" "3516" 0.000145398144993176
"38" "1095" "2250" 0.000151931019495911
"39" "2523" "3458" 0.000152255883121326
"40" "1000" "2970" 0.000154809192152939
"41" "829" "3591" 0.000156045749044859
"42" "173" "778" 0.000161779471706857
"43" "2518" "2958" 0.000162234548584563
"44" "1164" "2245" 0.000163210732920422
"45" "2869" "2894" 0.000165063322661865
"46" "1649" "3273" 0.000168003956697172
"47" "2151" "3016" 0.000168938149147151
"48" "450" "3078" 0.000171430510377212
"49" "691" "1375" 0.000173313352692907
"50" "83" "1065" 0.000175868264071808
"51" "943" "1470" 0.000177193147593979
"52" "694" "710" 0.000177681985219402
"53" "3349" "3751" 0.000177761423167329
"54" "1063" "3674" 0.00018139110185251
"55" "3257" "3587" 0.000182835814831949
"56" "947" "3406" 0.000183083528005323
"57" "1145" "2543" 0.000184589987855403
"58" "689" "3127" 0.000188008531723897
"59" "256" "692" 0.000189920486006787
"60" "1936" "3342" 0.000190245557355792
"61" "2161" "3013" 0.00019364779606196
"62" "2573" "3823" 0.000194236363130612
"63" "85" "675" 0.000194732763540781
"64" "1061" "1198" 0.000195884651275013
"65" "317" "905" 0.000196346683453944
"66" "1227" "3788" 0.000197008925672403
"67" "2433" "3974" 0.000197708810011157
"68" "1396" "1853" 0.000198050322507366
"69" "830" "2895" 0.000198219019050359
"70" "337" "3761" 0.000198760168225933
"71" "951" "3413" 0.000199090974931607
"72" "781" "2954" 0.000200542348199482
"73" "3014" "3570" 0.000200699665029552
"74" "3033" "3444" 0.000204873257882219
"75" "2196" "3158" 0.000206254993843234
"76" "317" "464" 0.000209212881790273
"77" "1278" "2348" 0.000213046851689321
"78" "960" "3077" 0.000216906098787125
"79" "5" "161" 0.000217579504613043
"80" "710" "3580" 0.000217747918379186
"81" "879" "1754" 0.000218958936605903
"82" "2671" "3803" 0.000219019799726018
"83" "667" "3435" 0.000222446224510912
"84" "3170" "3637" 0.000223903243514416
"85" "3283" "3384" 0.000223944321226764
"86" "1062" "3644" 0.000224207414450908
"87" "365" "1422" 0.000224935342443945
"88" "1027" "3932" 0.000227402876024188
"89" "2578" "3165" 0.00022858751063518
"90" "3210" "3348" 0.000230722325876399
"91" "1411" "3271" 0.000231649124195167
"92" "47" "3397" 0.000231967745075302
"93" "1465" "1852" 0.000232322198889163
"94" "120" "3413" 0.000233104578287613
"95" "3165" "3592" 0.000235579325530423
"96" "1084" "2899" 0.000235633971009872
"97" "898" "2883" 0.000237124189448622
"98" "1345" "3107" 0.000237147136123819
"99" "1551" "2023" 0.000237155412401795
"100" "2594" "4002" 0.00023750467709695
"101" "295" "1214" 0.000237668623490207
"102" "3203" "3574" 0.000238191552241731
"103" "631" "1353" 0.00023830380709831
"104" "242" "1423" 0.000238489117156206
"105" "290" "1422" 0.000239503259022377
"106" "2988" "3242" 0.000241154698274843
"107" "3559" "3574" 0.000242608648900566
"108" "2600" "3762" 0.000243131151165749
"109" "868" "3222" 0.000244942969423241
"110" "328" "3701" 0.00024515695000601
"111" "178" "2517" 0.000247113806718821
"112" "2240" "3606" 0.000247201026117867
"113" "531" "2232" 0.000248322073906631
"114" "558" "581" 0.000249546453464381
"115" "377" "3302" 0.000249615613566104
"116" "3139" "3981" 0.00025023897441191
"117" "1176" "2910" 0.000254266294923198
"118" "886" "2191" 0.000254829504284386
"119" "1066" "3994" 0.000255361875916655
"120" "219" "1169" 0.000256579757129007
"121" "965" "3615" 0.000258215832675507
"122" "588" "3324" 0.000259402373814582
"123" "8" "2132" 0.000259625357003696
"124" "2412" "3590" 0.000259730775148272
"125" "2285" "3375" 0.000259849329878813
"126" "503" "1945" 0.000260218605092822
"127" "85" "2875" 0.000260291704441322
"128" "143" "1484" 0.000263268036311248
"129" "3251" "3347" 0.000263439519141644
"130" "583" "3863" 0.000264764241059865
"131" "2245" "3572" 0.00026598873472513
"132" "66" "439" 0.000269343754804091
"133" "7" "3300" 0.000270437800437458
"134" "270" "1029" 0.000270468946746886
"135" "1212" "3728" 0.000271517773109063
"136" "3768" "3810" 0.000272225369545034
"137" "928" "937" 0.00027414918015889
"138" "1874" "1902" 0.000274795100305593
"139" "1253" "1761" 0.000276512851909144
"140" "455" "3649" 0.00027819549362595
"141" "1243" "3997" 0.000278376502397382
"142" "2766" "3253" 0.000278606309565326
"143" "373" "2193" 0.000279078068505826
"144" "969" "1038" 0.000279313116014118
"145" "1353" "3571" 0.000280517199791139
"146" "2834" "3448" 0.000280564857442111
"147" "834" "1018" 0.000280757222445171
"148" "1048" "2916" 0.000281027224247291
"149" "2600" "3987" 0.00028310252126557
"150" "1129" "3327" 0.000285444789402001
"151" "1701" "3611" 0.000285608526041008
"152" "2951" "3505" 0.000289183510950845
"153" "1175" "1204" 0.000290369009376027
"154" "485" "880" 0.000291785064786001
"155" "1316" "3055" 0.000293762776529555
"156" "2289" "3429" 0.000295328108992328
"157" "253" "3072" 0.000295684293542447
"158" "956" "3051" 0.000295875664431591
"159" "766" "3919" 0.000297116967061664
"160" "124" "136" 0.000297274982093481
"161" "1405" "1766" 0.000298019197645695
"162" "340" "3718" 0.000298238929676638
"163" "2355" "3506" 0.000299514270988204
"164" "567" "2031" 0.000300083706258764
"165" "992" "3085" 0.000300906630724668
"166" "1481" "2894" 0.000301276994076741
"167" "990" "1055" 0.000302316550582175
"168" "2956" "3846" 0.000303028078400714
"169" "3119" "3772" 0.000303674206698017
"170" "1178" "1426" 0.000303780832273743
"171" "2363" "2680" 0.000305457594148237
"172" "2165" "2650" 0.00030551043600589
"173" "518" "2492" 0.000306792388460839
"174" "110" "3182" 0.000309677215052829
"175" "3542" "3906" 0.0003107637804639
"176" "1015" "1366" 0.000312309621500929
"177" "501" "1317" 0.000313298787725877
"178" "999" "2948" 0.0003172096253661
"179" "3347" "3491" 0.000317759942484269
"180" "2156" "3777" 0.000318835700528067
"181" "729" "3569" 0.000319865258598466
"182" "2692" "3977" 0.000320013204332261
"183" "786" "3348" 0.000320521214644943
"184" "433" "971" 0.000321520209220588
"185" "1136" "2593" 0.000321651449481837
"186" "3767" "3957" 0.000321993108152266
"187" "866" "2918" 0.000322019649330646
"188" "550" "1191" 0.000324291705254806
"189" "3031" "3111" 0.000324441268715746
"190" "265" "2553" 0.000325025968911791
"191" "211" "252" 0.000326404271395203
"192" "780" "1336" 0.000326876027320063
"193" "178" "144" 0.000327849038679294
"194" "1615" "3333" 0.000328551184872661
"195" "1146" "3879" 0.000328876294099353
"196" "1498" "1672" 0.000328973262616522
"197" "383" "799" 0.000329118537286654
"198" "2261" "3586" 0.000329571043819288
"199" "39" "1163" 0.000329713219144351
"200" "61" "1249" 0.000330809257304215
"201" "2939" "3211" 0.000331409546312045
"202" "1877" "2062" 0.0003337421411187
"203" "651" "2038" 0.000333926070190305
"204" "1481" "576" 0.000334281445109787
"205" "748" "2884" 0.000335565851972283
"206" "1064" "2343" 0.000337644957648531
"207" "419" "688" 0.000339632374558533
"208" "764" "819" 0.000340317476727593
"209" "912" "3562" 0.000340488727107759
"210" "526" "994" 0.000340885032521693
"211" "3033" "1076" 0.000344355128013314
"212" "379" "806" 0.000344760666623903
"213" "857" "2368" 0.000344997437231434
"214" "3202" "3467" 0.000345516601416795
"215" "1893" "3198" 0.000345762721292303
"216" "36" "1121" 0.000346165933511625
"217" "736" "2235" 0.000346946146530013
"218" "2218" "2538" 0.000347072619126135
"219" "2334" "3862" 0.000348075779408974
"220" "1066" "3553" 0.000348520116586166
"221" "423" "2718" 0.00035039082530351
"222" "2692" "208" 0.000351261709307516
"223" "51" "3516" 0.000351524594334873
"224" "956" "992" 0.000351734954446983
"225" "587" "3054" 0.000354369676449601
"226" "1333" "3844" 0.000354739713149517
"227" "3" "3711" 0.000354864483169568
"228" "1125" "2948" 0.000357268659753952
"229" "1074" "2579" 0.000359622961624633
"230" "899" "3702" 0.00035989569760115
"231" "313" "3948" 0.00036207226536844
"232" "1474" "3658" 0.000364893933751421
"233" "547" "801" 0.000364976247357274
"234" "2239" "3516" 0.000367139938566267
"235" "51" "2832" 0.000367496287343887
"236" "131" "181" 0.000368282130380647
"237" "1282" "2424" 0.000368402379013349
"238" "2481" "3112" 0.000368965942823079
"239" "528" "2871" 0.000369894102985061
"240" "2306" "3648" 0.000370382134405438
"241" "947" "337" 0.00037123938997651
"242" "3119" "3131" 0.000371438515991176
"243" "2219" "3484" 0.000372238487342604
"244" "2498" "2759" 0.000372249850046721
"245" "1995" "2402" 0.000372593593379207
"246" "1536" "2060" 0.00037320184207744
"247" "995" "1075" 0.00037430980534013
"248" "588" "2341" 0.000375506316319256
"249" "990" "3312" 0.000377448815114851
"250" "173" "2600" 0.000377738040191772
"251" "2145" "3524" 0.000378238013791791
"252" "389" "2485" 0.0003794274661435
"253" "330" "2630" 0.000379642261693723
"254" "2036" "2062" 0.000380250843193197
"255" "867" "1182" 0.000380387044342213
"256" "146" "286" 0.000380553705525823
"257" "1519" "1568" 0.000381255556406374
