"from" "to" "weight"
"1" "117" "636" 0.000172102801465818
"2" "583" "603" 0.000804925266828559
"3" "155" "572" 0.000820993594291393
"4" "590" "655" 0.000965085957445096
"5" "71" "389" 0.00102107512323308
"6" "289" "671" 0.00120193047036544
"7" "43" "552" 0.00120445875392276
"8" "17" "657" 0.00120630709966047
"9" "182" "643" 0.00127686185003584
"10" "566" "571" 0.00143148142617709
"11" "200" "276" 0.00144930537572603
"12" "228" "645" 0.00148817120601678
"13" "53" "528" 0.00151772364410387
"14" "164" "631" 0.00162470352771606
"15" "14" "417" 0.0016324000669578
"16" "170" "172" 0.00167005679941532
"17" "617" "618" 0.00168856608778696
"18" "190" "246" 0.00173543833784354
"19" "264" "668" 0.00180968568251559
"20" "25" "62" 0.0018358633587126
"21" "212" "301" 0.00186158376109691
"22" "98" "217" 0.00198320985241039
"23" "70" "396" 0.00206850469723536
"24" "96" "244" 0.00208599478255691
"25" "255" "364" 0.00209891684295094
"26" "546" "578" 0.00216685642167496
"27" "217" "245" 0.00218789941843207
"28" "260" "309" 0.00228955631788169
"29" "116" "640" 0.0023341394161725
"30" "61" "379" 0.00235025989620196
"31" "160" "245" 0.00245198226605479
"32" "108" "213" 0.00250529343082011
"33" "137" "612" 0.00252248153663612
"34" "157" "582" 0.00252531669807661
"35" "477" "677" 0.00256874565152598
"36" "16" "485" 0.00261472535422397
"37" "568" "670" 0.00262126962700734
"38" "660" "673" 0.00266909103503159
"39" "363" "416" 0.00267050778825275
"40" "528" "663" 0.00268425680373326
"41" "65" "576" 0.00269373442120403
"42" "233" "570" 0.00272918966802303
"43" "568" "118" 0.00273471861032434
"44" "264" "108" 0.00274917657621378
"45" "212" "665" 0.0027578064890863
"46" "10" "613" 0.00276070357297606
"47" "99" "644" 0.00278913510503912
"48" "597" "638" 0.00282519926628016
"49" "315" "601" 0.00285815635334387
"50" "105" "550" 0.00288039567729152
"51" "271" "275" 0.00288172678565811
"52" "301" "675" 0.00290484462081108
"53" "69" "454" 0.00294386246295684
"54" "17" "576" 0.00296771364849877
"55" "167" "580" 0.00298964443445265
"56" "610" "663" 0.00302455644378124
"57" "92" "174" 0.00310400913349912
"58" "185" "670" 0.00310437211661801
"59" "55" "690" 0.00311960981949897
"60" "260" "468" 0.0031625090272971
"61" "255" "7" 0.00316662526758573
"62" "269" "394" 0.00316677363584483
"63" "372" "462" 0.00316716019633127
"64" "32" "446" 0.00317623833224997
"65" "483" "629" 0.00320000508435725
"66" "180" "272" 0.00322678219357885
"67" "65" "567" 0.00323864289708738
"68" "98" "181" 0.00324724897938891
"69" "238" "666" 0.00326438875476646
"70" "69" "585" 0.00327900950484218
"71" "276" "627" 0.00327975050854162
"72" "589" "615" 0.00329711757506746
"73" "631" "652" 0.00331240906875916
"74" "576" "578" 0.00333350250505247
"75" "69" "693" 0.00335974403700841
"76" "546" "598" 0.00337173433345997
"77" "315" "638" 0.00337403074167321
"78" "36" "354" 0.00338302686371558
"79" "221" "586" 0.00339409778133896
"80" "249" "693" 0.00339827883609695
"81" "189" "650" 0.00340023075810629
"82" "200" "253" 0.00341049846728612
"83" "206" "537" 0.00343923307105166
"84" "185" "89" 0.00345723820853461
"85" "466" "648" 0.00346566986887824
"86" "152" "485" 0.00352063039964656
"87" "109" "605" 0.00352607245740945
"88" "176" "522" 0.00356319960303341
"89" "556" "614" 0.00356785444093437
"90" "158" "248" 0.00357178649937128
"91" "135" "581" 0.00357308676600073
"92" "631" "580" 0.00359605513580182
"93" "104" "353" 0.00359895029537856
"94" "573" "678" 0.00363974551888779
"95" "590" "662" 0.00363986639691605
"96" "397" "470" 0.00364471227273095
"97" "146" "595" 0.00365089850227265
