"from" "to" "weight"
"1" "818" "1291" 1.22214478027216e-05
"2" "1439" "1576" 1.31160718423295e-05
"3" "1157" "1287" 1.6664483895272e-05
"4" "454" "1141" 3.87431099935184e-05
"5" "516" "614" 4.14067600022652e-05
"6" "1308" "1553" 4.42051064291747e-05
"7" "1007" "1191" 5.37329861418981e-05
"8" "598" "1397" 6.15418181312554e-05
"9" "476" "1063" 6.35430656016608e-05
"10" "892" "1041" 7.04294162068993e-05
"11" "996" "1351" 7.27546344295529e-05
"12" "432" "834" 7.37483263518868e-05
"13" "1011" "1165" 7.69370766417498e-05
"14" "666" "964" 8.394386673408e-05
"15" "258" "1539" 8.45559574235559e-05
"16" "562" "1578" 0.000104303348526064
"17" "827" "859" 0.00010505163739187
"18" "887" "1248" 0.000105182548700575
"19" "399" "1525" 0.000108667789766043
"20" "1323" "1588" 0.000109967923913606
"21" "469" "734" 0.000111592207321323
"22" "563" "973" 0.000114650870725839
"23" "460" "1143" 0.000116209207874807
"24" "870" "1122" 0.000116223202634539
"25" "465" "1101" 0.000117583449103739
"26" "984" "1172" 0.000119758754609257
"27" "434" "712" 0.000123040993457441
"28" "716" "932" 0.00012374718266084
"29" "589" "1525" 0.000127808242335184
"30" "1279" "1457" 0.000135534127848872
"31" "313" "389" 0.000142235182378527
"32" "1024" "1421" 0.000142948296151017
"33" "678" "1585" 0.000143757725348201
"34" "791" "1367" 0.000144050216399296
"35" "831" "1022" 0.000144202954169016
"36" "533" "628" 0.00014681723820247
"37" "569" "580" 0.00015039159221956
"38" "1043" "1218" 0.000151470603371605
"39" "366" "772" 0.000153422100714142
"40" "408" "1153" 0.000155007815942325
"41" "850" "921" 0.000164342110513775
"42" "642" "1275" 0.000164643234422884
"43" "240" "1347" 0.00016557108035409
"44" "1440" "1591" 0.000168195160032112
"45" "1144" "1505" 0.000169153260110633
"46" "1220" "1312" 0.000172147690454224
"47" "518" "898" 0.000172413732825789
"48" "604" "753" 0.000173121372960148
"49" "612" "1216" 0.000177774077455879
"50" "220" "895" 0.000179279115418907
"51" "1079" "1508" 0.000181774952071025
"52" "657" "1261" 0.000182717372247068
"53" "511" "517" 0.000183653967125954
"54" "493" "1364" 0.00018401528096391
"55" "400" "1236" 0.000184615695874098
"56" "1046" "1184" 0.000188116176432506
"57" "439" "730" 0.000188692336727897
"58" "615" "1352" 0.000189078119633727
"59" "138" "1153" 0.000194582857467899
"60" "505" "1329" 0.000195071706134255
"61" "837" "1319" 0.000200137503636795
"62" "325" "1170" 0.000202647068859204
"63" "1397" "1415" 0.000202983099369728
"64" "26" "212" 0.0002034150398644
"65" "338" "1405" 0.000204025009796962
"66" "280" "1277" 0.000206400488990855
"67" "871" "1413" 0.0002074068117754
"68" "617" "1349" 0.000208910753037281
"69" "103" "793" 0.00020945925351322
"70" "1450" "1567" 0.000210002906140416
"71" "841" "1235" 0.000211881150052933
"72" "739" "1375" 0.000213074378100381
"73" "606" "1219" 0.00021719745714992
