"from" "to" "weight"
"1" "106" "235" 5.50874729403047e-05
"2" "27" "194" 0.000160758224861076
"3" "197" "226" 0.000183251238003672
"4" "82" "142" 0.000247169173753114
"5" "180" "200" 0.00029987744145417
"6" "66" "110" 0.000354383386733954
"7" "34" "213" 0.000375680219501702
"8" "43" "166" 0.000412078572690096
"9" "31" "136" 0.00041555219129781
"10" "128" "246" 0.00041735030064416
"11" "130" "179" 0.000422288740382559
"12" "33" "203" 0.000429819242051536
"13" "3" "152" 0.000460350657500179
"14" "82" "19" 0.000474861308427504
"15" "144" "188" 0.000481925531967259
"16" "190" "227" 0.000488222058893471
"17" "154" "183" 0.000497038990870771
"18" "17" "104" 0.000520549177264039
"19" "163" "182" 0.000531889255214129
"20" "65" "247" 0.000549895090306211
"21" "62" "125" 0.000574587058117783
"22" "65" "5" 0.000595192443079709
"23" "24" "240" 0.000618181608622677
"24" "16" "122" 0.000636368113076564
"25" "88" "166" 0.000653391542929424
"26" "140" "161" 0.000677307624204376
"27" "3" "116" 0.000685818397053876
"28" "126" "166" 0.000690174179579248
"29" "154" "14" 0.000706989509968118
"30" "193" "212" 0.000715355509841648
"31" "127" "165" 0.000715842174271161
"32" "96" "216" 0.000720550052871254
"33" "35" "172" 0.000736416458522639
"34" "82" "148" 0.000755492556995116
"35" "130" "143" 0.000783222369207978
"36" "119" "142" 0.00078656661147796
"37" "61" "102" 0.000788922750590652
"38" "20" "98" 0.000819186280961399
"39" "32" "172" 0.000827176252780276
"40" "162" "235" 0.000835411565583786
"41" "33" "251" 0.000864117766498313
"42" "197" "225" 0.000897774787518185
"43" "146" "200" 0.000908026095359123
"44" "8" "207" 0.000909457537761885
"45" "93" "169" 0.000918273530288834
"46" "29" "69" 0.000920933520875543
"47" "42" "50" 0.000922985851295468
"48" "206" "209" 0.000925174693833981
"49" "59" "134" 0.000952685297161961
"50" "57" "133" 0.000958383625400588
"51" "48" "134" 0.000970255062762393
"52" "36" "101" 0.000980261431659779
"53" "132" "199" 0.000990393561891514
