"from" "to" "weight"
"1" "685" "3773" 7.66754603824115e-06
"2" "1224" "3255" 2.07772585252767e-05
"3" "4200" "4344" 2.28936835033618e-05
"4" "2443" "4627" 2.58475220814635e-05
"5" "4316" "4914" 2.90574068597983e-05
"6" "435" "2569" 3.04645898763696e-05
"7" "2685" "3808" 3.26030741211286e-05
"8" "1559" "3135" 3.51965434865721e-05
"9" "3160" "4022" 3.54574281746616e-05
"10" "357" "3209" 3.76679497329514e-05
"11" "1351" "2379" 3.83229460531605e-05
"12" "603" "1288" 4.00893821107658e-05
"13" "273" "1817" 4.91648039770493e-05
"14" "4291" "4377" 5.23674613836e-05
"15" "22" "1476" 5.29411093260627e-05
"16" "2871" "3383" 5.66778174163988e-05
"17" "2353" "4900" 5.78270984499281e-05
"18" "1462" "2005" 5.91979967128622e-05
"19" "1605" "3622" 6.10293803942361e-05
"20" "146" "1484" 6.40902629783086e-05
"21" "2382" "2634" 6.45954291788203e-05
"22" "185" "4745" 6.47169517744579e-05
"23" "1623" "4374" 6.56381284037301e-05
"24" "786" "1228" 6.67703732659703e-05
"25" "2415" "2697" 7.03060785384756e-05
"26" "1622" "2038" 7.10321370278859e-05
"27" "1127" "3432" 7.21153839284162e-05
"28" "2770" "2903" 7.22563016432058e-05
"29" "2443" "2683" 7.27576641631376e-05
"30" "26" "2776" 7.40398472395224e-05
"31" "1682" "4792" 7.41272395654623e-05
"32" "293" "4618" 7.49457696348352e-05
"33" "1175" "4222" 7.57026401310518e-05
"34" "210" "3480" 7.64706127501951e-05
"35" "1991" "2271" 7.65002868265946e-05
"36" "4048" "4729" 7.67505247193015e-05
"37" "489" "598" 7.97254795868735e-05
"38" "2119" "4278" 8.16099450483005e-05
"39" "453" "2525" 8.35829255222362e-05
"40" "3684" "4763" 8.47825164264459e-05
"41" "246" "709" 8.52152869871538e-05
"42" "806" "2120" 8.61974774311426e-05
"43" "1548" "2761" 8.63035404343469e-05
"44" "2187" "2219" 8.78086071391163e-05
"45" "3014" "4203" 8.8983792948883e-05
"46" "4019" "4348" 8.96457742253254e-05
"47" "998" "2233" 9.08477696351622e-05
"48" "428" "4726" 9.09254948453072e-05
"49" "1520" "4465" 9.40470755664639e-05
"50" "1646" "1862" 9.44163316106536e-05
"51" "2117" "4551" 9.50885752455666e-05
"52" "2549" "3729" 9.61301907651088e-05
"53" "1400" "2588" 9.73728211930464e-05
"54" "136" "3213" 9.90218361278924e-05
"55" "519" "3178" 9.92215305986495e-05
"56" "422" "4303" 9.92385693556187e-05
"57" "2118" "3710" 0.000100017083561367
"58" "3481" "4798" 0.000100021220122964
"59" "309" "1301" 0.000104524439504204
"60" "1909" "3433" 0.000106828048424281
"61" "4304" "4652" 0.000107414677156622
"62" "858" "2182" 0.000107760917856769
"63" "952" "4619" 0.000109145086739077
"64" "4204" "4810" 0.000110246358507494
"65" "2709" "3366" 0.000110623350250821
"66" "1473" "4102" 0.000111090174366759
"67" "1585" "3073" 0.000111816898371316
"68" "861" "1895" 0.000112341126305218
"69" "340" "2651" 0.000112449785827149
"70" "720" "4488" 0.000113280206271106
"71" "482" "1377" 0.000113668152979831
"72" "1646" "180" 0.000114227962756755
"73" "1928" "4621" 0.000114701495623796
"74" "1286" "3707" 0.000115015908123564
"75" "417" "3640" 0.000116613644029982
