"from" "to" "weight"
"1" "207" "438" 0.000188991440958513
"2" "180" "497" 0.000233001676565185
"3" "40" "412" 0.000261981474110954
"4" "151" "517" 0.00029277913303649
"5" "50" "432" 0.000363257338710477
"6" "251" "543" 0.000455366270202204
"7" "336" "487" 0.0005068563802115
"8" "115" "469" 0.000572333220465328
"9" "138" "384" 0.000573626008695638
"10" "162" "284" 0.000604359846465019
"11" "542" "545" 0.000609403255440856
"12" "136" "253" 0.000614283615404119
"13" "339" "413" 0.000671230345792065
"14" "176" "283" 0.000685545716998015
"15" "18" "80" 0.000707333594794971
"16" "440" "503" 0.000722477399853686
"17" "69" "290" 0.000780757585697254
"18" "186" "298" 0.000797493847001951
"19" "150" "175" 0.000825052664949227
"20" "230" "473" 0.000830404672473791
"21" "71" "280" 0.000898260026709138
"22" "176" "479" 0.000907839715795848
"23" "55" "98" 0.000935348604423727
"24" "398" "523" 0.000975901751923302
"25" "98" "535" 0.00099053485348401
"26" "362" "429" 0.00103298303763608
"27" "382" "548" 0.00104261481181582
"28" "73" "277" 0.00104264593121896
"29" "312" "359" 0.00104922917171516
"30" "208" "297" 0.00107446419744895
"31" "68" "79" 0.00110859458389519
"32" "180" "437" 0.0011127645643766
"33" "300" "405" 0.00113330398952361
"34" "35" "144" 0.0011399068036707
"35" "146" "471" 0.00115250696349702
"36" "144" "170" 0.00116152445087585
"37" "102" "445" 0.00116805485165657
"38" "105" "157" 0.0011719349859354
"39" "406" "473" 0.00118013728836213
"40" "26" "297" 0.00120762405325454
"41" "141" "521" 0.00121783195920622
"42" "231" "499" 0.00122018144076888
"43" "257" "354" 0.00124585798822519
"44" "360" "479" 0.00127472450870961
"45" "96" "377" 0.00127744219240806
"46" "56" "400" 0.00129384829611146
"47" "114" "145" 0.00130415142550694
"48" "242" "407" 0.00132680759887852
"49" "249" "262" 0.00132751420993622
"50" "74" "531" 0.00132858807224852
"51" "209" "332" 0.0013298199884927
"52" "320" "341" 0.00135719491943134
"53" "150" "118" 0.00137110871544705
"54" "490" "534" 0.00137369879368545
"55" "248" "322" 0.0013785852941534
"56" "8" "198" 0.0013800876360401
"57" "25" "537" 0.00138424619459927
"58" "365" "464" 0.00139866166047113
"59" "258" "363" 0.00141849444121583
"60" "357" "438" 0.00142220171276506
"61" "103" "524" 0.00142464702168835
"62" "181" "315" 0.00144669148122232
"63" "365" "223" 0.00149477596402601
