"from" "to" "weight"
"1" "492" "685" 0.00013122986261762
"2" "895" "907" 0.00018711747508768
"3" "315" "448" 0.000191779193717138
"4" "113" "416" 0.000215982785158872
"5" "504" "888" 0.000216685081041341
"6" "730" "740" 0.000282559530246945
"7" "38" "205" 0.000294201532265159
"8" "252" "752" 0.000310524357894805
"9" "206" "669" 0.000317664224420316
"10" "83" "865" 0.000342924081404002
"11" "123" "235" 0.000349805045968251
"12" "39" "54" 0.000376393621025271
"13" "213" "219" 0.000405008965014236
"14" "282" "392" 0.000434086330914685
"15" "280" "584" 0.00045572622957608
"16" "363" "566" 0.000458422208180361
"17" "233" "448" 0.000459097475517866
"18" "139" "157" 0.000462245145502277
"19" "246" "840" 0.000487414373861508
"20" "714" "828" 0.000487702459319925
"21" "761" "831" 0.000491507920291691
"22" "37" "263" 0.000499446690686728
"23" "7" "702" 0.000502589352905366
"24" "87" "274" 0.000517869821141379
"25" "645" "853" 0.000527329639893642
"26" "72" "724" 0.000530908194476858
"27" "333" "772" 0.000592603883205932
"28" "655" "896" 0.0005996874466277
"29" "322" "654" 0.000607821636586054
"30" "186" "924" 0.000629951958459865
"31" "655" "129" 0.000643518058055136
"32" "504" "54" 0.000655117083690084
"33" "761" "776" 0.00065699755099556
"34" "255" "459" 0.000666282433393586
"35" "210" "489" 0.000690771957502655
"36" "331" "698" 0.000692140834665628
"37" "89" "340" 0.000715980017198426
"38" "91" "191" 0.000731447772656941
"39" "13" "300" 0.000741274906510592
"40" "307" "469" 0.00074458323229928
"41" "773" "817" 0.000751532345828284
"42" "68" "819" 0.000755563885423844
"43" "332" "909" 0.000765560916920142
"44" "269" "723" 0.000774399704513874
"45" "339" "607" 0.000775196986323858
"46" "33" "795" 0.000781715436520956
"47" "646" "883" 0.000785248681197042
"48" "407" "792" 0.000827442433684561
"49" "288" "666" 0.000829001283003238
"50" "170" "409" 0.000840658688610658
"51" "381" "538" 0.00084206995315128
"52" "276" "782" 0.000846277087576724
"53" "584" "603" 0.000850597517705301
"54" "239" "887" 0.000859211863056544
"55" "575" "743" 0.00086503696206763
"56" "275" "791" 0.0008664405354607
"57" "728" "806" 0.000877133493094731
"58" "487" "731" 0.000885836688309488
"59" "340" "905" 0.000887364431387399
"60" "645" "224" 0.000896684827860589
"61" "432" "829" 0.000900130659433012
"62" "354" "455" 0.000901523138426668
"63" "425" "807" 0.00091390473719705
"64" "312" "485" 0.000919476781383169
"65" "728" "328" 0.00092080654374958
"66" "45" "564" 0.000923103284431744
"67" "246" "338" 0.000943708530248336
"68" "575" "377" 0.000943799969859234
"69" "29" "75" 0.000965831016862554
"70" "309" "616" 0.000973973125817036
"71" "76" "831" 0.000994751322490586
"72" "579" "653" 0.000998122560013339
"73" "375" "411" 0.00101993699851313
"74" "228" "750" 0.00102136452608697
"75" "30" "154" 0.00102291310699803
"76" "9" "31" 0.00105568937505345
"77" "75" "440" 0.00105806394279824
"78" "557" "766" 0.00105874581961975
"79" "206" "365" 0.00106067520698159
"80" "94" "919" 0.00109365168122434
"81" "162" "368" 0.00109498199742609
"82" "624" "872" 0.00111746441673874
"83" "568" "598" 0.00111866901718537
"84" "572" "716" 0.00114967836474397
"85" "17" "898" 0.00115212755526849
"86" "225" "498" 0.0011674599807044
"87" "108" "149" 0.00118350359539974
"88" "178" "630" 0.0011950423597019
"89" "414" "571" 0.00122358555863076
"90" "318" "412" 0.00122650214669446
"91" "315" "921" 0.00122790074342289
"92" "91" "13" 0.00124294116595465
"93" "743" "791" 0.00125234286441246
"94" "845" "860" 0.00125575199171421
"95" "401" "707" 0.00125788630902686
"96" "314" "784" 0.00126082051003955
"97" "571" "788" 0.00127747844139553
"98" "289" "760" 0.00128193241526118
"99" "360" "891" 0.00128315597490454
"100" "184" "317" 0.00128819060383313
"101" "644" "907" 0.00129942155824091
"102" "369" "601" 0.00131274469663318
"103" "182" "810" 0.00131378565804389
"104" "77" "98" 0.00131509858222871
"105" "157" "604" 0.0013179593209809
"106" "243" "582" 0.00132407370673073
"107" "441" "786" 0.0013268402312367
"108" "135" "251" 0.00134111321440547
"109" "300" "444" 0.00134168360021022
"110" "418" "700" 0.00135500399137443
"111" "78" "903" 0.00137021523546528
"112" "332" "686" 0.00137067428043688
"113" "639" "706" 0.00138518400887851
"114" "66" "676" 0.0013977112129577
"115" "30" "651" 0.00139808257238023
"116" "5" "468" 0.00140150157198639
"117" "242" "513" 0.00140652358861424
"118" "443" "577" 0.00142081627859823
"119" "19" "158" 0.00143674055728768
"120" "509" "674" 0.00143858074273555
"121" "618" "911" 0.00143947748736854
"122" "480" "827" 0.00144040549538534
"123" "260" "421" 0.00146299158842989
"124" "193" "674" 0.00146679742744011
"125" "384" "868" 0.00146896692443596
"126" "547" "771" 0.00147793982127031
"127" "614" "879" 0.00150386269869832
"128" "624" "556" 0.00152166042348925
"129" "147" "434" 0.00152234148025698
"130" "343" "796" 0.00153487510613393
"131" "181" "852" 0.00154098258454776
"132" "644" "20" 0.00154283031500683
"133" "106" "833" 0.00155372945377888
"134" "100" "657" 0.00155933418758984
"135" "695" "890" 0.00156601804441607
"136" "95" "227" 0.00156826303324666
"137" "366" "468" 0.00158325348438947
"138" "262" "423" 0.00158693059788737
"139" "366" "347" 0.00159465575325553
"140" "517" "852" 0.00159503544398051
"141" "146" "859" 0.00162689617265158
"142" "279" "527" 0.00162961067879899
"143" "366" "817" 0.00163910993263893
"144" "388" "919" 0.0016424422690835
"145" "58" "656" 0.00164500849371334
"146" "425" "204" 0.00165014730938697
"147" "603" "609" 0.00165038212087277
"148" "174" "847" 0.00165395625208385
"149" "765" "922" 0.0016706918177024
"150" "373" "533" 0.00167409002572808
"151" "181" "860" 0.00167794672400874
"152" "236" "244" 0.00168088666451995
"153" "671" "805" 0.00168769021786073
"154" "639" "747" 0.0016880273054036
"155" "442" "802" 0.00169277329032889
"156" "296" "688" 0.00170039029301329
"157" "21" "479" 0.00170945828520707
"158" "271" "541" 0.00172045135841746
"159" "4" "482" 0.00172059190471198
"160" "293" "303" 0.0017207815539032
"161" "95" "256" 0.00172533825939193
"162" "265" "706" 0.0017350834943102
"163" "908" "923" 0.00173596781115411
"164" "849" "890" 0.00174776925292033
"165" "530" "812" 0.00175148479765983
"166" "287" "713" 0.00175156062209722
"167" "335" "521" 0.00175892103934312
"168" "192" "548" 0.00176440442691978
"169" "17" "544" 0.00177944470435654
"170" "90" "670" 0.0017848820017432
"171" "256" "842" 0.00178601850310286
"172" "192" "466" 0.00178737839275908
"173" "18" "408" 0.00179576542677327
"174" "290" "909" 0.00179613614919805
"175" "11" "277" 0.00180827441867644
"176" "423" "762" 0.00180861242442745
"177" "236" "319" 0.00181202374045867
"178" "414" "473" 0.00181752937101319
"179" "191" "397" 0.00183360091010786
"180" "160" "476" 0.00183455471860066
"181" "471" "871" 0.00185274579211895
"182" "368" "378" 0.00186797417415811
"183" "440" "790" 0.00188513418978588
"184" "71" "145" 0.00191276775223403
"185" "20" "58" 0.0019204812627441
