"from" "to" "weight"
"1" "79" "1476" 6.48708234637727e-05
"2" "490" "2078" 7.85394893329508e-05
"3" "798" "936" 8.88900966375087e-05
"4" "1452" "1904" 0.000143170637308681
"5" "514" "1080" 0.000169770277485208
"6" "259" "1328" 0.000222494950888393
"7" "200" "1251" 0.000246417655009328
"8" "50" "1287" 0.000262343606504803
"9" "327" "2333" 0.00028922904141692
"10" "571" "1571" 0.000299744176471086
"11" "316" "928" 0.0003159781868568
"12" "906" "1088" 0.000324817343063588
"13" "973" "2358" 0.000352062897244443
"14" "246" "734" 0.000359081181120823
"15" "703" "1738" 0.000359168679364018
"16" "691" "948" 0.000370991382023447
"17" "43" "2305" 0.000408672930484244
"18" "283" "1656" 0.000414869153105275
"19" "1041" "1981" 0.000440531618325284
"20" "1612" "2113" 0.000464047811981994
"21" "147" "1603" 0.000488069918331365
"22" "1729" "1804" 0.000512083354455246
"23" "555" "2131" 0.000522589987172699
"24" "1453" "2109" 0.00053213161868846
"25" "355" "504" 0.000533002027030563
"26" "1757" "2248" 0.000536345355052078
"27" "812" "1067" 0.000546252129494791
"28" "972" "2307" 0.000553535991249995
"29" "981" "2228" 0.000586506148779918
"30" "572" "1786" 0.000594773984924869
"31" "425" "2152" 0.000600960192269315
"32" "561" "1397" 0.000604271883234133
"33" "1097" "1669" 0.000604860365071285
"34" "1658" "1722" 0.000607207685443167
"35" "611" "1074" 0.000621932300631048
"36" "1039" "1872" 0.000629564161936183
"37" "843" "990" 0.000637606374647802
"38" "431" "792" 0.000654302073965648
"39" "400" "642" 0.000657385032767467
"40" "555" "129" 0.000659044817557559
"41" "1185" "2275" 0.00066196053598897
"42" "581" "1668" 0.000680701290966508
"43" "669" "2318" 0.000681210020251355
"44" "954" "2153" 0.000697523929338393
"45" "642" "1787" 0.000708271686683468
"46" "803" "1116" 0.000711156764857974
"47" "344" "1588" 0.0007182988257733
"48" "1437" "2395" 0.000732058271276162
"49" "68" "499" 0.000735762049791042
"50" "1291" "1407" 0.000741723198864127
"51" "794" "1009" 0.000741875338709732
"52" "214" "2169" 0.000749312065320911
"53" "565" "1052" 0.000753225852071097
"54" "1346" "2013" 0.000753935293072634
"55" "571" "1400" 0.000761221119854947
"56" "827" "2370" 0.000777643763759905
"57" "1658" "1011" 0.000785737483882395
"58" "132" "1356" 0.000792774992171399
"59" "1043" "2144" 0.000804879907501661
"60" "411" "1139" 0.000804919876758264
"61" "1095" "2263" 0.000806570684302325
"62" "1507" "1691" 0.000811890952976049
"63" "359" "1165" 0.000818873728371143
"64" "1579" "1783" 0.000824708541433699
"65" "1739" "2020" 0.000825293889630248
"66" "905" "1038" 0.000825815926661399
