"from" "to" "weight"
"1" "577" "2279" 8.53622522959977e-05
"2" "524" "3537" 8.64103825299046e-05
"3" "212" "3465" 0.000103002433526802
"4" "949" "1216" 0.000116418298644642
"5" "2929" "3410" 0.000118884445897726
"6" "50" "4037" 0.000129464563299854
"7" "145" "1728" 0.000133134129440675
"8" "4486" "4737" 0.000156470616244732
"9" "2340" "4444" 0.000156855789549835
"10" "132" "2368" 0.000161175067987777
"11" "1084" "4339" 0.000163871907619277
"12" "1348" "3592" 0.000164330158963981
"13" "2168" "2666" 0.000168363630296212
"14" "2025" "2700" 0.000178801992921101
"15" "2344" "4920" 0.000183686626906398
"16" "721" "1906" 0.000186555629407942
"17" "4493" "4594" 0.000189810153087449
"18" "666" "2318" 0.000190703032587812
"19" "52" "2548" 0.000191574980998004
"20" "28" "727" 0.000196624969653181
"21" "334" "1194" 0.000197071496096644
"22" "907" "3081" 0.000199968182848584
"23" "4250" "4583" 0.000203311192341298
"24" "97" "2585" 0.000208438049360957
"25" "1250" "3145" 0.000215077658883385
"26" "3482" "4702" 0.000216250399731897
"27" "1136" "2467" 0.000217036832856661
"28" "150" "3539" 0.00022029176611308
"29" "512" "3466" 0.000220907680135296
"30" "2749" "4496" 0.000221260988171979
"31" "1057" "3927" 0.000221604050973498
"32" "1468" "3217" 0.000225173709401056
"33" "4510" "4681" 0.000237075869884402
"34" "600" "1425" 0.000237254342608133
"35" "327" "1146" 0.000237995981346816
"36" "1443" "2989" 0.000238135835695075
"37" "2260" "3684" 0.000242820946729232
"38" "330" "3567" 0.000248067456478431
"39" "2500" "3755" 0.000250193519715714
"40" "309" "881" 0.000251730450660814
"41" "1409" "4196" 0.000257304997952661
"42" "1314" "3184" 0.000259973463585946
"43" "1503" "3128" 0.000263731050518251
"44" "1633" "3193" 0.00026373160703143
"45" "233" "2226" 0.00026494597463172
"46" "3788" "4849" 0.000265066108963351
"47" "221" "3922" 0.000265210485862027
"48" "4232" "4437" 0.000265400203413507
"49" "1511" "2949" 0.000270073972888701
"50" "976" "3302" 0.000271537354616334
"51" "2903" "3706" 0.000273542501013303
"52" "918" "1785" 0.000279845460522792
"53" "309" "995" 0.000284056265791571
"54" "3642" "4318" 0.000286588101013352
"55" "641" "2014" 0.000287755496206463
"56" "623" "1440" 0.00028985888544765
"57" "4131" "4616" 0.00029218976414052
"58" "1903" "2579" 0.000292333884944844
"59" "2948" "2984" 0.000293926325392867
"60" "1399" "4773" 0.000295754983837196
"61" "281" "2804" 0.000296170503898794
"62" "1525" "3790" 0.000302134712411477
"63" "3631" "4501" 0.000308153171253718
"64" "1328" "2097" 0.000308889455466836
"65" "30" "4312" 0.000309165994792907
"66" "1347" "1809" 0.000310929305708145
"67" "1120" "4694" 0.000319012059840595
"68" "470" "4092" 0.000321366338791573
"69" "3759" "3794" 0.00032233128792703
"70" "188" "2470" 0.000325551172878386
"71" "3143" "4865" 0.00032609079446787
"72" "3611" "4539" 0.000326959330936321
"73" "3591" "4322" 0.000330100056965135
"74" "3547" "4700" 0.000336374579377337
"75" "2071" "3834" 0.000339061830077682
"76" "696" "1609" 0.000339182986658989
"77" "127" "1729" 0.000340839038465737
"78" "2787" "3619" 0.00034438947847428
"79" "4684" "4831" 0.000344985690848069
"80" "128" "3815" 0.000347269753355143
"81" "1789" "3954" 0.000349994580771825
"82" "2418" "2722" 0.000351173891030461
"83" "455" "2940" 0.000352846221558267
"84" "316" "2608" 0.000353145092084768
"85" "588" "3941" 0.000354751446159222
"86" "2795" "4850" 0.00035648066429577
"87" "9" "3529" 0.000356675506067778
"88" "1612" "2492" 0.000359693702726383
"89" "2609" "2660" 0.000360058406857503
"90" "3765" "4059" 0.000361678670611627
"91" "938" "4195" 0.00036188303106237
"92" "3812" "4147" 0.000362120719547255
"93" "3643" "3997" 0.000362236275079196
"94" "1092" "3124" 0.000363066873537361
"95" "1024" "1791" 0.000372403967021738
"96" "1489" "4348" 0.000375064768291517
"97" "54" "3527" 0.000378795861601364
"98" "480" "4720" 0.000381938180983708
"99" "1292" "4297" 0.000382656351764495
"100" "2387" "2426" 0.000383644980250548
"101" "902" "1585" 0.00038498160381506
"102" "565" "3252" 0.000385865703350109
"103" "2986" "3577" 0.00039312731718842
"104" "3233" "3428" 0.000393857653073008
"105" "3731" "4959" 0.000396536726914171
"106" "1856" "4524" 0.000397780309137866
"107" "4227" "4894" 0.000402807129014377
"108" "381" "3615" 0.000408502357661438
"109" "3102" "4793" 0.000413405497214725
"110" "2266" "4770" 0.000413746498629452
"111" "2724" "2860" 0.000413939438328943
"112" "3685" "3826" 0.000416740201822506
"113" "30" "3324" 0.000418830081353857
"114" "494" "2843" 0.000419996865065838
"115" "348" "2256" 0.000421696394432862
"116" "808" "2611" 0.000422403433914118
"117" "901" "3512" 0.000423537327058546
"118" "234" "547" 0.000425929606243028
"119" "3393" "4763" 0.000428526922238482
"120" "903" "2551" 0.000434155040831626
"121" "2447" "4280" 0.00043632987966445
"122" "1701" "3091" 0.00044409041831346
"123" "134" "168" 0.000446441307960006
"124" "2418" "1406" 0.000447762482602543
"125" "253" "481" 0.000450233994129756
"126" "1804" "2446" 0.000451761711215151
"127" "852" "4547" 0.000451799982726784
"128" "1247" "3825" 0.000452289094283517
"129" "811" "3306" 0.000454275857634271
"130" "3263" "4542" 0.000455863939239146
"131" "4246" "4697" 0.000456097554420981
"132" "1178" "4451" 0.000458669327899475
"133" "1210" "4906" 0.000461757418264409
"134" "621" "4140" 0.00046261468731978
"135" "3421" "3868" 0.000465725811224135
"136" "461" "3173" 0.000466499316915015
"137" "1832" "3784" 0.000466602284875564
"138" "3221" "3397" 0.000470513588144674
"139" "682" "738" 0.000472601609601393
"140" "2903" "2239" 0.00047326142692749
"141" "470" "4664" 0.000479808544325817
"142" "564" "3278" 0.000479986092710781
"143" "2271" "4870" 0.000480719506631989
"144" "2400" "4477" 0.000483997537196763
"145" "990" "2008" 0.000485040848586276
"146" "466" "1223" 0.000485346463857948
"147" "2182" "3304" 0.000485606321055369
"148" "418" "1690" 0.000492508928929917
"149" "2044" "3671" 0.000493724954847105
"150" "243" "4664" 0.000494968388183746
"151" "254" "4955" 0.000496542146173673
"152" "1618" "2687" 0.000496935168649905
"153" "3290" "4417" 0.000497403502403937
"154" "1101" "4842" 0.000498044767620553
"155" "1004" "1263" 0.000499253156956978
"156" "2351" "4163" 0.000500412768111284
"157" "2634" "4150" 0.000502561697168559
"158" "990" "940" 0.000505378373992876
"159" "897" "4138" 0.00050563075395199
"160" "1255" "3433" 0.000506178837663702
"161" "2163" "4364" 0.000509420564714182
"162" "2703" "4604" 0.000512247002729043
"163" "95" "4357" 0.000516953136924094
"164" "2524" "3894" 0.000518020962920804
"165" "120" "1919" 0.000518446861540342
"166" "789" "936" 0.000518507407905185
"167" "1931" "4395" 0.000518554010013567
"168" "1765" "4539" 0.000520526398213654
"169" "2287" "3446" 0.000520659050503916
"170" "1476" "2954" 0.000521058309053113
"171" "66" "1122" 0.000521575113350012
"172" "1191" "3548" 0.000523933800210001
"173" "420" "3518" 0.000524219963143246
"174" "1227" "3405" 0.000524367995459837
"175" "1175" "2042" 0.000526567394259159
"176" "1103" "4325" 0.000527289070934085
"177" "2954" "3672" 0.000528021763922767
"178" "2920" "3561" 0.000528107418211241
"179" "241" "3288" 0.000532419086460647
"180" "103" "3390" 0.000533586441637012
"181" "2474" "4431" 0.000535021939683536
"182" "1921" "4951" 0.00053723889669694
"183" "1518" "1672" 0.000544223531715019
"184" "981" "2976" 0.000544362392478448
"185" "2999" "3747" 0.000544493466619429
"186" "1878" "3506" 0.000545851853993568
"187" "833" "2063" 0.000548005147601015
"188" "2465" "3001" 0.000548605884319624
"189" "2407" "4665" 0.000549167500729327
"190" "196" "2909" 0.000553458056051271
"191" "744" "1557" 0.000553929337715321
"192" "3359" "4545" 0.000554575222729317
"193" "612" "1908" 0.0005618370033082
"194" "1697" "4569" 0.000563331047815832
"195" "1138" "1413" 0.000564799111312153
"196" "262" "1257" 0.000565238775314808
"197" "2997" "4299" 0.000568737492452522
"198" "1757" "4905" 0.00057029089632364
"199" "3273" "4090" 0.000570389587054545
"200" "2644" "4341" 0.000571145478034631
"201" "3464" "4706" 0.00057461983734387
"202" "2557" "4652" 0.000575463184241495
"203" "2239" "2815" 0.000576417530203087
"204" "431" "1151" 0.000579048873080813
"205" "2087" "4163" 0.000580609120580787
"206" "992" "2589" 0.0005819470337421
"207" "3926" "4177" 0.000587380955607705
"208" "581" "2596" 0.000588198822521463
"209" "2652" "2670" 0.000590041912144287
"210" "82" "3929" 0.000590962088303154
"211" "2703" "68" 0.00059477172180748
"212" "3065" "4357" 0.000597386651356886
"213" "1612" "1083" 0.000597515683815148
"214" "1574" "3955" 0.000599105164594879
"215" "1461" "2019" 0.000599920441390369
"216" "2542" "2939" 0.000605788804721396
"217" "2260" "3378" 0.000606080660645659
"218" "1041" "2274" 0.000607114377118115
"219" "4434" "4557" 0.000607445328370618
"220" "1809" "2436" 0.000608694022701724
"221" "2764" "4320" 0.000609029559745655
"222" "1187" "4185" 0.000609540447726346
"223" "1566" "3232" 0.000611175349690462
"224" "1755" "2561" 0.000612277094336342
"225" "2918" "3955" 0.000614871180351005
"226" "1993" "4555" 0.000617203209265594
"227" "1765" "4413" 0.000619730302456668
"228" "830" "3871" 0.000620573145338765
"229" "1434" "1537" 0.000621321706188587
"230" "463" "1958" 0.000623776451661073
