"from" "to" "weight"
"1" "291" "630" 7.26581169612998e-05
"2" "579" "603" 0.000127000741569769
"3" "366" "613" 0.000196260482649529
"4" "201" "255" 0.000205900774424582
"5" "316" "563" 0.000214731602752096
"6" "671" "967" 0.000230738685039311
"7" "42" "726" 0.000288054172830376
"8" "629" "674" 0.000322533836307774
"9" "371" "927" 0.000331645357751477
"10" "671" "688" 0.000339126487812366
"11" "135" "908" 0.000370682894490577
"12" "166" "964" 0.000387437656154949
"13" "372" "848" 0.000395253480080815
"14" "418" "584" 0.000411382542841852
"15" "626" "923" 0.000426750561076154
"16" "380" "739" 0.000447620032358803
"17" "595" "785" 0.000469625901582419
"18" "813" "938" 0.000498192126497333
"19" "851" "926" 0.000511456668419032
"20" "28" "110" 0.000517503251227519
"21" "175" "612" 0.000573987680728401
"22" "278" "966" 0.000574925263866929
"23" "656" "692" 0.000581054760921175
"24" "133" "208" 0.000590735554775162
"25" "90" "674" 0.000593202439422335
"26" "372" "353" 0.000622063926424891
"27" "148" "935" 0.000641980934851945
"28" "535" "898" 0.000649932121277316
"29" "5" "737" 0.000655065909628099
"30" "100" "653" 0.000656934807962847
"31" "252" "710" 0.000672881766224388
"32" "144" "870" 0.000684899344965128
"33" "655" "891" 0.000688212774006064
"34" "402" "460" 0.00069069011835698
"35" "310" "470" 0.000702218714416669
"36" "303" "701" 0.000705422229192439
"37" "649" "669" 0.000705444872461642
"38" "427" "436" 0.000712254960929891
"39" "100" "883" 0.000714787552737292
"40" "298" "443" 0.000718447975876112
"41" "137" "704" 0.000726834914810803
"42" "499" "520" 0.000728475175414042
"43" "591" "600" 0.000729040209704564
"44" "450" "837" 0.000749719377183341
"45" "483" "930" 0.000754891251422216
"46" "459" "603" 0.000762522198555064
"47" "247" "970" 0.000763988621903915
"48" "307" "456" 0.000764856463723253
"49" "260" "950" 0.000770461586033804
"50" "141" "965" 0.000771839956237898
"51" "115" "491" 0.000780892475996251
"52" "502" "519" 0.000794056072283825
"53" "259" "716" 0.000796708949593897
"54" "786" "948" 0.000817832303069811
"55" "715" "722" 0.000824744472450287
"56" "118" "220" 0.000825470364022362
