"from" "to" "weight"
"1" "50" "107" 8.07681032419966e-05
"2" "52" "174" 9.47102609911216e-05
"3" "18" "169" 0.000127473823281538
"4" "140" "154" 0.000130511481206279
"5" "89" "215" 0.000155354514396498
"6" "53" "59" 0.000158889498312679
"7" "137" "186" 0.000167192420684301
"8" "181" "224" 0.000178104422432691
"9" "179" "243" 0.000189523179847666
"10" "43" "148" 0.000189594898321523
"11" "212" "234" 0.000191064184468228
"12" "176" "206" 0.0001984935026077
"13" "25" "214" 0.000209873606160449
"14" "77" "239" 0.000243648498472799
"15" "60" "213" 0.000267116010911558
"16" "74" "172" 0.000272125365591493
"17" "51" "195" 0.000290504245313535
"18" "63" "131" 0.000314447901916466
"19" "105" "201" 0.000314501948211327
"20" "149" "161" 0.000318165883494099
"21" "52" "131" 0.000331679698604167
"22" "212" "204" 0.000333542097170865
"23" "166" "218" 0.000339815736963502
"24" "197" "221" 0.000341915140628747
"25" "168" "229" 0.000342269947633768
"26" "1" "9" 0.000344899644789766
"27" "48" "177" 0.000348862122220071
"28" "158" "244" 0.000354567171500121
"29" "47" "116" 0.000358040711275296
"30" "51" "99" 0.000364520781390547
"31" "227" "234" 0.000374316026248194
"32" "102" "170" 0.00039341617836219
"33" "20" "28" 0.000400850495684698
"34" "112" "169" 0.000413519272974683
"35" "26" "91" 0.000420515020211672
"36" "89" "195" 0.00042092259477751
"37" "51" "234" 0.000425519889812472
"38" "74" "130" 0.000426493831605248
"39" "121" "192" 0.000429911376991051
"40" "31" "37" 0.00043094507124823
"41" "63" "194" 0.000432281406471156
"42" "138" "164" 0.000444686707320272
"43" "199" "231" 0.000458581842406714
"44" "133" "136" 0.000465146538377728
"45" "139" "205" 0.000470450978918053
"46" "17" "85" 0.000474731616153707
"47" "136" "141" 0.000480507421408938
"48" "78" "142" 0.000488165549323109
"49" "154" "215" 0.000489145427393003
"50" "42" "209" 0.000491456211366032
"51" "48" "217" 0.000502252553361771
"52" "211" "222" 0.000511609252667801
"53" "68" "82" 0.000515790569661861
"54" "171" "217" 0.000520425177398031
"55" "121" "139" 0.000526568722545341
"56" "158" "112" 0.000543315122479033
"57" "181" "38" 0.000552562525524858
"58" "21" "194" 0.000556252097531868
"59" "88" "126" 0.000558357133982744
"60" "105" "108" 0.000562944324652527
"61" "136" "143" 0.000582865058964432
"62" "37" "229" 0.000586290619687452
"63" "94" "145" 0.000587739414410495
"64" "68" "84" 0.000588677218725945
"65" "44" "150" 0.000598749512253216
"66" "29" "107" 0.000600651189009101
"67" "138" "222" 0.00061451707048667
"68" "9" "191" 0.000622811096378445
"69" "21" "202" 0.000624603437714662
"70" "84" "210" 0.000626340185196979
"71" "164" "175" 0.000627477630812713
"72" "77" "109" 0.000631992005208287
"73" "199" "16" 0.000643544427739284
"74" "86" "110" 0.000643875319337337
"75" "227" "211" 0.000644094079162806
"76" "60" "172" 0.000644359576446649
"77" "118" "237" 0.000653063382387324
"78" "1" "82" 0.000662385972376705
"79" "109" "192" 0.000667571479313777
"80" "53" "30" 0.000678025727807919
"81" "28" "127" 0.000683498098267597
"82" "36" "100" 0.00069222808944602
"83" "18" "171" 0.000715002362387002
"84" "31" "78" 0.000718881269861826
"85" "152" "173" 0.000719128499028048
"86" "116" "162" 0.00072239216255397
"87" "130" "239" 0.000726749822291339
"88" "40" "205" 0.000727384587406778
"89" "154" "86" 0.0007296549988645
"90" "2" "146" 0.000737432006812822
"91" "45" "243" 0.000741535067588502
"92" "22" "145" 0.000743087358200161
"93" "202" "233" 0.000748220307566278
"94" "24" "57" 0.000784945616541304
"95" "197" "110" 0.000792602301453737
"96" "26" "84" 0.000804601543588841
"97" "50" "13" 0.000812795425865755
"98" "202" "159" 0.000842357552034636
"99" "150" "233" 0.000861477901436528
"100" "140" "16" 0.000863980951847445
"101" "11" "128" 0.000874646433992065
"102" "59" "148" 0.000875267479339309
"103" "187" "209" 0.000877394704661186
"104" "181" "226" 0.00087747710148852
"105" "44" "209" 0.000885148126300899
"106" "41" "175" 0.000888999289123676
"107" "176" "62" 0.000890790020727844
"108" "77" "70" 0.000892693467404984
"109" "176" "19" 0.000937263813154316
"110" "94" "118" 0.000947202995547068
"111" "158" "141" 0.000947218827343087
"112" "14" "223" 0.000951671173388395
"113" "41" "65" 0.000955230628622848
"114" "23" "95" 0.000959253858800064
"115" "166" "160" 0.000965624437711875
"116" "176" "108" 0.000970583294219272
"117" "115" "242" 0.00100269997383334
"118" "199" "242" 0.00100790191677841
"119" "170" "205" 0.00101205237424955
"120" "34" "237" 0.00102226914478156
"121" "78" "79" 0.00103130475019264
"122" "173" "213" 0.00104367537353638
"123" "67" "230" 0.00104424846825504
"124" "2" "219" 0.00105971188393186
"125" "13" "187" 0.00109000706744402
"126" "155" "218" 0.00110797539086209
"127" "94" "28" 0.00110841865467406
"128" "15" "98" 0.00111899468876076
"129" "87" "99" 0.00112315090331983
"130" "68" "115" 0.00112937187380637
"131" "127" "210" 0.00114353779608461
"132" "164" "19" 0.00115026164595625
"133" "15" "142" 0.00115159444969251
"134" "45" "56" 0.00115651899395751
"135" "160" "203" 0.0011598394069904
"136" "152" "103" 0.00116639584221796
"137" "87" "104" 0.00117498988144144
"138" "91" "162" 0.00117692317000029
"139" "62" "239" 0.00118135083937506
"140" "98" "221" 0.00119924383234635
"141" "24" "90" 0.00121082105201529
"142" "59" "189" 0.0012112744043624
"143" "81" "220" 0.00121260327456528
"144" "6" "132" 0.00121520151895339
"145" "81" "230" 0.00121970605105505
"146" "111" "196" 0.00122469819219402
"147" "104" "177" 0.00123251189782075
"148" "40" "100" 0.00123451449815634
"149" "135" "216" 0.0012384296054046
"150" "4" "242" 0.00124039026034253
"151" "117" "214" 0.00126499180367382
"152" "56" "161" 0.00127573301377704
"153" "133" "155" 0.00128077274547675
"154" "10" "64" 0.00129156683166289
"155" "157" "214" 0.0012959328010501
"156" "75" "225" 0.00130210018273875
"157" "43" "128" 0.00130213211924263
"158" "42" "143" 0.00131687870749476
"159" "85" "189" 0.00132959658723501
"160" "103" "55" 0.00133717764926064
"161" "183" "216" 0.00136473355356846
"162" "24" "54" 0.00141051104967352
"163" "171" "12" 0.00148276504213201
