"from" "to" "weight"
"1" "297" "555" 0.000132185926133879
"2" "221" "490" 0.000173192984390914
"3" "619" "677" 0.00017882771396142
"4" "692" "807" 0.000217945047894946
"5" "427" "782" 0.000224897329871559
"6" "220" "535" 0.00024680210048421
"7" "185" "594" 0.000253726646907464
"8" "210" "212" 0.000266159688224939
"9" "355" "618" 0.000275112849806739
"10" "157" "607" 0.000279198515512927
"11" "70" "605" 0.000306145986211326
"12" "34" "44" 0.000327279735636193
"13" "268" "426" 0.000328053231943252
"14" "43" "818" 0.000352989269446356
"15" "25" "757" 0.000363056016086626
"16" "53" "294" 0.000385097877472079
"17" "130" "777" 0.000389791407065692
"18" "587" "768" 0.000414966647969752
"19" "280" "566" 0.000450815681074194
"20" "182" "283" 0.000454431559086117
"21" "591" "598" 0.000463529286656313
"22" "194" "283" 0.000469811184793287
"23" "566" "901" 0.000475085209814156
"24" "82" "306" 0.000475177209295598
"25" "361" "661" 0.000487680407078182
"26" "75" "666" 0.000488013378264978
"27" "63" "781" 0.000493074311344896
"28" "64" "121" 0.000506263514444613
"29" "377" "836" 0.000533721061451035
"30" "352" "541" 0.000573214427838591
"31" "14" "258" 0.000590078246193615
"32" "300" "724" 0.000598850482071457
"33" "230" "886" 0.00061842903604534
"34" "83" "340" 0.000643750612667321
"35" "274" "349" 0.000644849176044323
"36" "350" "403" 0.0006452031209263
"37" "110" "620" 0.000653331050321755
"38" "361" "908" 0.000686021095083068
"39" "308" "898" 0.000704633480497486
"40" "124" "708" 0.000705684544766606
"41" "150" "543" 0.000708976398092084
"42" "104" "269" 0.000721168770729806
"43" "319" "693" 0.00072611941654244
"44" "399" "477" 0.000728467868141177
"45" "281" "342" 0.000736690909904716
"46" "579" "850" 0.000764407050310694
"47" "457" "688" 0.000782010392086224
"48" "98" "143" 0.000817005471953713
"49" "455" "877" 0.000825324114624701
"50" "129" "354" 0.000860178953967207
"51" "354" "626" 0.000865455993333179
"52" "126" "838" 0.000867775653367816
"53" "61" "148" 0.000878476105165217
"54" "713" "827" 0.000900298883769798
"55" "320" "334" 0.000905551251968698
"56" "381" "450" 0.000916176831560966
"57" "142" "188" 0.000920328074872546
"58" "13" "466" 0.000941182401464765
"59" "557" "769" 0.000951570933026122
"60" "271" "750" 0.000954196115157455
"61" "141" "450" 0.00096289150441712
"62" "6" "293" 0.000967242715416303
"63" "306" "669" 0.000968283244455388
"64" "444" "572" 0.00096958196725246
"65" "524" "681" 0.000973064417619803
"66" "216" "821" 0.000987474737809541
"67" "546" "725" 0.000988005020473152
"68" "136" "311" 0.000994106162349117
"69" "748" "779" 0.00099668705250404
"70" "216" "754" 0.000997772478179215
"71" "146" "347" 0.0010027794473721
"72" "289" "578" 0.00102080422342658
"73" "598" "739" 0.0010308148592427
"74" "22" "690" 0.0010322457677907
"75" "458" "701" 0.00103288412494791
"76" "647" "856" 0.00104251772322358
"77" "51" "128" 0.00104393197831271
"78" "390" "567" 0.00104507688223169
"79" "150" "838" 0.00104687192337899
"80" "470" "535" 0.00105161198316982
"81" "167" "493" 0.00105195605926301
"82" "309" "777" 0.00105612879182351
"83" "41" "323" 0.00105759700400325
"84" "636" "716" 0.00106053262611071
"85" "96" "625" 0.0010686421924499
"86" "513" "885" 0.00107055134069096
"87" "374" "914" 0.00107287678254962
