"from" "to" "weight"
"1" "16" "214" 0.000110554870324047
"2" "142" "210" 0.000180401908260292
"3" "22" "117" 0.000196136560120738
"4" "86" "214" 0.000230093078193904
"5" "121" "141" 0.000277570378210639
"6" "21" "238" 0.00029095813606038
"7" "92" "96" 0.000305774424235688
"8" "88" "99" 0.00033850871406676
"9" "110" "168" 0.000346194384075926
"10" "217" "224" 0.000373314850146637
"11" "123" "241" 0.000379178410906158
"12" "142" "95" 0.000403640318287166
"13" "20" "68" 0.000419956306833037
"14" "217" "221" 0.00043566633237899
"15" "50" "65" 0.000438772837202076
"16" "202" "234" 0.00044359433785253
"17" "84" "215" 0.000449394337875696
"18" "217" "155" 0.00046818180524004
"19" "8" "162" 0.000479704033464886
"20" "92" "70" 0.000492358136423806
"21" "117" "212" 0.000512053220255806
"22" "98" "207" 0.000524150002434574
"23" "112" "206" 0.000533235676978482
"24" "78" "234" 0.000549709898923908
"25" "16" "79" 0.000554721085534959
"26" "69" "213" 0.000563858297707743
"27" "155" "91" 0.000568980075995398
"28" "133" "243" 0.00057445494433492
"29" "146" "170" 0.000584770398071753
"30" "117" "45" 0.000585337631681276
"31" "33" "43" 0.000602330539592373
"32" "95" "212" 0.000603088656873507
"33" "150" "225" 0.000609608448825197
"34" "207" "237" 0.000624059135324003
"35" "26" "189" 0.000630108573084883
"36" "91" "56" 0.000633574069482028
"37" "128" "231" 0.000640225804166823
"38" "40" "57" 0.000641109881882943
"39" "152" "156" 0.000642817524311739
"40" "4" "215" 0.000642966605100945
"41" "74" "158" 0.000650524201416016
"42" "20" "211" 0.000668761410210911
"43" "95" "47" 0.000689381296840273
"44" "12" "31" 0.000691760583606547
"45" "128" "229" 0.000720634826354896
"46" "209" "218" 0.000733893606123572
"47" "1" "6" 0.000771671830819681
"48" "71" "167" 0.000788401082395071
"49" "131" "191" 0.000803340118310043
"50" "16" "9" 0.000806271258817527
"51" "157" "161" 0.000812419812852587
"52" "51" "100" 0.000815193622801763
"53" "21" "133" 0.000817853982847067
"54" "148" "201" 0.000843996225800833
"55" "165" "201" 0.000853667098023207
"56" "84" "23" 0.000879465199519514
"57" "56" "19" 0.000895351136709677
"58" "82" "239" 0.000916414072710853
"59" "133" "13" 0.000944768217874228
"60" "64" "229" 0.000949355244213342
"61" "180" "221" 0.000992589293605001
"62" "180" "239" 0.000998505989497161
"63" "129" "228" 0.00100634787737729
"64" "26" "118" 0.00100773661695236
"65" "69" "172" 0.00102045183515612
"66" "29" "145" 0.00102100665265332
"67" "36" "108" 0.0010373541892992
"68" "36" "231" 0.00104108669146746
"69" "74" "139" 0.00105871162079159
"70" "4" "63" 0.00107089100298899
"71" "175" "183" 0.00107262179932311
"72" "213" "222" 0.00107516249335864
"73" "60" "138" 0.00109590742926363
"74" "114" "230" 0.00109770414557512
"75" "131" "30" 0.00110637831343328
"76" "91" "109" 0.00111604817885594
"77" "40" "158" 0.00112766385599309
"78" "57" "176" 0.00112785569780004
"79" "142" "237" 0.00113510046036661
"80" "102" "198" 0.00114136605701704
"81" "95" "23" 0.00114204469311067
"82" "173" "243" 0.00114281656067793
"83" "99" "227" 0.00114947618664939
"84" "17" "226" 0.00115873669475636
"85" "25" "132" 0.0011917304906571
"86" "114" "235" 0.00120323620965147
"87" "3" "43" 0.00121656911680448
"88" "146" "93" 0.0012178837429185
"89" "156" "176" 0.00122715150405496
"90" "152" "187" 0.00122877781876778
"91" "115" "168" 0.00125600122996862
"92" "1" "109" 0.00127214662793054
"93" "89" "118" 0.00127216010407033
"94" "45" "9" 0.00128258976775559
"95" "55" "103" 0.00128376432588047
"96" "1" "79" 0.00128826615186096
"97" "51" "199" 0.00132047430848573
"98" "78" "218" 0.00132719463864527
"99" "86" "162" 0.00132919084440485
"100" "164" "167" 0.00133287569537541
"101" "89" "15" 0.00134921327121134
"102" "51" "58" 0.00135740752523337
"103" "124" "189" 0.00137183801960683
"104" "110" "172" 0.00137382518453028
"105" "153" "179" 0.00139846570140005
"106" "180" "127" 0.00140213933580631
"107" "4" "153" 0.00140875916355283
"108" "175" "161" 0.00143160217216812
"109" "130" "192" 0.00144276790155053
"110" "41" "147" 0.00147038745120771
"111" "173" "174" 0.00147768119881022
"112" "14" "87" 0.00148151282076828
"113" "115" "37" 0.00148513195300979
"114" "204" "225" 0.00149068398330262
"115" "43" "183" 0.00149514369556123
"116" "164" "53" 0.00151160338535031
"117" "139" "195" 0.00153043426015788
"118" "209" "145" 0.00153232651668403
"119" "101" "182" 0.00153581739861974
"120" "167" "182" 0.00156030647413503
"121" "87" "169" 0.00156329103603436
"122" "127" "39" 0.00156916396609376
"123" "30" "132" 0.00157182154036433
"124" "157" "177" 0.00157431848477264
"125" "41" "195" 0.00158198454804248
"126" "108" "203" 0.00160237255807787
"127" "171" "184" 0.00162765808765941
"128" "105" "191" 0.00163612719031933
"129" "153" "243" 0.00164253412493176
"130" "64" "138" 0.00164623425395301
"131" "38" "200" 0.00167501776380963
"132" "14" "195" 0.00169860956759458
"133" "164" "34" 0.00170903546405227
"134" "149" "177" 0.00172686938302279
"135" "3" "97" 0.00172787114430242
"136" "65" "85" 0.00172959734268229
"137" "59" "159" 0.00177183474222791
"138" "173" "34" 0.00180661688633664
"139" "186" "216" 0.00180830518412473
"140" "182" "223" 0.00181441848758448
"141" "157" "113" 0.00184319816431057
"142" "97" "220" 0.0018539466393172
"143" "97" "200" 0.00185448726288138
"144" "102" "58" 0.00191058546004304
"145" "29" "103" 0.00191747155305576
"146" "42" "225" 0.00192929150987301
"147" "193" "240" 0.00193370378333219
"148" "25" "211" 0.00193394799621298
"149" "124" "196" 0.00197552396398672
"150" "204" "147" 0.00198925916448539
"151" "170" "241" 0.00199031373267382
"152" "113" "244" 0.00204807862891028
"153" "112" "221" 0.00205314213593675
"154" "90" "141" 0.00206537161001982
"155" "89" "6" 0.00206668793843859
"156" "155" "68" 0.00206743347319018
"157" "129" "230" 0.00210637716970432
"158" "208" "220" 0.00211033526967064
"159" "151" "205" 0.00211686527678737
"160" "150" "140" 0.00215454408487064
"161" "193" "135" 0.00218086982343612
"162" "175" "67" 0.00221113745766382
"163" "112" "31" 0.00223067600206611
"164" "123" "184" 0.00224503538432388
"165" "67" "104" 0.00225805401105445
"166" "59" "233" 0.00227320332814976
"167" "107" "177" 0.00227887551521051
"168" "36" "11" 0.00229194768993399
"169" "85" "205" 0.0023058166057726
"170" "129" "171" 0.00231423136581243
"171" "209" "32" 0.00232181210024426
"172" "104" "111" 0.00232989871815288
"173" "55" "37" 0.00233663552810687
"174" "140" "244" 0.00235203345803462
"175" "29" "236" 0.00235791158815222
"176" "151" "166" 0.00236841258409577
"177" "137" "205" 0.00238666398607219
"178" "53" "111" 0.00244849489961214
"179" "81" "179" 0.00245904543858316
"180" "107" "24" 0.00250823949546164
"181" "12" "227" 0.00253489154827514
"182" "25" "226" 0.00254128678919278
"183" "193" "5" 0.00259308238452319
"184" "93" "181" 0.00262440735742478
"185" "44" "138" 0.00262506360510947
"186" "130" "235" 0.00262787426408514
"187" "2" "185" 0.00263371935647241
"188" "172" "198" 0.00267105647273646
"189" "76" "163" 0.00273674231092284
"190" "203" "222" 0.00277811263114902
"191" "15" "201" 0.00282770782478649
"192" "105" "199" 0.00282814919050976
"193" "186" "141" 0.00283615481644224
"194" "50" "80" 0.0028544723429204
"195" "90" "192" 0.00287781891820108
"196" "176" "192" 0.00293243533453134
"197" "42" "2" 0.00293556187959708
"198" "55" "143" 0.00293652135333207
"199" "18" "177" 0.00295179528080918
"200" "72" "188" 0.00308263317645333
"201" "92" "5" 0.00311398054437893
"202" "120" "196" 0.00322506903515315
"203" "70" "241" 0.00328563750639406
"204" "2" "83" 0.00336292518083441
"205" "44" "188" 0.00339328473748943
"206" "18" "144" 0.00348242501465795
"207" "52" "126" 0.00355857101159939
"208" "186" "52" 0.00358815321466748
"209" "194" "232" 0.00361552763503722
"210" "163" "169" 0.00368196148379962
"211" "28" "48" 0.00369330936778562
"212" "154" "242" 0.00373788054716539
"213" "136" "233" 0.00379227398489321
"214" "120" "106" 0.00382206486504317
"215" "11" "62" 0.00386185247763446
"216" "208" "94" 0.00407689293295861
"217" "54" "188" 0.00424323987126305
"218" "154" "77" 0.00429497071797525
"219" "148" "48" 0.00454504433958566
"220" "136" "205" 0.00462373367468825
"221" "10" "160" 0.00475580018140681
"222" "10" "181" 0.00498438234653462
"223" "94" "125" 0.00503501738491786
"224" "72" "166" 0.00506160595562596
"225" "35" "66" 0.00511763634590283
"226" "80" "242" 0.00553223247845126
"227" "116" "233" 0.00558128717970807
"228" "160" "219" 0.00622390089371103
"229" "28" "66" 0.00698651763011122
"230" "120" "122" 0.00739459232678779
"231" "61" "66" 0.00776681453828385
"232" "5" "194" 0.00825909086956682
"233" "75" "190" 0.00926076399699112
"234" "75" "125" 0.0112475917865398
"235" "116" "27" 0.015971652716535
"236" "159" "197" 0.023262422491975
"237" "27" "73" 0.0240271642702137
"238" "61" "46" 0.0284388392781758
"239" "134" "219" 0.0342463138495567
"240" "73" "119" 0.0442675503173325
"241" "46" "7" 0.0915896990937453
"242" "7" "178" 0.16687812447608
"243" "49" "178" 0.274914041045611
"244" "1" "1" 0
