"from" "to" "weight"
"1" "286" "343" 2.53328230038429e-05
"2" "17" "295" 6.44222216826609e-05
"3" "189" "319" 0.00010035760001132
"4" "282" "346" 0.000106443588573935
"5" "10" "131" 0.000119754062657264
"6" "138" "165" 0.000138575344903197
"7" "38" "302" 0.000144993445503865
"8" "282" "81" 0.000149199515170433
"9" "52" "149" 0.000151835810791563
"10" "144" "155" 0.000157904578853259
"11" "52" "215" 0.000165348998879887
"12" "45" "243" 0.000176930612590197
"13" "133" "304" 0.000190782693329794
"14" "83" "284" 0.000195942494220653
"15" "240" "346" 0.000196751531003695
"16" "148" "212" 0.000199631419082115
"17" "14" "124" 0.000204374293032626
"18" "254" "339" 0.000210116738032758
"19" "100" "115" 0.000212222015154951
"20" "10" "20" 0.000212224586037519
"21" "11" "93" 0.000213084673251133
"22" "264" "313" 0.000230746243968669
"23" "296" "352" 0.000237867141401535
"24" "74" "208" 0.000244390844949325
"25" "177" "311" 0.000246926850641878
"26" "280" "297" 0.000257735641828796
"27" "74" "204" 0.000259687441815674
"28" "124" "305" 0.000262834650245375
"29" "83" "347" 0.000271153792229318
"30" "221" "345" 0.000272440906931838
"31" "88" "111" 0.0002734652130153
"32" "221" "310" 0.000277065562647304
"33" "75" "302" 0.000277682148898975
"34" "142" "205" 0.000283273891463767
"35" "280" "202" 0.000285909173682544
"36" "255" "353" 0.000286087803537734
"37" "81" "103" 0.000289357184102852
"38" "115" "287" 0.000301657288195942
"39" "37" "248" 0.00030277988328896
"40" "75" "67" 0.000305315332793145
"41" "163" "243" 0.000306522720808075
"42" "103" "304" 0.000309713535585117
"43" "100" "233" 0.000311047145718098
"44" "33" "120" 0.000313216441497686
"45" "120" "258" 0.000315327060628388
"46" "257" "284" 0.000322399441451511
"47" "199" "287" 0.000323625725019447
"48" "73" "108" 0.000329008257651139
"49" "255" "295" 0.000330861261559304
"50" "213" "246" 0.000333903122845623
"51" "21" "158" 0.000335101600757229
"52" "80" "108" 0.000340646607260328
"53" "260" "358" 0.000343051866542986
"54" "194" "248" 0.000343087917331894
"55" "144" "151" 0.000344761422152931
"56" "53" "232" 0.000345672078519083
"57" "161" "173" 0.000345969295123623
"58" "96" "111" 0.000349566207732769
"59" "296" "46" 0.000352126011487387
"60" "75" "290" 0.000354934170019871
"61" "181" "338" 0.000357461401843809
"62" "277" "351" 0.000359397364868073
"63" "194" "303" 0.00036152036632108
"64" "183" "278" 0.000362953223652839
"65" "33" "233" 0.00036645099306024
"66" "38" "209" 0.000377500235670487
"67" "14" "334" 0.000378588358718591
"68" "140" "239" 0.000379559254628318
"69" "111" "284" 0.000381552787609679
"70" "38" "39" 0.0003835376545222
"71" "222" "348" 0.000386197458786451
"72" "222" "78" 0.00038944133571584
"73" "153" "345" 0.000390864501888375
"74" "52" "92" 0.00039675108658584
"75" "181" "104" 0.000401593962103886
"76" "29" "237" 0.000407036342556501
"77" "95" "196" 0.000409513119757428
"78" "174" "246" 0.000411320471629506
"79" "309" "355" 0.00041134512650248
"80" "17" "235" 0.000412357199854561
"81" "78" "9" 0.000417492280659819
"82" "309" "122" 0.00041926620550985
"83" "108" "347" 0.000419631617838213
"84" "194" "53" 0.000421173486638386
"85" "264" "303" 0.000422834385117114
"86" "114" "297" 0.000429842348914053
"87" "322" "327" 0.000441464282373621
"88" "114" "27" 0.000441647354740559
"89" "163" "246" 0.000450123979164589
"90" "156" "244" 0.000450479001350733
"91" "264" "167" 0.000455861840862825
"92" "153" "191" 0.000460366283982922
"93" "286" "142" 0.000461130498810859
"94" "118" "207" 0.000463103030720413
"95" "56" "353" 0.000465307496656442
"96" "254" "155" 0.000466536473595784
"97" "170" "261" 0.000467777126622367
"98" "215" "235" 0.000469735769878962
"99" "20" "113" 0.000469911718963784
"100" "290" "339" 0.000481560963543699
"101" "191" "317" 0.00048729335605744
"102" "322" "204" 0.00049186198591372
"103" "230" "252" 0.000493710930310056
"104" "52" "209" 0.000496743970353336
"105" "140" "267" 0.00049755252971875
"106" "322" "63" 0.000497962327634438
"107" "89" "105" 0.000498656804923429
"108" "149" "258" 0.000510078717432801
"109" "228" "267" 0.000513164319286891
"110" "128" "352" 0.000515913616496959
"111" "65" "317" 0.000516662060940895
"112" "96" "89" 0.000516723392956058
"113" "35" "69" 0.000517339710171426
"114" "211" "339" 0.000521853350230673
"115" "162" "341" 0.000522853490524715
"116" "1" "335" 0.000534997525009489
"117" "144" "174" 0.000539213612232557
"118" "136" "328" 0.000546118159379002
"119" "99" "227" 0.000557075620130116
"120" "171" "256" 0.000558011171654785
"121" "234" "358" 0.000561042015297594
"122" "173" "325" 0.000565422116474079
"123" "269" "333" 0.000567268509159251
"124" "113" "207" 0.000570431905296105
"125" "7" "354" 0.000571176174374194
"126" "86" "218" 0.000573114924504573
"127" "234" "210" 0.0005750107874393
"128" "107" "305" 0.000575018374300188
"129" "237" "337" 0.000575522927610021
"130" "128" "105" 0.000577001187758032
"131" "6" "91" 0.000586725397814978
"132" "228" "353" 0.000588786195696371
"133" "130" "342" 0.000589053827397708
"134" "156" "66" 0.000611432363195338
"135" "64" "330" 0.000613797123370246
"136" "169" "354" 0.000614001598321285
"137" "248" "312" 0.000623156206110421
"138" "220" "270" 0.000629738134653779
"139" "80" "19" 0.000631554872297045
"140" "253" "344" 0.000639995679830346
"141" "200" "218" 0.000640887589046646
"142" "161" "272" 0.000641059610023542
"143" "202" "267" 0.000644867621998275
"144" "97" "308" 0.000646498244826366
"145" "234" "5" 0.000657212188401337
"146" "309" "227" 0.000664299149488562
"147" "201" "318" 0.000664393057220207
"148" "113" "352" 0.000667656095161876
"149" "133" "79" 0.000674085886216677
"150" "171" "117" 0.000674897929263598
"151" "188" "219" 0.000676823813436679
"152" "11" "68" 0.000682623352714973
"153" "107" "292" 0.000687720742898965
"154" "105" "328" 0.000691616307586166
"155" "25" "251" 0.000701359418306956
"156" "33" "312" 0.000706732658503111
"157" "167" "165" 0.000710495856971249
"158" "1" "318" 0.000723779188772419
"159" "195" "251" 0.000725838052526351
"160" "56" "328" 0.000729782565561564
"161" "117" "123" 0.000738497168591981
"162" "233" "346" 0.00074031700510986
"163" "187" "205" 0.000743820081457232
"164" "260" "313" 0.000743938614264862
"165" "219" "332" 0.000746599341511515
"166" "162" "168" 0.000750685545750489
"167" "40" "332" 0.000755085773775737
"168" "204" "336" 0.000759553595796036
"169" "254" "330" 0.000774718986681761
