"from" "to" "weight"
"1" "GSM1488302" "GSM1488350" 0.00788894340628676
"2" "GSM1488302" "GSM1488318" 0.00850445720108787
"3" "GSM1488302" "GSM1488323" 0.00922272113359323
"4" "GSM1488302" "GSM1488306" 0.00949060192739632
"5" "GSM1488302" "GSM1488397" 0.0111934159917807
"6" "GSM1488302" "GSM1488370" 0.0114964633217348
"7" "GSM1488302" "GSM1488394" 0.0115964437059962
"8" "GSM1488302" "GSM1488352" 0.0115992809298142
"9" "GSM1488302" "GSM1488341" 0.0124368953278786
"10" "GSM1488302" "GSM1488389" 0.0125243113983759
"11" "GSM1488303" "GSM1488313" 0.00408731401406017
"12" "GSM1488303" "GSM1488392" 0.00692316865475061
"13" "GSM1488303" "GSM1488369" 0.0107572727964073
"14" "GSM1488303" "GSM1488353" 0.0154439895411452
"15" "GSM1488303" "GSM1488304" 0.0155800509567676
"16" "GSM1488303" "GSM1488368" 0.0168866180307245
"17" "GSM1488303" "GSM1488325" 0.0178492474033993
"18" "GSM1488303" "GSM1488328" 0.0237744199913707
"19" "GSM1488303" "GSM1488361" 0.024104579094297
"20" "GSM1488303" "GSM1488359" 0.0241343606737042
"21" "GSM1488304" "GSM1488369" 0.00873432191796852
"22" "GSM1488304" "GSM1488392" 0.0108040687426107
"23" "GSM1488304" "GSM1488361" 0.0137724142383202
"24" "GSM1488304" "GSM1488471" 0.015485177533639
"25" "GSM1488304" "GSM1488313" 0.0165514635194151
"26" "GSM1488304" "GSM1488368" 0.0172201304311097
"27" "GSM1488304" "GSM1488325" 0.0172977392890466
"28" "GSM1488304" "GSM1488429" 0.0182647383108353
"29" "GSM1488304" "GSM1488353" 0.0202815796475188
"30" "GSM1488305" "GSM1488464" 0.0125076414394756
"31" "GSM1488305" "GSM1488453" 0.0175581365599493
"32" "GSM1488305" "GSM1488448" 0.0196979570637002
"33" "GSM1488305" "GSM1488412" 0.0199430808393189
"34" "GSM1488305" "GSM1488325" 0.0215538280716968
"35" "GSM1488305" "GSM1488360" 0.0226043503306356
"36" "GSM1488305" "GSM1488362" 0.0227108795866253
"37" "GSM1488305" "GSM1488383" 0.0260419902167297
"38" "GSM1488305" "GSM1488398" 0.0261830125141291
"39" "GSM1488305" "GSM1488353" 0.0264720106706976
"40" "GSM1488306" "GSM1488352" 0.00416049769690956
"41" "GSM1488306" "GSM1488350" 0.00746177645366748
"42" "GSM1488306" "GSM1488343" 0.00858795315363759
"43" "GSM1488306" "GSM1488370" 0.0112661758948775
"44" "GSM1488306" "GSM1488397" 0.0121488531293076
"45" "GSM1488306" "GSM1488323" 0.0128364923732031
"46" "GSM1488306" "GSM1488389" 0.0129520843601378
"47" "GSM1488306" "GSM1488382" 0.0130752716814249
"48" "GSM1488306" "GSM1488394" 0.0135189299721048
"49" "GSM1488307" "GSM1488332" 0.00736316796892912
"50" "GSM1488307" "GSM1488327" 0.00869652537661769
"51" "GSM1488307" "GSM1488570" 0.0103634353364654
"52" "GSM1488307" "GSM1488309" 0.0107507672498962
"53" "GSM1488307" "GSM1488375" 0.0117864947018558
"54" "GSM1488307" "GSM1488393" 0.0139062388964098
"55" "GSM1488307" "GSM1488373" 0.0164322790030175
"56" "GSM1488307" "GSM1488312" 0.0174949848456791
"57" "GSM1488307" "GSM1488308" 0.0198306264800539
"58" "GSM1488307" "GSM1488355" 0.0199678383815142
"59" "GSM1488308" "GSM1488355" 0.00285455260216033
"60" "GSM1488308" "GSM1488373" 0.00773414466008052
"61" "GSM1488308" "GSM1488570" 0.00972227489890485
"62" "GSM1488308" "GSM1488326" 0.010320438391395
"63" "GSM1488308" "GSM1488517" 0.0130039115021711
"64" "GSM1488308" "GSM1488372" 0.013465653371659
"65" "GSM1488308" "GSM1488358" 0.0141714199910685
"66" "GSM1488308" "GSM1488332" 0.0145291644360838
"67" "GSM1488308" "GSM1488323" 0.0150211792984233
"68" "GSM1488308" "GSM1488331" 0.0153112296173758
"69" "GSM1488309" "GSM1488312" 0.00791691073530375
"70" "GSM1488309" "GSM1488570" 0.0104624924904384
"71" "GSM1488309" "GSM1488358" 0.0121078169847381
"72" "GSM1488309" "GSM1488327" 0.0122477702142625
"73" "GSM1488309" "GSM1488332" 0.0122588122130475
"74" "GSM1488309" "GSM1488373" 0.0127252361057682
"75" "GSM1488309" "GSM1488374" 0.0130001073081759
"76" "GSM1488309" "GSM1488331" 0.0137759221677373
"77" "GSM1488309" "GSM1488346" 0.0153811221870998
