"from" "to" "weight"
"1" "F_5W_embryo1_sc1" "F_24W_embryo1_sc29" 0.00623325738433441
"2" "F_5W_embryo1_sc1" "F_7W_embryo1_sc19" 0.00969038301090414
"3" "F_5W_embryo1_sc1" "F_24W_embryo1_sc16" 0.01084450805455
"4" "F_5W_embryo1_sc1" "F_5W_embryo2_sc54" 0.0113376114354901
"5" "F_5W_embryo1_sc1" "F_24W_embryo1_sc35" 0.0127355842547301
"6" "F_5W_embryo1_sc1" "F_7W_embryo1_sc16" 0.0131677059061567
"7" "F_5W_embryo1_sc1" "F_5W_embryo2_sc72" 0.0132740110648483
"8" "F_5W_embryo1_sc1" "F_12W_embryo1_sc72" 0.0133770478433812
"9" "F_5W_embryo1_sc1" "F_7W_embryo1_sc13" 0.013986914261618
"10" "F_5W_embryo1_sc1" "F_24W_embryo1_sc19" 0.0140533614149497
"11" "F_5W_embryo1_sc10" "F_7W_embryo1_sc27" 0.00435351261191192
"12" "F_5W_embryo1_sc10" "F_24W_embryo1_sc8" 0.00523230795175305
"13" "F_5W_embryo1_sc10" "F_5W_embryo2_sc62" 0.00545959267492035
"14" "F_5W_embryo1_sc10" "F_8W_embryo1_sc60" 0.00592644715267171
"15" "F_5W_embryo1_sc10" "F_11W_embryo1_sc32" 0.00668290208633429
"16" "F_5W_embryo1_sc10" "F_24W_embryo1_sc32" 0.00753782778922919
"17" "F_5W_embryo1_sc10" "F_24W_embryo1_sc20" 0.00768218102161375
"18" "F_5W_embryo1_sc10" "F_7W_embryo1_sc36" 0.00798308273934562
"19" "F_5W_embryo1_sc10" "F_18W_embryo2_sc22" 0.00802451790330979
"20" "F_5W_embryo1_sc10" "F_20W_embryo1_sc8" 0.00815814847837823
"21" "F_5W_embryo1_sc11" "F_5W_embryo1_sc43" 0.00287239384714001
"22" "F_5W_embryo1_sc11" "F_5W_embryo1_sc31" 0.00396998613132109
"23" "F_5W_embryo1_sc11" "F_10W_embryo1_sc29" 0.0056465763108972
"24" "F_5W_embryo1_sc11" "F_8W_embryo1_sc76" 0.00706143390628662
"25" "F_5W_embryo1_sc11" "F_10W_embryo1_sc46" 0.00788407869599395
"26" "F_5W_embryo1_sc11" "F_8W_embryo1_sc74" 0.0111209715956822
"27" "F_5W_embryo1_sc11" "F_5W_embryo1_sc14" 0.0119508990807553
"28" "F_5W_embryo1_sc11" "F_10W_embryo1_sc45" 0.0131498684437533
"29" "F_5W_embryo1_sc11" "F_5W_embryo1_sc12" 0.0134314338021619
"30" "F_5W_embryo1_sc11" "F_5W_embryo1_sc19" 0.0137548680673295
"31" "F_5W_embryo1_sc12" "F_5W_embryo1_sc19" 0.00137087667821758
"32" "F_5W_embryo1_sc12" "F_5W_embryo1_sc38" 0.00832474926950215
"33" "F_5W_embryo1_sc12" "F_5W_embryo1_sc14" 0.00876419233343307
"34" "F_5W_embryo1_sc12" "F_5W_embryo1_sc6" 0.00888372685261855
"35" "F_5W_embryo1_sc12" "F_20W_embryo2_sc30" 0.00910738171719253
"36" "F_5W_embryo1_sc12" "F_5W_embryo1_sc24" 0.0105246636776668
"37" "F_5W_embryo1_sc12" "F_5W_embryo1_sc33" 0.0115296959542844
"38" "F_5W_embryo1_sc12" "F_8W_embryo1_sc76" 0.012715144503112
"39" "F_5W_embryo1_sc12" "F_5W_embryo1_sc31" 0.0135444598719017
"40" "F_5W_embryo1_sc13" "F_5W_embryo2_sc51" 0.00376752121258462
"41" "F_5W_embryo1_sc13" "F_7W_embryo1_sc13" 0.00477740323476864
"42" "F_5W_embryo1_sc13" "F_5W_embryo1_sc4" 0.00498772575300341
"43" "F_5W_embryo1_sc13" "F_5W_embryo1_sc29" 0.0055680645148085
"44" "F_5W_embryo1_sc13" "F_5W_embryo1_sc8" 0.00602590965880476
"45" "F_5W_embryo1_sc13" "F_12W_embryo1_sc72" 0.00698693560370404
"46" "F_5W_embryo1_sc13" "F_5W_embryo2_sc72" 0.00849444241927595
"47" "F_5W_embryo1_sc13" "F_5W_embryo1_sc33" 0.00876361669884362
"48" "F_5W_embryo1_sc13" "F_11W_embryo1_sc36" 0.00879908455014259
"49" "F_5W_embryo1_sc13" "F_5W_embryo1_sc2" 0.00896830007989662
"50" "F_5W_embryo1_sc14" "F_20W_embryo2_sc30" 0.00701747669769321
"51" "F_5W_embryo1_sc14" "F_5W_embryo2_sc69" 0.00791038558041452
"52" "F_5W_embryo1_sc14" "F_5W_embryo1_sc19" 0.00800205880236588
"53" "F_5W_embryo1_sc14" "F_24W_embryo1_sc13" 0.00846688888622501
"54" "F_5W_embryo1_sc14" "F_8W_embryo1_sc76" 0.00924965409992709
"55" "F_5W_embryo1_sc14" "F_5W_embryo1_sc25" 0.00987826978445168
"56" "F_5W_embryo1_sc14" "F_5W_embryo2_sc72" 0.0100379158676163
"57" "F_5W_embryo1_sc14" "F_5W_embryo1_sc31" 0.0101251814934
"58" "F_5W_embryo1_sc14" "F_5W_embryo2_sc63" 0.0102443581692669
"59" "F_5W_embryo1_sc16" "F_5W_embryo1_sc21" 0.00392491320767559
"60" "F_5W_embryo1_sc16" "F_5W_embryo1_sc28" 0.00432275282112087
"61" "F_5W_embryo1_sc16" "F_5W_embryo1_sc35" 0.00547613966445263
"62" "F_5W_embryo1_sc16" "F_7W_embryo1_sc22" 0.00550301881801767
"63" "F_5W_embryo1_sc16" "F_5W_embryo1_sc22" 0.00567464791604046
"64" "F_5W_embryo1_sc16" "F_11W_embryo1_sc19" 0.00590039414708983
"65" "F_5W_embryo1_sc16" "F_20W_embryo2_sc40" 0.00630377037754149
"66" "F_5W_embryo1_sc16" "F_10W_embryo1_sc62" 0.00673149973714723
"67" "F_5W_embryo1_sc16" "F_7W_embryo1_sc1" 0.0073759458349921
"68" "F_5W_embryo1_sc16" "F_5W_embryo1_sc25" 0.00756131272547729
"69" "F_5W_embryo1_sc18" "F_20W_embryo2_sc40" 0.00451779117814832
"70" "F_5W_embryo1_sc18" "F_20W_embryo1_sc29" 0.00464950172656775
"71" "F_5W_embryo1_sc18" "F_7W_embryo1_sc11" 0.00524488077929238
"72" "F_5W_embryo1_sc18" "F_8W_embryo1_sc55" 0.0055654536779708
"73" "F_5W_embryo1_sc18" "F_10W_embryo1_sc13" 0.00598334662183792
"74" "F_5W_embryo1_sc18" "F_20W_embryo2_sc14" 0.00629432437824357
"75" "F_5W_embryo1_sc18" "F_24W_embryo2_sc8" 0.00684100517948977
"76" "F_5W_embryo1_sc18" "F_24W_embryo1_sc20" 0.00704934389731758
"77" "F_5W_embryo1_sc18" "F_5W_embryo2_sc52" 0.00707605445047114
"78" "F_5W_embryo1_sc18" "F_10W_embryo1_sc43" 0.00727854817398275
