"from" "to" "weight"
"1" "M_4W_embryo1_sc52" "M_25W_embryo1_24_sc2" 0.00718729566744302
"2" "M_4W_embryo1_sc52" "M_4W_embryo1_sc59" 0.0118650742981667
"3" "M_4W_embryo1_sc52" "M_4W_embryo1_sc82" 0.0141607629804589
"4" "M_4W_embryo1_sc52" "M_4W_embryo1_sc67" 0.0207067417955303
"5" "M_4W_embryo1_sc52" "M_19W_embryo1_24_sc25" 0.0215696924245717
"6" "M_4W_embryo1_sc52" "M_4W_embryo1_sc79" 0.0242466598115842
"7" "M_4W_embryo1_sc52" "M_4W_embryo1_sc54" 0.0246443064914041
"8" "M_4W_embryo1_sc52" "M_10W_embryo1_sc13" 0.0251382848896266
"9" "M_4W_embryo1_sc52" "M_4W_embryo1_sc65" 0.0254884988943437
"10" "M_4W_embryo1_sc52" "M_25W_embryo1_24_sc13" 0.0262116983920375
"11" "M_4W_embryo1_sc53" "M_4W_embryo1_sc76" 0.00602697893702766
"12" "M_4W_embryo1_sc53" "M_4W_embryo1_sc78" 0.0061216647950222
"13" "M_4W_embryo1_sc53" "M_4W_embryo1_sc77" 0.00632404430278409
"14" "M_4W_embryo1_sc53" "M_4W_embryo1_sc70" 0.00896961966643007
"15" "M_4W_embryo1_sc53" "M_4W_embryo1_sc61" 0.0115036487895301
"16" "M_4W_embryo1_sc53" "M_4W_embryo1_sc62" 0.0141736771088297
"17" "M_4W_embryo1_sc53" "M_4W_embryo1_sc74" 0.0145703644157117
"18" "M_4W_embryo1_sc53" "M_4W_embryo1_sc75" 0.0159329700419975
"19" "M_4W_embryo1_sc53" "M_4W_embryo1_sc68" 0.0183482158771273
"20" "M_4W_embryo1_sc53" "M_4W_embryo1_sc72" 0.0229236635385809
"21" "M_4W_embryo1_sc54" "M_19W_embryo1_24_sc25" 0.00447951049763858
"22" "M_4W_embryo1_sc54" "M_19W_embryo2_102_sc20" 0.0141777018696309
"23" "M_4W_embryo1_sc54" "M_19W_embryo2_102_sc13" 0.018325346182832
"24" "M_4W_embryo1_sc54" "M_21W_embryo1_sc51" 0.0193099947841392
"25" "M_4W_embryo1_sc54" "M_10W_embryo1_sc46" 0.019760702401222
"26" "M_4W_embryo1_sc54" "M_4W_embryo1_sc64" 0.0210280724071579
"27" "M_4W_embryo1_sc54" "M_25W_embryo1_24_sc2" 0.0232758460921852
