"from" "to" "weight"
"1" "bE17.5_1_01" "bE17.5_3_15" 0.00214961095721243
"2" "bE17.5_1_01" "bE17.5_2_20" 0.00319197911079457
"3" "bE17.5_1_01" "bE17.5_2_11" 0.00400022713003613
"4" "bE17.5_1_01" "bE17.5_1_05" 0.0044592638249819
"5" "bE17.5_1_01" "bE17.5_3_11" 0.00457291681935885
"6" "bE17.5_1_01" "bP0_2_03" 0.00550970557575046
"7" "bE17.5_1_01" "bE17.5_3_13" 0.00551775249237858
"8" "bE17.5_1_01" "bE17.5_2_04" 0.00570919748692912
"9" "bE17.5_1_01" "bE17.5_2_07" 0.00577433810081501
"10" "bE17.5_1_01" "bP0_2_30" 0.00633750193982858
"11" "bE17.5_1_02" "bE17.5_2_05" 0.00261605092841229
"12" "bE17.5_1_02" "bE17.5_2_08" 0.00364174106084761
"13" "bE17.5_1_02" "bE17.5_3_03" 0.00468433716307841
"14" "bE17.5_1_02" "bE17.5_2_09" 0.00534066948601163
"15" "bE17.5_1_02" "bE17.5_2_28" 0.00633534971308349
"16" "bE17.5_1_02" "bE17.5_2_14" 0.00641113989769384
"17" "bE17.5_1_02" "bE17.5_1_03" 0.00670286696165671
"18" "bE17.5_1_02" "bE17.5_2_16" 0.00676288541214606
"19" "bE17.5_1_02" "bE17.5_3_12" 0.00770453208521624
"20" "bE17.5_1_02" "bE17.5_3_23" 0.00782359514911252
"21" "bE17.5_1_03" "bE17.5_2_29" 0.00302693148570142
"22" "bE17.5_1_03" "bE17.5_2_14" 0.00353026500680893
"23" "bE17.5_1_03" "bE17.5_3_09" 0.00358933329049582
"24" "bE17.5_1_03" "bE17.5_3_13" 0.00453852156424908
"25" "bE17.5_1_03" "bE17.5_2_08" 0.00465849723065241
"26" "bE17.5_1_03" "bE17.5_2_16" 0.00482892734460122
"27" "bE17.5_1_03" "bE17.5_3_03" 0.00520719895862555
"28" "bE17.5_1_03" "bE17.5_3_02" 0.00527381501010519
"29" "bE17.5_1_03" "bE17.5_2_28" 0.00529072713487279
"30" "bE17.5_1_03" "bE17.5_3_23" 0.00550274541111011
"31" "bE17.5_1_04" "bE17.5_2_24" 0.00150657676460016
"32" "bE17.5_1_04" "bE17.5_3_10" 0.00581171710632074
"33" "bE17.5_1_04" "bE17.5_3_01" 0.00848984475958474
"34" "bE17.5_1_04" "bE17.5_3_07" 0.00916470388704376
"35" "bE17.5_1_04" "bE17.5_3_21" 0.0091909006312106
"36" "bE17.5_1_04" "bE17.5_3_16" 0.00957878305437868
"37" "bE17.5_1_04" "bE17.5_3_06" 0.0101822535452799
"38" "bE17.5_1_04" "bE17.5_2_22" 0.0102561205612745
"39" "bE17.5_1_04" "bE17.5_3_08" 0.0102880168806778
"40" "bE17.5_1_04" "bE17.5_2_02" 0.0106458759786742
"41" "bE17.5_1_05" "bE17.5_2_04" 0.00165638802245512
"42" "bE17.5_1_05" "bE17.5_2_20" 0.00176230646164799
"43" "bE17.5_1_05" "bE17.5_3_04" 0.00365609926898252
"44" "bE17.5_1_05" "bE17.5_2_22" 0.00429535745684358
"45" "bE17.5_1_05" "bP0_2_30" 0.00440595039236425
"46" "bE17.5_1_05" "bP0_2_03" 0.00460979969120772
"47" "bE17.5_1_05" "bE17.5_2_19" 0.00501051788488439
"48" "bE17.5_1_05" "bE17.5_2_07" 0.00501418151764669
"49" "bE17.5_1_05" "bE17.5_2_29" 0.00514429632767836
"50" "bE17.5_2_01" "bE17.5_3_21" 0.00625540880248812
"51" "bE17.5_2_01" "bP0_2_15" 0.00638740437791204
"52" "bE17.5_2_01" "bE17.5_3_10" 0.00649865016016051
"53" "bE17.5_2_01" "bP0_2_03" 0.00723160480449727
"54" "bE17.5_2_01" "bE17.5_3_09" 0.00726156050001862
"55" "bE17.5_2_01" "bE17.5_3_04" 0.00751361904757569
"56" "bE17.5_2_01" "bE17.5_2_06" 0.00760972617980455
"57" "bE17.5_2_01" "bE17.5_3_23" 0.00811430653364742
"58" "bE17.5_2_01" "bE17.5_2_29" 0.00823727207926469
"59" "bE17.5_2_01" "bE17.5_2_22" 0.00833052573595473
"60" "bE17.5_2_02" "bP0_2_03" 0.00280599503926187
"61" "bE17.5_2_02" "bE17.5_2_22" 0.003121383569745
"62" "bE17.5_2_02" "bE17.5_3_21" 0.00333460755800507
"63" "bE17.5_2_02" "bE17.5_3_01" 0.00424515305330627
"64" "bE17.5_2_02" "bP0_2_06" 0.00429084374689055
"65" "bE17.5_2_02" "bE17.5_3_04" 0.00493486335048958
"66" "bE17.5_2_02" "bE17.5_3_14" 0.00504287594356494
"67" "bE17.5_2_02" "bE17.5_2_20" 0.00512222452316704
"68" "bE17.5_2_02" "bE17.5_3_17" 0.00561616225554288
"69" "bE17.5_1_05" "bE17.5_2_02" 0.00563936312657603
"70" "bE17.5_2_03" "bE17.5_2_17" 0.00427988494798608
"71" "bE17.5_2_03" "bE17.5_2_15" 0.00598863789566385
"72" "bE17.5_2_03" "bE17.5_2_23" 0.00859292249317473
"73" "bE17.5_2_03" "bE17.5_3_12" 0.00914433988341708
"74" "bE17.5_2_03" "bE17.5_2_25" 0.00944209644466383
"75" "bE17.5_2_03" "bE17.5_2_30" 0.0098197607727433
"76" "bE17.5_2_03" "bE17.5_2_05" 0.0111187359745733
"77" "bE17.5_2_03" "bE17.5_2_21" 0.0114881516413412
"78" "bE17.5_2_03" "bE17.5_2_28" 0.0115311589656818
"79" "bE17.5_2_03" "bE17.5_2_09" 0.0115501457547441
"80" "bE17.5_2_04" "bE17.5_2_20" 0.00300800099690861
"81" "bE17.5_2_04" "bP0_2_30" 0.00334180781213668
"82" "bE17.5_2_04" "bE17.5_2_31" 0.00401013117252024
"83" "bE17.5_2_04" "bE17.5_2_19" 0.00401263477829078
"84" "bE17.5_2_04" "bE17.5_3_04" 0.00417722197783616
"85" "bE17.5_2_04" "bE17.5_2_22" 0.00462469824616647
"86" "bE17.5_2_04" "bE17.5_3_02" 0.00462663459956647
"87" "bE17.5_2_04" "bE17.5_2_07" 0.00475837384651237
"88" "bE17.5_2_04" "bE17.5_2_29" 0.00550625606606714
"89" "bE17.5_2_05" "bE17.5_2_08" 0.0028662085209663
"90" "bE17.5_2_05" "bE17.5_2_28" 0.00537424909561381
"91" "bE17.5_2_05" "bE17.5_2_09" 0.00573367323531851
"92" "bE17.5_2_05" "bE17.5_3_03" 0.00587587868991161
"93" "bE17.5_2_05" "bE17.5_2_16" 0.00613332210029727
"94" "bE17.5_1_03" "bE17.5_2_05" 0.00666075825704787
"95" "bE17.5_2_05" "bE17.5_3_12" 0.0070846357549662
"96" "bE17.5_2_05" "bE17.5_2_14" 0.00723358836781247
"97" "bE17.5_2_05" "bE17.5_2_25" 0.0082963259842772
"98" "bE17.5_2_06" "bE17.5_2_14" 0.00261928615478649
"99" "bE17.5_2_06" "bE17.5_3_09" 0.0035518796437497
"100" "bE17.5_2_06" "bE17.5_3_23" 0.00376205022070234
"101" "bE17.5_2_06" "bE17.5_3_13" 0.00439124634826057
"102" "bE17.5_2_06" "bE17.5_3_03" 0.00446586117730268
"103" "bE17.5_1_03" "bE17.5_2_06" 0.00551218019267962
"104" "bE17.5_2_06" "bE17.5_2_16" 0.00594952815463065
"105" "bE17.5_2_06" "bE17.5_2_29" 0.00668758033011435
"106" "bE17.5_2_06" "bE17.5_2_09" 0.00691085934974183
"107" "bE17.5_2_06" "bE17.5_2_28" 0.00694110933038441
"108" "bE17.5_2_07" "bP0_4_08" 0.00337337247426946
"109" "bE17.5_2_07" "bP0_2_30" 0.00392133886048049
"110" "bE17.5_2_07" "bP0_1_27" 0.00407328872697014
"111" "bE17.5_2_07" "bE17.5_2_20" 0.00415955151551705
"112" "bE17.5_2_07" "bE17.5_2_19" 0.00426120171733022
"113" "bE17.5_2_07" "bP0_1_28" 0.00429362745035736
"114" "bE17.5_2_07" "bP0_2_31" 0.00446661309511569
"115" "bE17.5_2_07" "bE17.5_2_11" 0.00498300723962526
"116" "bE17.5_2_08" "bE17.5_2_28" 0.00283070607554396
"117" "bE17.5_2_08" "bE17.5_2_16" 0.0033651087453883
"118" "bE17.5_2_08" "bE17.5_3_03" 0.00380959782877064
"119" "bE17.5_2_08" "bE17.5_2_09" 0.00404495560744391
"120" "bE17.5_2_08" "bE17.5_2_14" 0.00477380735091557
"121" "bE17.5_2_08" "bE17.5_3_12" 0.00566012192505889
"122" "bE17.5_2_08" "bE17.5_3_13" 0.0058638564173797
"123" "bE17.5_2_09" "bE17.5_3_03" 0.00322830492398506
"124" "bE17.5_2_09" "bE17.5_3_12" 0.00325666406818742
"125" "bE17.5_2_09" "bE17.5_2_28" 0.00399213280052235
"126" "bE17.5_2_09" "bE17.5_2_16" 0.00415339072559671
"127" "bE17.5_2_09" "bE17.5_2_14" 0.00535114826970832
"128" "bE17.5_2_09" "bE17.5_3_05" 0.00580393348742341
"129" "bE17.5_2_09" "bE17.5_2_23" 0.00638184820283851
"130" "bE17.5_2_11" "bE17.5_3_15" 0.00343120760360492
"131" "bE17.5_2_11" "bE17.5_2_19" 0.00496181709731995
"132" "bE17.5_2_11" "bP0_1_18" 0.00500081190994618
"133" "bE17.5_2_11" "bP0_4_06" 0.00501491701415908
"134" "bE17.5_2_11" "bP0_2_30" 0.00515845624442347
"135" "bE17.5_2_11" "bE17.5_2_20" 0.00539777887530018
"136" "bE17.5_2_11" "bE17.5_3_11" 0.00546453142701227
"137" "bE17.5_1_05" "bE17.5_2_11" 0.00640496520245352
"138" "bE17.5_2_14" "bE17.5_3_03" 0.00259809818199889
"139" "bE17.5_2_14" "bE17.5_3_09" 0.00343051089126633
"140" "bE17.5_2_14" "bE17.5_3_23" 0.00380208772877878
"141" "bE17.5_2_14" "bE17.5_3_13" 0.00381709592121843
"142" "bE17.5_2_14" "bE17.5_2_16" 0.00419697085957394
"143" "bE17.5_2_14" "bE17.5_2_28" 0.00498795443022453
"144" "bE17.5_2_15" "bE17.5_2_23" 0.00284440996403338
"145" "bE17.5_2_15" "bE17.5_2_17" 0.00405717591972017
"146" "bE17.5_2_15" "bE17.5_2_25" 0.00463033488182408
"147" "bE17.5_2_15" "bE17.5_2_30" 0.00492167333374298
"148" "bE17.5_2_15" "bE17.5_3_12" 0.00506014973100521
"149" "bE17.5_2_15" "bE17.5_2_21" 0.00587261915558928
"150" "bE17.5_2_15" "bE17.5_2_28" 0.00729950464157232
"151" "bE17.5_2_15" "bE17.5_3_05" 0.00799192823007903
"152" "bE17.5_2_15" "bE17.5_2_16" 0.0080632338433819
"153" "bE17.5_2_16" "bE17.5_2_28" 0.00111940363114354
"154" "bE17.5_2_16" "bE17.5_3_13" 0.00308122809733494
"155" "bE17.5_2_16" "bE17.5_2_21" 0.00385359894697548
"156" "bE17.5_2_16" "bE17.5_3_03" 0.0042610978100418
"157" "bE17.5_2_16" "bE17.5_3_12" 0.00484831621966406
"158" "bE17.5_2_16" "bE17.5_3_09" 0.00503405806887314
"159" "bE17.5_2_17" "bE17.5_2_25" 0.00596962030080569
"160" "bE17.5_2_17" "bE17.5_2_30" 0.00615420744255825
"161" "bE17.5_2_17" "bE17.5_2_23" 0.00654067219793622
"162" "bE17.5_2_17" "bE17.5_3_12" 0.00823218237438879
"163" "bE17.5_2_17" "bE17.5_2_21" 0.00870538205185997
"164" "bE17.5_2_17" "bE17.5_2_28" 0.00935299236504867
"165" "bE17.5_2_05" "bE17.5_2_17" 0.0101506589118878
"166" "bE17.5_2_08" "bE17.5_2_17" 0.0103148655076021
"167" "bE17.5_2_19" "bP0_2_30" 0.000721250931242652
"168" "bE17.5_2_19" "bE17.5_2_31" 0.00441288539001246
"169" "bE17.5_2_19" "bE17.5_2_20" 0.00530184229415064
"170" "bE17.5_2_19" "bP0_4_08" 0.00541152368281383
"171" "bE17.5_2_19" "bE17.5_2_30" 0.00610199491314722
"172" "bE17.5_2_19" "bE17.5_3_15" 0.00640332400095733
"173" "bE17.5_2_20" "bP0_2_03" 0.0037222068161692
"174" "bE17.5_2_20" "bE17.5_3_04" 0.00467776326772835
"175" "bE17.5_2_20" "bE17.5_3_15" 0.00471458969137367
"176" "bE17.5_2_20" "bP0_2_30" 0.00477130530358443
"177" "bE17.5_2_20" "bE17.5_2_22" 0.00480303814582168
"178" "bE17.5_2_21" "bE17.5_2_25" 0.00337070829455441
"179" "bE17.5_2_21" "bE17.5_2_23" 0.00340080303827043
"180" "bE17.5_2_21" "bE17.5_2_30" 0.00356493203929821
"181" "bE17.5_2_21" "bE17.5_2_28" 0.00387084288058787
"182" "bE17.5_2_21" "bE17.5_3_12" 0.00486636940477198
"183" "bE17.5_2_21" "bE17.5_3_13" 0.00499058175888944
"184" "bE17.5_2_21" "bE17.5_3_15" 0.00533808366463694
"185" "bE17.5_2_09" "bE17.5_2_21" 0.00640643707122395
"186" "bE17.5_2_22" "bE17.5_3_04" 0.00204602877880511
"187" "bE17.5_2_22" "bE17.5_3_21" 0.00280729633377346
"188" "bE17.5_2_22" "bP0_2_03" 0.00375588586835524
"189" "bE17.5_2_22" "bE17.5_3_10" 0.00590107503768067
"190" "bE17.5_2_22" "bE17.5_3_02" 0.00616354346024624
"191" "bE17.5_2_22" "bE17.5_2_29" 0.00618323303401568
"192" "bE17.5_2_23" "bE17.5_3_12" 0.00340861261099544
"193" "bE17.5_2_23" "bE17.5_2_25" 0.00387465726248058
"194" "bE17.5_2_23" "bE17.5_2_30" 0.00423229673372193
"195" "bE17.5_2_23" "bE17.5_2_28" 0.00539365162386359
"196" "bE17.5_2_16" "bE17.5_2_23" 0.00588283250152377
"197" "bE17.5_2_23" "bE17.5_3_05" 0.00637176647991305
"198" "bE17.5_2_24" "bE17.5_3_10" 0.00437568143670477
"199" "bE17.5_2_24" "bE17.5_3_01" 0.00742061906699015
"200" "bE17.5_2_24" "bE17.5_3_21" 0.00768716457075666
"201" "bE17.5_2_22" "bE17.5_2_24" 0.00880615927013584
"202" "bE17.5_2_24" "bE17.5_3_07" 0.00882417378647609
"203" "bE17.5_2_02" "bE17.5_2_24" 0.00924211717763418
"204" "bE17.5_2_24" "bE17.5_3_08" 0.00929142196974181
"205" "bE17.5_2_24" "bE17.5_3_16" 0.00931449373008377
"206" "bE17.5_2_24" "bE17.5_3_06" 0.00943055470762751
"207" "bE17.5_2_25" "bE17.5_2_30" 0.000825084261442577
"208" "bE17.5_2_25" "bE17.5_2_28" 0.00478363760067467
"209" "bE17.5_2_16" "bE17.5_2_25" 0.00541827954055874
"210" "bE17.5_2_25" "bE17.5_3_12" 0.0058949871034025
"211" "bE17.5_2_19" "bE17.5_2_25" 0.00666312601647585
"212" "bE17.5_2_08" "bE17.5_2_25" 0.00688489166348098
"213" "bE17.5_2_27" "bP0_2_23" 0.00158444026681422
"214" "bE17.5_2_27" "bP0_1_14" 0.00389054585471305
"215" "bE17.5_2_27" "bP0_2_05" 0.00448983470271686
"216" "bE17.5_2_27" "bP0_1_23" 0.0044954361445156
"217" "bE17.5_2_27" "bP0_2_27" 0.00524013301810736
"218" "bE17.5_2_27" "bP0_1_24" 0.00531629651961614
"219" "bE17.5_2_27" "bP0_2_18" 0.00535366711434523
"220" "bE17.5_2_27" "bP0_1_12" 0.00544437501202826
"221" "bE17.5_2_27" "bP0_1_03" 0.00560533622491264
"222" "bE17.5_2_27" "bP0_1_06" 0.00566971939727858
"223" "bE17.5_2_28" "bE17.5_3_13" 0.0041507943361294
"224" "bE17.5_2_28" "bE17.5_3_12" 0.00434212123985851
"225" "bE17.5_2_28" "bE17.5_3_03" 0.00462540190086059
"226" "bE17.5_2_29" "bE17.5_3_02" 0.00343802822690417
"227" "bE17.5_2_29" "bE17.5_3_09" 0.00353573224322791
"228" "bE17.5_2_29" "bE17.5_3_04" 0.00416324699148948
"229" "bE17.5_2_29" "bE17.5_3_13" 0.00513965514096454
"230" "bE17.5_2_14" "bE17.5_2_29" 0.00569706728597516
"231" "bE17.5_2_20" "bE17.5_2_29" 0.00663727352937686
"232" "bE17.5_2_28" "bE17.5_2_30" 0.00544417794906181
"233" "bE17.5_2_16" "bE17.5_2_30" 0.00598431319073854
"234" "bE17.5_2_30" "bE17.5_3_12" 0.00656071472929782
"235" "bE17.5_2_30" "bP0_2_30" 0.00656402012166777
"236" "bE17.5_2_31" "bP0_2_30" 0.00390499675603237
"237" "bE17.5_2_07" "bE17.5_2_31" 0.00516235610935697
"238" "bE17.5_1_05" "bE17.5_2_31" 0.0055423599919736
"239" "bE17.5_2_31" "bP0_4_08" 0.00609591712433066
"240" "bE17.5_2_31" "bE17.5_3_02" 0.00612223207307004
