"from" "to" "weight"
"1" "Unstimulated_Replicate_S10" "PIC_2h_S45" 0.0075125208389962
"2" "Unstimulated_Replicate_S10" "Unstimulated_S47" 0.00777116910925391
"3" "Unstimulated_Replicate_S10" "PIC_1h_S24" 0.00800230492204152
"4" "Unstimulated_Replicate_S10" "PIC_2h_S75" 0.00804958126149627
"5" "Unstimulated_Replicate_S10" "PIC_1h_S5" 0.00953110853271243
"6" "Unstimulated_Replicate_S10" "PIC_1h_S11" 0.0100645102814157
"7" "Unstimulated_Replicate_S10" "Unstimulated_Replicate_S80" 0.0102111867051188
"8" "Unstimulated_Replicate_S10" "PIC_2h_S29" 0.0104765653452111
"9" "Unstimulated_Replicate_S10" "PIC_1h_S9" 0.0121521838079559
"10" "Unstimulated_Replicate_S10" "PIC_1h_S15" 0.0136267067101652
"11" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S18" 0.00660972749424834
"12" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S13" 0.0144497761274931
"13" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S43" 0.0152160117525423
"14" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S75" 0.0211898667198638
"15" "Unstimulated_Replicate_S12" "Unstimulated_S29" 0.021839098468211
"16" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S32" 0.0218680804636804
"17" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S14" 0.0221959323710129
"18" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S53" 0.0226531141392196
"19" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S64" 0.0249712627492865
"20" "Unstimulated_Replicate_S12" "Unstimulated_Replicate_S89" 0.0280252831396266
"21" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S32" 0.00958270820258829
"22" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S18" 0.0131921220314067
"23" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S43" 0.0142475107920814
"24" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S75" 0.014299951040591
"25" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S54" 0.0151975051403291
"26" "Unstimulated_Replicate_S13" "Unstimulated_S29" 0.0157613561611194
"27" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S64" 0.0160780529654765
"28" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S19" 0.0163358026750867
"29" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S71" 0.0164536407744169
"30" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S53" 0.00895621315737919
"31" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S75" 0.0144404380921681
"32" "Unstimulated_Replicate_S14" "Unstimulated_S29" 0.0211709630910498
"33" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S18" 0.0213232475697001
"34" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S16" 0.0227369867463382
"35" "Unstimulated_Replicate_S13" "Unstimulated_Replicate_S14" 0.0241269174787301
"36" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S89" 0.0242589322735153
"37" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S4" 0.0244717705423203
"38" "Unstimulated_Replicate_S14" "Unstimulated_Replicate_S32" 0.0278691052576028
"39" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S4" 0.012032114733792
"40" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S89" 0.0146606775703612
"41" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S53" 0.01580441389048
"42" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S82" 0.0163654562721267
"43" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S17" 0.0174752412345736
"44" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S75" 0.0174997369689376
"45" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S87" 0.0224700479658259
"46" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S33" 0.0226791234113351
"47" "Unstimulated_Replicate_S16" "Unstimulated_Replicate_S19" 0.0238204226488613
"48" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S4" 0.00951628299564229
"49" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S33" 0.0103646480303841
"50" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S82" 0.0109079738669521
"51" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S89" 0.0123051947210058
"52" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S19" 0.0127082635471798
"53" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S71" 0.0159334402023673
"54" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S87" 0.0173236287876115
"55" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S75" 0.0182918700205187
"56" "Unstimulated_Replicate_S17" "Unstimulated_Replicate_S23" 0.0183277106889968
"57" "Unstimulated_Replicate_S18" "Unstimulated_Replicate_S43" 0.0173389792736069
"58" "Unstimulated_Replicate_S18" "Unstimulated_Replicate_S75" 0.0181711234557286
"59" "Unstimulated_Replicate_S18" "Unstimulated_Replicate_S53" 0.0191765078090533
"60" "Unstimulated_Replicate_S18" "Unstimulated_Replicate_S32" 0.0222415791166048
"61" "Unstimulated_Replicate_S18" "Unstimulated_Replicate_S64" 0.0229906302332618
"62" "Unstimulated_Replicate_S18" "Unstimulated_Replicate_S89" 0.0232254211252514
"63" "Unstimulated_Replicate_S18" "Unstimulated_S29" 0.0237652645599158
"64" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S33" 0.00472754988149244
"65" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S71" 0.00555332985249576
"66" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S89" 0.0101350275892816
"67" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S31" 0.0111615918678566
"68" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S4" 0.0118524744706953
"69" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S54" 0.0128371640003897
"70" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S82" 0.0128690443101031
"71" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S20" 0.0144929218849116
"72" "Unstimulated_Replicate_S19" "Unstimulated_Replicate_S41" 0.0154037735679934
"73" "Unstimulated_Replicate_S20" "Unstimulated_Replicate_S31" 0.00462782135724382
"74" "Unstimulated_Replicate_S20" "Unstimulated_Replicate_S54" 0.0112259226814243
"75" "Unstimulated_Replicate_S20" "Unstimulated_Replicate_S71" 0.0113596775134117
"76" "Unstimulated_Replicate_S20" "Unstimulated_Replicate_S64" 0.0113889702982165
"77" "Unstimulated_Replicate_S20" "Unstimulated_Replicate_S88" 0.0124509736402128
"78" "Unstimulated_Replicate_S20" "Unstimulated_Replicate_S41" 0.0133917884091453
