"from" "to" "weight"
"1" "E18_2_C06" "E18_2_C63" 0.0464729865678243
"2" "E18_2_C06" "E18_2_C61" 0.0490439818355657
"3" "E18_2_C06" "E18_2_C55" 0.0753002092816056
"4" "E18_2_C06" "E18_3_C54" 0.0771412276782991
"5" "E18_2_C06" "E18_3_C06" 0.0784323162270455
"6" "E18_2_C06" "E18_1_C50" 0.0803721949816086
"7" "E18_2_C06" "E18_1_C38" 0.0812524788393191
"8" "E18_2_C06" "E18_2_C59" 0.0812995563523197
"9" "E18_2_C06" "E18_1_C34" 0.0859380182913056
"10" "E18_2_C06" "E18_2_C13" 0.0880293388544858
"11" "E18_2_C07" "E18_2_C12" 0.0179670449943003
"12" "E18_2_C07" "E18_2_C15" 0.0182457834845364
"13" "E18_2_C07" "E18_2_C74" 0.021785512745555
"14" "E18_2_C07" "E18_2_C31" 0.0265904674553604
"15" "E18_2_C07" "E18_3_C61" 0.0273541608492232
"16" "E18_2_C07" "E18_2_C44" 0.0281548115116821
"17" "E18_2_C07" "E18_2_C50" 0.0315668394946263
"18" "E18_2_C07" "E18_2_C90" 0.0333122638746664
"19" "E18_2_C07" "E18_1_C37" 0.0340042190827198
"20" "E18_2_C07" "E18_3_C55" 0.0351883868773805
"21" "E18_2_C11" "E18_1_C45" 0.0658812394428139
"22" "E18_2_C11" "E18_3_C41" 0.0674069684899533
"23" "E18_2_C11" "E18_1_C08" 0.0731629474726018
"24" "E18_2_C11" "E18_3_C82" 0.0790974940429775
"25" "E18_2_C11" "E18_3_C48" 0.0794392991713118
"26" "E18_2_C11" "E18_3_C23" 0.0851528149872288
"27" "E18_2_C11" "E18_3_C80" 0.0899524923994117
"28" "E18_2_C11" "E18_3_C26" 0.0920289167022883
"29" "E18_2_C11" "E18_1_C13" 0.0957383430551456
"30" "E18_2_C11" "E18_2_C81" 0.0959394190156645
"31" "E18_2_C12" "E18_2_C44" 0.0174369923323907
"32" "E18_2_C12" "E18_2_C90" 0.0212656774841669
"33" "E18_2_C12" "E18_2_C74" 0.0237591532477356
"34" "E18_2_C12" "E18_2_C31" 0.0240123146101511
"35" "E18_2_C12" "E18_3_C61" 0.0249778060131889
"36" "E18_2_C12" "E18_3_C55" 0.0266338994557472
"37" "E18_2_C12" "E18_3_C59" 0.0271061861788019
"38" "E18_2_C12" "E18_2_C50" 0.0277276956575769
"39" "E18_2_C12" "E18_1_C37" 0.0286551588749993
"40" "E18_2_C13" "E18_2_C26" 0.016773535778518
"41" "E18_2_C13" "E18_1_C34" 0.0172324178495498
"42" "E18_2_C13" "E18_3_C90" 0.0177072432046936
"43" "E18_2_C13" "E18_2_C88" 0.0189490542515593
"44" "E18_2_C13" "E18_2_C73" 0.0203803670037436
"45" "E18_2_C13" "E18_2_C31" 0.0216815581554954
"46" "E18_2_C13" "E18_3_C47" 0.0222304683812963
"47" "E18_2_C13" "E18_2_C50" 0.0225238133303727
"48" "E18_2_C13" "E18_2_C55" 0.0227767059374718
"49" "E18_2_C13" "E18_2_C42" 0.0237177433710822
"50" "E18_2_C15" "E18_2_C74" 0.0197950672554472
"51" "E18_2_C15" "E18_1_C33" 0.0207941167667712
"52" "E18_2_C15" "E18_2_C87" 0.0235585697334586
"53" "E18_2_C15" "E18_3_C29" 0.0245853439335116
"54" "E18_2_C15" "E18_3_C61" 0.0285673329116164
"55" "E18_2_C15" "E18_2_C30" 0.0312721687070046
"56" "E18_2_C15" "E18_3_C10" 0.0313947651213231
"57" "E18_2_C12" "E18_2_C15" 0.032947840541685
"58" "E18_2_C15" "E18_2_C31" 0.0343677233603148
"59" "E18_2_C20" "E18_2_C42" 0.009124248561437
"60" "E18_2_C20" "E18_2_C43" 0.00959576749744027
"61" "E18_2_C20" "E18_1_C67" 0.0139788851270181
"62" "E18_2_C20" "E18_1_C38" 0.0160733362041557
"63" "E18_2_C20" "E18_2_C26" 0.0161048362469301
"64" "E18_2_C20" "E18_3_C55" 0.0174458004789436
"65" "E18_2_C20" "E18_3_C37" 0.0186146725499382
"66" "E18_2_C20" "E18_1_C50" 0.019311753273806
"67" "E18_2_C20" "E18_2_C90" 0.0202500697860028
"68" "E18_2_C20" "E18_3_C59" 0.0206136814972131
"69" "E18_2_C26" "E18_3_C47" 0.009838178800554
"70" "E18_2_C26" "E18_2_C88" 0.014832272003822
"71" "E18_2_C26" "E18_2_C31" 0.0148393464081453
"72" "E18_2_C26" "E18_2_C42" 0.0151768383372625
"73" "E18_2_C26" "E18_2_C50" 0.0153150321838691
"74" "E18_2_C26" "E18_3_C90" 0.0191331753102048
"75" "E18_2_C26" "E18_3_C55" 0.0194107829551466
"76" "E18_2_C26" "E18_2_C43" 0.0195365686090272
"77" "E18_2_C30" "E18_3_C29" 0.0116277958686048
"78" "E18_2_C30" "E18_3_C10" 0.0116853733121707
"79" "E18_2_C30" "E18_2_C87" 0.0193171949859499
"80" "E18_2_C30" "E18_2_C32" 0.0196264675108847
"81" "E18_2_C30" "E18_1_C33" 0.0225184247455467
"82" "E18_2_C30" "E18_2_C49" 0.0420468547875818
"83" "E18_2_C30" "E18_1_C09" 0.0431632328163106
"84" "E18_2_C30" "E18_2_C74" 0.0460198882845796
"85" "E18_2_C07" "E18_2_C30" 0.0482337257515265
"86" "E18_2_C31" "E18_3_C55" 0.0140831499829377
"87" "E18_2_C31" "E18_2_C44" 0.0142283001779206
"88" "E18_2_C31" "E18_2_C90" 0.0161230435555407
"89" "E18_2_C31" "E18_1_C37" 0.016885799977344
"90" "E18_2_C31" "E18_2_C42" 0.01721093378731
"91" "E18_2_C31" "E18_3_C61" 0.0173583033958274
"92" "E18_2_C31" "E18_2_C50" 0.0192912026522041
"93" "E18_2_C31" "E18_3_C47" 0.0195784541809863
"94" "E18_2_C31" "E18_1_C34" 0.0203360501375915
"95" "E18_2_C32" "E18_3_C10" 0.01936211831216
"96" "E18_2_C32" "E18_3_C29" 0.0253888766398641
"97" "E18_2_C32" "E18_1_C33" 0.0345760269793757
"98" "E18_2_C32" "E18_1_C09" 0.0349657697919421
"99" "E18_2_C32" "E18_2_C87" 0.0381508419752011
"100" "E18_2_C32" "E18_3_C80" 0.0450010197036651
"101" "E18_2_C15" "E18_2_C32" 0.0484676716023994
"102" "E18_2_C32" "E18_3_C48" 0.049953020976335
"103" "E18_2_C32" "E18_2_C49" 0.0520845280208289
"104" "E18_2_C38" "E18_3_C90" 0.0251114356682602
"105" "E18_2_C38" "E18_1_C84" 0.0269431985597937
"106" "E18_2_C38" "E18_2_C88" 0.0269949970390381
"107" "E18_2_C38" "E18_2_C50" 0.0306123776808959
"108" "E18_2_C38" "E18_2_C73" 0.03170539966734
"109" "E18_2_C38" "E18_3_C47" 0.0318123846102477
"110" "E18_2_C26" "E18_2_C38" 0.0399198252283764
"111" "E18_2_C38" "E18_2_C92" 0.0426428550267368
"112" "E18_2_C13" "E18_2_C38" 0.0426517831835012
"113" "E18_2_C38" "E18_1_C60" 0.0476257917407611
"114" "E18_2_C42" "E18_3_C55" 0.0120902755217776
"115" "E18_2_C42" "E18_2_C43" 0.0126732468236439
"116" "E18_2_C42" "E18_1_C34" 0.0161498056903427
"117" "E18_2_C42" "E18_3_C28" 0.0168161019680096
"118" "E18_2_C42" "E18_1_C67" 0.0173343082741208
"119" "E18_2_C42" "E18_1_C37" 0.0173612733456698
"120" "E18_2_C42" "E18_2_C90" 0.0177875046128902
"121" "E18_2_C43" "E18_3_C37" 0.00937722091621106
"122" "E18_2_C43" "E18_3_C59" 0.0115227712249335
"123" "E18_2_C43" "E18_3_C55" 0.0127489161023343
"124" "E18_2_C43" "E18_2_C90" 0.0134190811498987
"125" "E18_2_C43" "E18_3_C28" 0.0168889937593851
"126" "E18_2_C43" "E18_1_C67" 0.0170312886351572
"127" "E18_2_C43" "E18_2_C44" 0.0187366996726018
"128" "E18_2_C44" "E18_2_C90" 0.00586550782002144
"129" "E18_2_C44" "E18_3_C55" 0.00933133713230839
"130" "E18_2_C44" "E18_3_C59" 0.0122249370520021
"131" "E18_2_C44" "E18_1_C37" 0.0132985890887245
"132" "E18_2_C44" "E18_3_C28" 0.0141119233905934
"133" "E18_2_C44" "E18_3_C61" 0.0144793864783257
"134" "E18_2_C44" "E18_3_C37" 0.0155267800749443
"135" "E18_2_C49" "E18_3_C54" 0.0317597957666338
"136" "E18_2_C49" "E18_2_C87" 0.035422858257195
"137" "E18_2_C15" "E18_2_C49" 0.0356580957073502
"138" "E18_2_C49" "E18_1_C34" 0.040311979703372
"139" "E18_2_C49" "E18_3_C29" 0.0429399255640232
"140" "E18_2_C49" "E18_3_C61" 0.0446508712461599
